,date,value,name_B00BXLQCP2
0,2020-05-25,4577.0,"Cookies, Biscuits & Snacks"
1,2020-05-26,4577.0,"Cookies, Biscuits & Snacks"
2,2020-05-27,3608.0,"Cookies, Biscuits & Snacks"
3,2020-05-28,3594.0,"Cookies, Biscuits & Snacks"
4,2020-05-29,3594.0,"Cookies, Biscuits & Snacks"
5,2020-05-30,3594.0,"Cookies, Biscuits & Snacks"
6,2020-05-31,3428.0,"Cookies, Biscuits & Snacks"
7,2020-06-01,3403.0,"Cookies, Biscuits & Snacks"
8,2020-06-02,3403.0,"Cookies, Biscuits & Snacks"
9,2020-06-03,3403.0,"Cookies, Biscuits & Snacks"
10,2020-06-04,3646.0,"Cookies, Biscuits & Snacks"
11,2020-06-05,2796.0,"Cookies, Biscuits & Snacks"
12,2020-06-06,2796.0,"Cookies, Biscuits & Snacks"
13,2020-06-07,3979.0,"Cookies, Biscuits & Snacks"
14,2020-06-08,3979.0,"Cookies, Biscuits & Snacks"
15,2020-06-09,3979.0,"Cookies, Biscuits & Snacks"
16,2020-06-10,3104.0,"Cookies, Biscuits & Snacks"
17,2020-06-11,2932.0,"Cookies, Biscuits & Snacks"
18,2020-06-12,2932.0,"Cookies, Biscuits & Snacks"
19,2020-06-13,2932.0,"Cookies, Biscuits & Snacks"
20,2020-06-14,2932.0,"Cookies, Biscuits & Snacks"
21,2020-06-15,3113.0,"Cookies, Biscuits & Snacks"
22,2020-06-16,2763.0,"Cookies, Biscuits & Snacks"
23,2020-06-17,2763.0,"Cookies, Biscuits & Snacks"
24,2020-06-18,3085.0,"Cookies, Biscuits & Snacks"
25,2020-06-19,3085.0,"Cookies, Biscuits & Snacks"
26,2020-06-20,3085.0,"Cookies, Biscuits & Snacks"
27,2020-06-21,3132.0,"Cookies, Biscuits & Snacks"
28,2020-06-22,2595.0,"Cookies, Biscuits & Snacks"
29,2020-06-23,2595.0,"Cookies, Biscuits & Snacks"
30,2020-06-24,2595.0,"Cookies, Biscuits & Snacks"
31,2020-06-25,2595.0,"Cookies, Biscuits & Snacks"
32,2020-06-26,6155.0,"Cookies, Biscuits & Snacks"
33,2020-06-27,6155.0,"Cookies, Biscuits & Snacks"
34,2020-06-28,6155.0,"Cookies, Biscuits & Snacks"
35,2020-06-29,3618.0,"Cookies, Biscuits & Snacks"
36,2020-06-30,3143.0,"Cookies, Biscuits & Snacks"
37,2020-07-01,3104.0,"Cookies, Biscuits & Snacks"
38,2020-07-02,3107.0,"Cookies, Biscuits & Snacks"
39,2020-07-03,3343.0,"Cookies, Biscuits & Snacks"
40,2020-07-04,3527.0,"Cookies, Biscuits & Snacks"
41,2020-07-05,3527.0,"Cookies, Biscuits & Snacks"
42,2020-07-06,3527.0,"Cookies, Biscuits & Snacks"
43,2020-07-07,2686.0,"Cookies, Biscuits & Snacks"
44,2020-07-08,2686.0,"Cookies, Biscuits & Snacks"
45,2020-07-09,2817.0,"Cookies, Biscuits & Snacks"
46,2020-07-10,2817.0,"Cookies, Biscuits & Snacks"
47,2020-07-11,2911.0,"Cookies, Biscuits & Snacks"
48,2020-07-12,2911.0,"Cookies, Biscuits & Snacks"
49,2020-07-13,2885.0,"Cookies, Biscuits & Snacks"
50,2020-07-14,2885.0,"Cookies, Biscuits & Snacks"
51,2020-07-15,2885.0,"Cookies, Biscuits & Snacks"
52,2020-07-16,2885.0,"Cookies, Biscuits & Snacks"
53,2020-07-17,3219.0,"Cookies, Biscuits & Snacks"
54,2020-07-18,2983.0,"Cookies, Biscuits & Snacks"
55,2020-07-19,2983.0,"Cookies, Biscuits & Snacks"
56,2020-07-20,3053.0,"Cookies, Biscuits & Snacks"
57,2020-07-21,3053.0,"Cookies, Biscuits & Snacks"
58,2020-07-22,3053.0,"Cookies, Biscuits & Snacks"
59,2020-07-23,2972.0,"Cookies, Biscuits & Snacks"
60,2020-07-24,3261.0,"Cookies, Biscuits & Snacks"
61,2020-07-25,3432.0,"Cookies, Biscuits & Snacks"
62,2020-07-26,3432.0,"Cookies, Biscuits & Snacks"
63,2020-07-27,2930.0,"Cookies, Biscuits & Snacks"
64,2020-07-28,2930.0,"Cookies, Biscuits & Snacks"
65,2020-07-29,2930.0,"Cookies, Biscuits & Snacks"
66,2020-07-30,2954.0,"Cookies, Biscuits & Snacks"
67,2020-07-31,2954.0,"Cookies, Biscuits & Snacks"
68,2020-08-01,2954.0,"Cookies, Biscuits & Snacks"
69,2020-08-02,3827.0,"Cookies, Biscuits & Snacks"
70,2020-08-03,3827.0,"Cookies, Biscuits & Snacks"
71,2020-08-04,3827.0,"Cookies, Biscuits & Snacks"
72,2020-08-05,3150.0,"Cookies, Biscuits & Snacks"
73,2020-08-06,3150.0,"Cookies, Biscuits & Snacks"
74,2020-08-07,3150.0,"Cookies, Biscuits & Snacks"
75,2020-08-08,3861.0,"Cookies, Biscuits & Snacks"
76,2020-08-09,3861.0,"Cookies, Biscuits & Snacks"
77,2020-08-10,2954.0,"Cookies, Biscuits & Snacks"
78,2020-08-11,2889.0,"Cookies, Biscuits & Snacks"
79,2020-08-12,2889.0,"Cookies, Biscuits & Snacks"
80,2020-08-13,2889.0,"Cookies, Biscuits & Snacks"
81,2020-08-14,2837.0,"Cookies, Biscuits & Snacks"
82,2020-08-15,2837.0,"Cookies, Biscuits & Snacks"
83,2020-08-16,3469.0,"Cookies, Biscuits & Snacks"
84,2020-08-17,3469.0,"Cookies, Biscuits & Snacks"
85,2020-08-18,3594.0,"Cookies, Biscuits & Snacks"
86,2020-08-19,3594.0,"Cookies, Biscuits & Snacks"
87,2020-08-20,3594.0,"Cookies, Biscuits & Snacks"
88,2020-08-21,3021.0,"Cookies, Biscuits & Snacks"
89,2020-08-22,3021.0,"Cookies, Biscuits & Snacks"
90,2020-08-23,3135.0,"Cookies, Biscuits & Snacks"
91,2020-08-24,3135.0,"Cookies, Biscuits & Snacks"
92,2020-08-25,3135.0,"Cookies, Biscuits & Snacks"
93,2020-08-26,3343.0,"Cookies, Biscuits & Snacks"
94,2020-08-27,3343.0,"Cookies, Biscuits & Snacks"
95,2020-08-28,2974.0,"Cookies, Biscuits & Snacks"
96,2020-08-29,2974.0,"Cookies, Biscuits & Snacks"
97,2020-08-30,2974.0,"Cookies, Biscuits & Snacks"
98,2020-08-31,3255.0,"Cookies, Biscuits & Snacks"
99,2020-09-01,3255.0,"Cookies, Biscuits & Snacks"
100,2020-09-02,3255.0,"Cookies, Biscuits & Snacks"
101,2020-09-03,3415.0,"Cookies, Biscuits & Snacks"
102,2020-09-04,3415.0,"Cookies, Biscuits & Snacks"
103,2020-09-05,3415.0,"Cookies, Biscuits & Snacks"
104,2020-09-06,2853.0,"Cookies, Biscuits & Snacks"
105,2020-09-07,2777.0,"Cookies, Biscuits & Snacks"
106,2020-09-08,2777.0,"Cookies, Biscuits & Snacks"
107,2020-09-09,2777.0,"Cookies, Biscuits & Snacks"
108,2020-09-10,3603.0,"Cookies, Biscuits & Snacks"
109,2020-09-11,3603.0,"Cookies, Biscuits & Snacks"
110,2020-09-12,3603.0,"Cookies, Biscuits & Snacks"
111,2020-09-13,2822.0,"Cookies, Biscuits & Snacks"
112,2020-09-14,2540.0,"Cookies, Biscuits & Snacks"
113,2020-09-15,2862.0,"Cookies, Biscuits & Snacks"
114,2020-09-16,2994.0,"Cookies, Biscuits & Snacks"
115,2020-09-17,2994.0,"Cookies, Biscuits & Snacks"
116,2020-09-18,2994.0,"Cookies, Biscuits & Snacks"
117,2020-09-19,3252.0,"Cookies, Biscuits & Snacks"
118,2020-09-20,3252.0,"Cookies, Biscuits & Snacks"
119,2020-09-21,3305.0,"Cookies, Biscuits & Snacks"
120,2020-09-22,3305.0,"Cookies, Biscuits & Snacks"
121,2020-09-23,3305.0,"Cookies, Biscuits & Snacks"
122,2020-09-24,3005.0,"Cookies, Biscuits & Snacks"
123,2020-09-25,3005.0,"Cookies, Biscuits & Snacks"
124,2020-09-26,3005.0,"Cookies, Biscuits & Snacks"
125,2020-09-27,3173.0,"Cookies, Biscuits & Snacks"
126,2020-09-28,3173.0,"Cookies, Biscuits & Snacks"
127,2020-09-29,3173.0,"Cookies, Biscuits & Snacks"
128,2020-09-30,3042.0,"Cookies, Biscuits & Snacks"
129,2020-10-01,3356.0,"Cookies, Biscuits & Snacks"
130,2020-10-02,3191.0,"Cookies, Biscuits & Snacks"
131,2020-10-03,3191.0,"Cookies, Biscuits & Snacks"
132,2020-10-04,3191.0,"Cookies, Biscuits & Snacks"
133,2020-10-05,3216.0,"Cookies, Biscuits & Snacks"
134,2020-10-06,3216.0,"Cookies, Biscuits & Snacks"
135,2020-10-07,3059.0,"Cookies, Biscuits & Snacks"
