,date,value,name_B00GJDPMKU
0,2020-06-19,2116.0,Baby Bath
1,2020-06-20,2380.0,Baby Bath
2,2020-06-21,2380.0,Baby Bath
3,2020-06-22,2012.0,Baby Bath
4,2020-06-23,2213.0,Baby Bath
5,2020-06-24,2336.0,Baby Bath
6,2020-06-25,2336.0,Baby Bath
7,2020-06-26,2385.0,Baby Bath
8,2020-06-27,2616.0,Baby Bath
9,2020-06-28,2616.0,Baby Bath
10,2020-06-29,2330.0,Baby Bath
11,2020-06-30,2330.0,Baby Bath
12,2020-07-01,2568.0,Baby Bath
13,2020-07-02,2513.0,Baby Bath
14,2020-07-03,2223.0,Baby Bath
15,2020-07-04,2276.0,Baby Bath
16,2020-07-05,2276.0,Baby Bath
17,2020-07-06,2276.0,Baby Bath
18,2020-07-07,2361.0,Baby Bath
19,2020-07-08,2361.0,Baby Bath
20,2020-07-09,2673.0,Baby Bath
21,2020-07-10,2673.0,Baby Bath
22,2020-07-11,2681.0,Baby Bath
23,2020-07-12,2150.0,Baby Bath
24,2020-07-13,2238.0,Baby Bath
25,2020-07-14,2238.0,Baby Bath
26,2020-07-15,2355.0,Baby Bath
27,2020-07-16,2355.0,Baby Bath
28,2020-07-17,2355.0,Baby Bath
29,2020-07-18,2211.0,Baby Bath
30,2020-07-19,2392.0,Baby Bath
31,2020-07-20,2392.0,Baby Bath
32,2020-07-21,2392.0,Baby Bath
33,2020-07-22,2506.0,Baby Bath
34,2020-07-23,2506.0,Baby Bath
35,2020-07-24,2506.0,Baby Bath
36,2020-07-25,2799.0,Baby Bath
37,2020-07-26,2799.0,Baby Bath
38,2020-07-27,2216.0,Baby Bath
39,2020-07-28,2165.0,Baby Bath
40,2020-07-29,2680.0,Baby Bath
41,2020-07-30,2680.0,Baby Bath
42,2020-07-31,2377.0,Baby Bath
43,2020-08-01,2365.0,Baby Bath
44,2020-08-02,2144.0,Baby Bath
45,2020-08-03,2144.0,Baby Bath
46,2020-08-04,2603.0,Baby Bath
47,2020-08-05,2603.0,Baby Bath
48,2020-08-06,2379.0,Baby Bath
49,2020-08-07,2379.0,Baby Bath
50,2020-08-08,2871.0,Baby Bath
51,2020-08-09,2871.0,Baby Bath
52,2020-08-10,2162.0,Baby Bath
53,2020-08-11,2647.0,Baby Bath
54,2020-08-12,2401.0,Baby Bath
55,2020-08-13,2785.0,Baby Bath
56,2020-08-14,2785.0,Baby Bath
57,2020-08-15,2219.0,Baby Bath
58,2020-08-16,2479.0,Baby Bath
59,2020-08-17,2479.0,Baby Bath
60,2020-08-18,2479.0,Baby Bath
61,2020-08-19,2355.0,Baby Bath
62,2020-08-20,2355.0,Baby Bath
63,2020-08-21,2355.0,Baby Bath
64,2020-08-22,2638.0,Baby Bath
65,2020-08-23,2183.0,Baby Bath
66,2020-08-24,2183.0,Baby Bath
67,2020-08-25,2183.0,Baby Bath
68,2020-08-26,2349.0,Baby Bath
69,2020-08-27,2349.0,Baby Bath
70,2020-08-28,2407.0,Baby Bath
71,2020-08-29,2528.0,Baby Bath
72,2020-08-30,2528.0,Baby Bath
73,2020-08-31,2528.0,Baby Bath
74,2020-09-01,2738.0,Baby Bath
75,2020-09-02,2738.0,Baby Bath
76,2020-09-03,2794.0,Baby Bath
77,2020-09-04,2794.0,Baby Bath
78,2020-09-05,2966.0,Baby Bath
79,2020-09-06,2966.0,Baby Bath
80,2020-09-07,2352.0,Baby Bath
81,2020-09-08,2021.0,Baby Bath
82,2020-09-09,2021.0,Baby Bath
83,2020-09-10,2150.0,Baby Bath
84,2020-09-11,2430.0,Baby Bath
85,2020-09-12,2430.0,Baby Bath
86,2020-09-13,2883.0,Baby Bath
87,2020-09-14,2883.0,Baby Bath
88,2020-09-15,2883.0,Baby Bath
89,2020-09-16,2042.0,Baby Bath
90,2020-09-17,2042.0,Baby Bath
91,2020-09-18,2042.0,Baby Bath
92,2020-09-19,2416.0,Baby Bath
93,2020-09-20,2416.0,Baby Bath
94,2020-09-21,2416.0,Baby Bath
95,2020-09-22,2034.0,Baby Bath
96,2020-09-23,2034.0,Baby Bath
97,2020-09-24,2760.0,Baby Bath
98,2020-09-25,2430.0,Baby Bath
99,2020-09-26,2593.0,Baby Bath
100,2020-09-27,2593.0,Baby Bath
101,2020-09-28,2664.0,Baby Bath
102,2020-09-29,2664.0,Baby Bath
103,2020-09-30,2351.0,Baby Bath
104,2020-10-01,2351.0,Baby Bath
105,2020-10-02,2870.0,Baby Bath
106,2020-10-03,3017.0,Baby Bath
107,2020-10-04,3017.0,Baby Bath
108,2020-10-05,2506.0,Baby Bath
109,2020-10-06,2876.0,Baby Bath
110,2020-10-07,2876.0,Baby Bath
111,2020-10-08,2876.0,Baby Bath
112,2020-10-09,2876.0,Baby Bath
113,2020-10-10,2905.0,Baby Bath
114,2020-10-11,2905.0,Baby Bath
115,2020-10-12,2606.0,Baby Bath
116,2020-10-13,2286.0,Baby Bath
117,2020-10-14,2286.0,Baby Bath
118,2020-10-15,1444.0,Baby Bath
119,2020-10-16,1547.0,Baby Bath
120,2020-10-17,2269.0,Baby Bath
121,2020-10-18,2269.0,Baby Bath
122,2020-10-19,2423.0,Baby Bath
123,2020-10-20,2423.0,Baby Bath
124,2020-10-21,2348.0,Baby Bath
125,2020-10-22,2348.0,Baby Bath
126,2020-10-23,2348.0,Baby Bath
127,2020-10-24,3020.0,Baby Bath
128,2020-10-25,3020.0,Baby Bath
129,2020-10-26,2502.0,Baby Bath
130,2020-10-27,2502.0,Baby Bath
131,2020-10-28,2502.0,Baby Bath
132,2020-10-29,2597.0,Baby Bath
133,2020-10-30,2597.0,Baby Bath
134,2020-10-31,2961.0,Baby Bath
135,2020-11-01,2961.0,Baby Bath
136,2020-11-02,2165.0,Baby Bath
137,2020-11-03,2165.0,Baby Bath
138,2020-11-04,2165.0,Baby Bath
139,2020-11-05,2856.0,Baby Bath
140,2020-11-06,2852.0,Baby Bath
141,2020-11-07,2943.0,Baby Bath
142,2020-11-08,2596.0,Baby Bath
143,2020-11-09,2596.0,Baby Bath
144,2020-11-10,2586.0,Baby Bath
145,2020-11-11,2586.0,Baby Bath
146,2020-11-12,2235.0,Baby Bath
147,2020-11-13,2736.0,Baby Bath
148,2020-11-14,2896.0,Baby Bath
149,2020-11-15,2852.0,Baby Bath
150,2020-11-16,2852.0,Baby Bath
151,2020-11-17,2852.0,Baby Bath
152,2020-11-18,2115.0,Baby Bath
153,2020-11-19,2115.0,Baby Bath
154,2020-11-20,2432.0,Baby Bath
155,2020-11-21,2432.0,Baby Bath
156,2020-11-22,2432.0,Baby Bath
157,2020-11-23,2374.0,Baby Bath
158,2020-11-24,2374.0,Baby Bath
159,2020-11-25,1696.0,Baby Bath
