,date,value,name_B00JVA8RGY
0,2020-05-25,10957.0,Ginseng
1,2020-05-26,10957.0,Ginseng
2,2020-05-27,10957.0,Ginseng
3,2020-05-28,10957.0,Ginseng
4,2020-05-29,10957.0,Ginseng
5,2020-05-30,10297.0,Ginseng
6,2020-05-31,10297.0,Ginseng
7,2020-06-01,10297.0,Ginseng
8,2020-06-02,10297.0,Ginseng
9,2020-06-03,10297.0,Ginseng
10,2020-06-04,11205.0,Ginseng
11,2020-06-05,11205.0,Ginseng
12,2020-06-06,13202.0,Ginseng
13,2020-06-07,13202.0,Ginseng
14,2020-06-08,11481.0,Ginseng
15,2020-06-09,11481.0,Ginseng
16,2020-06-10,11481.0,Ginseng
17,2020-06-11,11481.0,Ginseng
18,2020-06-12,11481.0,Ginseng
19,2020-06-13,11481.0,Ginseng
20,2020-06-14,11481.0,Ginseng
21,2020-06-15,10179.0,Ginseng
22,2020-06-16,10179.0,Ginseng
23,2020-06-17,10636.0,Ginseng
24,2020-06-18,10650.0,Ginseng
25,2020-06-19,10650.0,Ginseng
26,2020-06-20,10650.0,Ginseng
27,2020-06-21,10650.0,Ginseng
28,2020-06-22,11682.0,Ginseng
29,2020-06-23,13466.0,Ginseng
30,2020-06-24,13466.0,Ginseng
31,2020-06-25,13466.0,Ginseng
32,2020-06-26,13466.0,Ginseng
33,2020-06-27,13466.0,Ginseng
34,2020-06-28,12304.0,Ginseng
35,2020-06-29,12304.0,Ginseng
36,2020-06-30,11550.0,Ginseng
37,2020-07-01,11550.0,Ginseng
38,2020-07-02,11550.0,Ginseng
39,2020-07-03,11550.0,Ginseng
40,2020-07-04,12702.0,Ginseng
41,2020-07-05,12702.0,Ginseng
42,2020-07-06,12702.0,Ginseng
43,2020-07-07,12640.0,Ginseng
44,2020-07-08,14556.0,Ginseng
45,2020-07-09,14556.0,Ginseng
46,2020-07-10,14556.0,Ginseng
47,2020-07-11,13264.0,Ginseng
48,2020-07-12,13264.0,Ginseng
49,2020-07-13,13264.0,Ginseng
50,2020-07-14,14310.0,Ginseng
51,2020-07-15,14310.0,Ginseng
52,2020-07-16,14310.0,Ginseng
53,2020-07-17,11294.0,Ginseng
54,2020-07-18,10933.0,Ginseng
55,2020-07-19,10933.0,Ginseng
56,2020-07-20,10600.0,Ginseng
57,2020-07-21,10600.0,Ginseng
58,2020-07-22,10600.0,Ginseng
59,2020-07-23,10601.0,Ginseng
60,2020-07-24,10601.0,Ginseng
61,2020-07-25,13850.0,Ginseng
62,2020-07-26,13850.0,Ginseng
63,2020-07-27,13850.0,Ginseng
64,2020-07-28,11281.0,Ginseng
65,2020-07-29,11281.0,Ginseng
66,2020-07-30,11281.0,Ginseng
67,2020-07-31,12042.0,Ginseng
68,2020-08-01,12042.0,Ginseng
69,2020-08-02,12042.0,Ginseng
70,2020-08-03,12042.0,Ginseng
71,2020-08-04,10849.0,Ginseng
72,2020-08-05,10849.0,Ginseng
73,2020-08-06,12705.0,Ginseng
74,2020-08-07,13009.0,Ginseng
75,2020-08-08,13009.0,Ginseng
76,2020-08-09,11600.0,Ginseng
77,2020-08-10,11600.0,Ginseng
78,2020-08-11,11719.0,Ginseng
79,2020-08-12,11719.0,Ginseng
80,2020-08-13,11719.0,Ginseng
81,2020-08-14,11324.0,Ginseng
82,2020-08-15,11324.0,Ginseng
83,2020-08-16,11306.0,Ginseng
84,2020-08-17,11306.0,Ginseng
85,2020-08-18,11306.0,Ginseng
86,2020-08-19,11482.0,Ginseng
87,2020-08-20,11482.0,Ginseng
88,2020-08-21,11482.0,Ginseng
89,2020-08-22,13138.0,Ginseng
90,2020-08-23,13138.0,Ginseng
91,2020-08-24,14681.0,Ginseng
92,2020-08-25,14681.0,Ginseng
93,2020-08-26,14681.0,Ginseng
94,2020-08-27,12416.0,Ginseng
95,2020-08-28,12785.0,Ginseng
96,2020-08-29,12785.0,Ginseng
97,2020-08-30,12785.0,Ginseng
98,2020-08-31,15693.0,Ginseng
99,2020-09-01,11358.0,Ginseng
100,2020-09-02,11358.0,Ginseng
101,2020-09-03,10808.0,Ginseng
102,2020-09-04,10808.0,Ginseng
103,2020-09-05,10808.0,Ginseng
104,2020-09-06,15866.0,Ginseng
105,2020-09-07,15866.0,Ginseng
106,2020-09-08,15866.0,Ginseng
107,2020-09-09,11962.0,Ginseng
108,2020-09-10,11962.0,Ginseng
109,2020-09-11,11962.0,Ginseng
110,2020-09-12,11962.0,Ginseng
111,2020-09-13,12708.0,Ginseng
112,2020-09-14,12708.0,Ginseng
113,2020-09-15,12708.0,Ginseng
114,2020-09-16,12671.0,Ginseng
115,2020-09-17,12671.0,Ginseng
116,2020-09-18,12671.0,Ginseng
117,2020-09-19,10730.0,Ginseng
118,2020-09-20,10730.0,Ginseng
119,2020-09-21,10730.0,Ginseng
120,2020-09-22,11552.0,Ginseng
121,2020-09-23,11552.0,Ginseng
122,2020-09-24,14006.0,Ginseng
123,2020-09-25,14006.0,Ginseng
124,2020-09-26,14006.0,Ginseng
125,2020-09-27,16450.0,Ginseng
126,2020-09-28,16450.0,Ginseng
127,2020-09-29,16708.0,Ginseng
128,2020-09-30,16708.0,Ginseng
129,2020-10-01,16708.0,Ginseng
130,2020-10-02,12158.0,Ginseng
131,2020-10-03,12158.0,Ginseng
132,2020-10-04,13007.0,Ginseng
