,date,value,name_B00MWU3EPY
0,2020-06-05,42875.0,Baby Bath
1,2020-06-06,42684.0,Baby Bath
2,2020-06-07,42684.0,Baby Bath
3,2020-06-08,42684.0,Baby Bath
4,2020-06-09,42684.0,Baby Bath
5,2020-06-10,42684.0,Baby Bath
6,2020-06-11,37804.0,Baby Bath
7,2020-06-12,37804.0,Baby Bath
8,2020-06-13,36660.0,Baby Bath
9,2020-06-14,33569.0,Baby Bath
10,2020-06-15,33569.0,Baby Bath
11,2020-06-16,33569.0,Baby Bath
12,2020-06-17,33569.0,Baby Bath
13,2020-06-18,36592.0,Baby Bath
14,2020-06-19,36592.0,Baby Bath
15,2020-06-20,39518.0,Baby Bath
16,2020-06-21,39518.0,Baby Bath
17,2020-06-22,39518.0,Baby Bath
18,2020-06-23,30259.0,Baby Bath
19,2020-06-24,30259.0,Baby Bath
20,2020-06-25,30259.0,Baby Bath
21,2020-06-26,31640.0,Baby Bath
22,2020-06-27,41408.0,Baby Bath
23,2020-06-28,41408.0,Baby Bath
24,2020-06-29,41408.0,Baby Bath
25,2020-06-30,41408.0,Baby Bath
26,2020-07-01,41408.0,Baby Bath
27,2020-07-02,41408.0,Baby Bath
28,2020-07-03,41408.0,Baby Bath
29,2020-07-04,43385.0,Baby Bath
30,2020-07-05,43385.0,Baby Bath
31,2020-07-06,31487.0,Baby Bath
32,2020-07-07,31487.0,Baby Bath
33,2020-07-08,31487.0,Baby Bath
34,2020-07-09,31487.0,Baby Bath
35,2020-07-10,31487.0,Baby Bath
36,2020-07-11,44184.0,Baby Bath
37,2020-07-12,44184.0,Baby Bath
38,2020-07-13,44184.0,Baby Bath
39,2020-07-14,44184.0,Baby Bath
40,2020-07-15,44184.0,Baby Bath
41,2020-07-16,37145.0,Baby Bath
42,2020-07-17,31522.0,Baby Bath
43,2020-07-18,36350.0,Baby Bath
44,2020-07-19,36350.0,Baby Bath
45,2020-07-20,36350.0,Baby Bath
46,2020-07-21,41145.0,Baby Bath
47,2020-07-22,41145.0,Baby Bath
48,2020-07-23,41145.0,Baby Bath
49,2020-07-24,41145.0,Baby Bath
50,2020-07-25,30410.0,Baby Bath
51,2020-07-26,30410.0,Baby Bath
52,2020-07-27,30410.0,Baby Bath
53,2020-07-28,30410.0,Baby Bath
54,2020-07-29,30410.0,Baby Bath
55,2020-07-30,25134.0,Baby Bath
56,2020-07-31,25134.0,Baby Bath
57,2020-08-01,37206.0,Baby Bath
58,2020-08-02,37206.0,Baby Bath
59,2020-08-03,37206.0,Baby Bath
60,2020-08-04,37206.0,Baby Bath
61,2020-08-05,37206.0,Baby Bath
62,2020-08-06,37206.0,Baby Bath
63,2020-08-07,37206.0,Baby Bath
64,2020-08-08,37230.0,Baby Bath
65,2020-08-09,37230.0,Baby Bath
66,2020-08-10,37230.0,Baby Bath
67,2020-08-11,33576.0,Baby Bath
68,2020-08-12,33576.0,Baby Bath
69,2020-08-13,49194.0,Baby Bath
70,2020-08-14,49194.0,Baby Bath
71,2020-08-15,49194.0,Baby Bath
72,2020-08-16,36426.0,Baby Bath
