,date,value,name_B00PHMD7NS
0,2020-05-22,39101.0,Combinations
1,2020-05-23,39101.0,Combinations
2,2020-05-24,39101.0,Combinations
3,2020-05-25,39101.0,Combinations
4,2020-05-26,39101.0,Combinations
5,2020-05-27,39101.0,Combinations
6,2020-05-28,34789.0,Combinations
7,2020-05-29,34789.0,Combinations
8,2020-05-30,34789.0,Combinations
9,2020-05-31,34789.0,Combinations
10,2020-06-01,34789.0,Combinations
11,2020-06-02,34789.0,Combinations
12,2020-06-03,34789.0,Combinations
13,2020-06-04,34789.0,Combinations
14,2020-06-05,57332.0,Combinations
15,2020-06-06,57332.0,Combinations
16,2020-06-07,57332.0,Combinations
17,2020-06-08,57332.0,Combinations
18,2020-06-09,57332.0,Combinations
19,2020-06-10,57332.0,Combinations
20,2020-06-11,57332.0,Combinations
21,2020-06-12,33301.0,Combinations
22,2020-06-13,33301.0,Combinations
23,2020-06-14,33301.0,Combinations
24,2020-06-15,33301.0,Combinations
25,2020-06-16,28624.0,Combinations
26,2020-06-17,28624.0,Combinations
27,2020-06-18,28624.0,Combinations
28,2020-06-19,28624.0,Combinations
29,2020-06-20,28624.0,Combinations
30,2020-06-21,28624.0,Combinations
31,2020-06-22,28624.0,Combinations
32,2020-06-23,28624.0,Combinations
33,2020-06-24,28624.0,Combinations
34,2020-06-25,28624.0,Combinations
35,2020-06-26,28624.0,Combinations
36,2020-06-27,28624.0,Combinations
37,2020-06-28,28624.0,Combinations
38,2020-06-29,28624.0,Combinations
39,2020-06-30,28624.0,Combinations
40,2020-07-01,28624.0,Combinations
41,2020-07-02,28624.0,Combinations
42,2020-07-03,28624.0,Combinations
43,2020-07-04,46343.0,Combinations
44,2020-07-05,46343.0,Combinations
45,2020-07-06,46343.0,Combinations
46,2020-07-07,42974.0,Combinations
47,2020-07-08,42974.0,Combinations
48,2020-07-09,42974.0,Combinations
49,2020-07-10,42974.0,Combinations
50,2020-07-11,36837.0,Combinations
51,2020-07-12,44431.0,Combinations
52,2020-07-13,44431.0,Combinations
53,2020-07-14,44431.0,Combinations
54,2020-07-15,44431.0,Combinations
55,2020-07-16,37977.0,Combinations
56,2020-07-17,37977.0,Combinations
57,2020-07-18,37977.0,Combinations
58,2020-07-19,37977.0,Combinations
59,2020-07-20,37977.0,Combinations
60,2020-07-21,45312.0,Combinations
61,2020-07-22,45312.0,Combinations
62,2020-07-23,45312.0,Combinations
63,2020-07-24,45312.0,Combinations
64,2020-07-25,45312.0,Combinations
65,2020-07-26,45312.0,Combinations
66,2020-07-27,35504.0,Combinations
67,2020-07-28,35504.0,Combinations
68,2020-07-29,35504.0,Combinations
69,2020-07-30,35504.0,Combinations
70,2020-07-31,35504.0,Combinations
71,2020-08-01,35504.0,Combinations
72,2020-08-02,35504.0,Combinations
73,2020-08-03,35504.0,Combinations
74,2020-08-04,35504.0,Combinations
75,2020-08-05,35504.0,Combinations
76,2020-08-06,35504.0,Combinations
77,2020-08-07,35504.0,Combinations
78,2020-08-08,35504.0,Combinations
79,2020-08-09,35504.0,Combinations
80,2020-08-10,33432.0,Combinations
81,2020-08-11,33432.0,Combinations
82,2020-08-12,33432.0,Combinations
83,2020-08-13,33432.0,Combinations
84,2020-08-14,33432.0,Combinations
85,2020-08-15,33432.0,Combinations
86,2020-08-16,45244.0,Combinations
87,2020-08-17,42941.0,Combinations
88,2020-08-18,42941.0,Combinations
89,2020-08-19,42941.0,Combinations
90,2020-08-20,40823.0,Combinations
91,2020-08-21,40823.0,Combinations
92,2020-08-22,40823.0,Combinations
93,2020-08-23,51316.0,Combinations
94,2020-08-24,51316.0,Combinations
95,2020-08-25,51316.0,Combinations
96,2020-08-26,51316.0,Combinations
97,2020-08-27,51316.0,Combinations
98,2020-08-28,51316.0,Combinations
99,2020-08-29,51316.0,Combinations
100,2020-08-30,51316.0,Combinations
101,2020-08-31,51316.0,Combinations
102,2020-09-01,51316.0,Combinations
103,2020-09-02,41019.0,Combinations
104,2020-09-03,41019.0,Combinations
105,2020-09-04,41019.0,Combinations
106,2020-09-05,41019.0,Combinations
107,2020-09-06,41019.0,Combinations
108,2020-09-07,41019.0,Combinations
109,2020-09-08,41019.0,Combinations
