,date,value,name_B00YPQXMV4
0,2020-05-23,15001.0,Whey
1,2020-05-24,18336.0,Whey
2,2020-05-25,18609.0,Whey
3,2020-05-26,14211.0,Whey
4,2020-05-27,16095.0,Whey
5,2020-05-28,16095.0,Whey
6,2020-05-29,13842.0,Whey
7,2020-05-30,13586.0,Whey
8,2020-05-31,13586.0,Whey
9,2020-06-01,14222.0,Whey
10,2020-06-02,14222.0,Whey
11,2020-06-03,14064.0,Whey
12,2020-06-04,13800.0,Whey
13,2020-06-05,13800.0,Whey
14,2020-06-06,14261.0,Whey
15,2020-06-07,14261.0,Whey
16,2020-06-08,13075.0,Whey
17,2020-06-09,13075.0,Whey
18,2020-06-10,13165.0,Whey
19,2020-06-11,13165.0,Whey
20,2020-06-12,13165.0,Whey
21,2020-06-13,13165.0,Whey
22,2020-06-14,14862.0,Whey
23,2020-06-15,16891.0,Whey
24,2020-06-16,18188.0,Whey
25,2020-06-17,18188.0,Whey
26,2020-06-18,14245.0,Whey
27,2020-06-19,15249.0,Whey
28,2020-06-20,14737.0,Whey
29,2020-06-21,16153.0,Whey
30,2020-06-22,15425.0,Whey
31,2020-06-23,15425.0,Whey
32,2020-06-24,14489.0,Whey
33,2020-06-25,14489.0,Whey
34,2020-06-26,11937.0,Whey
35,2020-06-27,11937.0,Whey
36,2020-06-28,14994.0,Whey
37,2020-06-29,14994.0,Whey
38,2020-06-30,13489.0,Whey
39,2020-07-01,13489.0,Whey
40,2020-07-02,13489.0,Whey
41,2020-07-03,11438.0,Whey
42,2020-07-04,11438.0,Whey
43,2020-07-05,11438.0,Whey
44,2020-07-06,16715.0,Whey
45,2020-07-07,11490.0,Whey
46,2020-07-08,12700.0,Whey
47,2020-07-09,12700.0,Whey
48,2020-07-10,15016.0,Whey
49,2020-07-11,14412.0,Whey
50,2020-07-12,16944.0,Whey
51,2020-07-13,15697.0,Whey
52,2020-07-14,15666.0,Whey
53,2020-07-15,15666.0,Whey
54,2020-07-16,13197.0,Whey
55,2020-07-17,13197.0,Whey
56,2020-07-18,14358.0,Whey
57,2020-07-19,15985.0,Whey
58,2020-07-20,14442.0,Whey
59,2020-07-21,14442.0,Whey
60,2020-07-22,15332.0,Whey
61,2020-07-23,14336.0,Whey
62,2020-07-24,14336.0,Whey
63,2020-07-25,14336.0,Whey
64,2020-07-26,14336.0,Whey
65,2020-07-27,15050.0,Whey
66,2020-07-28,14461.0,Whey
67,2020-07-29,14461.0,Whey
68,2020-07-30,14949.0,Whey
69,2020-07-31,13333.0,Whey
70,2020-08-01,13333.0,Whey
71,2020-08-02,13333.0,Whey
72,2020-08-03,16659.0,Whey
73,2020-08-04,16659.0,Whey
74,2020-08-05,16314.0,Whey
75,2020-08-06,16314.0,Whey
76,2020-08-07,14196.0,Whey
77,2020-08-08,14196.0,Whey
78,2020-08-09,14196.0,Whey
79,2020-08-10,15831.0,Whey
80,2020-08-11,17160.0,Whey
81,2020-08-12,17160.0,Whey
82,2020-08-13,17160.0,Whey
83,2020-08-14,17513.0,Whey
84,2020-08-15,17513.0,Whey
85,2020-08-16,14526.0,Whey
86,2020-08-17,14526.0,Whey
87,2020-08-18,15230.0,Whey
88,2020-08-19,15230.0,Whey
89,2020-08-20,15230.0,Whey
90,2020-08-21,12322.0,Whey
91,2020-08-22,12322.0,Whey
92,2020-08-23,15106.0,Whey
93,2020-08-24,15106.0,Whey
94,2020-08-25,16797.0,Whey
95,2020-08-26,16928.0,Whey
96,2020-08-27,16928.0,Whey
97,2020-08-28,14132.0,Whey
98,2020-08-29,14132.0,Whey
99,2020-08-30,14132.0,Whey
100,2020-08-31,14074.0,Whey
101,2020-09-01,14009.0,Whey
102,2020-09-02,13232.0,Whey
103,2020-09-03,13232.0,Whey
104,2020-09-04,13232.0,Whey
105,2020-09-05,14079.0,Whey
106,2020-09-06,19165.0,Whey
107,2020-09-07,19165.0,Whey
108,2020-09-08,19165.0,Whey
109,2020-09-09,14258.0,Whey
110,2020-09-10,14168.0,Whey
111,2020-09-11,14168.0,Whey
112,2020-09-12,12592.0,Whey
113,2020-09-13,12592.0,Whey
114,2020-09-14,12592.0,Whey
115,2020-09-15,14616.0,Whey
116,2020-09-16,13643.0,Whey
117,2020-09-17,13643.0,Whey
118,2020-09-18,13315.0,Whey
119,2020-09-19,13315.0,Whey
120,2020-09-20,15532.0,Whey
121,2020-09-21,15532.0,Whey
122,2020-09-22,14729.0,Whey
123,2020-09-23,14729.0,Whey
124,2020-09-24,14818.0,Whey
125,2020-09-25,14521.0,Whey
126,2020-09-26,14521.0,Whey
127,2020-09-27,13264.0,Whey
128,2020-09-28,20397.0,Whey
129,2020-09-29,20397.0,Whey
130,2020-09-30,14296.0,Whey
131,2020-10-01,14296.0,Whey
132,2020-10-02,14763.0,Whey
133,2020-10-03,14763.0,Whey
134,2020-10-04,14763.0,Whey
135,2020-10-05,15328.0,Whey
136,2020-10-06,14342.0,Whey
137,2020-10-07,15363.0,Whey
138,2020-10-08,13692.0,Whey
139,2020-10-09,14869.0,Whey
140,2020-10-10,13724.0,Whey
141,2020-10-11,13835.0,Whey
142,2020-10-12,13835.0,Whey
143,2020-10-13,16749.0,Whey
144,2020-10-14,16749.0,Whey
145,2020-10-15,16749.0,Whey
146,2020-10-16,17616.0,Whey
147,2020-10-17,17616.0,Whey
148,2020-10-18,17016.0,Whey
149,2020-10-19,17016.0,Whey
150,2020-10-20,16842.0,Whey
151,2020-10-21,16494.0,Whey
152,2020-10-22,16494.0,Whey
153,2020-10-23,15876.0,Whey
154,2020-10-24,15876.0,Whey
155,2020-10-25,15876.0,Whey
156,2020-10-26,15876.0,Whey
157,2020-10-27,16737.0,Whey
158,2020-10-28,15413.0,Whey
159,2020-10-29,15111.0,Whey
160,2020-10-30,16292.0,Whey
161,2020-10-31,15403.0,Whey
162,2020-11-01,15207.0,Whey
163,2020-11-02,17069.0,Whey
164,2020-11-03,17069.0,Whey
165,2020-11-04,17069.0,Whey
166,2020-11-05,17926.0,Whey
167,2020-11-06,12565.0,Whey
168,2020-11-07,13987.0,Whey
169,2020-11-08,16335.0,Whey
170,2020-11-09,16335.0,Whey
171,2020-11-10,15349.0,Whey
172,2020-11-11,17110.0,Whey
173,2020-11-12,17110.0,Whey
174,2020-11-13,20457.0,Whey
175,2020-11-14,20457.0,Whey
176,2020-11-15,17609.0,Whey
177,2020-11-16,17609.0,Whey
178,2020-11-17,17609.0,Whey
179,2020-11-18,17394.0,Whey
180,2020-11-19,15903.0,Whey
181,2020-11-20,17850.0,Whey
182,2020-11-21,17850.0,Whey
183,2020-11-22,17460.0,Whey
184,2020-11-23,17460.0,Whey
185,2020-11-24,18425.0,Whey
186,2020-11-25,18425.0,Whey
187,2020-11-26,18425.0,Whey
188,2020-11-27,17992.0,Whey
189,2020-11-28,17992.0,Whey
190,2020-11-29,17992.0,Whey
191,2020-11-30,21073.0,Whey
192,2020-12-01,20606.0,Whey
193,2020-12-02,20606.0,Whey
194,2020-12-03,18256.0,Whey
195,2020-12-04,18256.0,Whey
196,2020-12-05,18256.0,Whey
197,2020-12-06,17475.0,Whey
198,2020-12-07,21442.0,Whey
199,2020-12-08,20076.0,Whey
200,2020-12-09,20076.0,Whey
201,2020-12-10,18834.0,Whey
202,2020-12-11,19253.0,Whey
203,2020-12-12,19253.0,Whey
204,2020-12-13,19253.0,Whey
205,2020-12-14,18661.0,Whey
206,2020-12-15,18661.0,Whey
207,2020-12-16,17082.0,Whey
208,2020-12-17,19312.0,Whey
209,2020-12-18,16375.0,Whey
210,2020-12-19,16375.0,Whey
211,2020-12-20,16941.0,Whey
212,2020-12-21,16941.0,Whey
213,2020-12-22,18891.0,Whey
214,2020-12-23,20352.0,Whey
215,2020-12-24,16816.0,Whey
216,2020-12-25,18592.0,Whey
217,2020-12-26,18592.0,Whey
218,2020-12-27,18592.0,Whey
219,2020-12-28,17279.0,Whey
220,2020-12-29,17279.0,Whey
221,2020-12-30,17279.0,Whey
222,2020-12-31,18892.0,Whey
223,2021-01-01,13964.0,Whey
224,2021-01-02,13964.0,Whey
225,2021-01-03,13964.0,Whey
226,2021-01-04,16430.0,Whey
227,2021-01-05,16430.0,Whey
228,2021-01-06,11442.0,Whey
229,2021-01-07,11442.0,Whey
230,2021-01-08,13843.0,Whey
231,2021-01-09,14420.0,Whey
232,2021-01-10,14420.0,Whey
233,2021-01-11,14420.0,Whey
234,2021-01-12,15719.0,Whey
235,2021-01-13,15719.0,Whey
236,2021-01-14,15096.0,Whey
237,2021-01-15,15096.0,Whey
238,2021-01-16,15096.0,Whey
239,2021-01-17,15096.0,Whey
240,2021-01-18,18082.0,Whey
241,2021-01-19,18082.0,Whey
242,2021-01-20,17161.0,Whey
243,2021-01-21,17161.0,Whey
244,2021-01-22,15043.0,Whey
245,2021-01-23,15043.0,Whey
246,2021-01-24,15043.0,Whey
247,2021-01-25,16404.0,Whey
248,2021-01-26,16404.0,Whey
249,2021-01-27,15696.0,Whey
250,2021-01-28,14227.0,Whey
251,2021-01-29,18592.0,Whey
252,2021-01-30,18592.0,Whey
253,2021-01-31,15631.0,Whey
254,2021-02-01,16794.0,Whey
255,2021-02-02,17610.0,Whey
256,2021-02-03,14288.0,Whey
257,2021-02-04,14288.0,Whey
258,2021-02-05,14288.0,Whey
259,2021-02-06,16831.0,Whey
260,2021-02-07,16831.0,Whey
261,2021-02-08,16831.0,Whey
262,2021-02-09,16262.0,Whey
263,2021-02-10,16262.0,Whey
264,2021-02-11,16262.0,Whey
265,2021-02-12,14756.0,Whey
266,2021-02-13,14756.0,Whey
267,2021-02-14,16960.0,Whey
268,2021-02-15,16960.0,Whey
269,2021-02-16,18130.0,Whey
270,2021-02-17,18130.0,Whey
271,2021-02-18,18130.0,Whey
