,date,value,name_B01AOFZMYE
0,2019-05-29,3381.0,Container Sets
1,2019-05-30,3963.0,Container Sets
2,2019-05-31,2791.0,Container Sets
3,2019-06-01,2033.0,Container Sets
4,2019-06-02,3016.0,Container Sets
5,2019-06-03,3235.0,Container Sets
6,2019-06-04,3457.0,Container Sets
7,2019-06-05,1360.0,Container Sets
8,2019-06-06,1360.0,Container Sets
9,2019-06-07,1016.0,Container Sets
10,2019-06-08,1912.0,Container Sets
11,2019-06-09,1509.0,Container Sets
12,2019-06-10,1509.0,Container Sets
13,2019-06-11,3233.0,Container Sets
14,2019-06-12,2501.0,Container Sets
15,2019-06-13,2501.0,Container Sets
16,2019-06-14,3027.0,Container Sets
17,2019-06-15,3027.0,Container Sets
18,2019-06-16,3027.0,Container Sets
19,2019-06-17,3027.0,Container Sets
20,2019-06-18,3126.0,Container Sets
21,2019-06-19,3126.0,Container Sets
22,2019-06-20,4333.0,Container Sets
23,2019-06-21,4333.0,Container Sets
24,2019-06-22,2378.0,Container Sets
25,2019-06-23,895.0,Container Sets
26,2019-06-24,1662.0,Container Sets
27,2019-06-25,2462.0,Container Sets
28,2019-06-26,2675.0,Container Sets
29,2019-06-27,2675.0,Container Sets
30,2019-06-28,2675.0,Container Sets
31,2019-06-29,2675.0,Container Sets
32,2019-06-30,2429.0,Container Sets
33,2019-07-01,2429.0,Container Sets
34,2019-07-02,3113.0,Container Sets
35,2019-07-03,3113.0,Container Sets
36,2019-07-04,3104.0,Container Sets
37,2019-07-05,3559.0,Container Sets
38,2019-07-06,3559.0,Container Sets
39,2019-07-07,3549.0,Container Sets
40,2019-07-08,3549.0,Container Sets
41,2019-07-09,3805.0,Container Sets
42,2019-07-10,3805.0,Container Sets
43,2019-07-11,3805.0,Container Sets
44,2019-07-12,4337.0,Container Sets
45,2019-07-13,4337.0,Container Sets
46,2019-07-14,4337.0,Container Sets
47,2019-07-15,2074.0,Container Sets
48,2019-07-16,3081.0,Container Sets
49,2019-07-17,3851.0,Container Sets
50,2019-07-18,3851.0,Container Sets
51,2019-07-19,3851.0,Container Sets
52,2019-07-20,3296.0,Container Sets
53,2019-07-21,4270.0,Container Sets
54,2019-07-22,4160.0,Container Sets
55,2019-07-23,4160.0,Container Sets
56,2019-07-24,5150.0,Container Sets
57,2019-07-25,4830.0,Container Sets
58,2019-07-26,4830.0,Container Sets
59,2019-07-27,4830.0,Container Sets
60,2019-07-28,4830.0,Container Sets
61,2019-07-29,4544.0,Container Sets
62,2019-07-30,4544.0,Container Sets
63,2019-07-31,4153.0,Container Sets
64,2019-08-01,5577.0,Container Sets
65,2019-08-02,4291.0,Container Sets
66,2019-08-03,4291.0,Container Sets
67,2019-08-04,4291.0,Container Sets
68,2019-08-05,4291.0,Container Sets
69,2019-08-06,3276.0,Container Sets
70,2019-08-07,3274.0,Container Sets
71,2019-08-08,3274.0,Container Sets
72,2019-08-09,4568.0,Container Sets
73,2019-08-10,4568.0,Container Sets
74,2019-08-11,4568.0,Container Sets
75,2019-08-12,4568.0,Container Sets
76,2019-08-13,3226.0,Container Sets
77,2019-08-14,3226.0,Container Sets
78,2019-08-15,4197.0,Container Sets
79,2019-08-16,3899.0,Container Sets
80,2019-08-17,3820.0,Container Sets
81,2019-08-18,3175.0,Container Sets
82,2019-08-19,3134.0,Container Sets
83,2019-08-20,3134.0,Container Sets
84,2019-08-21,3134.0,Container Sets
85,2019-08-22,3484.0,Container Sets
86,2019-08-23,3484.0,Container Sets
87,2019-08-24,2734.0,Container Sets
88,2019-08-25,2150.0,Container Sets
89,2019-08-26,3837.0,Container Sets
90,2019-08-27,3512.0,Container Sets
91,2019-08-28,3512.0,Container Sets
92,2019-08-29,3476.0,Container Sets
93,2019-08-30,3368.0,Container Sets
94,2019-08-31,3368.0,Container Sets
95,2019-09-01,3368.0,Container Sets
96,2019-09-02,3973.0,Container Sets
97,2019-09-03,3347.0,Container Sets
98,2019-09-04,3392.0,Container Sets
99,2019-09-05,3392.0,Container Sets
100,2019-09-06,3352.0,Container Sets
101,2019-09-07,2885.0,Container Sets
