,date,value,name_B01CV48YNM
0,2018-07-11,486.0,Container Sets
1,2018-07-12,486.0,Container Sets
2,2018-07-13,438.0,Container Sets
3,2018-07-14,443.0,Container Sets
4,2018-07-15,128.0,Container Sets
5,2018-07-16,349.0,Container Sets
6,2018-07-17,349.0,Container Sets
7,2018-07-18,1035.0,Container Sets
8,2018-07-19,673.0,Container Sets
9,2018-07-20,656.0,Container Sets
10,2018-07-21,542.0,Container Sets
11,2018-07-22,542.0,Container Sets
12,2018-07-23,476.0,Container Sets
13,2018-07-24,542.0,Container Sets
14,2018-07-25,860.0,Container Sets
15,2018-07-26,860.0,Container Sets
16,2018-07-27,748.0,Container Sets
17,2018-07-28,597.0,Container Sets
18,2018-07-29,597.0,Container Sets
19,2018-07-30,640.0,Container Sets
20,2018-07-31,582.0,Container Sets
21,2018-08-01,582.0,Container Sets
22,2018-08-02,582.0,Container Sets
23,2018-08-03,578.0,Container Sets
24,2018-08-04,578.0,Container Sets
25,2018-08-05,644.0,Container Sets
26,2018-08-06,503.0,Container Sets
27,2018-08-07,521.0,Container Sets
28,2018-08-08,447.0,Container Sets
29,2018-08-09,403.0,Container Sets
30,2018-08-10,403.0,Container Sets
31,2018-08-11,501.0,Container Sets
32,2018-08-12,573.0,Container Sets
33,2018-08-13,573.0,Container Sets
34,2018-08-14,573.0,Container Sets
35,2018-08-15,573.0,Container Sets
36,2018-08-16,1314.0,Container Sets
37,2018-08-17,1346.0,Container Sets
38,2018-08-18,748.0,Container Sets
39,2018-08-19,748.0,Container Sets
40,2018-08-20,748.0,Container Sets
41,2018-08-21,748.0,Container Sets
42,2018-08-22,818.0,Container Sets
43,2018-08-23,902.0,Container Sets
44,2018-08-24,747.0,Container Sets
45,2018-08-25,736.0,Container Sets
46,2018-08-26,866.0,Container Sets
47,2018-08-27,689.0,Container Sets
48,2018-08-28,689.0,Container Sets
49,2018-08-29,739.0,Container Sets
50,2018-08-30,679.0,Container Sets
51,2018-08-31,770.0,Container Sets
52,2018-09-01,770.0,Container Sets
53,2018-09-02,770.0,Container Sets
54,2018-09-03,671.0,Container Sets
55,2018-09-04,671.0,Container Sets
56,2018-09-05,963.0,Container Sets
57,2018-09-06,706.0,Container Sets
58,2018-09-07,706.0,Container Sets
59,2018-09-08,788.0,Container Sets
60,2018-09-09,820.0,Container Sets
61,2018-09-10,778.0,Container Sets
62,2018-09-11,1028.0,Container Sets
63,2018-09-12,884.0,Container Sets
64,2018-09-13,912.0,Container Sets
65,2018-09-14,629.0,Container Sets
66,2018-09-15,629.0,Container Sets
67,2018-09-16,800.0,Container Sets
68,2018-09-17,776.0,Container Sets
69,2018-09-18,822.0,Container Sets
70,2018-09-19,826.0,Container Sets
71,2018-09-20,826.0,Container Sets
72,2018-09-21,837.0,Container Sets
73,2018-09-22,597.0,Container Sets
74,2018-09-23,761.0,Container Sets
75,2018-09-24,761.0,Container Sets
76,2018-09-25,748.0,Container Sets
77,2018-09-26,727.0,Container Sets
78,2018-09-27,910.0,Container Sets
79,2018-09-28,910.0,Container Sets
80,2018-09-29,910.0,Container Sets
81,2018-09-30,1122.0,Container Sets
82,2018-10-01,1122.0,Container Sets
83,2018-10-02,855.0,Container Sets
84,2018-10-03,855.0,Container Sets
85,2018-10-04,855.0,Container Sets
86,2018-10-05,891.0,Container Sets
87,2018-10-06,1078.0,Container Sets
88,2018-10-07,1078.0,Container Sets
89,2018-10-08,930.0,Container Sets
90,2018-10-09,903.0,Container Sets
91,2018-10-10,903.0,Container Sets
92,2018-10-11,903.0,Container Sets
93,2018-10-12,1000.0,Container Sets
94,2018-10-13,1040.0,Container Sets
95,2018-10-14,1323.0,Container Sets
96,2018-10-15,1215.0,Container Sets
97,2018-10-16,1410.0,Container Sets
98,2018-10-17,1359.0,Container Sets
99,2018-10-18,1107.0,Container Sets
100,2018-10-19,1050.0,Container Sets
101,2018-10-20,1431.0,Container Sets
102,2018-10-21,1208.0,Container Sets
103,2018-10-22,1249.0,Container Sets
104,2018-10-23,1249.0,Container Sets
105,2018-10-24,1249.0,Container Sets
106,2018-10-25,1249.0,Container Sets
107,2018-10-26,1473.0,Container Sets
108,2018-10-27,958.0,Container Sets
109,2018-10-28,1473.0,Container Sets
110,2018-10-29,1128.0,Container Sets
111,2018-10-30,1149.0,Container Sets
112,2018-10-31,1149.0,Container Sets
113,2018-11-01,1164.0,Container Sets
114,2018-11-02,1164.0,Container Sets
115,2018-11-03,939.0,Container Sets
116,2018-11-04,939.0,Container Sets
117,2018-11-05,939.0,Container Sets
118,2018-11-06,939.0,Container Sets
119,2018-11-07,939.0,Container Sets
120,2018-11-08,1408.0,Container Sets
121,2018-11-09,1408.0,Container Sets
122,2018-11-10,1408.0,Container Sets
123,2018-11-11,1524.0,Container Sets
124,2018-11-12,1607.0,Container Sets
125,2018-11-13,1645.0,Container Sets
126,2018-11-14,1852.0,Container Sets
127,2018-11-15,1562.0,Container Sets
128,2018-11-16,1942.0,Container Sets
129,2018-11-17,2009.0,Container Sets
130,2018-11-18,2505.0,Container Sets
131,2018-11-19,2505.0,Container Sets
132,2018-11-20,2805.0,Container Sets
133,2018-11-21,2342.0,Container Sets
134,2018-11-22,2342.0,Container Sets
135,2018-11-23,2342.0,Container Sets
136,2018-11-24,2342.0,Container Sets
137,2018-11-25,1920.0,Container Sets
138,2018-11-26,2179.0,Container Sets
139,2018-11-27,2179.0,Container Sets
140,2018-11-28,2179.0,Container Sets
141,2018-11-29,2179.0,Container Sets
142,2018-11-30,2179.0,Container Sets
143,2018-12-01,2518.0,Container Sets
144,2018-12-02,2709.0,Container Sets
145,2018-12-03,2709.0,Container Sets
146,2018-12-04,2360.0,Container Sets
147,2018-12-05,2360.0,Container Sets
148,2018-12-06,2868.0,Container Sets
149,2018-12-07,2481.0,Container Sets
150,2018-12-08,2481.0,Container Sets
151,2018-12-09,2481.0,Container Sets
152,2018-12-10,3698.0,Container Sets
153,2018-12-11,3698.0,Container Sets
154,2018-12-12,4325.0,Container Sets
155,2018-12-13,3899.0,Container Sets
156,2018-12-14,4466.0,Container Sets
157,2018-12-15,4466.0,Container Sets
158,2018-12-16,5021.0,Container Sets
159,2018-12-17,5021.0,Container Sets
160,2018-12-18,4580.0,Container Sets
161,2018-12-19,4580.0,Container Sets
162,2018-12-20,4221.0,Container Sets
163,2018-12-21,3547.0,Container Sets
