,date,value,name_B01D7NVO2E
0,2020-05-25,17390.0,Ointments
1,2020-05-26,21242.0,Ointments
2,2020-05-27,18890.0,Ointments
3,2020-05-28,18890.0,Ointments
4,2020-05-29,18890.0,Ointments
5,2020-05-30,27300.0,Ointments
6,2020-05-31,27300.0,Ointments
7,2020-06-01,27300.0,Ointments
8,2020-06-02,30416.0,Ointments
9,2020-06-03,37519.0,Ointments
10,2020-06-04,37519.0,Ointments
11,2020-06-05,39276.0,Ointments
12,2020-06-06,39276.0,Ointments
13,2020-06-07,39276.0,Ointments
14,2020-06-08,40607.0,Ointments
15,2020-06-09,40607.0,Ointments
16,2020-06-10,40607.0,Ointments
17,2020-06-11,40607.0,Ointments
18,2020-06-12,31464.0,Ointments
19,2020-06-13,31464.0,Ointments
20,2020-06-14,29203.0,Ointments
21,2020-06-15,29203.0,Ointments
22,2020-06-16,29203.0,Ointments
23,2020-06-17,36170.0,Ointments
24,2020-06-18,36170.0,Ointments
25,2020-06-19,38186.0,Ointments
26,2020-06-20,38186.0,Ointments
27,2020-06-21,36276.0,Ointments
28,2020-06-22,36276.0,Ointments
29,2020-06-23,36276.0,Ointments
30,2020-06-24,36276.0,Ointments
31,2020-06-25,36276.0,Ointments
32,2020-06-26,102962.0,Ointments
33,2020-06-27,110316.0,Ointments
34,2020-06-28,110316.0,Ointments
35,2020-06-29,110316.0,Ointments
36,2020-06-30,110316.0,Ointments
37,2020-07-01,53620.0,Ointments
38,2020-07-02,53926.0,Ointments
39,2020-07-03,53926.0,Ointments
40,2020-07-04,53926.0,Ointments
41,2020-07-05,53926.0,Ointments
42,2020-07-06,48064.0,Ointments
43,2020-07-07,48064.0,Ointments
44,2020-07-08,48064.0,Ointments
45,2020-07-09,82472.0,Ointments
46,2020-07-10,82472.0,Ointments
47,2020-07-11,82472.0,Ointments
48,2020-07-12,82472.0,Ointments
49,2020-07-13,123436.0,Ointments
50,2020-07-14,123436.0,Ointments
51,2020-07-15,123436.0,Ointments
52,2020-07-16,106969.0,Ointments
53,2020-07-17,106969.0,Ointments
54,2020-07-18,106969.0,Ointments
55,2020-07-19,106969.0,Ointments
56,2020-07-20,85559.0,Ointments
57,2020-07-21,85559.0,Ointments
58,2020-07-22,120121.0,Ointments
59,2020-07-23,120121.0,Ointments
60,2020-07-24,120121.0,Ointments
61,2020-07-25,120121.0,Ointments
62,2020-07-26,120121.0,Ointments
63,2020-07-27,150790.0,Ointments
64,2020-07-28,150790.0,Ointments
65,2020-07-29,132215.0,Ointments
66,2020-07-30,132215.0,Ointments
67,2020-07-31,20594.0,Ointments
68,2020-08-01,10815.0,Ointments
69,2020-08-02,10815.0,Ointments
70,2020-08-03,10815.0,Ointments
71,2020-08-04,8034.0,Ointments
72,2020-08-05,8034.0,Ointments
73,2020-08-06,10704.0,Ointments
74,2020-08-07,10704.0,Ointments
75,2020-08-08,10704.0,Ointments
76,2020-08-09,9669.0,Ointments
77,2020-08-10,9669.0,Ointments
78,2020-08-11,11239.0,Ointments
79,2020-08-12,13960.0,Ointments
80,2020-08-13,13960.0,Ointments
81,2020-08-14,13960.0,Ointments
82,2020-08-15,25947.0,Ointments
83,2020-08-16,25947.0,Ointments
84,2020-08-17,33428.0,Ointments
85,2020-08-18,27518.0,Ointments
86,2020-08-19,27518.0,Ointments
87,2020-08-20,8012.0,Ointments
88,2020-08-21,5305.0,Ointments
