,date,value,name_B01I9THTGQ
0,2020-05-25,52988.0,Deodorants
1,2020-05-26,52988.0,Deodorants
2,2020-05-27,42986.0,Deodorants
3,2020-05-28,48817.0,Deodorants
4,2020-05-29,48817.0,Deodorants
5,2020-05-30,48817.0,Deodorants
6,2020-05-31,64168.0,Deodorants
7,2020-06-01,60433.0,Deodorants
8,2020-06-02,60433.0,Deodorants
9,2020-06-03,60433.0,Deodorants
10,2020-06-04,38790.0,Deodorants
11,2020-06-05,38790.0,Deodorants
12,2020-06-06,38790.0,Deodorants
13,2020-06-07,32713.0,Deodorants
14,2020-06-08,32713.0,Deodorants
15,2020-06-09,46394.0,Deodorants
16,2020-06-10,42094.0,Deodorants
17,2020-06-11,53232.0,Deodorants
18,2020-06-12,62141.0,Deodorants
19,2020-06-13,62141.0,Deodorants
20,2020-06-14,62141.0,Deodorants
21,2020-06-15,58369.0,Deodorants
22,2020-06-16,51627.0,Deodorants
23,2020-06-17,42069.0,Deodorants
24,2020-06-18,42069.0,Deodorants
25,2020-06-19,35340.0,Deodorants
26,2020-06-20,35340.0,Deodorants
27,2020-06-21,35340.0,Deodorants
28,2020-06-22,36120.0,Deodorants
29,2020-06-23,32444.0,Deodorants
30,2020-06-24,32444.0,Deodorants
31,2020-06-25,63724.0,Deodorants
32,2020-06-26,40297.0,Deodorants
33,2020-06-27,40297.0,Deodorants
34,2020-06-28,40297.0,Deodorants
35,2020-06-29,37467.0,Deodorants
36,2020-06-30,35526.0,Deodorants
37,2020-07-01,34751.0,Deodorants
38,2020-07-02,42227.0,Deodorants
39,2020-07-03,58259.0,Deodorants
40,2020-07-04,58259.0,Deodorants
41,2020-07-05,58259.0,Deodorants
42,2020-07-06,50595.0,Deodorants
43,2020-07-07,50595.0,Deodorants
44,2020-07-08,59069.0,Deodorants
45,2020-07-09,53676.0,Deodorants
46,2020-07-10,53676.0,Deodorants
47,2020-07-11,68225.0,Deodorants
48,2020-07-12,59307.0,Deodorants
49,2020-07-13,66085.0,Deodorants
50,2020-07-14,66085.0,Deodorants
