,date,value,name_B01IJ36L16
0,2020-05-31,19668.0,Nicotine Gums & Lozenges
1,2020-06-01,22588.0,Nicotine Gums & Lozenges
2,2020-06-02,22588.0,Nicotine Gums & Lozenges
3,2020-06-03,22588.0,Nicotine Gums & Lozenges
4,2020-06-04,22588.0,Nicotine Gums & Lozenges
5,2020-06-05,22588.0,Nicotine Gums & Lozenges
6,2020-06-06,15959.0,Nicotine Gums & Lozenges
7,2020-06-07,15959.0,Nicotine Gums & Lozenges
8,2020-06-08,15959.0,Nicotine Gums & Lozenges
9,2020-06-09,15959.0,Nicotine Gums & Lozenges
10,2020-06-10,15959.0,Nicotine Gums & Lozenges
11,2020-06-11,16310.0,Nicotine Gums & Lozenges
12,2020-06-12,16310.0,Nicotine Gums & Lozenges
13,2020-06-13,16310.0,Nicotine Gums & Lozenges
14,2020-06-14,16310.0,Nicotine Gums & Lozenges
15,2020-06-15,22724.0,Nicotine Gums & Lozenges
16,2020-06-16,22724.0,Nicotine Gums & Lozenges
17,2020-06-17,22724.0,Nicotine Gums & Lozenges
18,2020-06-18,15529.0,Nicotine Gums & Lozenges
19,2020-06-19,15529.0,Nicotine Gums & Lozenges
20,2020-06-20,15529.0,Nicotine Gums & Lozenges
21,2020-06-21,15529.0,Nicotine Gums & Lozenges
22,2020-06-22,15529.0,Nicotine Gums & Lozenges
23,2020-06-23,15529.0,Nicotine Gums & Lozenges
24,2020-06-24,15529.0,Nicotine Gums & Lozenges
25,2020-06-25,15529.0,Nicotine Gums & Lozenges
26,2020-06-26,15529.0,Nicotine Gums & Lozenges
27,2020-06-27,15529.0,Nicotine Gums & Lozenges
28,2020-06-28,19542.0,Nicotine Gums & Lozenges
29,2020-06-29,19542.0,Nicotine Gums & Lozenges
30,2020-06-30,18823.0,Nicotine Gums & Lozenges
31,2020-07-01,18823.0,Nicotine Gums & Lozenges
32,2020-07-02,18823.0,Nicotine Gums & Lozenges
33,2020-07-03,18823.0,Nicotine Gums & Lozenges
34,2020-07-04,18823.0,Nicotine Gums & Lozenges
35,2020-07-05,18939.0,Nicotine Gums & Lozenges
36,2020-07-06,18939.0,Nicotine Gums & Lozenges
37,2020-07-07,18939.0,Nicotine Gums & Lozenges
38,2020-07-08,17364.0,Nicotine Gums & Lozenges
39,2020-07-09,17364.0,Nicotine Gums & Lozenges
40,2020-07-10,17364.0,Nicotine Gums & Lozenges
41,2020-07-11,17840.0,Nicotine Gums & Lozenges
42,2020-07-12,17840.0,Nicotine Gums & Lozenges
43,2020-07-13,17840.0,Nicotine Gums & Lozenges
44,2020-07-14,17840.0,Nicotine Gums & Lozenges
45,2020-07-15,17840.0,Nicotine Gums & Lozenges
46,2020-07-16,17840.0,Nicotine Gums & Lozenges
47,2020-07-17,17840.0,Nicotine Gums & Lozenges
48,2020-07-18,16741.0,Nicotine Gums & Lozenges
49,2020-07-19,16741.0,Nicotine Gums & Lozenges
50,2020-07-20,19454.0,Nicotine Gums & Lozenges
51,2020-07-21,19454.0,Nicotine Gums & Lozenges
52,2020-07-22,19454.0,Nicotine Gums & Lozenges
53,2020-07-23,17114.0,Nicotine Gums & Lozenges
54,2020-07-24,17114.0,Nicotine Gums & Lozenges
55,2020-07-25,17114.0,Nicotine Gums & Lozenges
56,2020-07-26,16038.0,Nicotine Gums & Lozenges
57,2020-07-27,16038.0,Nicotine Gums & Lozenges
58,2020-07-28,16038.0,Nicotine Gums & Lozenges
59,2020-07-29,17530.0,Nicotine Gums & Lozenges
60,2020-07-30,17530.0,Nicotine Gums & Lozenges
61,2020-07-31,17530.0,Nicotine Gums & Lozenges
62,2020-08-01,17530.0,Nicotine Gums & Lozenges
63,2020-08-02,17530.0,Nicotine Gums & Lozenges
64,2020-08-03,19943.0,Nicotine Gums & Lozenges
65,2020-08-04,19943.0,Nicotine Gums & Lozenges
66,2020-08-05,19943.0,Nicotine Gums & Lozenges
67,2020-08-06,15937.0,Nicotine Gums & Lozenges
68,2020-08-07,15937.0,Nicotine Gums & Lozenges
69,2020-08-08,15937.0,Nicotine Gums & Lozenges
70,2020-08-09,15937.0,Nicotine Gums & Lozenges
71,2020-08-10,15937.0,Nicotine Gums & Lozenges
72,2020-08-11,15937.0,Nicotine Gums & Lozenges
73,2020-08-12,15937.0,Nicotine Gums & Lozenges
74,2020-08-13,19748.0,Nicotine Gums & Lozenges
75,2020-08-14,19748.0,Nicotine Gums & Lozenges
76,2020-08-15,19748.0,Nicotine Gums & Lozenges
77,2020-08-16,19748.0,Nicotine Gums & Lozenges
78,2020-08-17,19748.0,Nicotine Gums & Lozenges
79,2020-08-18,19748.0,Nicotine Gums & Lozenges
80,2020-08-19,16562.0,Nicotine Gums & Lozenges
81,2020-08-20,16562.0,Nicotine Gums & Lozenges
82,2020-08-21,16562.0,Nicotine Gums & Lozenges
83,2020-08-22,16562.0,Nicotine Gums & Lozenges
84,2020-08-23,16562.0,Nicotine Gums & Lozenges
85,2020-08-24,24795.0,Nicotine Gums & Lozenges
86,2020-08-25,24795.0,Nicotine Gums & Lozenges
87,2020-08-26,24795.0,Nicotine Gums & Lozenges
88,2020-08-27,16538.0,Nicotine Gums & Lozenges
89,2020-08-28,16538.0,Nicotine Gums & Lozenges
90,2020-08-29,16538.0,Nicotine Gums & Lozenges
91,2020-08-30,16538.0,Nicotine Gums & Lozenges
