,date,value,name_B01KSWOL0Y
0,2018-07-10,5277.0,Standard Hangers
1,2018-07-11,5975.0,Standard Hangers
2,2018-07-12,6043.0,Standard Hangers
3,2018-07-13,6755.0,Standard Hangers
4,2018-07-14,7505.0,Standard Hangers
5,2018-07-15,7505.0,Standard Hangers
6,2018-07-16,7505.0,Standard Hangers
7,2018-07-17,8229.0,Standard Hangers
8,2018-07-18,8229.0,Standard Hangers
9,2018-07-19,8229.0,Standard Hangers
10,2018-07-20,8109.0,Standard Hangers
11,2018-07-21,7923.0,Standard Hangers
12,2018-07-22,7555.0,Standard Hangers
13,2018-07-23,4877.0,Standard Hangers
14,2018-07-24,4800.0,Standard Hangers
15,2018-07-25,4755.0,Standard Hangers
16,2018-07-26,6018.0,Standard Hangers
17,2018-07-27,6384.0,Standard Hangers
18,2018-07-28,6384.0,Standard Hangers
19,2018-07-29,3796.0,Standard Hangers
20,2018-07-30,3589.0,Standard Hangers
21,2018-07-31,4616.0,Standard Hangers
22,2018-08-01,4616.0,Standard Hangers
23,2018-08-02,4616.0,Standard Hangers
24,2018-08-03,4616.0,Standard Hangers
25,2018-08-04,5436.0,Standard Hangers
26,2018-08-05,3756.0,Standard Hangers
27,2018-08-06,3756.0,Standard Hangers
28,2018-08-07,4526.0,Standard Hangers
29,2018-08-08,4264.0,Standard Hangers
30,2018-08-09,5249.0,Standard Hangers
31,2018-08-10,4466.0,Standard Hangers
32,2018-08-11,4466.0,Standard Hangers
33,2018-08-12,4528.0,Standard Hangers
34,2018-08-13,4795.0,Standard Hangers
35,2018-08-14,4795.0,Standard Hangers
36,2018-08-15,4761.0,Standard Hangers
37,2018-08-16,4761.0,Standard Hangers
38,2018-08-17,4585.0,Standard Hangers
39,2018-08-18,4585.0,Standard Hangers
40,2018-08-19,4585.0,Standard Hangers
41,2018-08-20,4585.0,Standard Hangers
42,2018-08-21,3572.0,Standard Hangers
43,2018-08-22,3597.0,Standard Hangers
44,2018-08-23,3597.0,Standard Hangers
45,2018-08-24,3126.0,Standard Hangers
46,2018-08-25,3126.0,Standard Hangers
47,2018-08-26,4180.0,Standard Hangers
48,2018-08-27,3631.0,Standard Hangers
49,2018-08-28,3631.0,Standard Hangers
50,2018-08-29,3845.0,Standard Hangers
51,2018-08-30,3655.0,Standard Hangers
52,2018-08-31,2390.0,Standard Hangers
53,2018-09-01,2390.0,Standard Hangers
54,2018-09-02,3503.0,Standard Hangers
55,2018-09-03,3503.0,Standard Hangers
56,2018-09-04,5552.0,Standard Hangers
57,2018-09-05,5552.0,Standard Hangers
58,2018-09-06,13524.0,Standard Hangers
59,2018-09-07,16897.0,Standard Hangers
60,2018-09-08,28451.0,Standard Hangers
61,2018-09-09,28451.0,Standard Hangers
62,2018-09-10,28451.0,Standard Hangers
63,2018-09-11,39939.0,Standard Hangers
64,2018-09-12,39939.0,Standard Hangers
65,2018-09-13,40910.0,Standard Hangers
66,2018-09-14,40910.0,Standard Hangers
67,2018-09-15,40910.0,Standard Hangers
68,2018-09-16,40709.0,Standard Hangers
69,2018-09-17,40709.0,Standard Hangers
70,2018-09-18,32014.0,Standard Hangers
71,2018-09-19,32014.0,Standard Hangers
72,2018-09-20,38627.0,Standard Hangers
73,2018-09-21,31285.0,Standard Hangers
74,2018-09-22,31285.0,Standard Hangers
75,2018-09-23,33294.0,Standard Hangers
76,2018-09-24,32411.0,Standard Hangers
77,2018-09-25,38969.0,Standard Hangers
78,2018-09-26,38969.0,Standard Hangers
79,2018-09-27,38969.0,Standard Hangers
80,2018-09-28,32629.0,Standard Hangers
81,2018-09-29,32629.0,Standard Hangers
82,2018-09-30,32629.0,Standard Hangers
83,2018-10-01,29650.0,Standard Hangers
84,2018-10-02,28122.0,Standard Hangers
85,2018-10-03,44471.0,Standard Hangers
86,2018-10-04,44471.0,Standard Hangers
87,2018-10-05,44471.0,Standard Hangers
88,2018-10-06,20680.0,Standard Hangers
89,2018-10-07,20680.0,Standard Hangers
