,date,value,name_B01LDH7GOQ
0,2020-05-27,14716.0,B7 (Biotin)
1,2020-05-28,14716.0,B7 (Biotin)
2,2020-05-29,15203.0,B7 (Biotin)
3,2020-05-30,15203.0,B7 (Biotin)
4,2020-05-31,15203.0,B7 (Biotin)
5,2020-06-01,15203.0,B7 (Biotin)
6,2020-06-02,15203.0,B7 (Biotin)
7,2020-06-03,15203.0,B7 (Biotin)
8,2020-06-04,15203.0,B7 (Biotin)
9,2020-06-05,14253.0,B7 (Biotin)
10,2020-06-06,14253.0,B7 (Biotin)
11,2020-06-07,14253.0,B7 (Biotin)
12,2020-06-08,14253.0,B7 (Biotin)
13,2020-06-09,14961.0,B7 (Biotin)
14,2020-06-10,14961.0,B7 (Biotin)
15,2020-06-11,13804.0,B7 (Biotin)
16,2020-06-12,13804.0,B7 (Biotin)
17,2020-06-13,13804.0,B7 (Biotin)
18,2020-06-14,13804.0,B7 (Biotin)
19,2020-06-15,13804.0,B7 (Biotin)
20,2020-06-16,16082.0,B7 (Biotin)
21,2020-06-17,16614.0,B7 (Biotin)
22,2020-06-18,16614.0,B7 (Biotin)
23,2020-06-19,16614.0,B7 (Biotin)
24,2020-06-20,16614.0,B7 (Biotin)
25,2020-06-21,16614.0,B7 (Biotin)
26,2020-06-22,16614.0,B7 (Biotin)
27,2020-06-23,13947.0,B7 (Biotin)
28,2020-06-24,13947.0,B7 (Biotin)
29,2020-06-25,12882.0,B7 (Biotin)
30,2020-06-26,11904.0,B7 (Biotin)
31,2020-06-27,11904.0,B7 (Biotin)
32,2020-06-28,11904.0,B7 (Biotin)
33,2020-06-29,12796.0,B7 (Biotin)
34,2020-06-30,12796.0,B7 (Biotin)
35,2020-07-01,12796.0,B7 (Biotin)
36,2020-07-02,12796.0,B7 (Biotin)
37,2020-07-03,10711.0,B7 (Biotin)
38,2020-07-04,10711.0,B7 (Biotin)
39,2020-07-05,10711.0,B7 (Biotin)
40,2020-07-06,10711.0,B7 (Biotin)
41,2020-07-07,9357.0,B7 (Biotin)
42,2020-07-08,9357.0,B7 (Biotin)
43,2020-07-09,12152.0,B7 (Biotin)
44,2020-07-10,9931.0,B7 (Biotin)
45,2020-07-11,10083.0,B7 (Biotin)
46,2020-07-12,10083.0,B7 (Biotin)
47,2020-07-13,9465.0,B7 (Biotin)
48,2020-07-14,9465.0,B7 (Biotin)
49,2020-07-15,10286.0,B7 (Biotin)
50,2020-07-16,10286.0,B7 (Biotin)
51,2020-07-17,11806.0,B7 (Biotin)
52,2020-07-18,11806.0,B7 (Biotin)
53,2020-07-19,11806.0,B7 (Biotin)
54,2020-07-20,12485.0,B7 (Biotin)
55,2020-07-21,11869.0,B7 (Biotin)
56,2020-07-22,11869.0,B7 (Biotin)
57,2020-07-23,11869.0,B7 (Biotin)
58,2020-07-24,9780.0,B7 (Biotin)
59,2020-07-25,9780.0,B7 (Biotin)
60,2020-07-26,9780.0,B7 (Biotin)
61,2020-07-27,9780.0,B7 (Biotin)
62,2020-07-28,12595.0,B7 (Biotin)
63,2020-07-29,12595.0,B7 (Biotin)
64,2020-07-30,12595.0,B7 (Biotin)
65,2020-07-31,12595.0,B7 (Biotin)
66,2020-08-01,13251.0,B7 (Biotin)
67,2020-08-02,13251.0,B7 (Biotin)
68,2020-08-03,13251.0,B7 (Biotin)
69,2020-08-04,13251.0,B7 (Biotin)
70,2020-08-05,13251.0,B7 (Biotin)
71,2020-08-06,13484.0,B7 (Biotin)
72,2020-08-07,13484.0,B7 (Biotin)
73,2020-08-08,13484.0,B7 (Biotin)
74,2020-08-09,13484.0,B7 (Biotin)
75,2020-08-10,11744.0,B7 (Biotin)
76,2020-08-11,11744.0,B7 (Biotin)
77,2020-08-12,11929.0,B7 (Biotin)
78,2020-08-13,11929.0,B7 (Biotin)
79,2020-08-14,11929.0,B7 (Biotin)
80,2020-08-15,11929.0,B7 (Biotin)
81,2020-08-16,11929.0,B7 (Biotin)
82,2020-08-17,10530.0,B7 (Biotin)
83,2020-08-18,10530.0,B7 (Biotin)
84,2020-08-19,12073.0,B7 (Biotin)
85,2020-08-20,12073.0,B7 (Biotin)
86,2020-08-21,11987.0,B7 (Biotin)
87,2020-08-22,11987.0,B7 (Biotin)
88,2020-08-23,11987.0,B7 (Biotin)
89,2020-08-24,8020.0,B7 (Biotin)
90,2020-08-25,8020.0,B7 (Biotin)
91,2020-08-26,8020.0,B7 (Biotin)
92,2020-08-27,10654.0,B7 (Biotin)
93,2020-08-28,10654.0,B7 (Biotin)
94,2020-08-29,10654.0,B7 (Biotin)
95,2020-08-30,10509.0,B7 (Biotin)
96,2020-08-31,10509.0,B7 (Biotin)
97,2020-09-01,11091.0,B7 (Biotin)
98,2020-09-02,11091.0,B7 (Biotin)
99,2020-09-03,12505.0,B7 (Biotin)
100,2020-09-04,12505.0,B7 (Biotin)
101,2020-09-05,9643.0,B7 (Biotin)
102,2020-09-06,9643.0,B7 (Biotin)
103,2020-09-07,11647.0,B7 (Biotin)
104,2020-09-08,11647.0,B7 (Biotin)
105,2020-09-09,13533.0,B7 (Biotin)
106,2020-09-10,13533.0,B7 (Biotin)
107,2020-09-11,13533.0,B7 (Biotin)
108,2020-09-12,13533.0,B7 (Biotin)
109,2020-09-13,14177.0,B7 (Biotin)
110,2020-09-14,14177.0,B7 (Biotin)
111,2020-09-15,13167.0,B7 (Biotin)
112,2020-09-16,13167.0,B7 (Biotin)
113,2020-09-17,13167.0,B7 (Biotin)
114,2020-09-18,10686.0,B7 (Biotin)
115,2020-09-19,10686.0,B7 (Biotin)
116,2020-09-20,10686.0,B7 (Biotin)
117,2020-09-21,11565.0,B7 (Biotin)
118,2020-09-22,11565.0,B7 (Biotin)
119,2020-09-23,11565.0,B7 (Biotin)
120,2020-09-24,9767.0,B7 (Biotin)
121,2020-09-25,9767.0,B7 (Biotin)
122,2020-09-26,9284.0,B7 (Biotin)
123,2020-09-27,9284.0,B7 (Biotin)
124,2020-09-28,9284.0,B7 (Biotin)
125,2020-09-29,9620.0,B7 (Biotin)
126,2020-09-30,9620.0,B7 (Biotin)
127,2020-10-01,9620.0,B7 (Biotin)
128,2020-10-02,9620.0,B7 (Biotin)
129,2020-10-03,7053.0,B7 (Biotin)
130,2020-10-04,7053.0,B7 (Biotin)
131,2020-10-05,7053.0,B7 (Biotin)
132,2020-10-06,9135.0,B7 (Biotin)
133,2020-10-07,9135.0,B7 (Biotin)
134,2020-10-08,9135.0,B7 (Biotin)
135,2020-10-09,8108.0,B7 (Biotin)
136,2020-10-10,8600.0,B7 (Biotin)
137,2020-10-11,8600.0,B7 (Biotin)
138,2020-10-12,8600.0,B7 (Biotin)
139,2020-10-13,8838.0,B7 (Biotin)
140,2020-10-14,8838.0,B7 (Biotin)
141,2020-10-15,8838.0,B7 (Biotin)
142,2020-10-16,8897.0,B7 (Biotin)
143,2020-10-17,8897.0,B7 (Biotin)
144,2020-10-18,9298.0,B7 (Biotin)
145,2020-10-19,9298.0,B7 (Biotin)
146,2020-10-20,9298.0,B7 (Biotin)
147,2020-10-21,8945.0,B7 (Biotin)
148,2020-10-22,8945.0,B7 (Biotin)
149,2020-10-23,8824.0,B7 (Biotin)
150,2020-10-24,8824.0,B7 (Biotin)
151,2020-10-25,7427.0,B7 (Biotin)
152,2020-10-26,7427.0,B7 (Biotin)
153,2020-10-27,7427.0,B7 (Biotin)
154,2020-10-28,9628.0,B7 (Biotin)
155,2020-10-29,9628.0,B7 (Biotin)
156,2020-10-30,9628.0,B7 (Biotin)
157,2020-10-31,9033.0,B7 (Biotin)
158,2020-11-01,9033.0,B7 (Biotin)
159,2020-11-02,9590.0,B7 (Biotin)
160,2020-11-03,9590.0,B7 (Biotin)
161,2020-11-04,9590.0,B7 (Biotin)
162,2020-11-05,9590.0,B7 (Biotin)
163,2020-11-06,11508.0,B7 (Biotin)
164,2020-11-07,9617.0,B7 (Biotin)
165,2020-11-08,9617.0,B7 (Biotin)
166,2020-11-09,9617.0,B7 (Biotin)
167,2020-11-10,9283.0,B7 (Biotin)
168,2020-11-11,9283.0,B7 (Biotin)
169,2020-11-12,9283.0,B7 (Biotin)
170,2020-11-13,11549.0,B7 (Biotin)
171,2020-11-14,11549.0,B7 (Biotin)
172,2020-11-15,9387.0,B7 (Biotin)
173,2020-11-16,9387.0,B7 (Biotin)
174,2020-11-17,9399.0,B7 (Biotin)
175,2020-11-18,9399.0,B7 (Biotin)
176,2020-11-19,9399.0,B7 (Biotin)
177,2020-11-20,10419.0,B7 (Biotin)
178,2020-11-21,8828.0,B7 (Biotin)
179,2020-11-22,8828.0,B7 (Biotin)
180,2020-11-23,8828.0,B7 (Biotin)
181,2020-11-24,8936.0,B7 (Biotin)
182,2020-11-25,8936.0,B7 (Biotin)
183,2020-11-26,10105.0,B7 (Biotin)
184,2020-11-27,10105.0,B7 (Biotin)
185,2020-11-28,10105.0,B7 (Biotin)
186,2020-11-29,7533.0,B7 (Biotin)
187,2020-11-30,7533.0,B7 (Biotin)
188,2020-12-01,7533.0,B7 (Biotin)
189,2020-12-02,7533.0,B7 (Biotin)
190,2020-12-03,7901.0,B7 (Biotin)
191,2020-12-04,7901.0,B7 (Biotin)
192,2020-12-05,7901.0,B7 (Biotin)
193,2020-12-06,8404.0,B7 (Biotin)
194,2020-12-07,8404.0,B7 (Biotin)
195,2020-12-08,8953.0,B7 (Biotin)
196,2020-12-09,8953.0,B7 (Biotin)
197,2020-12-10,8953.0,B7 (Biotin)
198,2020-12-11,8953.0,B7 (Biotin)
199,2020-12-12,8342.0,B7 (Biotin)
200,2020-12-13,8342.0,B7 (Biotin)
201,2020-12-14,8342.0,B7 (Biotin)
202,2020-12-15,8636.0,B7 (Biotin)
203,2020-12-16,8636.0,B7 (Biotin)
204,2020-12-17,8636.0,B7 (Biotin)
205,2020-12-18,7616.0,B7 (Biotin)
206,2020-12-19,7616.0,B7 (Biotin)
207,2020-12-20,5653.0,B7 (Biotin)
208,2020-12-21,6375.0,B7 (Biotin)
209,2020-12-22,7316.0,B7 (Biotin)
210,2020-12-23,6765.0,B7 (Biotin)
211,2020-12-24,6025.0,B7 (Biotin)
212,2020-12-25,6194.0,B7 (Biotin)
213,2020-12-26,6194.0,B7 (Biotin)
214,2020-12-27,6045.0,B7 (Biotin)
215,2020-12-28,6045.0,B7 (Biotin)
216,2020-12-29,6045.0,B7 (Biotin)
217,2020-12-30,5289.0,B7 (Biotin)
218,2020-12-31,5289.0,B7 (Biotin)
219,2021-01-01,4046.0,B7 (Biotin)
220,2021-01-02,3752.0,B7 (Biotin)
221,2021-01-03,3752.0,B7 (Biotin)
222,2021-01-04,4236.0,B7 (Biotin)
223,2021-01-05,4236.0,B7 (Biotin)
224,2021-01-06,5502.0,B7 (Biotin)
225,2021-01-07,5502.0,B7 (Biotin)
226,2021-01-08,5502.0,B7 (Biotin)
227,2021-01-09,5049.0,B7 (Biotin)
228,2021-01-10,5049.0,B7 (Biotin)
229,2021-01-11,5049.0,B7 (Biotin)
230,2021-01-12,5108.0,B7 (Biotin)
231,2021-01-13,5313.0,B7 (Biotin)
232,2021-01-14,5313.0,B7 (Biotin)
233,2021-01-15,4404.0,B7 (Biotin)
234,2021-01-16,5172.0,B7 (Biotin)
235,2021-01-17,5172.0,B7 (Biotin)
236,2021-01-18,6223.0,B7 (Biotin)
237,2021-01-19,6223.0,B7 (Biotin)
238,2021-01-20,6010.0,B7 (Biotin)
239,2021-01-21,6010.0,B7 (Biotin)
240,2021-01-22,6010.0,B7 (Biotin)
241,2021-01-23,6010.0,B7 (Biotin)
242,2021-01-24,6414.0,B7 (Biotin)
243,2021-01-25,7605.0,B7 (Biotin)
244,2021-01-26,7169.0,B7 (Biotin)
245,2021-01-27,6598.0,B7 (Biotin)
246,2021-01-28,6598.0,B7 (Biotin)
247,2021-01-29,6598.0,B7 (Biotin)
248,2021-01-30,7868.0,B7 (Biotin)
249,2021-01-31,7868.0,B7 (Biotin)
250,2021-02-01,5867.0,B7 (Biotin)
251,2021-02-02,7218.0,B7 (Biotin)
252,2021-02-03,7731.0,B7 (Biotin)
253,2021-02-04,7731.0,B7 (Biotin)
254,2021-02-05,8208.0,B7 (Biotin)
255,2021-02-06,8208.0,B7 (Biotin)
256,2021-02-07,8208.0,B7 (Biotin)
257,2021-02-08,8126.0,B7 (Biotin)
258,2021-02-09,8320.0,B7 (Biotin)
259,2021-02-10,8320.0,B7 (Biotin)
260,2021-02-11,8320.0,B7 (Biotin)
261,2021-02-12,8320.0,B7 (Biotin)
262,2021-02-13,9092.0,B7 (Biotin)
263,2021-02-14,9092.0,B7 (Biotin)
264,2021-02-15,9092.0,B7 (Biotin)
265,2021-02-16,8936.0,B7 (Biotin)
266,2021-02-17,8936.0,B7 (Biotin)
267,2021-02-18,9029.0,B7 (Biotin)
268,2021-02-19,9029.0,B7 (Biotin)
269,2021-02-20,8817.0,B7 (Biotin)
270,2021-02-21,8817.0,B7 (Biotin)
271,2021-02-22,8817.0,B7 (Biotin)
272,2021-02-23,17285.0,B7 (Biotin)
273,2021-02-24,17285.0,B7 (Biotin)
274,2021-02-25,17285.0,B7 (Biotin)
275,2021-02-26,44466.0,B7 (Biotin)
276,2021-02-27,21415.0,B7 (Biotin)
277,2021-02-28,21415.0,B7 (Biotin)
278,2021-03-01,21415.0,B7 (Biotin)
279,2021-03-02,21415.0,B7 (Biotin)
280,2021-03-03,8146.0,B7 (Biotin)
281,2021-03-04,8146.0,B7 (Biotin)
282,2021-03-05,8528.0,B7 (Biotin)
283,2021-03-06,8329.0,B7 (Biotin)
284,2021-03-07,7116.0,B7 (Biotin)
285,2021-03-08,7491.0,B7 (Biotin)
286,2021-03-09,7491.0,B7 (Biotin)
