,date,value,name_B01LVW01CJ
0,2020-05-24,1450.0,Dogs
1,2020-05-25,1450.0,Dogs
2,2020-05-26,891.0,Dogs
3,2020-05-27,891.0,Dogs
4,2020-05-28,1033.0,Dogs
5,2020-05-29,1135.0,Dogs
6,2020-05-30,1135.0,Dogs
7,2020-05-31,1135.0,Dogs
8,2020-06-01,1368.0,Dogs
9,2020-06-02,1694.0,Dogs
10,2020-06-03,1554.0,Dogs
11,2020-06-04,1554.0,Dogs
12,2020-06-05,1150.0,Dogs
13,2020-06-06,1150.0,Dogs
14,2020-06-07,1385.0,Dogs
15,2020-06-08,1364.0,Dogs
16,2020-06-09,1364.0,Dogs
17,2020-06-10,1771.0,Dogs
18,2020-06-11,1303.0,Dogs
19,2020-06-12,1303.0,Dogs
20,2020-06-13,1084.0,Dogs
21,2020-06-14,1084.0,Dogs
22,2020-06-15,1025.0,Dogs
23,2020-06-16,935.0,Dogs
24,2020-06-17,961.0,Dogs
25,2020-06-18,961.0,Dogs
26,2020-06-19,779.0,Dogs
27,2020-06-20,779.0,Dogs
28,2020-06-21,284.0,Dogs
29,2020-06-22,213.0,Dogs
30,2020-06-23,205.0,Dogs
31,2020-06-24,263.0,Dogs
32,2020-06-25,209.0,Dogs
33,2020-06-26,209.0,Dogs
34,2020-06-27,209.0,Dogs
35,2020-06-28,222.0,Dogs
36,2020-06-29,346.0,Dogs
37,2020-06-30,444.0,Dogs
38,2020-07-01,444.0,Dogs
39,2020-07-02,523.0,Dogs
40,2020-07-03,653.0,Dogs
41,2020-07-04,653.0,Dogs
42,2020-07-05,653.0,Dogs
43,2020-07-06,538.0,Dogs
44,2020-07-07,700.0,Dogs
45,2020-07-08,787.0,Dogs
46,2020-07-09,787.0,Dogs
47,2020-07-10,882.0,Dogs
48,2020-07-11,882.0,Dogs
49,2020-07-12,989.0,Dogs
50,2020-07-13,1250.0,Dogs
51,2020-07-14,1337.0,Dogs
52,2020-07-15,1524.0,Dogs
53,2020-07-16,1524.0,Dogs
54,2020-07-17,1934.0,Dogs
55,2020-07-18,1934.0,Dogs
56,2020-07-19,1460.0,Dogs
57,2020-07-20,1512.0,Dogs
58,2020-07-21,1512.0,Dogs
59,2020-07-22,1188.0,Dogs
60,2020-07-23,1188.0,Dogs
61,2020-07-24,1188.0,Dogs
62,2020-07-25,996.0,Dogs
63,2020-07-26,996.0,Dogs
64,2020-07-27,1353.0,Dogs
65,2020-07-28,1353.0,Dogs
66,2020-07-29,1519.0,Dogs
67,2020-07-30,1513.0,Dogs
68,2020-07-31,1513.0,Dogs
69,2020-08-01,1513.0,Dogs
70,2020-08-02,2066.0,Dogs
71,2020-08-03,2066.0,Dogs
72,2020-08-04,2066.0,Dogs
73,2020-08-05,2391.0,Dogs
74,2020-08-06,2391.0,Dogs
75,2020-08-07,2234.0,Dogs
76,2020-08-08,2234.0,Dogs
77,2020-08-09,2234.0,Dogs
78,2020-08-10,2187.0,Dogs
79,2020-08-11,2187.0,Dogs
80,2020-08-12,2187.0,Dogs
81,2020-08-13,1593.0,Dogs
82,2020-08-14,1593.0,Dogs
83,2020-08-15,1593.0,Dogs
84,2020-08-16,2532.0,Dogs
85,2020-08-17,3323.0,Dogs
86,2020-08-18,2914.0,Dogs
87,2020-08-19,2914.0,Dogs
88,2020-08-20,2224.0,Dogs
89,2020-08-21,2224.0,Dogs
90,2020-08-22,2264.0,Dogs
91,2020-08-23,2264.0,Dogs
92,2020-08-24,2494.0,Dogs
93,2020-08-25,2382.0,Dogs
94,2020-08-26,2382.0,Dogs
95,2020-08-27,2640.0,Dogs
96,2020-08-28,2310.0,Dogs
97,2020-08-29,2310.0,Dogs
98,2020-08-30,2310.0,Dogs
99,2020-08-31,5026.0,Dogs
100,2020-09-01,5026.0,Dogs
101,2020-09-02,5026.0,Dogs
102,2020-09-03,4470.0,Dogs
103,2020-09-04,4470.0,Dogs
104,2020-09-05,5212.0,Dogs
105,2020-09-06,5212.0,Dogs
106,2020-09-07,5212.0,Dogs
107,2020-09-08,6481.0,Dogs
108,2020-09-09,6481.0,Dogs
109,2020-09-10,9379.0,Dogs
110,2020-09-11,6716.0,Dogs
111,2020-09-12,6716.0,Dogs
112,2020-09-13,6716.0,Dogs
113,2020-09-14,9142.0,Dogs
114,2020-09-15,9142.0,Dogs
115,2020-09-16,12291.0,Dogs
116,2020-09-17,12291.0,Dogs
117,2020-09-18,12291.0,Dogs
118,2020-09-19,12291.0,Dogs
119,2020-09-20,12891.0,Dogs
120,2020-09-21,12891.0,Dogs
121,2020-09-22,7843.0,Dogs
122,2020-09-23,7335.0,Dogs
123,2020-09-24,6418.0,Dogs
124,2020-09-25,6420.0,Dogs
125,2020-09-26,6420.0,Dogs
126,2020-09-27,6803.0,Dogs
127,2020-09-28,6803.0,Dogs
128,2020-09-29,5840.0,Dogs
129,2020-09-30,5840.0,Dogs
130,2020-10-01,5628.0,Dogs
131,2020-10-02,5628.0,Dogs
132,2020-10-03,5628.0,Dogs
133,2020-10-04,4184.0,Dogs
134,2020-10-05,4338.0,Dogs
135,2020-10-06,4338.0,Dogs
136,2020-10-07,3637.0,Dogs
137,2020-10-08,3637.0,Dogs
138,2020-10-09,3637.0,Dogs
139,2020-10-10,4410.0,Dogs
140,2020-10-11,4410.0,Dogs
141,2020-10-12,3864.0,Dogs
142,2020-10-13,4199.0,Dogs
143,2020-10-14,4271.0,Dogs
144,2020-10-15,4271.0,Dogs
