,date,value,name_B01MQTLRCA
0,2020-05-28,14887.0,Dogs
1,2020-05-29,14887.0,Dogs
2,2020-05-30,14887.0,Dogs
3,2020-05-31,14887.0,Dogs
4,2020-06-01,8292.0,Dogs
5,2020-06-02,8292.0,Dogs
6,2020-06-03,8292.0,Dogs
7,2020-06-04,9660.0,Dogs
8,2020-06-05,9660.0,Dogs
9,2020-06-06,9660.0,Dogs
10,2020-06-07,9660.0,Dogs
11,2020-06-08,13074.0,Dogs
12,2020-06-09,13074.0,Dogs
13,2020-06-10,13074.0,Dogs
14,2020-06-11,8025.0,Dogs
15,2020-06-12,8025.0,Dogs
16,2020-06-13,8025.0,Dogs
17,2020-06-14,8025.0,Dogs
18,2020-06-15,8025.0,Dogs
19,2020-06-16,8025.0,Dogs
20,2020-06-17,18651.0,Dogs
21,2020-06-18,18651.0,Dogs
22,2020-06-19,18651.0,Dogs
23,2020-06-20,18651.0,Dogs
24,2020-06-21,18651.0,Dogs
25,2020-06-22,15116.0,Dogs
26,2020-06-23,15116.0,Dogs
27,2020-06-24,15116.0,Dogs
28,2020-06-25,15116.0,Dogs
29,2020-06-26,15116.0,Dogs
30,2020-06-27,10311.0,Dogs
31,2020-06-28,10311.0,Dogs
32,2020-06-29,10311.0,Dogs
33,2020-06-30,10311.0,Dogs
34,2020-07-01,10311.0,Dogs
35,2020-07-02,10311.0,Dogs
36,2020-07-03,10311.0,Dogs
37,2020-07-04,10311.0,Dogs
38,2020-07-05,10311.0,Dogs
39,2020-07-06,8620.0,Dogs
40,2020-07-07,8620.0,Dogs
41,2020-07-08,8620.0,Dogs
42,2020-07-09,8620.0,Dogs
43,2020-07-10,8379.0,Dogs
44,2020-07-11,8024.0,Dogs
45,2020-07-12,8024.0,Dogs
46,2020-07-13,8024.0,Dogs
47,2020-07-14,8024.0,Dogs
48,2020-07-15,8024.0,Dogs
49,2020-07-16,8024.0,Dogs
50,2020-07-17,8024.0,Dogs
51,2020-07-18,8024.0,Dogs
52,2020-07-19,8024.0,Dogs
53,2020-07-20,11003.0,Dogs
54,2020-07-21,11003.0,Dogs
55,2020-07-22,11003.0,Dogs
56,2020-07-23,11003.0,Dogs
57,2020-07-24,7937.0,Dogs
58,2020-07-25,8895.0,Dogs
59,2020-07-26,8895.0,Dogs
60,2020-07-27,8895.0,Dogs
61,2020-07-28,8851.0,Dogs
62,2020-07-29,9013.0,Dogs
63,2020-07-30,9013.0,Dogs
64,2020-07-31,9013.0,Dogs
65,2020-08-01,9013.0,Dogs
66,2020-08-02,8832.0,Dogs
67,2020-08-03,8832.0,Dogs
68,2020-08-04,8832.0,Dogs
69,2020-08-05,8832.0,Dogs
70,2020-08-06,8059.0,Dogs
71,2020-08-07,8059.0,Dogs
72,2020-08-08,7750.0,Dogs
73,2020-08-09,8808.0,Dogs
74,2020-08-10,8808.0,Dogs
75,2020-08-11,8808.0,Dogs
76,2020-08-12,8808.0,Dogs
77,2020-08-13,8808.0,Dogs
78,2020-08-14,10507.0,Dogs
79,2020-08-15,10507.0,Dogs
80,2020-08-16,12306.0,Dogs
81,2020-08-17,12306.0,Dogs
82,2020-08-18,12306.0,Dogs
83,2020-08-19,12306.0,Dogs
84,2020-08-20,12306.0,Dogs
