,date,value,name_B01N21IDG4
0,2020-05-26,1505.0,Internet Postage Labels
1,2020-05-27,1505.0,Internet Postage Labels
2,2020-05-28,1505.0,Internet Postage Labels
3,2020-05-29,1449.0,Internet Postage Labels
4,2020-05-30,1449.0,Internet Postage Labels
5,2020-05-31,1449.0,Internet Postage Labels
6,2020-06-01,1575.0,Internet Postage Labels
7,2020-06-02,1575.0,Internet Postage Labels
8,2020-06-03,1797.0,Internet Postage Labels
9,2020-06-04,1797.0,Internet Postage Labels
10,2020-06-05,1797.0,Internet Postage Labels
11,2020-06-06,1775.0,Internet Postage Labels
12,2020-06-07,1775.0,Internet Postage Labels
13,2020-06-08,1563.0,Internet Postage Labels
14,2020-06-09,1563.0,Internet Postage Labels
15,2020-06-10,1729.0,Internet Postage Labels
16,2020-06-11,1729.0,Internet Postage Labels
17,2020-06-12,1845.0,Internet Postage Labels
18,2020-06-13,1845.0,Internet Postage Labels
19,2020-06-14,1845.0,Internet Postage Labels
20,2020-06-15,1845.0,Internet Postage Labels
21,2020-06-16,1511.0,Internet Postage Labels
22,2020-06-17,1511.0,Internet Postage Labels
23,2020-06-18,1652.0,Internet Postage Labels
24,2020-06-19,1652.0,Internet Postage Labels
25,2020-06-20,1652.0,Internet Postage Labels
26,2020-06-21,1652.0,Internet Postage Labels
27,2020-06-22,1741.0,Internet Postage Labels
28,2020-06-23,1741.0,Internet Postage Labels
29,2020-06-24,1836.0,Internet Postage Labels
30,2020-06-25,1878.0,Internet Postage Labels
31,2020-06-26,1878.0,Internet Postage Labels
32,2020-06-27,1878.0,Internet Postage Labels
33,2020-06-28,1887.0,Internet Postage Labels
34,2020-06-29,1887.0,Internet Postage Labels
35,2020-06-30,1887.0,Internet Postage Labels
36,2020-07-01,1861.0,Internet Postage Labels
37,2020-07-02,1964.0,Internet Postage Labels
38,2020-07-03,2016.0,Internet Postage Labels
39,2020-07-04,2016.0,Internet Postage Labels
40,2020-07-05,2016.0,Internet Postage Labels
41,2020-07-06,1619.0,Internet Postage Labels
42,2020-07-07,1619.0,Internet Postage Labels
43,2020-07-08,2095.0,Internet Postage Labels
44,2020-07-09,2095.0,Internet Postage Labels
45,2020-07-10,2095.0,Internet Postage Labels
46,2020-07-11,2061.0,Internet Postage Labels
47,2020-07-12,2061.0,Internet Postage Labels
48,2020-07-13,2061.0,Internet Postage Labels
49,2020-07-14,2183.0,Internet Postage Labels
50,2020-07-15,2183.0,Internet Postage Labels
51,2020-07-16,1980.0,Internet Postage Labels
52,2020-07-17,1980.0,Internet Postage Labels
53,2020-07-18,1980.0,Internet Postage Labels
54,2020-07-19,1980.0,Internet Postage Labels
55,2020-07-20,2033.0,Internet Postage Labels
56,2020-07-21,2033.0,Internet Postage Labels
57,2020-07-22,2033.0,Internet Postage Labels
58,2020-07-23,2186.0,Internet Postage Labels
59,2020-07-24,2186.0,Internet Postage Labels
60,2020-07-25,2062.0,Internet Postage Labels
61,2020-07-26,2062.0,Internet Postage Labels
62,2020-07-27,2295.0,Internet Postage Labels
63,2020-07-28,2295.0,Internet Postage Labels
64,2020-07-29,2295.0,Internet Postage Labels
65,2020-07-30,2275.0,Internet Postage Labels
66,2020-07-31,2218.0,Internet Postage Labels
67,2020-08-01,2218.0,Internet Postage Labels
68,2020-08-02,2218.0,Internet Postage Labels
69,2020-08-03,2218.0,Internet Postage Labels
70,2020-08-04,2541.0,Internet Postage Labels
71,2020-08-05,2541.0,Internet Postage Labels
72,2020-08-06,2541.0,Internet Postage Labels
73,2020-08-07,2719.0,Internet Postage Labels
74,2020-08-08,2719.0,Internet Postage Labels
75,2020-08-09,2719.0,Internet Postage Labels
76,2020-08-10,2764.0,Internet Postage Labels
77,2020-08-11,2764.0,Internet Postage Labels
78,2020-08-12,2764.0,Internet Postage Labels
79,2020-08-13,3284.0,Internet Postage Labels
80,2020-08-14,3284.0,Internet Postage Labels
81,2020-08-15,3284.0,Internet Postage Labels
82,2020-08-16,3119.0,Internet Postage Labels
83,2020-08-17,3119.0,Internet Postage Labels
84,2020-08-18,3456.0,Internet Postage Labels
85,2020-08-19,3456.0,Internet Postage Labels
86,2020-08-20,3471.0,Internet Postage Labels
87,2020-08-21,3471.0,Internet Postage Labels
88,2020-08-22,3471.0,Internet Postage Labels
89,2020-08-23,3581.0,Internet Postage Labels
90,2020-08-24,3827.0,Internet Postage Labels
91,2020-08-25,3273.0,Internet Postage Labels
92,2020-08-26,4071.0,Internet Postage Labels
93,2020-08-27,4071.0,Internet Postage Labels
94,2020-08-28,4071.0,Internet Postage Labels
95,2020-08-29,3258.0,Internet Postage Labels
96,2020-08-30,3258.0,Internet Postage Labels
97,2020-08-31,3258.0,Internet Postage Labels
98,2020-09-01,3211.0,Internet Postage Labels
99,2020-09-02,3211.0,Internet Postage Labels
100,2020-09-03,3211.0,Internet Postage Labels
101,2020-09-04,3725.0,Internet Postage Labels
102,2020-09-05,3725.0,Internet Postage Labels
103,2020-09-06,3725.0,Internet Postage Labels
104,2020-09-07,2659.0,Internet Postage Labels
105,2020-09-08,2963.0,Internet Postage Labels
106,2020-09-09,2809.0,Internet Postage Labels
107,2020-09-10,2809.0,Internet Postage Labels
108,2020-09-11,2809.0,Internet Postage Labels
109,2020-09-12,3271.0,Internet Postage Labels
110,2020-09-13,3271.0,Internet Postage Labels
111,2020-09-14,2531.0,Internet Postage Labels
112,2020-09-15,2531.0,Internet Postage Labels
113,2020-09-16,14896.0,Internet Postage Labels
114,2020-09-17,14896.0,Internet Postage Labels
115,2020-09-18,14896.0,Internet Postage Labels
116,2020-09-19,3303.0,Internet Postage Labels
117,2020-09-20,3303.0,Internet Postage Labels
118,2020-09-21,3303.0,Internet Postage Labels
119,2020-09-22,2911.0,Internet Postage Labels
120,2020-09-23,2911.0,Internet Postage Labels
121,2020-09-24,3312.0,Internet Postage Labels
122,2020-09-25,3312.0,Internet Postage Labels
123,2020-09-26,3312.0,Internet Postage Labels
124,2020-09-27,2731.0,Internet Postage Labels
125,2020-09-28,2731.0,Internet Postage Labels
126,2020-09-29,2486.0,Internet Postage Labels
127,2020-09-30,2486.0,Internet Postage Labels
128,2020-10-01,2486.0,Internet Postage Labels
129,2020-10-02,2626.0,Internet Postage Labels
130,2020-10-03,2626.0,Internet Postage Labels
131,2020-10-04,2626.0,Internet Postage Labels
132,2020-10-05,2180.0,Internet Postage Labels
133,2020-10-06,2405.0,Internet Postage Labels
134,2020-10-07,2075.0,Internet Postage Labels
135,2020-10-08,2075.0,Internet Postage Labels
136,2020-10-09,2075.0,Internet Postage Labels
137,2020-10-10,2145.0,Internet Postage Labels
138,2020-10-11,2110.0,Internet Postage Labels
139,2020-10-12,2110.0,Internet Postage Labels
140,2020-10-13,2110.0,Internet Postage Labels
141,2020-10-14,2537.0,Internet Postage Labels
142,2020-10-15,2412.0,Internet Postage Labels
143,2020-10-16,3067.0,Internet Postage Labels
144,2020-10-17,3067.0,Internet Postage Labels
