,date,value,name_B06XT193GC
0,2018-07-12,2556.0,Planters
1,2018-07-13,2439.0,Planters
2,2018-07-14,2439.0,Planters
3,2018-07-15,2439.0,Planters
4,2018-07-16,3227.0,Planters
5,2018-07-17,4514.0,Planters
6,2018-07-18,-1.0,Planters
7,2018-07-19,-1.0,Planters
8,2018-07-20,-1.0,Planters
9,2018-07-21,-1.0,Planters
10,2018-07-22,-1.0,Planters
11,2018-07-23,-1.0,Planters
12,2018-07-24,-1.0,Planters
13,2018-07-25,-1.0,Planters
14,2018-07-26,-1.0,Planters
15,2018-07-27,-1.0,Planters
16,2018-07-28,-1.0,Planters
17,2018-07-29,-1.0,Planters
18,2018-07-30,-1.0,Planters
19,2018-07-31,-1.0,Planters
20,2018-08-01,-1.0,Planters
21,2018-08-02,-1.0,Planters
22,2018-08-03,-1.0,Planters
23,2018-08-04,-1.0,Planters
24,2018-08-05,-1.0,Planters
25,2018-08-06,-1.0,Planters
26,2018-08-07,-1.0,Planters
27,2018-08-08,-1.0,Planters
28,2018-08-09,-1.0,Planters
29,2018-08-10,-1.0,Planters
30,2018-08-11,-1.0,Planters
31,2018-08-12,-1.0,Planters
32,2018-08-13,-1.0,Planters
33,2018-08-14,-1.0,Planters
34,2018-08-15,-1.0,Planters
35,2018-08-16,-1.0,Planters
36,2018-08-17,-1.0,Planters
37,2018-08-18,-1.0,Planters
38,2018-08-19,-1.0,Planters
39,2018-08-20,-1.0,Planters
40,2018-08-21,-1.0,Planters
41,2018-08-22,-1.0,Planters
42,2018-08-23,-1.0,Planters
43,2018-08-24,-1.0,Planters
44,2018-08-25,-1.0,Planters
45,2018-08-26,-1.0,Planters
46,2018-08-27,-1.0,Planters
47,2018-08-28,-1.0,Planters
48,2018-08-29,-1.0,Planters
49,2018-08-30,-1.0,Planters
50,2018-08-31,-1.0,Planters
51,2018-09-01,-1.0,Planters
52,2018-09-02,-1.0,Planters
53,2018-09-03,-1.0,Planters
54,2018-09-04,-1.0,Planters
55,2018-09-05,-1.0,Planters
56,2018-09-06,-1.0,Planters
57,2018-09-07,-1.0,Planters
58,2018-09-08,-1.0,Planters
59,2018-09-09,-1.0,Planters
60,2018-09-10,-1.0,Planters
61,2018-09-11,-1.0,Planters
62,2018-09-12,-1.0,Planters
63,2018-09-13,-1.0,Planters
64,2018-09-14,-1.0,Planters
65,2018-09-15,-1.0,Planters
66,2018-09-16,-1.0,Planters
67,2018-09-17,-1.0,Planters
68,2018-09-18,-1.0,Planters
69,2018-09-19,-1.0,Planters
70,2018-09-20,-1.0,Planters
71,2018-09-21,-1.0,Planters
72,2018-09-22,-1.0,Planters
73,2018-09-23,-1.0,Planters
74,2018-09-24,-1.0,Planters
75,2018-09-25,-1.0,Planters
76,2018-09-26,-1.0,Planters
77,2018-09-27,-1.0,Planters
78,2018-09-28,-1.0,Planters
79,2018-09-29,-1.0,Planters
80,2018-09-30,-1.0,Planters
81,2018-10-01,-1.0,Planters
82,2018-10-02,-1.0,Planters
83,2018-10-03,-1.0,Planters
84,2018-10-04,-1.0,Planters
85,2018-10-05,-1.0,Planters
86,2018-10-06,-1.0,Planters
87,2018-10-07,-1.0,Planters
88,2018-10-08,-1.0,Planters
89,2018-10-09,-1.0,Planters
90,2018-10-10,-1.0,Planters
91,2018-10-11,-1.0,Planters
92,2018-10-12,-1.0,Planters
93,2018-10-13,-1.0,Planters
94,2018-10-14,-1.0,Planters
95,2018-10-15,-1.0,Planters
96,2018-10-16,-1.0,Planters
97,2018-10-17,-1.0,Planters
98,2018-10-18,-1.0,Planters
99,2018-10-19,-1.0,Planters
100,2018-10-20,-1.0,Planters
101,2018-10-21,-1.0,Planters
102,2018-10-22,-1.0,Planters
103,2018-10-23,-1.0,Planters
104,2018-10-24,-1.0,Planters
105,2018-10-25,-1.0,Planters
106,2018-10-26,-1.0,Planters
107,2018-10-27,-1.0,Planters
108,2018-10-28,-1.0,Planters
109,2018-10-29,8829.0,Planters
110,2018-10-30,8829.0,Planters
111,2018-10-31,8829.0,Planters
112,2018-11-01,4433.0,Planters
113,2018-11-02,4433.0,Planters
114,2018-11-03,3775.0,Planters
115,2018-11-04,3775.0,Planters
116,2018-11-05,3775.0,Planters
117,2018-11-06,5110.0,Planters
118,2018-11-07,3446.0,Planters
119,2018-11-08,3446.0,Planters
120,2018-11-09,3446.0,Planters
121,2018-11-10,4303.0,Planters
122,2018-11-11,4303.0,Planters
123,2018-11-12,4750.0,Planters
124,2018-11-13,4204.0,Planters
125,2018-11-14,4204.0,Planters
126,2018-11-15,5333.0,Planters
127,2018-11-16,5333.0,Planters
128,2018-11-17,3577.0,Planters
129,2018-11-18,3577.0,Planters
130,2018-11-19,3577.0,Planters
131,2018-11-20,3548.0,Planters
132,2018-11-21,3548.0,Planters
133,2018-11-22,3548.0,Planters
134,2018-11-23,2286.0,Planters
135,2018-11-24,2286.0,Planters
136,2018-11-25,1983.0,Planters
137,2018-11-26,1835.0,Planters
138,2018-11-27,1835.0,Planters
139,2018-11-28,1835.0,Planters
140,2018-11-29,2553.0,Planters
141,2018-11-30,2553.0,Planters
142,2018-12-01,2214.0,Planters
143,2018-12-02,2214.0,Planters
144,2018-12-03,2214.0,Planters
145,2018-12-04,2427.0,Planters
146,2018-12-05,2153.0,Planters
147,2018-12-06,2153.0,Planters
148,2018-12-07,2153.0,Planters
149,2018-12-08,1687.0,Planters
150,2018-12-09,1687.0,Planters
151,2018-12-10,1687.0,Planters
152,2018-12-11,1179.0,Planters
153,2018-12-12,1377.0,Planters
154,2018-12-13,1377.0,Planters
155,2018-12-14,1227.0,Planters
156,2018-12-15,1279.0,Planters
157,2018-12-16,1520.0,Planters
158,2018-12-17,1540.0,Planters
159,2018-12-18,1292.0,Planters
160,2018-12-19,1292.0,Planters
161,2018-12-20,1292.0,Planters
162,2018-12-21,1053.0,Planters
163,2018-12-22,1229.0,Planters
164,2018-12-23,1229.0,Planters
165,2018-12-24,2109.0,Planters
166,2018-12-25,2172.0,Planters
167,2018-12-26,2711.0,Planters
168,2018-12-27,2711.0,Planters
169,2018-12-28,3123.0,Planters
170,2018-12-29,3123.0,Planters
171,2018-12-30,3123.0,Planters
172,2018-12-31,2854.0,Planters
173,2019-01-01,3006.0,Planters
174,2019-01-02,3925.0,Planters
175,2019-01-03,3248.0,Planters
176,2019-01-04,3829.0,Planters
177,2019-01-05,4145.0,Planters
178,2019-01-06,2680.0,Planters
179,2019-01-07,2297.0,Planters
180,2019-01-08,3230.0,Planters
181,2019-01-09,2719.0,Planters
182,2019-01-10,2828.0,Planters
183,2019-01-11,3990.0,Planters
184,2019-01-12,4458.0,Planters
185,2019-01-13,3915.0,Planters
186,2019-01-14,3899.0,Planters
187,2019-01-15,3899.0,Planters
188,2019-01-16,-1.0,Planters
189,2019-01-17,-1.0,Planters
190,2019-01-18,-1.0,Planters
191,2019-01-19,-1.0,Planters
192,2019-01-20,-1.0,Planters
193,2019-01-21,-1.0,Planters
194,2019-01-22,-1.0,Planters
