,date,value,name_B06ZYSPVN3
0,2020-05-24,12910.0,Aloe Vera
1,2020-05-25,9663.0,Aloe Vera
2,2020-05-26,9060.0,Aloe Vera
3,2020-05-27,11196.0,Aloe Vera
4,2020-05-28,9442.0,Aloe Vera
5,2020-05-29,10294.0,Aloe Vera
6,2020-05-30,10217.0,Aloe Vera
7,2020-05-31,10217.0,Aloe Vera
8,2020-06-01,10508.0,Aloe Vera
9,2020-06-02,14488.0,Aloe Vera
10,2020-06-03,14739.0,Aloe Vera
11,2020-06-04,19926.0,Aloe Vera
12,2020-06-05,22826.0,Aloe Vera
13,2020-06-06,22826.0,Aloe Vera
14,2020-06-07,25999.0,Aloe Vera
15,2020-06-08,19607.0,Aloe Vera
16,2020-06-09,20311.0,Aloe Vera
17,2020-06-10,29899.0,Aloe Vera
18,2020-06-11,31459.0,Aloe Vera
19,2020-06-12,31459.0,Aloe Vera
20,2020-06-13,36140.0,Aloe Vera
21,2020-06-14,36140.0,Aloe Vera
22,2020-06-15,41849.0,Aloe Vera
23,2020-06-16,43155.0,Aloe Vera
24,2020-06-17,44240.0,Aloe Vera
25,2020-06-18,38528.0,Aloe Vera
26,2020-06-19,42675.0,Aloe Vera
27,2020-06-20,45793.0,Aloe Vera
28,2020-06-21,32642.0,Aloe Vera
29,2020-06-22,28947.0,Aloe Vera
30,2020-06-23,38449.0,Aloe Vera
31,2020-06-24,39735.0,Aloe Vera
32,2020-06-25,39239.0,Aloe Vera
33,2020-06-26,39034.0,Aloe Vera
34,2020-06-27,44459.0,Aloe Vera
35,2020-06-28,45813.0,Aloe Vera
36,2020-06-29,38735.0,Aloe Vera
37,2020-06-30,39708.0,Aloe Vera
38,2020-07-01,57967.0,Aloe Vera
39,2020-07-02,41737.0,Aloe Vera
40,2020-07-03,33249.0,Aloe Vera
41,2020-07-04,44615.0,Aloe Vera
42,2020-07-05,29764.0,Aloe Vera
43,2020-07-06,46159.0,Aloe Vera
44,2020-07-07,42240.0,Aloe Vera
45,2020-07-08,45671.0,Aloe Vera
46,2020-07-09,50889.0,Aloe Vera
47,2020-07-10,55871.0,Aloe Vera
48,2020-07-11,55871.0,Aloe Vera
49,2020-07-12,40424.0,Aloe Vera
50,2020-07-13,61032.0,Aloe Vera
51,2020-07-14,51194.0,Aloe Vera
52,2020-07-15,41416.0,Aloe Vera
53,2020-07-16,39923.0,Aloe Vera
54,2020-07-17,46945.0,Aloe Vera
55,2020-07-18,46773.0,Aloe Vera
56,2020-07-19,45066.0,Aloe Vera
57,2020-07-20,57055.0,Aloe Vera
58,2020-07-21,64786.0,Aloe Vera
59,2020-07-22,67471.0,Aloe Vera
60,2020-07-23,71824.0,Aloe Vera
61,2020-07-24,61308.0,Aloe Vera
