,date,value,name_B0714R5SXN
0,2020-06-02,13981.0,Copy & Multipurpose Paper
1,2020-06-03,13981.0,Copy & Multipurpose Paper
2,2020-06-04,13981.0,Copy & Multipurpose Paper
3,2020-06-05,13981.0,Copy & Multipurpose Paper
4,2020-06-06,13981.0,Copy & Multipurpose Paper
5,2020-06-07,17414.0,Copy & Multipurpose Paper
6,2020-06-08,30942.0,Copy & Multipurpose Paper
7,2020-06-09,30942.0,Copy & Multipurpose Paper
8,2020-06-10,30942.0,Copy & Multipurpose Paper
9,2020-06-11,19841.0,Copy & Multipurpose Paper
10,2020-06-12,19841.0,Copy & Multipurpose Paper
11,2020-06-13,19841.0,Copy & Multipurpose Paper
12,2020-06-14,19841.0,Copy & Multipurpose Paper
13,2020-06-15,16196.0,Copy & Multipurpose Paper
14,2020-06-16,16196.0,Copy & Multipurpose Paper
15,2020-06-17,16196.0,Copy & Multipurpose Paper
16,2020-06-18,19073.0,Copy & Multipurpose Paper
17,2020-06-19,19073.0,Copy & Multipurpose Paper
18,2020-06-20,19073.0,Copy & Multipurpose Paper
19,2020-06-21,23649.0,Copy & Multipurpose Paper
20,2020-06-22,23649.0,Copy & Multipurpose Paper
21,2020-06-23,22615.0,Copy & Multipurpose Paper
22,2020-06-24,22615.0,Copy & Multipurpose Paper
23,2020-06-25,22615.0,Copy & Multipurpose Paper
24,2020-06-26,17034.0,Copy & Multipurpose Paper
25,2020-06-27,17034.0,Copy & Multipurpose Paper
26,2020-06-28,17034.0,Copy & Multipurpose Paper
27,2020-06-29,20040.0,Copy & Multipurpose Paper
28,2020-06-30,17812.0,Copy & Multipurpose Paper
29,2020-07-01,17812.0,Copy & Multipurpose Paper
30,2020-07-02,17812.0,Copy & Multipurpose Paper
31,2020-07-03,17812.0,Copy & Multipurpose Paper
32,2020-07-04,17812.0,Copy & Multipurpose Paper
33,2020-07-05,22359.0,Copy & Multipurpose Paper
34,2020-07-06,22359.0,Copy & Multipurpose Paper
35,2020-07-07,22359.0,Copy & Multipurpose Paper
36,2020-07-08,18546.0,Copy & Multipurpose Paper
37,2020-07-09,18546.0,Copy & Multipurpose Paper
38,2020-07-10,20534.0,Copy & Multipurpose Paper
39,2020-07-11,20534.0,Copy & Multipurpose Paper
40,2020-07-12,20356.0,Copy & Multipurpose Paper
41,2020-07-13,20356.0,Copy & Multipurpose Paper
42,2020-07-14,20356.0,Copy & Multipurpose Paper
43,2020-07-15,20356.0,Copy & Multipurpose Paper
44,2020-07-16,20356.0,Copy & Multipurpose Paper
45,2020-07-17,20356.0,Copy & Multipurpose Paper
46,2020-07-18,23256.0,Copy & Multipurpose Paper
47,2020-07-19,20926.0,Copy & Multipurpose Paper
48,2020-07-20,20926.0,Copy & Multipurpose Paper
49,2020-07-21,20926.0,Copy & Multipurpose Paper
50,2020-07-22,13860.0,Copy & Multipurpose Paper
51,2020-07-23,13860.0,Copy & Multipurpose Paper
52,2020-07-24,19022.0,Copy & Multipurpose Paper
53,2020-07-25,19022.0,Copy & Multipurpose Paper
54,2020-07-26,19022.0,Copy & Multipurpose Paper
55,2020-07-27,19022.0,Copy & Multipurpose Paper
56,2020-07-28,19022.0,Copy & Multipurpose Paper
57,2020-07-29,23499.0,Copy & Multipurpose Paper
58,2020-07-30,23499.0,Copy & Multipurpose Paper
59,2020-07-31,23499.0,Copy & Multipurpose Paper
60,2020-08-01,23499.0,Copy & Multipurpose Paper
61,2020-08-02,23499.0,Copy & Multipurpose Paper
62,2020-08-03,33249.0,Copy & Multipurpose Paper
63,2020-08-04,21036.0,Copy & Multipurpose Paper
