,date,value,name_B072L3GPLQ
0,2018-05-31,144770.0,Test Strips
1,2018-06-01,144770.0,Test Strips
2,2018-06-02,144770.0,Test Strips
3,2018-06-03,76726.0,Test Strips
4,2018-06-04,123975.0,Test Strips
5,2018-06-05,96561.0,Test Strips
6,2018-06-06,352443.0,Test Strips
7,2018-06-07,379988.0,Test Strips
8,2018-06-08,397453.0,Test Strips
9,2018-06-09,416181.0,Test Strips
10,2018-06-10,416181.0,Test Strips
11,2018-06-11,456397.0,Test Strips
12,2018-06-12,471140.0,Test Strips
13,2018-06-13,471140.0,Test Strips
14,2018-06-14,504092.0,Test Strips
15,2018-06-15,514621.0,Test Strips
16,2018-06-16,531123.0,Test Strips
17,2018-06-17,116526.0,Test Strips
18,2018-06-18,160407.0,Test Strips
19,2018-06-19,160407.0,Test Strips
20,2018-06-20,228166.0,Test Strips
21,2018-06-21,267834.0,Test Strips
22,2018-06-22,280993.0,Test Strips
23,2018-06-23,280993.0,Test Strips
24,2018-06-24,85237.0,Test Strips
25,2018-06-25,134039.0,Test Strips
26,2018-06-26,134039.0,Test Strips
27,2018-06-27,213338.0,Test Strips
28,2018-06-28,227022.0,Test Strips
29,2018-06-29,227022.0,Test Strips
30,2018-06-30,267416.0,Test Strips
31,2018-07-01,282950.0,Test Strips
32,2018-07-02,296638.0,Test Strips
33,2018-07-03,303295.0,Test Strips
34,2018-07-04,303295.0,Test Strips
35,2018-07-05,329140.0,Test Strips
36,2018-07-06,334193.0,Test Strips
37,2018-07-07,334193.0,Test Strips
38,2018-07-08,334193.0,Test Strips
39,2018-07-09,334193.0,Test Strips
40,2018-07-10,334193.0,Test Strips
41,2018-07-11,1933.0,Test Strips
42,2018-07-12,1975.0,Test Strips
43,2018-07-13,1902.0,Test Strips
44,2018-07-14,1661.0,Test Strips
45,2018-07-15,1673.0,Test Strips
46,2018-07-16,1888.0,Test Strips
47,2018-07-17,2482.0,Test Strips
48,2018-07-18,2151.0,Test Strips
49,2018-07-19,2532.0,Test Strips
50,2018-07-20,1894.0,Test Strips
51,2018-07-21,1473.0,Test Strips
52,2018-07-22,2386.0,Test Strips
53,2018-07-23,1801.0,Test Strips
54,2018-07-24,1971.0,Test Strips
55,2018-07-25,2361.0,Test Strips
56,2018-07-26,2558.0,Test Strips
57,2018-07-27,2595.0,Test Strips
58,2018-07-28,2595.0,Test Strips
59,2018-07-29,1804.0,Test Strips
60,2018-07-30,2274.0,Test Strips
61,2018-07-31,2286.0,Test Strips
62,2018-08-01,3319.0,Test Strips
63,2018-08-02,3319.0,Test Strips
64,2018-08-03,2745.0,Test Strips
65,2018-08-04,2029.0,Test Strips
66,2018-08-05,2425.0,Test Strips
67,2018-08-06,2425.0,Test Strips
68,2018-08-07,2831.0,Test Strips
69,2018-08-08,2831.0,Test Strips
70,2018-08-09,2926.0,Test Strips
71,2018-08-10,2926.0,Test Strips
72,2018-08-11,2748.0,Test Strips
73,2018-08-12,2748.0,Test Strips
74,2018-08-13,1647.0,Test Strips
75,2018-08-14,1723.0,Test Strips
76,2018-08-15,1723.0,Test Strips
77,2018-08-16,3004.0,Test Strips
78,2018-08-17,3004.0,Test Strips
79,2018-08-18,3004.0,Test Strips
80,2018-08-19,2835.0,Test Strips
81,2018-08-20,1936.0,Test Strips
82,2018-08-21,1936.0,Test Strips
83,2018-08-22,2255.0,Test Strips
84,2018-08-23,2255.0,Test Strips
85,2018-08-24,2446.0,Test Strips
86,2018-08-25,3563.0,Test Strips
87,2018-08-26,3563.0,Test Strips
88,2018-08-27,2426.0,Test Strips
89,2018-08-28,2578.0,Test Strips
90,2018-08-29,2681.0,Test Strips
91,2018-08-30,2805.0,Test Strips
92,2018-08-31,2940.0,Test Strips
93,2018-09-01,2968.0,Test Strips
94,2018-09-02,2968.0,Test Strips
95,2018-09-03,3100.0,Test Strips
96,2018-09-04,2770.0,Test Strips
97,2018-09-05,2768.0,Test Strips
98,2018-09-06,3153.0,Test Strips
99,2018-09-07,3322.0,Test Strips
100,2018-09-08,3485.0,Test Strips
101,2018-09-09,3429.0,Test Strips
102,2018-09-10,4047.0,Test Strips
103,2018-09-11,5275.0,Test Strips
104,2018-09-12,3258.0,Test Strips
105,2018-09-13,3283.0,Test Strips
106,2018-09-14,2878.0,Test Strips
107,2018-09-15,4604.0,Test Strips
108,2018-09-16,4604.0,Test Strips
109,2018-09-17,3615.0,Test Strips
110,2018-09-18,4227.0,Test Strips
111,2018-09-19,3336.0,Test Strips
112,2018-09-20,3726.0,Test Strips
113,2018-09-21,4509.0,Test Strips
114,2018-09-22,5680.0,Test Strips
115,2018-09-23,3466.0,Test Strips
116,2018-09-24,4389.0,Test Strips
117,2018-09-25,4389.0,Test Strips
118,2018-09-26,4460.0,Test Strips
119,2018-09-27,6398.0,Test Strips
120,2018-09-28,3210.0,Test Strips
121,2018-09-29,4911.0,Test Strips
122,2018-09-30,4911.0,Test Strips
123,2018-10-01,4873.0,Test Strips
124,2018-10-02,3920.0,Test Strips
125,2018-10-03,3305.0,Test Strips
126,2018-10-04,3305.0,Test Strips
127,2018-10-05,3750.0,Test Strips
128,2018-10-06,3652.0,Test Strips
129,2018-10-07,4298.0,Test Strips
130,2018-10-08,4298.0,Test Strips
131,2018-10-09,3072.0,Test Strips
132,2018-10-10,5969.0,Test Strips
133,2018-10-11,4707.0,Test Strips
134,2018-10-12,3357.0,Test Strips
135,2018-10-13,4685.0,Test Strips
136,2018-10-14,7836.0,Test Strips
137,2018-10-15,7836.0,Test Strips
138,2018-10-16,5042.0,Test Strips
139,2018-10-17,5042.0,Test Strips
140,2018-10-18,3986.0,Test Strips
141,2018-10-19,4197.0,Test Strips
142,2018-10-20,3917.0,Test Strips
143,2018-10-21,5687.0,Test Strips
144,2018-10-22,3828.0,Test Strips
145,2018-10-23,3634.0,Test Strips
146,2018-10-24,3520.0,Test Strips
147,2018-10-25,3292.0,Test Strips
148,2018-10-26,3292.0,Test Strips
149,2018-10-27,4659.0,Test Strips
150,2018-10-28,3478.0,Test Strips
151,2018-10-29,3478.0,Test Strips
152,2018-10-30,3660.0,Test Strips
153,2018-10-31,5166.0,Test Strips
154,2018-11-01,3254.0,Test Strips
155,2018-11-02,3371.0,Test Strips
156,2018-11-03,4331.0,Test Strips
157,2018-11-04,3554.0,Test Strips
158,2018-11-05,3554.0,Test Strips
159,2018-11-06,3124.0,Test Strips
160,2018-11-07,3124.0,Test Strips
161,2018-11-08,3124.0,Test Strips
162,2018-11-09,5010.0,Test Strips
163,2018-11-10,5010.0,Test Strips
164,2018-11-11,5010.0,Test Strips
165,2018-11-12,4977.0,Test Strips
166,2018-11-13,4977.0,Test Strips
167,2018-11-14,6785.0,Test Strips
168,2018-11-15,3446.0,Test Strips
169,2018-11-16,4499.0,Test Strips
170,2018-11-17,5030.0,Test Strips
171,2018-11-18,5036.0,Test Strips
172,2018-11-19,3025.0,Test Strips
173,2018-11-20,3208.0,Test Strips
174,2018-11-21,3208.0,Test Strips
175,2018-11-22,3208.0,Test Strips
176,2018-11-23,5208.0,Test Strips
177,2018-11-24,4651.0,Test Strips
178,2018-11-25,6928.0,Test Strips
179,2018-11-26,6928.0,Test Strips
180,2018-11-27,5699.0,Test Strips
181,2018-11-28,5699.0,Test Strips
182,2018-11-29,4904.0,Test Strips
183,2018-11-30,4869.0,Test Strips
184,2018-12-01,4777.0,Test Strips
185,2018-12-02,5009.0,Test Strips
186,2018-12-03,5009.0,Test Strips
187,2018-12-04,7779.0,Test Strips
188,2018-12-05,4908.0,Test Strips
189,2018-12-06,4908.0,Test Strips
190,2018-12-07,4908.0,Test Strips
191,2018-12-08,4908.0,Test Strips
192,2018-12-09,6351.0,Test Strips
193,2018-12-10,5026.0,Test Strips
