,date,value,name_B073V38LNW
0,2020-05-27,26937.0,Medicinal Sleep Aids
1,2020-05-28,26937.0,Medicinal Sleep Aids
2,2020-05-29,26937.0,Medicinal Sleep Aids
3,2020-05-30,32516.0,Medicinal Sleep Aids
4,2020-05-31,32516.0,Medicinal Sleep Aids
5,2020-06-01,32516.0,Medicinal Sleep Aids
6,2020-06-02,19468.0,Medicinal Sleep Aids
7,2020-06-03,19477.0,Medicinal Sleep Aids
8,2020-06-04,20775.0,Medicinal Sleep Aids
9,2020-06-05,20775.0,Medicinal Sleep Aids
10,2020-06-06,20775.0,Medicinal Sleep Aids
11,2020-06-07,20775.0,Medicinal Sleep Aids
12,2020-06-08,20775.0,Medicinal Sleep Aids
13,2020-06-09,25329.0,Medicinal Sleep Aids
14,2020-06-10,25329.0,Medicinal Sleep Aids
15,2020-06-11,22878.0,Medicinal Sleep Aids
16,2020-06-12,22878.0,Medicinal Sleep Aids
17,2020-06-13,22878.0,Medicinal Sleep Aids
18,2020-06-14,22878.0,Medicinal Sleep Aids
19,2020-06-15,26072.0,Medicinal Sleep Aids
20,2020-06-16,26072.0,Medicinal Sleep Aids
21,2020-06-17,30506.0,Medicinal Sleep Aids
22,2020-06-18,24918.0,Medicinal Sleep Aids
23,2020-06-19,24918.0,Medicinal Sleep Aids
24,2020-06-20,24918.0,Medicinal Sleep Aids
25,2020-06-21,23147.0,Medicinal Sleep Aids
26,2020-06-22,23147.0,Medicinal Sleep Aids
27,2020-06-23,26422.0,Medicinal Sleep Aids
28,2020-06-24,26422.0,Medicinal Sleep Aids
29,2020-06-25,26422.0,Medicinal Sleep Aids
30,2020-06-26,24651.0,Medicinal Sleep Aids
31,2020-06-27,24651.0,Medicinal Sleep Aids
32,2020-06-28,24651.0,Medicinal Sleep Aids
33,2020-06-29,24651.0,Medicinal Sleep Aids
34,2020-06-30,24651.0,Medicinal Sleep Aids
35,2020-07-01,21927.0,Medicinal Sleep Aids
36,2020-07-02,21927.0,Medicinal Sleep Aids
37,2020-07-03,17316.0,Medicinal Sleep Aids
38,2020-07-04,17316.0,Medicinal Sleep Aids
39,2020-07-05,17316.0,Medicinal Sleep Aids
40,2020-07-06,17316.0,Medicinal Sleep Aids
41,2020-07-07,17000.0,Medicinal Sleep Aids
42,2020-07-08,17000.0,Medicinal Sleep Aids
43,2020-07-09,17000.0,Medicinal Sleep Aids
44,2020-07-10,26853.0,Medicinal Sleep Aids
45,2020-07-11,26853.0,Medicinal Sleep Aids
46,2020-07-12,26853.0,Medicinal Sleep Aids
47,2020-07-13,21413.0,Medicinal Sleep Aids
48,2020-07-14,25464.0,Medicinal Sleep Aids
49,2020-07-15,19688.0,Medicinal Sleep Aids
50,2020-07-16,23777.0,Medicinal Sleep Aids
51,2020-07-17,23777.0,Medicinal Sleep Aids
52,2020-07-18,23777.0,Medicinal Sleep Aids
53,2020-07-19,24485.0,Medicinal Sleep Aids
54,2020-07-20,26241.0,Medicinal Sleep Aids
55,2020-07-21,26241.0,Medicinal Sleep Aids
56,2020-07-22,21774.0,Medicinal Sleep Aids
57,2020-07-23,21774.0,Medicinal Sleep Aids
58,2020-07-24,21774.0,Medicinal Sleep Aids
59,2020-07-25,23522.0,Medicinal Sleep Aids
60,2020-07-26,23522.0,Medicinal Sleep Aids
61,2020-07-27,19909.0,Medicinal Sleep Aids
62,2020-07-28,19909.0,Medicinal Sleep Aids
63,2020-07-29,21653.0,Medicinal Sleep Aids
64,2020-07-30,21653.0,Medicinal Sleep Aids
65,2020-07-31,21653.0,Medicinal Sleep Aids
66,2020-08-01,21653.0,Medicinal Sleep Aids
67,2020-08-02,21653.0,Medicinal Sleep Aids
68,2020-08-03,22314.0,Medicinal Sleep Aids
69,2020-08-04,22314.0,Medicinal Sleep Aids
70,2020-08-05,22314.0,Medicinal Sleep Aids
71,2020-08-06,21863.0,Medicinal Sleep Aids
72,2020-08-07,21863.0,Medicinal Sleep Aids
73,2020-08-08,20011.0,Medicinal Sleep Aids
74,2020-08-09,20011.0,Medicinal Sleep Aids
75,2020-08-10,20011.0,Medicinal Sleep Aids
76,2020-08-11,20436.0,Medicinal Sleep Aids
77,2020-08-12,20436.0,Medicinal Sleep Aids
78,2020-08-13,20436.0,Medicinal Sleep Aids
79,2020-08-14,24062.0,Medicinal Sleep Aids
80,2020-08-15,24062.0,Medicinal Sleep Aids
81,2020-08-16,24062.0,Medicinal Sleep Aids
82,2020-08-17,23393.0,Medicinal Sleep Aids
83,2020-08-18,23393.0,Medicinal Sleep Aids
84,2020-08-19,17295.0,Medicinal Sleep Aids
85,2020-08-20,17295.0,Medicinal Sleep Aids
86,2020-08-21,19089.0,Medicinal Sleep Aids
87,2020-08-22,23310.0,Medicinal Sleep Aids
88,2020-08-23,23310.0,Medicinal Sleep Aids
89,2020-08-24,20975.0,Medicinal Sleep Aids
90,2020-08-25,22651.0,Medicinal Sleep Aids
91,2020-08-26,24731.0,Medicinal Sleep Aids
92,2020-08-27,20199.0,Medicinal Sleep Aids
93,2020-08-28,20199.0,Medicinal Sleep Aids
94,2020-08-29,19836.0,Medicinal Sleep Aids
95,2020-08-30,19836.0,Medicinal Sleep Aids
96,2020-08-31,19836.0,Medicinal Sleep Aids
97,2020-09-01,17609.0,Medicinal Sleep Aids
98,2020-09-02,17609.0,Medicinal Sleep Aids
99,2020-09-03,15869.0,Medicinal Sleep Aids
100,2020-09-04,15869.0,Medicinal Sleep Aids
101,2020-09-05,15869.0,Medicinal Sleep Aids
102,2020-09-06,18158.0,Medicinal Sleep Aids
103,2020-09-07,18158.0,Medicinal Sleep Aids
104,2020-09-08,18684.0,Medicinal Sleep Aids
105,2020-09-09,18684.0,Medicinal Sleep Aids
106,2020-09-10,18684.0,Medicinal Sleep Aids
107,2020-09-11,12981.0,Medicinal Sleep Aids
108,2020-09-12,12981.0,Medicinal Sleep Aids
109,2020-09-13,12981.0,Medicinal Sleep Aids
110,2020-09-14,17201.0,Medicinal Sleep Aids
111,2020-09-15,17201.0,Medicinal Sleep Aids
112,2020-09-16,12973.0,Medicinal Sleep Aids
113,2020-09-17,12973.0,Medicinal Sleep Aids
114,2020-09-18,12973.0,Medicinal Sleep Aids
115,2020-09-19,12973.0,Medicinal Sleep Aids
116,2020-09-20,22016.0,Medicinal Sleep Aids
117,2020-09-21,22016.0,Medicinal Sleep Aids
118,2020-09-22,24165.0,Medicinal Sleep Aids
119,2020-09-23,24165.0,Medicinal Sleep Aids
120,2020-09-24,24165.0,Medicinal Sleep Aids
121,2020-09-25,18182.0,Medicinal Sleep Aids
122,2020-09-26,18182.0,Medicinal Sleep Aids
123,2020-09-27,18182.0,Medicinal Sleep Aids
124,2020-09-28,15663.0,Medicinal Sleep Aids
125,2020-09-29,15663.0,Medicinal Sleep Aids
126,2020-09-30,15663.0,Medicinal Sleep Aids
127,2020-10-01,18310.0,Medicinal Sleep Aids
128,2020-10-02,17232.0,Medicinal Sleep Aids
129,2020-10-03,17232.0,Medicinal Sleep Aids
130,2020-10-04,17232.0,Medicinal Sleep Aids
131,2020-10-05,23064.0,Medicinal Sleep Aids
132,2020-10-06,17522.0,Medicinal Sleep Aids
133,2020-10-07,17522.0,Medicinal Sleep Aids
134,2020-10-08,17522.0,Medicinal Sleep Aids
135,2020-10-09,22512.0,Medicinal Sleep Aids
136,2020-10-10,20897.0,Medicinal Sleep Aids
137,2020-10-11,20897.0,Medicinal Sleep Aids
138,2020-10-12,20897.0,Medicinal Sleep Aids
139,2020-10-13,19608.0,Medicinal Sleep Aids
140,2020-10-14,17073.0,Medicinal Sleep Aids
141,2020-10-15,17073.0,Medicinal Sleep Aids
142,2020-10-16,17073.0,Medicinal Sleep Aids
143,2020-10-17,19067.0,Medicinal Sleep Aids
144,2020-10-18,19067.0,Medicinal Sleep Aids
145,2020-10-19,19067.0,Medicinal Sleep Aids
146,2020-10-20,18930.0,Medicinal Sleep Aids
147,2020-10-21,17718.0,Medicinal Sleep Aids
