,date,value,name_B073XXBW77
0,2020-06-05,20609.0,Business Envelopes
1,2020-06-06,20609.0,Business Envelopes
2,2020-06-07,20609.0,Business Envelopes
3,2020-06-08,20609.0,Business Envelopes
4,2020-06-09,20609.0,Business Envelopes
5,2020-06-10,20609.0,Business Envelopes
6,2020-06-11,16202.0,Business Envelopes
7,2020-06-12,16202.0,Business Envelopes
8,2020-06-13,16202.0,Business Envelopes
9,2020-06-14,16202.0,Business Envelopes
10,2020-06-15,37399.0,Business Envelopes
11,2020-06-16,37399.0,Business Envelopes
12,2020-06-17,37399.0,Business Envelopes
13,2020-06-18,37399.0,Business Envelopes
14,2020-06-19,37399.0,Business Envelopes
15,2020-06-20,18584.0,Business Envelopes
16,2020-06-21,18584.0,Business Envelopes
17,2020-06-22,18584.0,Business Envelopes
18,2020-06-23,18584.0,Business Envelopes
19,2020-06-24,18584.0,Business Envelopes
20,2020-06-25,18584.0,Business Envelopes
21,2020-06-26,16565.0,Business Envelopes
22,2020-06-27,16565.0,Business Envelopes
23,2020-06-28,16565.0,Business Envelopes
24,2020-06-29,25408.0,Business Envelopes
25,2020-06-30,24864.0,Business Envelopes
26,2020-07-01,24864.0,Business Envelopes
27,2020-07-02,24864.0,Business Envelopes
28,2020-07-03,58281.0,Business Envelopes
29,2020-07-04,58281.0,Business Envelopes
30,2020-07-05,58281.0,Business Envelopes
31,2020-07-06,65697.0,Business Envelopes
32,2020-07-07,65697.0,Business Envelopes
33,2020-07-08,65697.0,Business Envelopes
34,2020-07-09,65697.0,Business Envelopes
35,2020-07-10,65697.0,Business Envelopes
36,2020-07-11,65697.0,Business Envelopes
37,2020-07-12,65697.0,Business Envelopes
38,2020-07-13,65697.0,Business Envelopes
39,2020-07-14,65697.0,Business Envelopes
40,2020-07-15,65697.0,Business Envelopes
41,2020-07-16,31743.0,Business Envelopes
42,2020-07-17,31743.0,Business Envelopes
43,2020-07-18,31743.0,Business Envelopes
44,2020-07-19,31743.0,Business Envelopes
45,2020-07-20,31743.0,Business Envelopes
46,2020-07-21,31743.0,Business Envelopes
47,2020-07-22,31743.0,Business Envelopes
48,2020-07-23,31743.0,Business Envelopes
49,2020-07-24,95035.0,Business Envelopes
50,2020-07-25,95035.0,Business Envelopes
51,2020-07-26,95035.0,Business Envelopes
52,2020-07-27,95035.0,Business Envelopes
53,2020-07-28,95035.0,Business Envelopes
54,2020-07-29,95035.0,Business Envelopes
55,2020-07-30,95035.0,Business Envelopes
56,2020-07-31,95035.0,Business Envelopes
57,2020-08-01,95035.0,Business Envelopes
58,2020-08-02,95035.0,Business Envelopes
59,2020-08-03,101938.0,Business Envelopes
60,2020-08-04,101938.0,Business Envelopes
61,2020-08-05,101938.0,Business Envelopes
62,2020-08-06,101938.0,Business Envelopes
63,2020-08-07,101938.0,Business Envelopes
64,2020-08-08,101938.0,Business Envelopes
65,2020-08-09,101938.0,Business Envelopes
66,2020-08-10,107135.0,Business Envelopes
67,2020-08-11,107135.0,Business Envelopes
68,2020-08-12,107135.0,Business Envelopes
69,2020-08-13,107135.0,Business Envelopes
70,2020-08-14,107135.0,Business Envelopes
71,2020-08-15,34530.0,Business Envelopes
72,2020-08-16,58052.0,Business Envelopes
73,2020-08-17,58052.0,Business Envelopes
74,2020-08-18,58052.0,Business Envelopes
75,2020-08-19,58052.0,Business Envelopes
76,2020-08-20,58052.0,Business Envelopes
77,2020-08-21,58052.0,Business Envelopes
78,2020-08-22,58052.0,Business Envelopes
79,2020-08-23,47287.0,Business Envelopes
80,2020-08-24,47287.0,Business Envelopes
81,2020-08-25,47287.0,Business Envelopes
82,2020-08-26,47287.0,Business Envelopes
83,2020-08-27,47287.0,Business Envelopes
84,2020-08-28,26242.0,Business Envelopes
85,2020-08-29,26242.0,Business Envelopes
86,2020-08-30,26242.0,Business Envelopes
87,2020-08-31,26242.0,Business Envelopes
88,2020-09-01,26242.0,Business Envelopes
89,2020-09-02,26242.0,Business Envelopes
90,2020-09-03,26242.0,Business Envelopes
91,2020-09-04,26242.0,Business Envelopes
92,2020-09-05,26242.0,Business Envelopes
93,2020-09-06,26242.0,Business Envelopes
94,2020-09-07,26242.0,Business Envelopes
95,2020-09-08,26242.0,Business Envelopes
96,2020-09-09,26242.0,Business Envelopes
97,2020-09-10,26242.0,Business Envelopes
98,2020-09-11,26242.0,Business Envelopes
99,2020-09-12,26242.0,Business Envelopes
100,2020-09-13,31946.0,Business Envelopes
101,2020-09-14,31946.0,Business Envelopes
102,2020-09-15,31946.0,Business Envelopes
103,2020-09-16,31946.0,Business Envelopes
104,2020-09-17,31946.0,Business Envelopes
105,2020-09-18,31946.0,Business Envelopes
106,2020-09-19,31946.0,Business Envelopes
107,2020-09-20,31946.0,Business Envelopes
108,2020-09-21,31946.0,Business Envelopes
109,2020-09-22,31946.0,Business Envelopes
110,2020-09-23,31946.0,Business Envelopes
111,2020-09-24,31946.0,Business Envelopes
112,2020-09-25,34422.0,Business Envelopes
113,2020-09-26,34422.0,Business Envelopes
114,2020-09-27,34422.0,Business Envelopes
115,2020-09-28,56437.0,Business Envelopes
116,2020-09-29,56437.0,Business Envelopes
117,2020-09-30,25961.0,Business Envelopes
118,2020-10-01,25961.0,Business Envelopes
119,2020-10-02,25961.0,Business Envelopes
120,2020-10-03,25961.0,Business Envelopes
121,2020-10-04,25961.0,Business Envelopes
122,2020-10-05,25961.0,Business Envelopes
123,2020-10-06,25961.0,Business Envelopes
124,2020-10-07,25218.0,Business Envelopes
125,2020-10-08,25218.0,Business Envelopes
126,2020-10-09,25218.0,Business Envelopes
127,2020-10-10,25218.0,Business Envelopes
128,2020-10-11,25218.0,Business Envelopes
129,2020-10-12,25218.0,Business Envelopes
130,2020-10-13,25218.0,Business Envelopes
131,2020-10-14,20489.0,Business Envelopes
132,2020-10-15,20489.0,Business Envelopes
133,2020-10-16,20489.0,Business Envelopes
134,2020-10-17,20489.0,Business Envelopes
135,2020-10-18,20489.0,Business Envelopes
136,2020-10-19,20489.0,Business Envelopes
137,2020-10-20,20489.0,Business Envelopes
138,2020-10-21,20489.0,Business Envelopes
139,2020-10-22,20489.0,Business Envelopes
140,2020-10-23,20489.0,Business Envelopes
141,2020-10-24,20489.0,Business Envelopes
142,2020-10-25,20489.0,Business Envelopes
143,2020-10-26,20489.0,Business Envelopes
144,2020-10-27,20489.0,Business Envelopes
145,2020-10-28,20489.0,Business Envelopes
146,2020-10-29,20489.0,Business Envelopes
147,2020-10-30,20489.0,Business Envelopes
148,2020-10-31,20489.0,Business Envelopes
149,2020-11-01,34717.0,Business Envelopes
