,date,value,name_B075MRFGL9
0,2020-03-26,4383.0,Letter Trays & Stacking Supports
1,2020-03-27,4809.0,Letter Trays & Stacking Supports
2,2020-03-28,5384.0,Letter Trays & Stacking Supports
3,2020-03-29,5895.0,Letter Trays & Stacking Supports
4,2020-03-30,5895.0,Letter Trays & Stacking Supports
5,2020-03-31,4772.0,Letter Trays & Stacking Supports
6,2020-04-01,4772.0,Letter Trays & Stacking Supports
7,2020-04-02,4772.0,Letter Trays & Stacking Supports
8,2020-04-03,4772.0,Letter Trays & Stacking Supports
9,2020-04-04,5447.0,Letter Trays & Stacking Supports
10,2020-04-05,7046.0,Letter Trays & Stacking Supports
11,2020-04-06,7046.0,Letter Trays & Stacking Supports
12,2020-04-07,7046.0,Letter Trays & Stacking Supports
13,2020-04-08,7046.0,Letter Trays & Stacking Supports
14,2020-04-09,5975.0,Letter Trays & Stacking Supports
15,2020-04-10,5975.0,Letter Trays & Stacking Supports
16,2020-04-11,7741.0,Letter Trays & Stacking Supports
17,2020-04-12,7741.0,Letter Trays & Stacking Supports
18,2020-04-13,7741.0,Letter Trays & Stacking Supports
19,2020-04-14,7741.0,Letter Trays & Stacking Supports
20,2020-04-15,5624.0,Letter Trays & Stacking Supports
21,2020-04-16,5624.0,Letter Trays & Stacking Supports
22,2020-04-17,5878.0,Letter Trays & Stacking Supports
23,2020-04-18,6079.0,Letter Trays & Stacking Supports
24,2020-04-19,6079.0,Letter Trays & Stacking Supports
25,2020-04-20,6079.0,Letter Trays & Stacking Supports
26,2020-04-21,6079.0,Letter Trays & Stacking Supports
27,2020-04-22,5684.0,Letter Trays & Stacking Supports
28,2020-04-23,7238.0,Letter Trays & Stacking Supports
29,2020-04-24,7349.0,Letter Trays & Stacking Supports
30,2020-04-25,7349.0,Letter Trays & Stacking Supports
31,2020-04-26,7349.0,Letter Trays & Stacking Supports
32,2020-04-27,8351.0,Letter Trays & Stacking Supports
33,2020-04-28,8351.0,Letter Trays & Stacking Supports
34,2020-04-29,8351.0,Letter Trays & Stacking Supports
35,2020-04-30,6013.0,Letter Trays & Stacking Supports
36,2020-05-01,7596.0,Letter Trays & Stacking Supports
37,2020-05-02,6785.0,Letter Trays & Stacking Supports
38,2020-05-03,6785.0,Letter Trays & Stacking Supports
39,2020-05-04,6785.0,Letter Trays & Stacking Supports
