,date,value,name_B0763S4JR3
0,2020-05-24,26927.0,L-Arginine
1,2020-05-25,26927.0,L-Arginine
2,2020-05-26,26927.0,L-Arginine
3,2020-05-27,16828.0,L-Arginine
4,2020-05-28,16828.0,L-Arginine
5,2020-05-29,16828.0,L-Arginine
6,2020-05-30,19071.0,L-Arginine
7,2020-05-31,19071.0,L-Arginine
8,2020-06-01,21464.0,L-Arginine
9,2020-06-02,19546.0,L-Arginine
10,2020-06-03,19546.0,L-Arginine
11,2020-06-04,19546.0,L-Arginine
12,2020-06-05,18778.0,L-Arginine
13,2020-06-06,18778.0,L-Arginine
14,2020-06-07,18778.0,L-Arginine
15,2020-06-08,18563.0,L-Arginine
16,2020-06-09,18563.0,L-Arginine
17,2020-06-10,18563.0,L-Arginine
18,2020-06-11,14885.0,L-Arginine
19,2020-06-12,14885.0,L-Arginine
20,2020-06-13,14885.0,L-Arginine
21,2020-06-14,18055.0,L-Arginine
22,2020-06-15,18562.0,L-Arginine
23,2020-06-16,17769.0,L-Arginine
24,2020-06-17,17769.0,L-Arginine
25,2020-06-18,19228.0,L-Arginine
26,2020-06-19,19228.0,L-Arginine
27,2020-06-20,19228.0,L-Arginine
28,2020-06-21,19228.0,L-Arginine
29,2020-06-22,19228.0,L-Arginine
30,2020-06-23,15998.0,L-Arginine
31,2020-06-24,15998.0,L-Arginine
32,2020-06-25,15998.0,L-Arginine
33,2020-06-26,18072.0,L-Arginine
34,2020-06-27,18072.0,L-Arginine
35,2020-06-28,15460.0,L-Arginine
36,2020-06-29,16061.0,L-Arginine
37,2020-06-30,16061.0,L-Arginine
38,2020-07-01,15841.0,L-Arginine
39,2020-07-02,15841.0,L-Arginine
40,2020-07-03,15841.0,L-Arginine
41,2020-07-04,15841.0,L-Arginine
42,2020-07-05,15841.0,L-Arginine
43,2020-07-06,23879.0,L-Arginine
44,2020-07-07,24841.0,L-Arginine
45,2020-07-08,34168.0,L-Arginine
46,2020-07-09,34168.0,L-Arginine
47,2020-07-10,32721.0,L-Arginine
48,2020-07-11,32721.0,L-Arginine
49,2020-07-12,34379.0,L-Arginine
50,2020-07-13,34379.0,L-Arginine
51,2020-07-14,34379.0,L-Arginine
52,2020-07-15,29720.0,L-Arginine
53,2020-07-16,29720.0,L-Arginine
54,2020-07-17,29720.0,L-Arginine
55,2020-07-18,31468.0,L-Arginine
56,2020-07-19,31468.0,L-Arginine
57,2020-07-20,31468.0,L-Arginine
58,2020-07-21,20949.0,L-Arginine
59,2020-07-22,20949.0,L-Arginine
60,2020-07-23,22850.0,L-Arginine
61,2020-07-24,22850.0,L-Arginine
62,2020-07-25,22850.0,L-Arginine
63,2020-07-26,21229.0,L-Arginine
64,2020-07-27,21229.0,L-Arginine
65,2020-07-28,20273.0,L-Arginine
66,2020-07-29,20273.0,L-Arginine
67,2020-07-30,20273.0,L-Arginine
68,2020-07-31,23239.0,L-Arginine
69,2020-08-01,23239.0,L-Arginine
70,2020-08-02,23239.0,L-Arginine
71,2020-08-03,17958.0,L-Arginine
72,2020-08-04,17958.0,L-Arginine
73,2020-08-05,17958.0,L-Arginine
74,2020-08-06,17958.0,L-Arginine
75,2020-08-07,23065.0,L-Arginine
76,2020-08-08,25095.0,L-Arginine
77,2020-08-09,25095.0,L-Arginine
78,2020-08-10,25095.0,L-Arginine
79,2020-08-11,21491.0,L-Arginine
80,2020-08-12,21491.0,L-Arginine
81,2020-08-13,21491.0,L-Arginine
82,2020-08-14,21491.0,L-Arginine
83,2020-08-15,19447.0,L-Arginine
84,2020-08-16,14336.0,L-Arginine
85,2020-08-17,14336.0,L-Arginine
86,2020-08-18,14336.0,L-Arginine
87,2020-08-19,18990.0,L-Arginine
88,2020-08-20,18990.0,L-Arginine
89,2020-08-21,18990.0,L-Arginine
90,2020-08-22,18990.0,L-Arginine
91,2020-08-23,20824.0,L-Arginine
92,2020-08-24,20824.0,L-Arginine
93,2020-08-25,20824.0,L-Arginine
94,2020-08-26,20824.0,L-Arginine
95,2020-08-27,16559.0,L-Arginine
96,2020-08-28,17746.0,L-Arginine
97,2020-08-29,17746.0,L-Arginine
98,2020-08-30,17746.0,L-Arginine
99,2020-08-31,19523.0,L-Arginine
100,2020-09-01,19523.0,L-Arginine
101,2020-09-02,11721.0,L-Arginine
102,2020-09-03,11721.0,L-Arginine
103,2020-09-04,11721.0,L-Arginine
104,2020-09-05,11721.0,L-Arginine
105,2020-09-06,13057.0,L-Arginine
106,2020-09-07,13057.0,L-Arginine
107,2020-09-08,13057.0,L-Arginine
108,2020-09-09,13057.0,L-Arginine
109,2020-09-10,18950.0,L-Arginine
110,2020-09-11,18950.0,L-Arginine
111,2020-09-12,18950.0,L-Arginine
112,2020-09-13,16085.0,L-Arginine
113,2020-09-14,16085.0,L-Arginine
114,2020-09-15,16085.0,L-Arginine
115,2020-09-16,21317.0,L-Arginine
116,2020-09-17,21317.0,L-Arginine
117,2020-09-18,21317.0,L-Arginine
118,2020-09-19,21317.0,L-Arginine
119,2020-09-20,21317.0,L-Arginine
120,2020-09-21,24316.0,L-Arginine
121,2020-09-22,24316.0,L-Arginine
122,2020-09-23,24316.0,L-Arginine
123,2020-09-24,30564.0,L-Arginine
124,2020-09-25,30564.0,L-Arginine
125,2020-09-26,30564.0,L-Arginine
126,2020-09-27,32199.0,L-Arginine
127,2020-09-28,32199.0,L-Arginine
128,2020-09-29,32199.0,L-Arginine
129,2020-09-30,33606.0,L-Arginine
130,2020-10-01,33606.0,L-Arginine
131,2020-10-02,33606.0,L-Arginine
132,2020-10-03,33606.0,L-Arginine
133,2020-10-04,33606.0,L-Arginine
134,2020-10-05,32827.0,L-Arginine
135,2020-10-06,45860.0,L-Arginine
136,2020-10-07,56584.0,L-Arginine
137,2020-10-08,56584.0,L-Arginine
138,2020-10-09,56584.0,L-Arginine
139,2020-10-10,99371.0,L-Arginine
140,2020-10-11,99371.0,L-Arginine
141,2020-10-12,99371.0,L-Arginine
142,2020-10-13,19911.0,L-Arginine
143,2020-10-14,19911.0,L-Arginine
144,2020-10-15,19911.0,L-Arginine
145,2020-10-16,13776.0,L-Arginine
146,2020-10-17,13776.0,L-Arginine
147,2020-10-18,17721.0,L-Arginine
148,2020-10-19,17721.0,L-Arginine
149,2020-10-20,17721.0,L-Arginine
150,2020-10-21,18323.0,L-Arginine
151,2020-10-22,18323.0,L-Arginine
152,2020-10-23,14393.0,L-Arginine
153,2020-10-24,17107.0,L-Arginine
154,2020-10-25,19003.0,L-Arginine
155,2020-10-26,19003.0,L-Arginine
156,2020-10-27,19003.0,L-Arginine
157,2020-10-28,16566.0,L-Arginine
158,2020-10-29,16264.0,L-Arginine
159,2020-10-30,16264.0,L-Arginine
160,2020-10-31,16264.0,L-Arginine
161,2020-11-01,13308.0,L-Arginine
162,2020-11-02,17102.0,L-Arginine
163,2020-11-03,17102.0,L-Arginine
164,2020-11-04,17102.0,L-Arginine
165,2020-11-05,17102.0,L-Arginine
166,2020-11-06,17102.0,L-Arginine
167,2020-11-07,17515.0,L-Arginine
168,2020-11-08,16282.0,L-Arginine
169,2020-11-09,16282.0,L-Arginine
170,2020-11-10,16282.0,L-Arginine
171,2020-11-11,16282.0,L-Arginine
172,2020-11-12,15944.0,L-Arginine
173,2020-11-13,15944.0,L-Arginine
174,2020-11-14,17068.0,L-Arginine
175,2020-11-15,16409.0,L-Arginine
176,2020-11-16,21293.0,L-Arginine
177,2020-11-17,21293.0,L-Arginine
178,2020-11-18,21293.0,L-Arginine
179,2020-11-19,21401.0,L-Arginine
180,2020-11-20,17540.0,L-Arginine
181,2020-11-21,17540.0,L-Arginine
182,2020-11-22,17540.0,L-Arginine
183,2020-11-23,17540.0,L-Arginine
184,2020-11-24,22401.0,L-Arginine
185,2020-11-25,20751.0,L-Arginine
186,2020-11-26,20751.0,L-Arginine
187,2020-11-27,22576.0,L-Arginine
188,2020-11-28,22576.0,L-Arginine
189,2020-11-29,22576.0,L-Arginine
190,2020-11-30,19722.0,L-Arginine
191,2020-12-01,14635.0,L-Arginine
192,2020-12-02,17797.0,L-Arginine
193,2020-12-03,18738.0,L-Arginine
194,2020-12-04,18738.0,L-Arginine
195,2020-12-05,15382.0,L-Arginine
196,2020-12-06,15382.0,L-Arginine
197,2020-12-07,14358.0,L-Arginine
198,2020-12-08,14358.0,L-Arginine
199,2020-12-09,14358.0,L-Arginine
200,2020-12-10,14358.0,L-Arginine
201,2020-12-11,16709.0,L-Arginine
202,2020-12-12,16709.0,L-Arginine
203,2020-12-13,16709.0,L-Arginine
204,2020-12-14,17110.0,L-Arginine
205,2020-12-15,17110.0,L-Arginine
206,2020-12-16,17742.0,L-Arginine
207,2020-12-17,20027.0,L-Arginine
208,2020-12-18,20027.0,L-Arginine
209,2020-12-19,22987.0,L-Arginine
210,2020-12-20,20506.0,L-Arginine
211,2020-12-21,20506.0,L-Arginine
212,2020-12-22,22403.0,L-Arginine
213,2020-12-23,21043.0,L-Arginine
214,2020-12-24,21043.0,L-Arginine
215,2020-12-25,16901.0,L-Arginine
216,2020-12-26,16901.0,L-Arginine
217,2020-12-27,19210.0,L-Arginine
218,2020-12-28,19210.0,L-Arginine
219,2020-12-29,19210.0,L-Arginine
220,2020-12-30,18764.0,L-Arginine
221,2020-12-31,17581.0,L-Arginine
222,2021-01-01,14646.0,L-Arginine
223,2021-01-02,19786.0,L-Arginine
224,2021-01-03,19786.0,L-Arginine
225,2021-01-04,17862.0,L-Arginine
226,2021-01-05,17862.0,L-Arginine
227,2021-01-06,17862.0,L-Arginine
228,2021-01-07,12513.0,L-Arginine
229,2021-01-08,18131.0,L-Arginine
230,2021-01-09,18131.0,L-Arginine
231,2021-01-10,18131.0,L-Arginine
232,2021-01-11,19446.0,L-Arginine
233,2021-01-12,21830.0,L-Arginine
234,2021-01-13,21830.0,L-Arginine
235,2021-01-14,18618.0,L-Arginine
236,2021-01-15,18618.0,L-Arginine
237,2021-01-16,21756.0,L-Arginine
238,2021-01-17,21756.0,L-Arginine
239,2021-01-18,20912.0,L-Arginine
240,2021-01-19,24195.0,L-Arginine
241,2021-01-20,19905.0,L-Arginine
242,2021-01-21,19954.0,L-Arginine
243,2021-01-22,20167.0,L-Arginine
244,2021-01-23,20167.0,L-Arginine
245,2021-01-24,20167.0,L-Arginine
246,2021-01-25,19929.0,L-Arginine
247,2021-01-26,19346.0,L-Arginine
248,2021-01-27,23323.0,L-Arginine
249,2021-01-28,28392.0,L-Arginine
250,2021-01-29,19866.0,L-Arginine
251,2021-01-30,19866.0,L-Arginine
252,2021-01-31,19866.0,L-Arginine
253,2021-02-01,24694.0,L-Arginine
254,2021-02-02,17712.0,L-Arginine
255,2021-02-03,17712.0,L-Arginine
256,2021-02-04,22997.0,L-Arginine
257,2021-02-05,22997.0,L-Arginine
258,2021-02-06,22997.0,L-Arginine
259,2021-02-07,22997.0,L-Arginine
260,2021-02-08,24243.0,L-Arginine
261,2021-02-09,24243.0,L-Arginine
262,2021-02-10,23765.0,L-Arginine
263,2021-02-11,23765.0,L-Arginine
264,2021-02-12,24159.0,L-Arginine
265,2021-02-13,24159.0,L-Arginine
266,2021-02-14,21139.0,L-Arginine
267,2021-02-15,21139.0,L-Arginine
268,2021-02-16,23695.0,L-Arginine
269,2021-02-17,23695.0,L-Arginine
270,2021-02-18,23695.0,L-Arginine
271,2021-02-19,23695.0,L-Arginine
272,2021-02-20,20750.0,L-Arginine
273,2021-02-21,20750.0,L-Arginine
274,2021-02-22,20750.0,L-Arginine
275,2021-02-23,20750.0,L-Arginine
276,2021-02-24,18281.0,L-Arginine
277,2021-02-25,18281.0,L-Arginine
278,2021-02-26,18838.0,L-Arginine
279,2021-02-27,18838.0,L-Arginine
280,2021-02-28,18838.0,L-Arginine
281,2021-03-01,18838.0,L-Arginine
282,2021-03-02,22618.0,L-Arginine
283,2021-03-03,22618.0,L-Arginine
284,2021-03-04,23737.0,L-Arginine
285,2021-03-05,26056.0,L-Arginine
286,2021-03-06,25255.0,L-Arginine
287,2021-03-07,23357.0,L-Arginine
288,2021-03-08,26559.0,L-Arginine
289,2021-03-09,20334.0,L-Arginine
290,2021-03-10,25463.0,L-Arginine
291,2021-03-11,27482.0,L-Arginine
292,2021-03-12,33750.0,L-Arginine
293,2021-03-13,37622.0,L-Arginine
294,2021-03-14,37622.0,L-Arginine
295,2021-03-15,50812.0,L-Arginine
296,2021-03-16,45869.0,L-Arginine
297,2021-03-17,50191.0,L-Arginine
298,2021-03-18,58097.0,L-Arginine
299,2021-03-19,55550.0,L-Arginine
300,2021-03-20,57208.0,L-Arginine
301,2021-03-21,56888.0,L-Arginine
302,2021-03-22,58440.0,L-Arginine
303,2021-03-23,55860.0,L-Arginine
304,2021-03-24,66254.0,L-Arginine
305,2021-03-25,50308.0,L-Arginine
306,2021-03-26,69491.0,L-Arginine
307,2021-03-27,47212.0,L-Arginine
308,2021-03-28,55195.0,L-Arginine
309,2021-03-29,50876.0,L-Arginine
310,2021-03-30,47624.0,L-Arginine
311,2021-03-31,50425.0,L-Arginine
312,2021-04-01,54754.0,L-Arginine
313,2021-04-02,62642.0,L-Arginine
314,2021-04-03,71050.0,L-Arginine
315,2021-04-04,71050.0,L-Arginine
316,2021-04-05,49081.0,L-Arginine
317,2021-04-06,49081.0,L-Arginine
318,2021-04-07,44554.0,L-Arginine
319,2021-04-08,41195.0,L-Arginine
320,2021-04-09,36625.0,L-Arginine
321,2021-04-10,33046.0,L-Arginine
322,2021-04-11,33046.0,L-Arginine
323,2021-04-12,26632.0,L-Arginine
324,2021-04-13,31904.0,L-Arginine
325,2021-04-14,25923.0,L-Arginine
326,2021-04-15,42770.0,L-Arginine
327,2021-04-16,56730.0,L-Arginine
328,2021-04-17,61478.0,L-Arginine
329,2021-04-18,61478.0,L-Arginine
330,2021-04-19,59410.0,L-Arginine
331,2021-04-20,66478.0,L-Arginine
332,2021-04-21,58225.0,L-Arginine
333,2021-04-22,59309.0,L-Arginine
334,2021-04-23,50790.0,L-Arginine
335,2021-04-24,62589.0,L-Arginine
336,2021-04-25,54748.0,L-Arginine
337,2021-04-26,52644.0,L-Arginine
338,2021-04-27,47436.0,L-Arginine
339,2021-04-28,47436.0,L-Arginine
340,2021-04-29,54547.0,L-Arginine
341,2021-04-30,60056.0,L-Arginine
342,2021-05-01,60056.0,L-Arginine
343,2021-05-02,66042.0,L-Arginine
344,2021-05-03,47952.0,L-Arginine
345,2021-05-04,64929.0,L-Arginine
346,2021-05-05,80644.0,L-Arginine
347,2021-05-06,51603.0,L-Arginine
348,2021-05-07,42503.0,L-Arginine
349,2021-05-08,44801.0,L-Arginine
350,2021-05-09,19057.0,L-Arginine
351,2021-05-10,20561.0,L-Arginine
352,2021-05-11,27351.0,L-Arginine
353,2021-05-12,29304.0,L-Arginine
354,2021-05-13,29304.0,L-Arginine
355,2021-05-14,30431.0,L-Arginine
356,2021-05-15,26715.0,L-Arginine
357,2021-05-16,26715.0,L-Arginine
358,2021-05-17,26124.0,L-Arginine
359,2021-05-18,26124.0,L-Arginine
360,2021-05-19,27162.0,L-Arginine
361,2021-05-20,23697.0,L-Arginine
362,2021-05-21,26972.0,L-Arginine
363,2021-05-22,27655.0,L-Arginine
364,2021-05-23,27655.0,L-Arginine
365,2021-05-24,20066.0,L-Arginine
366,2021-05-25,24428.0,L-Arginine
367,2021-05-26,24428.0,L-Arginine
368,2021-05-27,22412.0,L-Arginine
369,2021-05-28,22412.0,L-Arginine
370,2021-05-29,22967.0,L-Arginine
371,2021-05-30,22967.0,L-Arginine
372,2021-05-31,25778.0,L-Arginine
373,2021-06-01,21248.0,L-Arginine
374,2021-06-02,18612.0,L-Arginine
375,2021-06-03,15966.0,L-Arginine
376,2021-06-04,16627.0,L-Arginine
377,2021-06-05,17658.0,L-Arginine
378,2021-06-06,17658.0,L-Arginine
379,2021-06-07,24023.0,L-Arginine
380,2021-06-08,28105.0,L-Arginine
381,2021-06-09,20027.0,L-Arginine
382,2021-06-10,22468.0,L-Arginine
383,2021-06-11,24784.0,L-Arginine
384,2021-06-12,21270.0,L-Arginine
385,2021-06-13,21270.0,L-Arginine
386,2021-06-14,22166.0,L-Arginine
387,2021-06-15,22065.0,L-Arginine
388,2021-06-16,26902.0,L-Arginine
389,2021-06-17,25269.0,L-Arginine
390,2021-06-18,25058.0,L-Arginine
391,2021-06-19,32296.0,L-Arginine
392,2021-06-20,32296.0,L-Arginine
393,2021-06-21,29574.0,L-Arginine
394,2021-06-22,29774.0,L-Arginine
395,2021-06-23,29774.0,L-Arginine
396,2021-06-24,29007.0,L-Arginine
397,2021-06-25,30358.0,L-Arginine
398,2021-06-26,21106.0,L-Arginine
399,2021-06-27,21106.0,L-Arginine
400,2021-06-28,21106.0,L-Arginine
401,2021-06-29,20237.0,L-Arginine
402,2021-06-30,17490.0,L-Arginine
403,2021-07-01,17490.0,L-Arginine
404,2021-07-02,20458.0,L-Arginine
405,2021-07-03,17117.0,L-Arginine
406,2021-07-04,17117.0,L-Arginine
407,2021-07-05,25607.0,L-Arginine
408,2021-07-06,19619.0,L-Arginine
409,2021-07-07,19619.0,L-Arginine
410,2021-07-08,25641.0,L-Arginine
411,2021-07-09,27265.0,L-Arginine
412,2021-07-10,29179.0,L-Arginine
