,date,value,name_B076F4TJ9W
0,2018-07-14,662795.0,Sheet & Pillowcase Sets
1,2018-07-15,700882.0,Sheet & Pillowcase Sets
2,2018-07-16,719829.0,Sheet & Pillowcase Sets
3,2018-07-17,719829.0,Sheet & Pillowcase Sets
4,2018-07-18,807047.0,Sheet & Pillowcase Sets
5,2018-07-19,855186.0,Sheet & Pillowcase Sets
6,2018-07-20,393883.0,Sheet & Pillowcase Sets
7,2018-07-21,520755.0,Sheet & Pillowcase Sets
8,2018-07-22,520755.0,Sheet & Pillowcase Sets
9,2018-07-23,645777.0,Sheet & Pillowcase Sets
10,2018-07-24,757089.0,Sheet & Pillowcase Sets
11,2018-07-25,757089.0,Sheet & Pillowcase Sets
12,2018-07-26,838192.0,Sheet & Pillowcase Sets
13,2018-07-27,838192.0,Sheet & Pillowcase Sets
14,2018-07-28,838192.0,Sheet & Pillowcase Sets
15,2018-07-29,838192.0,Sheet & Pillowcase Sets
16,2018-07-30,381831.0,Sheet & Pillowcase Sets
17,2018-07-31,513810.0,Sheet & Pillowcase Sets
18,2018-08-01,513810.0,Sheet & Pillowcase Sets
19,2018-08-02,651595.0,Sheet & Pillowcase Sets
20,2018-08-03,326273.0,Sheet & Pillowcase Sets
21,2018-08-04,326273.0,Sheet & Pillowcase Sets
22,2018-08-05,326273.0,Sheet & Pillowcase Sets
23,2018-08-06,641416.0,Sheet & Pillowcase Sets
24,2018-08-07,641416.0,Sheet & Pillowcase Sets
25,2018-08-08,641416.0,Sheet & Pillowcase Sets
26,2018-08-09,641416.0,Sheet & Pillowcase Sets
27,2018-08-10,641416.0,Sheet & Pillowcase Sets
28,2018-08-11,870078.0,Sheet & Pillowcase Sets
29,2018-08-12,870078.0,Sheet & Pillowcase Sets
30,2018-08-13,912458.0,Sheet & Pillowcase Sets
31,2018-08-14,912458.0,Sheet & Pillowcase Sets
32,2018-08-15,912458.0,Sheet & Pillowcase Sets
33,2018-08-16,912458.0,Sheet & Pillowcase Sets
34,2018-08-17,912458.0,Sheet & Pillowcase Sets
35,2018-08-18,912458.0,Sheet & Pillowcase Sets
36,2018-08-19,1019661.0,Sheet & Pillowcase Sets
37,2018-08-20,1034874.0,Sheet & Pillowcase Sets
38,2018-08-21,1034874.0,Sheet & Pillowcase Sets
39,2018-08-22,286011.0,Sheet & Pillowcase Sets
40,2018-08-23,286011.0,Sheet & Pillowcase Sets
41,2018-08-24,507877.0,Sheet & Pillowcase Sets
42,2018-08-25,507877.0,Sheet & Pillowcase Sets
43,2018-08-26,685277.0,Sheet & Pillowcase Sets
44,2018-08-27,152574.0,Sheet & Pillowcase Sets
45,2018-08-28,212746.0,Sheet & Pillowcase Sets
46,2018-08-29,319960.0,Sheet & Pillowcase Sets
47,2018-08-30,397554.0,Sheet & Pillowcase Sets
48,2018-08-31,397554.0,Sheet & Pillowcase Sets
49,2018-09-01,392421.0,Sheet & Pillowcase Sets
50,2018-09-02,392421.0,Sheet & Pillowcase Sets
51,2018-09-03,262185.0,Sheet & Pillowcase Sets
52,2018-09-04,317017.0,Sheet & Pillowcase Sets
53,2018-09-05,436301.0,Sheet & Pillowcase Sets
54,2018-09-06,436301.0,Sheet & Pillowcase Sets
55,2018-09-07,590812.0,Sheet & Pillowcase Sets
56,2018-09-08,660006.0,Sheet & Pillowcase Sets
57,2018-09-09,697389.0,Sheet & Pillowcase Sets
58,2018-09-10,697389.0,Sheet & Pillowcase Sets
59,2018-09-11,697389.0,Sheet & Pillowcase Sets
60,2018-09-12,575438.0,Sheet & Pillowcase Sets
61,2018-09-13,335232.0,Sheet & Pillowcase Sets
62,2018-09-14,471806.0,Sheet & Pillowcase Sets
63,2018-09-15,561877.0,Sheet & Pillowcase Sets
64,2018-09-16,646014.0,Sheet & Pillowcase Sets
65,2018-09-17,707397.0,Sheet & Pillowcase Sets
66,2018-09-18,773975.0,Sheet & Pillowcase Sets
