,date,value,name_B076YGNW2Z
0,2017-11-14,62150.0,Reading Glasses
1,2017-11-15,62150.0,Reading Glasses
2,2017-11-16,62150.0,Reading Glasses
3,2017-11-17,62150.0,Reading Glasses
4,2017-11-18,65837.0,Reading Glasses
5,2017-11-19,122477.0,Reading Glasses
6,2017-11-20,208682.0,Reading Glasses
7,2017-11-21,47843.0,Reading Glasses
8,2017-11-22,47843.0,Reading Glasses
9,2017-11-23,47843.0,Reading Glasses
10,2017-11-24,47843.0,Reading Glasses
11,2017-11-25,47843.0,Reading Glasses
12,2017-11-26,47843.0,Reading Glasses
13,2017-11-27,69233.0,Reading Glasses
14,2017-11-28,69233.0,Reading Glasses
15,2017-11-29,75278.0,Reading Glasses
16,2017-11-30,53604.0,Reading Glasses
17,2017-12-01,96186.0,Reading Glasses
18,2017-12-02,88395.0,Reading Glasses
19,2017-12-03,106507.0,Reading Glasses
20,2017-12-04,106507.0,Reading Glasses
21,2017-12-05,164583.0,Reading Glasses
22,2017-12-06,151496.0,Reading Glasses
23,2017-12-07,83486.0,Reading Glasses
24,2017-12-08,83486.0,Reading Glasses
25,2017-12-09,79201.0,Reading Glasses
26,2017-12-10,51214.0,Reading Glasses
27,2017-12-11,64579.0,Reading Glasses
28,2017-12-12,64579.0,Reading Glasses
29,2017-12-13,100918.0,Reading Glasses
30,2017-12-14,142987.0,Reading Glasses
31,2017-12-15,118135.0,Reading Glasses
32,2017-12-16,75921.0,Reading Glasses
33,2017-12-17,75921.0,Reading Glasses
34,2017-12-18,68833.0,Reading Glasses
35,2017-12-19,129515.0,Reading Glasses
36,2017-12-20,109645.0,Reading Glasses
37,2017-12-21,109645.0,Reading Glasses
38,2017-12-22,117229.0,Reading Glasses
39,2017-12-23,117229.0,Reading Glasses
40,2017-12-24,107858.0,Reading Glasses
41,2017-12-25,138812.0,Reading Glasses
42,2017-12-26,124502.0,Reading Glasses
43,2017-12-27,124502.0,Reading Glasses
44,2017-12-28,98141.0,Reading Glasses
45,2017-12-29,47562.0,Reading Glasses
46,2017-12-30,74076.0,Reading Glasses
47,2017-12-31,62610.0,Reading Glasses
48,2018-01-01,62610.0,Reading Glasses
49,2018-01-02,53441.0,Reading Glasses
50,2018-01-03,91538.0,Reading Glasses
51,2018-01-04,85989.0,Reading Glasses
52,2018-01-05,101083.0,Reading Glasses
53,2018-01-06,67871.0,Reading Glasses
54,2018-01-07,52106.0,Reading Glasses
55,2018-01-08,79632.0,Reading Glasses
56,2018-01-09,78393.0,Reading Glasses
57,2018-01-10,56717.0,Reading Glasses
58,2018-01-11,57141.0,Reading Glasses
59,2018-01-12,46674.0,Reading Glasses
60,2018-01-13,46674.0,Reading Glasses
61,2018-01-14,47124.0,Reading Glasses
62,2018-01-15,92849.0,Reading Glasses
63,2018-01-16,92849.0,Reading Glasses
