,date,value,name_B0779MV8DM
0,2020-01-27,3300.0,Jars
1,2020-01-28,3673.0,Jars
2,2020-01-29,4199.0,Jars
3,2020-01-30,4526.0,Jars
4,2020-01-31,5375.0,Jars
5,2020-02-01,3996.0,Jars
6,2020-02-02,3996.0,Jars
7,2020-02-03,3871.0,Jars
8,2020-02-04,3871.0,Jars
9,2020-02-05,3900.0,Jars
10,2020-02-06,5323.0,Jars
11,2020-02-07,4960.0,Jars
12,2020-02-08,5176.0,Jars
13,2020-02-09,5176.0,Jars
14,2020-02-10,5176.0,Jars
15,2020-02-11,3985.0,Jars
16,2020-02-12,3292.0,Jars
17,2020-02-13,4053.0,Jars
18,2020-02-14,4509.0,Jars
19,2020-02-15,5111.0,Jars
20,2020-02-16,3823.0,Jars
21,2020-02-17,3896.0,Jars
22,2020-02-18,3896.0,Jars
23,2020-02-19,2742.0,Jars
24,2020-02-20,3423.0,Jars
25,2020-02-21,4222.0,Jars
26,2020-02-22,4222.0,Jars
27,2020-02-23,3905.0,Jars
28,2020-02-24,2719.0,Jars
29,2020-02-25,3787.0,Jars
30,2020-02-26,4258.0,Jars
31,2020-02-27,4666.0,Jars
32,2020-02-28,4666.0,Jars
33,2020-02-29,2820.0,Jars
34,2020-03-01,2947.0,Jars
35,2020-03-02,3819.0,Jars
36,2020-03-03,3819.0,Jars
37,2020-03-04,3819.0,Jars
38,2020-03-05,3819.0,Jars
39,2020-03-06,5089.0,Jars
40,2020-03-07,5089.0,Jars
41,2020-03-08,5089.0,Jars
42,2020-03-09,-1.0,Jars
