,date,value,name_B077S13FVS
0,2018-07-15,1933.0,Drip Irrigation Kits
1,2018-07-16,2986.0,Drip Irrigation Kits
2,2018-07-17,2569.0,Drip Irrigation Kits
3,2018-07-18,3104.0,Drip Irrigation Kits
4,2018-07-19,3104.0,Drip Irrigation Kits
5,2018-07-20,3622.0,Drip Irrigation Kits
6,2018-07-21,2829.0,Drip Irrigation Kits
7,2018-07-22,2829.0,Drip Irrigation Kits
8,2018-07-23,3050.0,Drip Irrigation Kits
9,2018-07-24,3847.0,Drip Irrigation Kits
10,2018-07-25,4719.0,Drip Irrigation Kits
11,2018-07-26,3926.0,Drip Irrigation Kits
12,2018-07-27,3926.0,Drip Irrigation Kits
13,2018-07-28,3926.0,Drip Irrigation Kits
14,2018-07-29,3926.0,Drip Irrigation Kits
15,2018-07-30,2630.0,Drip Irrigation Kits
16,2018-07-31,2630.0,Drip Irrigation Kits
17,2018-08-01,3821.0,Drip Irrigation Kits
18,2018-08-02,4125.0,Drip Irrigation Kits
19,2018-08-03,3373.0,Drip Irrigation Kits
20,2018-08-04,3373.0,Drip Irrigation Kits
21,2018-08-05,3373.0,Drip Irrigation Kits
22,2018-08-06,3373.0,Drip Irrigation Kits
23,2018-08-07,3373.0,Drip Irrigation Kits
24,2018-08-08,2937.0,Drip Irrigation Kits
25,2018-08-09,4469.0,Drip Irrigation Kits
26,2018-08-10,4469.0,Drip Irrigation Kits
27,2018-08-11,4469.0,Drip Irrigation Kits
28,2018-08-12,6845.0,Drip Irrigation Kits
29,2018-08-13,4770.0,Drip Irrigation Kits
30,2018-08-14,4770.0,Drip Irrigation Kits
31,2018-08-15,4329.0,Drip Irrigation Kits
32,2018-08-16,4329.0,Drip Irrigation Kits
33,2018-08-17,4329.0,Drip Irrigation Kits
34,2018-08-18,4329.0,Drip Irrigation Kits
35,2018-08-19,4329.0,Drip Irrigation Kits
36,2018-08-20,8237.0,Drip Irrigation Kits
37,2018-08-21,8237.0,Drip Irrigation Kits
38,2018-08-22,6127.0,Drip Irrigation Kits
39,2018-08-23,9477.0,Drip Irrigation Kits
40,2018-08-24,9477.0,Drip Irrigation Kits
41,2018-08-25,9477.0,Drip Irrigation Kits
42,2018-08-26,7718.0,Drip Irrigation Kits
43,2018-08-27,7718.0,Drip Irrigation Kits
44,2018-08-28,4597.0,Drip Irrigation Kits
45,2018-08-29,8581.0,Drip Irrigation Kits
46,2018-08-30,6487.0,Drip Irrigation Kits
47,2018-08-31,6487.0,Drip Irrigation Kits
48,2018-09-01,9442.0,Drip Irrigation Kits
49,2018-09-02,9442.0,Drip Irrigation Kits
50,2018-09-03,7165.0,Drip Irrigation Kits
51,2018-09-04,6956.0,Drip Irrigation Kits
52,2018-09-05,6956.0,Drip Irrigation Kits
53,2018-09-06,7513.0,Drip Irrigation Kits
54,2018-09-07,6690.0,Drip Irrigation Kits
55,2018-09-08,11603.0,Drip Irrigation Kits
56,2018-09-09,8776.0,Drip Irrigation Kits
57,2018-09-10,4627.0,Drip Irrigation Kits
58,2018-09-11,9426.0,Drip Irrigation Kits
59,2018-09-12,8221.0,Drip Irrigation Kits
60,2018-09-13,9388.0,Drip Irrigation Kits
61,2018-09-14,7812.0,Drip Irrigation Kits
62,2018-09-15,10711.0,Drip Irrigation Kits
63,2018-09-16,12293.0,Drip Irrigation Kits
64,2018-09-17,11883.0,Drip Irrigation Kits
65,2018-09-18,11445.0,Drip Irrigation Kits
66,2018-09-19,9022.0,Drip Irrigation Kits
67,2018-09-20,11182.0,Drip Irrigation Kits
68,2018-09-21,10323.0,Drip Irrigation Kits
69,2018-09-22,8248.0,Drip Irrigation Kits
70,2018-09-23,8248.0,Drip Irrigation Kits
71,2018-09-24,11276.0,Drip Irrigation Kits
72,2018-09-25,10220.0,Drip Irrigation Kits
73,2018-09-26,7027.0,Drip Irrigation Kits
74,2018-09-27,7027.0,Drip Irrigation Kits
75,2018-09-28,7027.0,Drip Irrigation Kits
76,2018-09-29,7027.0,Drip Irrigation Kits
77,2018-09-30,8867.0,Drip Irrigation Kits
78,2018-10-01,12308.0,Drip Irrigation Kits
79,2018-10-02,12308.0,Drip Irrigation Kits
80,2018-10-03,11110.0,Drip Irrigation Kits
81,2018-10-04,11110.0,Drip Irrigation Kits
