,date,value,name_B077T8FVP3
0,2020-05-24,2306.0,Hyaluronic Acid
1,2020-05-25,2306.0,Hyaluronic Acid
2,2020-05-26,2306.0,Hyaluronic Acid
3,2020-05-27,2486.0,Hyaluronic Acid
4,2020-05-28,2486.0,Hyaluronic Acid
5,2020-05-29,2486.0,Hyaluronic Acid
6,2020-05-30,2680.0,Hyaluronic Acid
7,2020-05-31,2674.0,Hyaluronic Acid
8,2020-06-01,2674.0,Hyaluronic Acid
9,2020-06-02,2711.0,Hyaluronic Acid
10,2020-06-03,2340.0,Hyaluronic Acid
11,2020-06-04,2327.0,Hyaluronic Acid
12,2020-06-05,2327.0,Hyaluronic Acid
13,2020-06-06,2434.0,Hyaluronic Acid
14,2020-06-07,2434.0,Hyaluronic Acid
15,2020-06-08,2434.0,Hyaluronic Acid
16,2020-06-09,2379.0,Hyaluronic Acid
17,2020-06-10,2379.0,Hyaluronic Acid
18,2020-06-11,2442.0,Hyaluronic Acid
19,2020-06-12,2460.0,Hyaluronic Acid
20,2020-06-13,2460.0,Hyaluronic Acid
21,2020-06-14,2460.0,Hyaluronic Acid
22,2020-06-15,2233.0,Hyaluronic Acid
23,2020-06-16,2233.0,Hyaluronic Acid
24,2020-06-17,2233.0,Hyaluronic Acid
25,2020-06-18,2429.0,Hyaluronic Acid
26,2020-06-19,2138.0,Hyaluronic Acid
27,2020-06-20,2357.0,Hyaluronic Acid
28,2020-06-21,2104.0,Hyaluronic Acid
29,2020-06-22,2139.0,Hyaluronic Acid
30,2020-06-23,2262.0,Hyaluronic Acid
31,2020-06-24,2215.0,Hyaluronic Acid
32,2020-06-25,2215.0,Hyaluronic Acid
33,2020-06-26,2424.0,Hyaluronic Acid
34,2020-06-27,2337.0,Hyaluronic Acid
35,2020-06-28,2009.0,Hyaluronic Acid
36,2020-06-29,1928.0,Hyaluronic Acid
37,2020-06-30,1928.0,Hyaluronic Acid
38,2020-07-01,2266.0,Hyaluronic Acid
39,2020-07-02,2266.0,Hyaluronic Acid
40,2020-07-03,2042.0,Hyaluronic Acid
41,2020-07-04,2042.0,Hyaluronic Acid
42,2020-07-05,1640.0,Hyaluronic Acid
43,2020-07-06,1640.0,Hyaluronic Acid
44,2020-07-07,2419.0,Hyaluronic Acid
45,2020-07-08,2269.0,Hyaluronic Acid
46,2020-07-09,1946.0,Hyaluronic Acid
47,2020-07-10,1946.0,Hyaluronic Acid
48,2020-07-11,1987.0,Hyaluronic Acid
49,2020-07-12,1965.0,Hyaluronic Acid
50,2020-07-13,1614.0,Hyaluronic Acid
51,2020-07-14,1868.0,Hyaluronic Acid
52,2020-07-15,1868.0,Hyaluronic Acid
53,2020-07-16,1912.0,Hyaluronic Acid
54,2020-07-17,1912.0,Hyaluronic Acid
55,2020-07-18,2064.0,Hyaluronic Acid
56,2020-07-19,1834.0,Hyaluronic Acid
57,2020-07-20,1834.0,Hyaluronic Acid
58,2020-07-21,2071.0,Hyaluronic Acid
59,2020-07-22,2071.0,Hyaluronic Acid
60,2020-07-23,2043.0,Hyaluronic Acid
61,2020-07-24,2454.0,Hyaluronic Acid
62,2020-07-25,2454.0,Hyaluronic Acid
63,2020-07-26,2005.0,Hyaluronic Acid
64,2020-07-27,2005.0,Hyaluronic Acid
65,2020-07-28,2308.0,Hyaluronic Acid
66,2020-07-29,2258.0,Hyaluronic Acid
67,2020-07-30,2494.0,Hyaluronic Acid
68,2020-07-31,2494.0,Hyaluronic Acid
69,2020-08-01,2494.0,Hyaluronic Acid
70,2020-08-02,1952.0,Hyaluronic Acid
71,2020-08-03,1952.0,Hyaluronic Acid
72,2020-08-04,1971.0,Hyaluronic Acid
73,2020-08-05,1971.0,Hyaluronic Acid
74,2020-08-06,1971.0,Hyaluronic Acid
75,2020-08-07,2322.0,Hyaluronic Acid
76,2020-08-08,2322.0,Hyaluronic Acid
77,2020-08-09,1766.0,Hyaluronic Acid
78,2020-08-10,2095.0,Hyaluronic Acid
79,2020-08-11,2139.0,Hyaluronic Acid
80,2020-08-12,2474.0,Hyaluronic Acid
81,2020-08-13,2167.0,Hyaluronic Acid
82,2020-08-14,2075.0,Hyaluronic Acid
83,2020-08-15,1797.0,Hyaluronic Acid
84,2020-08-16,1851.0,Hyaluronic Acid
85,2020-08-17,1936.0,Hyaluronic Acid
86,2020-08-18,2150.0,Hyaluronic Acid
87,2020-08-19,2099.0,Hyaluronic Acid
88,2020-08-20,2099.0,Hyaluronic Acid
89,2020-08-21,2352.0,Hyaluronic Acid
90,2020-08-22,2352.0,Hyaluronic Acid
91,2020-08-23,2352.0,Hyaluronic Acid
92,2020-08-24,2062.0,Hyaluronic Acid
93,2020-08-25,2436.0,Hyaluronic Acid
94,2020-08-26,2484.0,Hyaluronic Acid
95,2020-08-27,2370.0,Hyaluronic Acid
96,2020-08-28,2479.0,Hyaluronic Acid
97,2020-08-29,2479.0,Hyaluronic Acid
98,2020-08-30,2001.0,Hyaluronic Acid
