,date,value,name_B079LW6BNP
0,2018-07-19,731.0,Container Sets
1,2018-07-20,731.0,Container Sets
2,2018-07-21,1128.0,Container Sets
3,2018-07-22,1128.0,Container Sets
4,2018-07-23,728.0,Container Sets
5,2018-07-24,728.0,Container Sets
6,2018-07-25,728.0,Container Sets
7,2018-07-26,728.0,Container Sets
8,2018-07-27,728.0,Container Sets
9,2018-07-28,728.0,Container Sets
10,2018-07-29,1689.0,Container Sets
11,2018-07-30,1689.0,Container Sets
12,2018-07-31,1231.0,Container Sets
13,2018-08-01,994.0,Container Sets
14,2018-08-02,994.0,Container Sets
15,2018-08-03,836.0,Container Sets
16,2018-08-04,1254.0,Container Sets
17,2018-08-05,1961.0,Container Sets
18,2018-08-06,1961.0,Container Sets
19,2018-08-07,1136.0,Container Sets
20,2018-08-08,1066.0,Container Sets
21,2018-08-09,879.0,Container Sets
22,2018-08-10,879.0,Container Sets
23,2018-08-11,923.0,Container Sets
24,2018-08-12,1287.0,Container Sets
25,2018-08-13,1287.0,Container Sets
26,2018-08-14,1151.0,Container Sets
27,2018-08-15,1317.0,Container Sets
28,2018-08-16,1087.0,Container Sets
29,2018-08-17,933.0,Container Sets
30,2018-08-18,933.0,Container Sets
31,2018-08-19,1949.0,Container Sets
32,2018-08-20,1949.0,Container Sets
33,2018-08-21,801.0,Container Sets
34,2018-08-22,801.0,Container Sets
35,2018-08-23,801.0,Container Sets
36,2018-08-24,835.0,Container Sets
37,2018-08-25,835.0,Container Sets
38,2018-08-26,1840.0,Container Sets
39,2018-08-27,852.0,Container Sets
40,2018-08-28,852.0,Container Sets
41,2018-08-29,967.0,Container Sets
42,2018-08-30,831.0,Container Sets
43,2018-08-31,792.0,Container Sets
44,2018-09-01,847.0,Container Sets
45,2018-09-02,847.0,Container Sets
46,2018-09-03,949.0,Container Sets
47,2018-09-04,949.0,Container Sets
48,2018-09-05,979.0,Container Sets
49,2018-09-06,905.0,Container Sets
50,2018-09-07,905.0,Container Sets
51,2018-09-08,905.0,Container Sets
52,2018-09-09,2204.0,Container Sets
53,2018-09-10,2204.0,Container Sets
54,2018-09-11,3704.0,Container Sets
55,2018-09-12,2817.0,Container Sets
56,2018-09-13,2817.0,Container Sets
57,2018-09-14,2817.0,Container Sets
58,2018-09-15,2817.0,Container Sets
59,2018-09-16,2817.0,Container Sets
60,2018-09-17,1014.0,Container Sets
61,2018-09-18,1014.0,Container Sets
62,2018-09-19,1474.0,Container Sets
63,2018-09-20,1474.0,Container Sets
64,2018-09-21,823.0,Container Sets
65,2018-09-22,823.0,Container Sets
66,2018-09-23,1186.0,Container Sets
67,2018-09-24,1186.0,Container Sets
68,2018-09-25,1186.0,Container Sets
69,2018-09-26,1186.0,Container Sets
70,2018-09-27,2650.0,Container Sets
71,2018-09-28,2936.0,Container Sets
72,2018-09-29,2936.0,Container Sets
73,2018-09-30,2936.0,Container Sets
74,2018-10-01,2936.0,Container Sets
75,2018-10-02,2784.0,Container Sets
76,2018-10-03,2746.0,Container Sets
77,2018-10-04,2746.0,Container Sets
78,2018-10-05,1049.0,Container Sets
79,2018-10-06,1049.0,Container Sets
80,2018-10-07,1049.0,Container Sets
81,2018-10-08,1739.0,Container Sets
82,2018-10-09,1728.0,Container Sets
83,2018-10-10,1728.0,Container Sets
84,2018-10-11,1468.0,Container Sets
85,2018-10-12,939.0,Container Sets
86,2018-10-13,1128.0,Container Sets
87,2018-10-14,1017.0,Container Sets
88,2018-10-15,535.0,Container Sets
89,2018-10-16,487.0,Container Sets
90,2018-10-17,623.0,Container Sets
91,2018-10-18,683.0,Container Sets
92,2018-10-19,683.0,Container Sets
93,2018-10-20,1234.0,Container Sets
94,2018-10-21,1234.0,Container Sets
95,2018-10-22,1234.0,Container Sets
96,2018-10-23,1234.0,Container Sets
97,2018-10-24,1234.0,Container Sets
98,2018-10-25,1234.0,Container Sets
99,2018-10-26,1234.0,Container Sets
100,2018-10-27,791.0,Container Sets
101,2018-10-28,1150.0,Container Sets
102,2018-10-29,1150.0,Container Sets
103,2018-10-30,493.0,Container Sets
104,2018-10-31,459.0,Container Sets
105,2018-11-01,527.0,Container Sets
106,2018-11-02,527.0,Container Sets
107,2018-11-03,1124.0,Container Sets
108,2018-11-04,1124.0,Container Sets
109,2018-11-05,1124.0,Container Sets
110,2018-11-06,1124.0,Container Sets
111,2018-11-07,1124.0,Container Sets
112,2018-11-08,396.0,Container Sets
113,2018-11-09,418.0,Container Sets
114,2018-11-10,489.0,Container Sets
115,2018-11-11,489.0,Container Sets
116,2018-11-12,489.0,Container Sets
117,2018-11-13,489.0,Container Sets
118,2018-11-14,397.0,Container Sets
119,2018-11-15,397.0,Container Sets
120,2018-11-16,436.0,Container Sets
121,2018-11-17,1039.0,Container Sets
122,2018-11-18,1039.0,Container Sets
123,2018-11-19,444.0,Container Sets
124,2018-11-20,435.0,Container Sets
125,2018-11-21,435.0,Container Sets
126,2018-11-22,829.0,Container Sets
127,2018-11-23,1056.0,Container Sets
128,2018-11-24,1056.0,Container Sets
129,2018-11-25,1781.0,Container Sets
130,2018-11-26,1160.0,Container Sets
131,2018-11-27,1160.0,Container Sets
132,2018-11-28,1441.0,Container Sets
133,2018-11-29,1441.0,Container Sets
134,2018-11-30,1010.0,Container Sets
135,2018-12-01,951.0,Container Sets
136,2018-12-02,1916.0,Container Sets
137,2018-12-03,1916.0,Container Sets
138,2018-12-04,966.0,Container Sets
139,2018-12-05,1034.0,Container Sets
140,2018-12-06,1118.0,Container Sets
141,2018-12-07,1100.0,Container Sets
142,2018-12-08,1100.0,Container Sets
143,2018-12-09,1707.0,Container Sets
144,2018-12-10,1376.0,Container Sets
145,2018-12-11,1360.0,Container Sets
146,2018-12-12,1360.0,Container Sets
147,2018-12-13,1425.0,Container Sets
148,2018-12-14,1367.0,Container Sets
149,2018-12-15,1367.0,Container Sets
150,2018-12-16,1808.0,Container Sets
151,2018-12-17,1330.0,Container Sets
152,2018-12-18,1464.0,Container Sets
153,2018-12-19,1483.0,Container Sets
154,2018-12-20,1483.0,Container Sets
155,2018-12-21,1245.0,Container Sets
156,2018-12-22,1221.0,Container Sets
157,2018-12-23,891.0,Container Sets
158,2018-12-24,785.0,Container Sets
159,2018-12-25,833.0,Container Sets
160,2018-12-26,571.0,Container Sets
161,2018-12-27,461.0,Container Sets
162,2018-12-28,448.0,Container Sets
163,2018-12-29,376.0,Container Sets
164,2018-12-30,376.0,Container Sets
165,2018-12-31,279.0,Container Sets
166,2019-01-01,345.0,Container Sets
167,2019-01-02,256.0,Container Sets
168,2019-01-03,189.0,Container Sets
169,2019-01-04,201.0,Container Sets
170,2019-01-05,245.0,Container Sets
171,2019-01-06,266.0,Container Sets
172,2019-01-07,229.0,Container Sets
173,2019-01-08,321.0,Container Sets
174,2019-01-09,532.0,Container Sets
175,2019-01-10,605.0,Container Sets
176,2019-01-11,437.0,Container Sets
177,2019-01-12,478.0,Container Sets
178,2019-01-13,490.0,Container Sets
179,2019-01-14,345.0,Container Sets
180,2019-01-15,484.0,Container Sets
181,2019-01-16,584.0,Container Sets
182,2019-01-17,584.0,Container Sets
183,2019-01-18,402.0,Container Sets
184,2019-01-19,409.0,Container Sets
185,2019-01-20,473.0,Container Sets
186,2019-01-21,361.0,Container Sets
187,2019-01-22,494.0,Container Sets
188,2019-01-23,546.0,Container Sets
189,2019-01-24,734.0,Container Sets
190,2019-01-25,701.0,Container Sets
191,2019-01-26,625.0,Container Sets
192,2019-01-27,702.0,Container Sets
193,2019-01-28,448.0,Container Sets
194,2019-01-29,422.0,Container Sets
195,2019-01-30,411.0,Container Sets
196,2019-01-31,465.0,Container Sets
197,2019-02-01,457.0,Container Sets
198,2019-02-02,388.0,Container Sets
199,2019-02-03,398.0,Container Sets
200,2019-02-04,427.0,Container Sets
201,2019-02-05,401.0,Container Sets
202,2019-02-06,467.0,Container Sets
203,2019-02-07,432.0,Container Sets
204,2019-02-08,486.0,Container Sets
205,2019-02-09,486.0,Container Sets
206,2019-02-10,493.0,Container Sets
207,2019-02-11,462.0,Container Sets
208,2019-02-12,492.0,Container Sets
209,2019-02-13,431.0,Container Sets
210,2019-02-14,448.0,Container Sets
211,2019-02-15,443.0,Container Sets
212,2019-02-16,346.0,Container Sets
213,2019-02-17,346.0,Container Sets
214,2019-02-18,416.0,Container Sets
215,2019-02-19,416.0,Container Sets
216,2019-02-20,416.0,Container Sets
217,2019-02-21,407.0,Container Sets
218,2019-02-22,377.0,Container Sets
219,2019-02-23,371.0,Container Sets
220,2019-02-24,371.0,Container Sets
221,2019-02-25,371.0,Container Sets
222,2019-02-26,285.0,Container Sets
223,2019-02-27,309.0,Container Sets
224,2019-02-28,273.0,Container Sets
225,2019-03-01,311.0,Container Sets
226,2019-03-02,343.0,Container Sets
227,2019-03-03,322.0,Container Sets
228,2019-03-04,279.0,Container Sets
229,2019-03-05,280.0,Container Sets
230,2019-03-06,289.0,Container Sets
231,2019-03-07,278.0,Container Sets
232,2019-03-08,260.0,Container Sets
233,2019-03-09,289.0,Container Sets
234,2019-03-10,326.0,Container Sets
235,2019-03-11,326.0,Container Sets
236,2019-03-12,275.0,Container Sets
237,2019-03-13,315.0,Container Sets
238,2019-03-14,325.0,Container Sets
239,2019-03-15,276.0,Container Sets
240,2019-03-16,312.0,Container Sets
241,2019-03-17,312.0,Container Sets
242,2019-03-18,327.0,Container Sets
243,2019-03-19,276.0,Container Sets
244,2019-03-20,267.0,Container Sets
245,2019-03-21,250.0,Container Sets
246,2019-03-22,240.0,Container Sets
247,2019-03-23,208.0,Container Sets
248,2019-03-24,226.0,Container Sets
249,2019-03-25,233.0,Container Sets
250,2019-03-26,215.0,Container Sets
251,2019-03-27,234.0,Container Sets
252,2019-03-28,226.0,Container Sets
253,2019-03-29,270.0,Container Sets
254,2019-03-30,317.0,Container Sets
255,2019-03-31,320.0,Container Sets
256,2019-04-01,278.0,Container Sets
257,2019-04-02,285.0,Container Sets
258,2019-04-03,326.0,Container Sets
259,2019-04-04,294.0,Container Sets
260,2019-04-05,299.0,Container Sets
261,2019-04-06,345.0,Container Sets
262,2019-04-07,371.0,Container Sets
263,2019-04-08,331.0,Container Sets
264,2019-04-09,329.0,Container Sets
265,2019-04-10,344.0,Container Sets
266,2019-04-11,330.0,Container Sets
267,2019-04-12,307.0,Container Sets
268,2019-04-13,349.0,Container Sets
269,2019-04-14,375.0,Container Sets
270,2019-04-15,373.0,Container Sets
271,2019-04-16,404.0,Container Sets
272,2019-04-17,340.0,Container Sets
273,2019-04-18,361.0,Container Sets
274,2019-04-19,319.0,Container Sets
275,2019-04-20,337.0,Container Sets
276,2019-04-21,432.0,Container Sets
277,2019-04-22,323.0,Container Sets
278,2019-04-23,289.0,Container Sets
279,2019-04-24,347.0,Container Sets
280,2019-04-25,381.0,Container Sets
281,2019-04-26,361.0,Container Sets
282,2019-04-27,354.0,Container Sets
283,2019-04-28,438.0,Container Sets
284,2019-04-29,395.0,Container Sets
285,2019-04-30,434.0,Container Sets
286,2019-05-01,434.0,Container Sets
287,2019-05-02,369.0,Container Sets
288,2019-05-03,381.0,Container Sets
289,2019-05-04,381.0,Container Sets
290,2019-05-05,381.0,Container Sets
291,2019-05-06,593.0,Container Sets
292,2019-05-07,621.0,Container Sets
293,2019-05-08,749.0,Container Sets
294,2019-05-09,839.0,Container Sets
295,2019-05-10,681.0,Container Sets
296,2019-05-11,646.0,Container Sets
297,2019-05-12,750.0,Container Sets
298,2019-05-13,669.0,Container Sets
299,2019-05-14,513.0,Container Sets
300,2019-05-15,510.0,Container Sets
301,2019-05-16,510.0,Container Sets
302,2019-05-17,563.0,Container Sets
303,2019-05-18,585.0,Container Sets
304,2019-05-19,702.0,Container Sets
305,2019-05-20,609.0,Container Sets
306,2019-05-21,568.0,Container Sets
307,2019-05-22,553.0,Container Sets
308,2019-05-23,623.0,Container Sets
309,2019-05-24,578.0,Container Sets
310,2019-05-25,625.0,Container Sets
311,2019-05-26,735.0,Container Sets
312,2019-05-27,810.0,Container Sets
313,2019-05-28,733.0,Container Sets
314,2019-05-29,780.0,Container Sets
315,2019-05-30,633.0,Container Sets
316,2019-05-31,623.0,Container Sets
317,2019-06-01,566.0,Container Sets
318,2019-06-02,669.0,Container Sets
319,2019-06-03,694.0,Container Sets
320,2019-06-04,682.0,Container Sets
321,2019-06-05,638.0,Container Sets
322,2019-06-06,756.0,Container Sets
323,2019-06-07,655.0,Container Sets
324,2019-06-08,679.0,Container Sets
325,2019-06-09,679.0,Container Sets
326,2019-06-10,679.0,Container Sets
327,2019-06-11,730.0,Container Sets
328,2019-06-12,741.0,Container Sets
329,2019-06-13,593.0,Container Sets
330,2019-06-14,664.0,Container Sets
331,2019-06-15,664.0,Container Sets
332,2019-06-16,747.0,Container Sets
333,2019-06-17,761.0,Container Sets
334,2019-06-18,691.0,Container Sets
335,2019-06-19,613.0,Container Sets
336,2019-06-20,613.0,Container Sets
337,2019-06-21,535.0,Container Sets
338,2019-06-22,578.0,Container Sets
339,2019-06-23,677.0,Container Sets
340,2019-06-24,728.0,Container Sets
341,2019-06-25,866.0,Container Sets
342,2019-06-26,816.0,Container Sets
343,2019-06-27,816.0,Container Sets
344,2019-06-28,748.0,Container Sets
345,2019-06-29,727.0,Container Sets
346,2019-06-30,727.0,Container Sets
347,2019-07-01,766.0,Container Sets
348,2019-07-02,766.0,Container Sets
349,2019-07-03,766.0,Container Sets
350,2019-07-04,933.0,Container Sets
351,2019-07-05,716.0,Container Sets
352,2019-07-06,802.0,Container Sets
353,2019-07-07,888.0,Container Sets
354,2019-07-08,817.0,Container Sets
355,2019-07-09,812.0,Container Sets
356,2019-07-10,919.0,Container Sets
357,2019-07-11,919.0,Container Sets
358,2019-07-12,658.0,Container Sets
359,2019-07-13,699.0,Container Sets
360,2019-07-14,699.0,Container Sets
361,2019-07-15,994.0,Container Sets
362,2019-07-16,1326.0,Container Sets
363,2019-07-17,1523.0,Container Sets
364,2019-07-18,1038.0,Container Sets
365,2019-07-19,823.0,Container Sets
366,2019-07-20,867.0,Container Sets
367,2019-07-21,870.0,Container Sets
368,2019-07-22,840.0,Container Sets
369,2019-07-23,817.0,Container Sets
370,2019-07-24,805.0,Container Sets
371,2019-07-25,884.0,Container Sets
372,2019-07-26,813.0,Container Sets
373,2019-07-27,995.0,Container Sets
