,date,value,name_B079XTZKF3
0,2020-05-29,13986.0,B2 (Riboflavin)
1,2020-05-30,13292.0,B2 (Riboflavin)
2,2020-05-31,13292.0,B2 (Riboflavin)
3,2020-06-01,13292.0,B2 (Riboflavin)
4,2020-06-02,13714.0,B2 (Riboflavin)
5,2020-06-03,13714.0,B2 (Riboflavin)
6,2020-06-04,13714.0,B2 (Riboflavin)
7,2020-06-05,11670.0,B2 (Riboflavin)
8,2020-06-06,11670.0,B2 (Riboflavin)
9,2020-06-07,15237.0,B2 (Riboflavin)
10,2020-06-08,11747.0,B2 (Riboflavin)
11,2020-06-09,11747.0,B2 (Riboflavin)
12,2020-06-10,11747.0,B2 (Riboflavin)
13,2020-06-11,10650.0,B2 (Riboflavin)
14,2020-06-12,10650.0,B2 (Riboflavin)
15,2020-06-13,10650.0,B2 (Riboflavin)
16,2020-06-14,10650.0,B2 (Riboflavin)
17,2020-06-15,12219.0,B2 (Riboflavin)
18,2020-06-16,13175.0,B2 (Riboflavin)
19,2020-06-17,13175.0,B2 (Riboflavin)
20,2020-06-18,11356.0,B2 (Riboflavin)
21,2020-06-19,11356.0,B2 (Riboflavin)
22,2020-06-20,11356.0,B2 (Riboflavin)
23,2020-06-21,15739.0,B2 (Riboflavin)
24,2020-06-22,15739.0,B2 (Riboflavin)
25,2020-06-23,11571.0,B2 (Riboflavin)
26,2020-06-24,14668.0,B2 (Riboflavin)
27,2020-06-25,14668.0,B2 (Riboflavin)
28,2020-06-26,15313.0,B2 (Riboflavin)
29,2020-06-27,15313.0,B2 (Riboflavin)
30,2020-06-28,14221.0,B2 (Riboflavin)
31,2020-06-29,12657.0,B2 (Riboflavin)
32,2020-06-30,12657.0,B2 (Riboflavin)
33,2020-07-01,12657.0,B2 (Riboflavin)
34,2020-07-02,14242.0,B2 (Riboflavin)
35,2020-07-03,15292.0,B2 (Riboflavin)
36,2020-07-04,13375.0,B2 (Riboflavin)
37,2020-07-05,13375.0,B2 (Riboflavin)
38,2020-07-06,12120.0,B2 (Riboflavin)
39,2020-07-07,12120.0,B2 (Riboflavin)
40,2020-07-08,14893.0,B2 (Riboflavin)
