,date,value,name_B07BJCPLHC
0,2020-02-21,10636.0,First Aid Tape
1,2020-02-22,10636.0,First Aid Tape
2,2020-02-23,7609.0,First Aid Tape
3,2020-02-24,8261.0,First Aid Tape
4,2020-02-25,8261.0,First Aid Tape
5,2020-02-26,8261.0,First Aid Tape
6,2020-02-27,8261.0,First Aid Tape
7,2020-02-28,8261.0,First Aid Tape
8,2020-02-29,-1.0,First Aid Tape
9,2020-03-01,-1.0,First Aid Tape
10,2020-03-02,-1.0,First Aid Tape
11,2020-03-03,-1.0,First Aid Tape
12,2020-03-04,-1.0,First Aid Tape
13,2020-03-05,-1.0,First Aid Tape
14,2020-03-06,-1.0,First Aid Tape
15,2020-03-07,-1.0,First Aid Tape
16,2020-03-08,-1.0,First Aid Tape
17,2020-03-09,-1.0,First Aid Tape
18,2020-03-10,-1.0,First Aid Tape
19,2020-03-11,-1.0,First Aid Tape
20,2020-03-12,-1.0,First Aid Tape
21,2020-03-13,-1.0,First Aid Tape
22,2020-03-14,-1.0,First Aid Tape
23,2020-03-15,-1.0,First Aid Tape
24,2020-03-16,-1.0,First Aid Tape
25,2020-03-17,-1.0,First Aid Tape
26,2020-03-18,-1.0,First Aid Tape
27,2020-03-19,-1.0,First Aid Tape
28,2020-03-20,-1.0,First Aid Tape
29,2020-03-21,-1.0,First Aid Tape
30,2020-03-22,-1.0,First Aid Tape
31,2020-03-23,-1.0,First Aid Tape
32,2020-03-24,-1.0,First Aid Tape
33,2020-03-25,-1.0,First Aid Tape
34,2020-03-26,-1.0,First Aid Tape
35,2020-03-27,-1.0,First Aid Tape
36,2020-03-28,-1.0,First Aid Tape
37,2020-03-29,-1.0,First Aid Tape
38,2020-03-30,-1.0,First Aid Tape
39,2020-03-31,-1.0,First Aid Tape
40,2020-04-01,-1.0,First Aid Tape
41,2020-04-02,-1.0,First Aid Tape
42,2020-04-03,-1.0,First Aid Tape
43,2020-04-04,-1.0,First Aid Tape
44,2020-04-05,-1.0,First Aid Tape
45,2020-04-06,-1.0,First Aid Tape
46,2020-04-07,-1.0,First Aid Tape
47,2020-04-08,-1.0,First Aid Tape
48,2020-04-09,-1.0,First Aid Tape
49,2020-04-10,-1.0,First Aid Tape
50,2020-04-11,-1.0,First Aid Tape
51,2020-04-12,-1.0,First Aid Tape
52,2020-04-13,-1.0,First Aid Tape
53,2020-04-14,-1.0,First Aid Tape
54,2020-04-15,-1.0,First Aid Tape
55,2020-04-16,-1.0,First Aid Tape
56,2020-04-17,-1.0,First Aid Tape
57,2020-04-18,-1.0,First Aid Tape
58,2020-04-19,-1.0,First Aid Tape
59,2020-04-20,-1.0,First Aid Tape
60,2020-04-21,-1.0,First Aid Tape
61,2020-04-22,-1.0,First Aid Tape
62,2020-04-23,-1.0,First Aid Tape
63,2020-04-24,-1.0,First Aid Tape
64,2020-04-25,-1.0,First Aid Tape
65,2020-04-26,-1.0,First Aid Tape
66,2020-04-27,-1.0,First Aid Tape
67,2020-04-28,-1.0,First Aid Tape
68,2020-04-29,-1.0,First Aid Tape
69,2020-04-30,-1.0,First Aid Tape
70,2020-05-01,-1.0,First Aid Tape
71,2020-05-02,-1.0,First Aid Tape
72,2020-05-03,-1.0,First Aid Tape
73,2020-05-04,-1.0,First Aid Tape
74,2020-05-05,-1.0,First Aid Tape
75,2020-05-06,-1.0,First Aid Tape
76,2020-05-07,-1.0,First Aid Tape
77,2020-05-08,-1.0,First Aid Tape
78,2020-05-09,-1.0,First Aid Tape
79,2020-05-10,-1.0,First Aid Tape
80,2020-05-11,-1.0,First Aid Tape
81,2020-05-12,-1.0,First Aid Tape
82,2020-05-13,-1.0,First Aid Tape
83,2020-05-14,-1.0,First Aid Tape
84,2020-05-15,-1.0,First Aid Tape
85,2020-05-16,-1.0,First Aid Tape
86,2020-05-17,-1.0,First Aid Tape
87,2020-05-18,-1.0,First Aid Tape
88,2020-05-19,-1.0,First Aid Tape
89,2020-05-20,-1.0,First Aid Tape
90,2020-05-21,-1.0,First Aid Tape
91,2020-05-22,-1.0,First Aid Tape
92,2020-05-23,-1.0,First Aid Tape
93,2020-05-24,11512.0,First Aid Tape
94,2020-05-25,11512.0,First Aid Tape
95,2020-05-26,11571.0,First Aid Tape
96,2020-05-27,11571.0,First Aid Tape
97,2020-05-28,10952.0,First Aid Tape
98,2020-05-29,10952.0,First Aid Tape
99,2020-05-30,10952.0,First Aid Tape
100,2020-05-31,10794.0,First Aid Tape
101,2020-06-01,10794.0,First Aid Tape
102,2020-06-02,10989.0,First Aid Tape
103,2020-06-03,10989.0,First Aid Tape
104,2020-06-04,11527.0,First Aid Tape
105,2020-06-05,11527.0,First Aid Tape
106,2020-06-06,10229.0,First Aid Tape
107,2020-06-07,10229.0,First Aid Tape
108,2020-06-08,9677.0,First Aid Tape
109,2020-06-09,8692.0,First Aid Tape
110,2020-06-10,8692.0,First Aid Tape
111,2020-06-11,10543.0,First Aid Tape
112,2020-06-12,10543.0,First Aid Tape
113,2020-06-13,9923.0,First Aid Tape
114,2020-06-14,9923.0,First Aid Tape
115,2020-06-15,9923.0,First Aid Tape
116,2020-06-16,10746.0,First Aid Tape
117,2020-06-17,9903.0,First Aid Tape
118,2020-06-18,9719.0,First Aid Tape
119,2020-06-19,9719.0,First Aid Tape
120,2020-06-20,11996.0,First Aid Tape
121,2020-06-21,11166.0,First Aid Tape
122,2020-06-22,11166.0,First Aid Tape
123,2020-06-23,9393.0,First Aid Tape
124,2020-06-24,10296.0,First Aid Tape
125,2020-06-25,10296.0,First Aid Tape
126,2020-06-26,10112.0,First Aid Tape
127,2020-06-27,10112.0,First Aid Tape
128,2020-06-28,10112.0,First Aid Tape
129,2020-06-29,12434.0,First Aid Tape
130,2020-06-30,12434.0,First Aid Tape
131,2020-07-01,12434.0,First Aid Tape
132,2020-07-02,10156.0,First Aid Tape
133,2020-07-03,10656.0,First Aid Tape
134,2020-07-04,12577.0,First Aid Tape
135,2020-07-05,12389.0,First Aid Tape
136,2020-07-06,12389.0,First Aid Tape
137,2020-07-07,11728.0,First Aid Tape
138,2020-07-08,13106.0,First Aid Tape
139,2020-07-09,11391.0,First Aid Tape
140,2020-07-10,12703.0,First Aid Tape
141,2020-07-11,12703.0,First Aid Tape
142,2020-07-12,12703.0,First Aid Tape
143,2020-07-13,12076.0,First Aid Tape
144,2020-07-14,10550.0,First Aid Tape
145,2020-07-15,10719.0,First Aid Tape
146,2020-07-16,11211.0,First Aid Tape
147,2020-07-17,11877.0,First Aid Tape
148,2020-07-18,11877.0,First Aid Tape
149,2020-07-19,11621.0,First Aid Tape
150,2020-07-20,9841.0,First Aid Tape
151,2020-07-21,9692.0,First Aid Tape
152,2020-07-22,11068.0,First Aid Tape
153,2020-07-23,8940.0,First Aid Tape
154,2020-07-24,10030.0,First Aid Tape
155,2020-07-25,10030.0,First Aid Tape
156,2020-07-26,11558.0,First Aid Tape
157,2020-07-27,11841.0,First Aid Tape
158,2020-07-28,9590.0,First Aid Tape
159,2020-07-29,11051.0,First Aid Tape
160,2020-07-30,11051.0,First Aid Tape
161,2020-07-31,11051.0,First Aid Tape
162,2020-08-01,10711.0,First Aid Tape
163,2020-08-02,10214.0,First Aid Tape
164,2020-08-03,12035.0,First Aid Tape
165,2020-08-04,12676.0,First Aid Tape
166,2020-08-05,11550.0,First Aid Tape
167,2020-08-06,11339.0,First Aid Tape
168,2020-08-07,11339.0,First Aid Tape
169,2020-08-08,11339.0,First Aid Tape
170,2020-08-09,11625.0,First Aid Tape
171,2020-08-10,11534.0,First Aid Tape
172,2020-08-11,10191.0,First Aid Tape
173,2020-08-12,11985.0,First Aid Tape
174,2020-08-13,11985.0,First Aid Tape
175,2020-08-14,11244.0,First Aid Tape
176,2020-08-15,11244.0,First Aid Tape
177,2020-08-16,11244.0,First Aid Tape
178,2020-08-17,10924.0,First Aid Tape
179,2020-08-18,12037.0,First Aid Tape
180,2020-08-19,10881.0,First Aid Tape
181,2020-08-20,10881.0,First Aid Tape
182,2020-08-21,10881.0,First Aid Tape
183,2020-08-22,11256.0,First Aid Tape
184,2020-08-23,9501.0,First Aid Tape
185,2020-08-24,14077.0,First Aid Tape
186,2020-08-25,13623.0,First Aid Tape
187,2020-08-26,9901.0,First Aid Tape
188,2020-08-27,11926.0,First Aid Tape
189,2020-08-28,11926.0,First Aid Tape
190,2020-08-29,11926.0,First Aid Tape
191,2020-08-30,10658.0,First Aid Tape
192,2020-08-31,10658.0,First Aid Tape
193,2020-09-01,10658.0,First Aid Tape
194,2020-09-02,13890.0,First Aid Tape
195,2020-09-03,12596.0,First Aid Tape
196,2020-09-04,11936.0,First Aid Tape
197,2020-09-05,11936.0,First Aid Tape
198,2020-09-06,11103.0,First Aid Tape
199,2020-09-07,12017.0,First Aid Tape
200,2020-09-08,14146.0,First Aid Tape
201,2020-09-09,14693.0,First Aid Tape
202,2020-09-10,11762.0,First Aid Tape
203,2020-09-11,11762.0,First Aid Tape
204,2020-09-12,11762.0,First Aid Tape
205,2020-09-13,12989.0,First Aid Tape
206,2020-09-14,12977.0,First Aid Tape
207,2020-09-15,13238.0,First Aid Tape
208,2020-09-16,11790.0,First Aid Tape
209,2020-09-17,11790.0,First Aid Tape
210,2020-09-18,11712.0,First Aid Tape
211,2020-09-19,9549.0,First Aid Tape
212,2020-09-20,11655.0,First Aid Tape
213,2020-09-21,13135.0,First Aid Tape
214,2020-09-22,12712.0,First Aid Tape
215,2020-09-23,12468.0,First Aid Tape
216,2020-09-24,10632.0,First Aid Tape
217,2020-09-25,9924.0,First Aid Tape
218,2020-09-26,11656.0,First Aid Tape
219,2020-09-27,14191.0,First Aid Tape
220,2020-09-28,13701.0,First Aid Tape
221,2020-09-29,13701.0,First Aid Tape
222,2020-09-30,15627.0,First Aid Tape
223,2020-10-01,12864.0,First Aid Tape
224,2020-10-02,15689.0,First Aid Tape
225,2020-10-03,14956.0,First Aid Tape
226,2020-10-04,14169.0,First Aid Tape
227,2020-10-05,16011.0,First Aid Tape
228,2020-10-06,16373.0,First Aid Tape
229,2020-10-07,18903.0,First Aid Tape
230,2020-10-08,18591.0,First Aid Tape
231,2020-10-09,16968.0,First Aid Tape
232,2020-10-10,15695.0,First Aid Tape
233,2020-10-11,18056.0,First Aid Tape
234,2020-10-12,20975.0,First Aid Tape
235,2020-10-13,26904.0,First Aid Tape
236,2020-10-14,18877.0,First Aid Tape
237,2020-10-15,19339.0,First Aid Tape
238,2020-10-16,18332.0,First Aid Tape
239,2020-10-17,18978.0,First Aid Tape
240,2020-10-18,20231.0,First Aid Tape
241,2020-10-19,21192.0,First Aid Tape
242,2020-10-20,22366.0,First Aid Tape
243,2020-10-21,20934.0,First Aid Tape
