,date,value,name_B07BSHS3GN
0,2018-07-10,6052.0,Vertical & Wall Planters
1,2018-07-11,11051.0,Vertical & Wall Planters
2,2018-07-12,12841.0,Vertical & Wall Planters
3,2018-07-13,18529.0,Vertical & Wall Planters
4,2018-07-14,10530.0,Vertical & Wall Planters
5,2018-07-15,13152.0,Vertical & Wall Planters
6,2018-07-16,11517.0,Vertical & Wall Planters
7,2018-07-17,11517.0,Vertical & Wall Planters
8,2018-07-18,6535.0,Vertical & Wall Planters
9,2018-07-19,6535.0,Vertical & Wall Planters
10,2018-07-20,5707.0,Vertical & Wall Planters
11,2018-07-21,5072.0,Vertical & Wall Planters
12,2018-07-22,4685.0,Vertical & Wall Planters
13,2018-07-23,3470.0,Vertical & Wall Planters
14,2018-07-24,5001.0,Vertical & Wall Planters
15,2018-07-25,5244.0,Vertical & Wall Planters
16,2018-07-26,7247.0,Vertical & Wall Planters
17,2018-07-27,7247.0,Vertical & Wall Planters
18,2018-07-28,4763.0,Vertical & Wall Planters
19,2018-07-29,5669.0,Vertical & Wall Planters
20,2018-07-30,5669.0,Vertical & Wall Planters
21,2018-07-31,9217.0,Vertical & Wall Planters
22,2018-08-01,9217.0,Vertical & Wall Planters
23,2018-08-02,7511.0,Vertical & Wall Planters
24,2018-08-03,7511.0,Vertical & Wall Planters
25,2018-08-04,9676.0,Vertical & Wall Planters
26,2018-08-05,9676.0,Vertical & Wall Planters
27,2018-08-06,6150.0,Vertical & Wall Planters
28,2018-08-07,6150.0,Vertical & Wall Planters
29,2018-08-08,5542.0,Vertical & Wall Planters
30,2018-08-09,7705.0,Vertical & Wall Planters
31,2018-08-10,8755.0,Vertical & Wall Planters
32,2018-08-11,8755.0,Vertical & Wall Planters
33,2018-08-12,5999.0,Vertical & Wall Planters
34,2018-08-13,5999.0,Vertical & Wall Planters
35,2018-08-14,6275.0,Vertical & Wall Planters
36,2018-08-15,6275.0,Vertical & Wall Planters
37,2018-08-16,5548.0,Vertical & Wall Planters
38,2018-08-17,6436.0,Vertical & Wall Planters
39,2018-08-18,8714.0,Vertical & Wall Planters
40,2018-08-19,8714.0,Vertical & Wall Planters
41,2018-08-20,9668.0,Vertical & Wall Planters
42,2018-08-21,7231.0,Vertical & Wall Planters
43,2018-08-22,6908.0,Vertical & Wall Planters
44,2018-08-23,4534.0,Vertical & Wall Planters
45,2018-08-24,7379.0,Vertical & Wall Planters
46,2018-08-25,4368.0,Vertical & Wall Planters
47,2018-08-26,4368.0,Vertical & Wall Planters
48,2018-08-27,6059.0,Vertical & Wall Planters
49,2018-08-28,7337.0,Vertical & Wall Planters
50,2018-08-29,5006.0,Vertical & Wall Planters
51,2018-08-30,4476.0,Vertical & Wall Planters
52,2018-08-31,6679.0,Vertical & Wall Planters
53,2018-09-01,5071.0,Vertical & Wall Planters
54,2018-09-02,4929.0,Vertical & Wall Planters
55,2018-09-03,5343.0,Vertical & Wall Planters
56,2018-09-04,5141.0,Vertical & Wall Planters
57,2018-09-05,5143.0,Vertical & Wall Planters
58,2018-09-06,4888.0,Vertical & Wall Planters
59,2018-09-07,5019.0,Vertical & Wall Planters
60,2018-09-08,2648.0,Vertical & Wall Planters
61,2018-09-09,3599.0,Vertical & Wall Planters
62,2018-09-10,4492.0,Vertical & Wall Planters
63,2018-09-11,3302.0,Vertical & Wall Planters
64,2018-09-12,4803.0,Vertical & Wall Planters
65,2018-09-13,4803.0,Vertical & Wall Planters
66,2018-09-14,8066.0,Vertical & Wall Planters
67,2018-09-15,5013.0,Vertical & Wall Planters
68,2018-09-16,3882.0,Vertical & Wall Planters
69,2018-09-17,4819.0,Vertical & Wall Planters
70,2018-09-18,6720.0,Vertical & Wall Planters
71,2018-09-19,7819.0,Vertical & Wall Planters
72,2018-09-20,7819.0,Vertical & Wall Planters
73,2018-09-21,9348.0,Vertical & Wall Planters
74,2018-09-22,6008.0,Vertical & Wall Planters
75,2018-09-23,4546.0,Vertical & Wall Planters
76,2018-09-24,8743.0,Vertical & Wall Planters
77,2018-09-25,11757.0,Vertical & Wall Planters
78,2018-09-26,11757.0,Vertical & Wall Planters
79,2018-09-27,7050.0,Vertical & Wall Planters
80,2018-09-28,7050.0,Vertical & Wall Planters
81,2018-09-29,6838.0,Vertical & Wall Planters
82,2018-09-30,6838.0,Vertical & Wall Planters
83,2018-10-01,5636.0,Vertical & Wall Planters
84,2018-10-02,6988.0,Vertical & Wall Planters
85,2018-10-03,6371.0,Vertical & Wall Planters
86,2018-10-04,7078.0,Vertical & Wall Planters
87,2018-10-05,6248.0,Vertical & Wall Planters
88,2018-10-06,6248.0,Vertical & Wall Planters
89,2018-10-07,6248.0,Vertical & Wall Planters
90,2018-10-08,6248.0,Vertical & Wall Planters
91,2018-10-09,8188.0,Vertical & Wall Planters
92,2018-10-10,8188.0,Vertical & Wall Planters
93,2018-10-11,10963.0,Vertical & Wall Planters
94,2018-10-12,8056.0,Vertical & Wall Planters
95,2018-10-13,5679.0,Vertical & Wall Planters
96,2018-10-14,6506.0,Vertical & Wall Planters
97,2018-10-15,4034.0,Vertical & Wall Planters
98,2018-10-16,5124.0,Vertical & Wall Planters
99,2018-10-17,5124.0,Vertical & Wall Planters
100,2018-10-18,5124.0,Vertical & Wall Planters
101,2018-10-19,8315.0,Vertical & Wall Planters
102,2018-10-20,8315.0,Vertical & Wall Planters
103,2018-10-21,7038.0,Vertical & Wall Planters
104,2018-10-22,7038.0,Vertical & Wall Planters
105,2018-10-23,7038.0,Vertical & Wall Planters
106,2018-10-24,7038.0,Vertical & Wall Planters
107,2018-10-25,7038.0,Vertical & Wall Planters
108,2018-10-26,9625.0,Vertical & Wall Planters
109,2018-10-27,9185.0,Vertical & Wall Planters
110,2018-10-28,8830.0,Vertical & Wall Planters
111,2018-10-29,5389.0,Vertical & Wall Planters
112,2018-10-30,5754.0,Vertical & Wall Planters
113,2018-10-31,7630.0,Vertical & Wall Planters
114,2018-11-01,7630.0,Vertical & Wall Planters
115,2018-11-02,6507.0,Vertical & Wall Planters
116,2018-11-03,6507.0,Vertical & Wall Planters
117,2018-11-04,6599.0,Vertical & Wall Planters
118,2018-11-05,6907.0,Vertical & Wall Planters
119,2018-11-06,6907.0,Vertical & Wall Planters
120,2018-11-07,6907.0,Vertical & Wall Planters
121,2018-11-08,6907.0,Vertical & Wall Planters
122,2018-11-09,6907.0,Vertical & Wall Planters
123,2018-11-10,5826.0,Vertical & Wall Planters
124,2018-11-11,10766.0,Vertical & Wall Planters
125,2018-11-12,10766.0,Vertical & Wall Planters
126,2018-11-13,7068.0,Vertical & Wall Planters
127,2018-11-14,15093.0,Vertical & Wall Planters
128,2018-11-15,11679.0,Vertical & Wall Planters
129,2018-11-16,11710.0,Vertical & Wall Planters
130,2018-11-17,5514.0,Vertical & Wall Planters
131,2018-11-18,4993.0,Vertical & Wall Planters
132,2018-11-19,7033.0,Vertical & Wall Planters
133,2018-11-20,7033.0,Vertical & Wall Planters
134,2018-11-21,6523.0,Vertical & Wall Planters
135,2018-11-22,4352.0,Vertical & Wall Planters
136,2018-11-23,4352.0,Vertical & Wall Planters
137,2018-11-24,4352.0,Vertical & Wall Planters
138,2018-11-25,4352.0,Vertical & Wall Planters
139,2018-11-26,4352.0,Vertical & Wall Planters
140,2018-11-27,4352.0,Vertical & Wall Planters
