,date,value,name_B07BTN8NWF
0,2020-05-24,7726.0,Multi-Enzymes
1,2020-05-25,6944.0,Multi-Enzymes
2,2020-05-26,6944.0,Multi-Enzymes
3,2020-05-27,6113.0,Multi-Enzymes
4,2020-05-28,6113.0,Multi-Enzymes
5,2020-05-29,6113.0,Multi-Enzymes
6,2020-05-30,6822.0,Multi-Enzymes
7,2020-05-31,7267.0,Multi-Enzymes
8,2020-06-01,7267.0,Multi-Enzymes
9,2020-06-02,5529.0,Multi-Enzymes
10,2020-06-03,5529.0,Multi-Enzymes
11,2020-06-04,6042.0,Multi-Enzymes
12,2020-06-05,6042.0,Multi-Enzymes
13,2020-06-06,6042.0,Multi-Enzymes
14,2020-06-07,5238.0,Multi-Enzymes
15,2020-06-08,5708.0,Multi-Enzymes
16,2020-06-09,5708.0,Multi-Enzymes
17,2020-06-10,5708.0,Multi-Enzymes
18,2020-06-11,5816.0,Multi-Enzymes
19,2020-06-12,5816.0,Multi-Enzymes
20,2020-06-13,5816.0,Multi-Enzymes
21,2020-06-14,6793.0,Multi-Enzymes
22,2020-06-15,6793.0,Multi-Enzymes
23,2020-06-16,6793.0,Multi-Enzymes
24,2020-06-17,16985.0,Multi-Enzymes
25,2020-06-18,20584.0,Multi-Enzymes
26,2020-06-19,43583.0,Multi-Enzymes
27,2020-06-20,43583.0,Multi-Enzymes
28,2020-06-21,43583.0,Multi-Enzymes
29,2020-06-22,50198.0,Multi-Enzymes
30,2020-06-23,50198.0,Multi-Enzymes
31,2020-06-24,43563.0,Multi-Enzymes
32,2020-06-25,49841.0,Multi-Enzymes
33,2020-06-26,51719.0,Multi-Enzymes
34,2020-06-27,51719.0,Multi-Enzymes
35,2020-06-28,37581.0,Multi-Enzymes
36,2020-06-29,37581.0,Multi-Enzymes
37,2020-06-30,31764.0,Multi-Enzymes
38,2020-07-01,31764.0,Multi-Enzymes
39,2020-07-02,45143.0,Multi-Enzymes
40,2020-07-03,52559.0,Multi-Enzymes
41,2020-07-04,52559.0,Multi-Enzymes
42,2020-07-05,52559.0,Multi-Enzymes
43,2020-07-06,49699.0,Multi-Enzymes
44,2020-07-07,49699.0,Multi-Enzymes
45,2020-07-08,38466.0,Multi-Enzymes
46,2020-07-09,49557.0,Multi-Enzymes
47,2020-07-10,43551.0,Multi-Enzymes
48,2020-07-11,45425.0,Multi-Enzymes
49,2020-07-12,45425.0,Multi-Enzymes
50,2020-07-13,73862.0,Multi-Enzymes
51,2020-07-14,73862.0,Multi-Enzymes
52,2020-07-15,73862.0,Multi-Enzymes
53,2020-07-16,49592.0,Multi-Enzymes
54,2020-07-17,49592.0,Multi-Enzymes
55,2020-07-18,51550.0,Multi-Enzymes
56,2020-07-19,55055.0,Multi-Enzymes
57,2020-07-20,55055.0,Multi-Enzymes
58,2020-07-21,55055.0,Multi-Enzymes
59,2020-07-22,54958.0,Multi-Enzymes
60,2020-07-23,54958.0,Multi-Enzymes
61,2020-07-24,45358.0,Multi-Enzymes
62,2020-07-25,45358.0,Multi-Enzymes
63,2020-07-26,45358.0,Multi-Enzymes
64,2020-07-27,42417.0,Multi-Enzymes
65,2020-07-28,40046.0,Multi-Enzymes
66,2020-07-29,42433.0,Multi-Enzymes
67,2020-07-30,42433.0,Multi-Enzymes
68,2020-07-31,42433.0,Multi-Enzymes
69,2020-08-01,46165.0,Multi-Enzymes
70,2020-08-02,46165.0,Multi-Enzymes
71,2020-08-03,46165.0,Multi-Enzymes
72,2020-08-04,41195.0,Multi-Enzymes
73,2020-08-05,41195.0,Multi-Enzymes
74,2020-08-06,41195.0,Multi-Enzymes
75,2020-08-07,54431.0,Multi-Enzymes
76,2020-08-08,54431.0,Multi-Enzymes
77,2020-08-09,54431.0,Multi-Enzymes
78,2020-08-10,60195.0,Multi-Enzymes
79,2020-08-11,56096.0,Multi-Enzymes
80,2020-08-12,56096.0,Multi-Enzymes
81,2020-08-13,56096.0,Multi-Enzymes
82,2020-08-14,41212.0,Multi-Enzymes
83,2020-08-15,41212.0,Multi-Enzymes
84,2020-08-16,44395.0,Multi-Enzymes
85,2020-08-17,44395.0,Multi-Enzymes
86,2020-08-18,39455.0,Multi-Enzymes
87,2020-08-19,47511.0,Multi-Enzymes
88,2020-08-20,50164.0,Multi-Enzymes
89,2020-08-21,38057.0,Multi-Enzymes
90,2020-08-22,38057.0,Multi-Enzymes
91,2020-08-23,38057.0,Multi-Enzymes
92,2020-08-24,37442.0,Multi-Enzymes
93,2020-08-25,37442.0,Multi-Enzymes
94,2020-08-26,37442.0,Multi-Enzymes
95,2020-08-27,48049.0,Multi-Enzymes
96,2020-08-28,37284.0,Multi-Enzymes
97,2020-08-29,37284.0,Multi-Enzymes
98,2020-08-30,37284.0,Multi-Enzymes
99,2020-08-31,42892.0,Multi-Enzymes
100,2020-09-01,46056.0,Multi-Enzymes
101,2020-09-02,46487.0,Multi-Enzymes
102,2020-09-03,80038.0,Multi-Enzymes
103,2020-09-04,80038.0,Multi-Enzymes
104,2020-09-05,80038.0,Multi-Enzymes
105,2020-09-06,47993.0,Multi-Enzymes
106,2020-09-07,47993.0,Multi-Enzymes
107,2020-09-08,56804.0,Multi-Enzymes
108,2020-09-09,41930.0,Multi-Enzymes
109,2020-09-10,41930.0,Multi-Enzymes
110,2020-09-11,60080.0,Multi-Enzymes
111,2020-09-12,60080.0,Multi-Enzymes
112,2020-09-13,60080.0,Multi-Enzymes
113,2020-09-14,69799.0,Multi-Enzymes
114,2020-09-15,62294.0,Multi-Enzymes
115,2020-09-16,48920.0,Multi-Enzymes
116,2020-09-17,52988.0,Multi-Enzymes
117,2020-09-18,52988.0,Multi-Enzymes
118,2020-09-19,45296.0,Multi-Enzymes
119,2020-09-20,45296.0,Multi-Enzymes
120,2020-09-21,34193.0,Multi-Enzymes
121,2020-09-22,34193.0,Multi-Enzymes
122,2020-09-23,34193.0,Multi-Enzymes
123,2020-09-24,36209.0,Multi-Enzymes
124,2020-09-25,36209.0,Multi-Enzymes
125,2020-09-26,42741.0,Multi-Enzymes
126,2020-09-27,41949.0,Multi-Enzymes
127,2020-09-28,41949.0,Multi-Enzymes
128,2020-09-29,41949.0,Multi-Enzymes
129,2020-09-30,36159.0,Multi-Enzymes
130,2020-10-01,44708.0,Multi-Enzymes
131,2020-10-02,44708.0,Multi-Enzymes
132,2020-10-03,44708.0,Multi-Enzymes
133,2020-10-04,49263.0,Multi-Enzymes
134,2020-10-05,49263.0,Multi-Enzymes
135,2020-10-06,40924.0,Multi-Enzymes
136,2020-10-07,31804.0,Multi-Enzymes
137,2020-10-08,31804.0,Multi-Enzymes
138,2020-10-09,40740.0,Multi-Enzymes
139,2020-10-10,39427.0,Multi-Enzymes
140,2020-10-11,54044.0,Multi-Enzymes
141,2020-10-12,54044.0,Multi-Enzymes
142,2020-10-13,42661.0,Multi-Enzymes
143,2020-10-14,42661.0,Multi-Enzymes
144,2020-10-15,42661.0,Multi-Enzymes
145,2020-10-16,51655.0,Multi-Enzymes
146,2020-10-17,51655.0,Multi-Enzymes
