,date,value,name_B07BWC3TV6
0,2018-07-12,10151.0,Food Jars & Canisters
1,2018-07-13,12666.0,Food Jars & Canisters
2,2018-07-14,12666.0,Food Jars & Canisters
3,2018-07-15,13308.0,Food Jars & Canisters
4,2018-07-16,13308.0,Food Jars & Canisters
5,2018-07-17,9778.0,Food Jars & Canisters
6,2018-07-18,13086.0,Food Jars & Canisters
7,2018-07-19,13086.0,Food Jars & Canisters
8,2018-07-20,13086.0,Food Jars & Canisters
9,2018-07-21,12720.0,Food Jars & Canisters
10,2018-07-22,10384.0,Food Jars & Canisters
11,2018-07-23,13520.0,Food Jars & Canisters
12,2018-07-24,13520.0,Food Jars & Canisters
13,2018-07-25,10415.0,Food Jars & Canisters
14,2018-07-26,10415.0,Food Jars & Canisters
15,2018-07-27,10415.0,Food Jars & Canisters
16,2018-07-28,10415.0,Food Jars & Canisters
17,2018-07-29,10197.0,Food Jars & Canisters
18,2018-07-30,7319.0,Food Jars & Canisters
19,2018-07-31,6407.0,Food Jars & Canisters
20,2018-08-01,7508.0,Food Jars & Canisters
21,2018-08-02,10168.0,Food Jars & Canisters
22,2018-08-03,10168.0,Food Jars & Canisters
23,2018-08-04,6659.0,Food Jars & Canisters
24,2018-08-05,10213.0,Food Jars & Canisters
25,2018-08-06,10213.0,Food Jars & Canisters
26,2018-08-07,10213.0,Food Jars & Canisters
27,2018-08-08,8487.0,Food Jars & Canisters
28,2018-08-09,8487.0,Food Jars & Canisters
29,2018-08-10,7802.0,Food Jars & Canisters
30,2018-08-11,7802.0,Food Jars & Canisters
31,2018-08-12,15021.0,Food Jars & Canisters
32,2018-08-13,15021.0,Food Jars & Canisters
33,2018-08-14,15021.0,Food Jars & Canisters
34,2018-08-15,6781.0,Food Jars & Canisters
35,2018-08-16,6781.0,Food Jars & Canisters
36,2018-08-17,6830.0,Food Jars & Canisters
37,2018-08-18,6830.0,Food Jars & Canisters
38,2018-08-19,9983.0,Food Jars & Canisters
39,2018-08-20,6496.0,Food Jars & Canisters
40,2018-08-21,6496.0,Food Jars & Canisters
41,2018-08-22,6463.0,Food Jars & Canisters
42,2018-08-23,7736.0,Food Jars & Canisters
43,2018-08-24,7736.0,Food Jars & Canisters
44,2018-08-25,7736.0,Food Jars & Canisters
45,2018-08-26,8926.0,Food Jars & Canisters
46,2018-08-27,7304.0,Food Jars & Canisters
47,2018-08-28,9420.0,Food Jars & Canisters
48,2018-08-29,11051.0,Food Jars & Canisters
49,2018-08-30,10236.0,Food Jars & Canisters
50,2018-08-31,10201.0,Food Jars & Canisters
51,2018-09-01,10201.0,Food Jars & Canisters
52,2018-09-02,5798.0,Food Jars & Canisters
53,2018-09-03,5158.0,Food Jars & Canisters
54,2018-09-04,5338.0,Food Jars & Canisters
55,2018-09-05,7707.0,Food Jars & Canisters
56,2018-09-06,7707.0,Food Jars & Canisters
57,2018-09-07,8995.0,Food Jars & Canisters
58,2018-09-08,5387.0,Food Jars & Canisters
59,2018-09-09,8617.0,Food Jars & Canisters
60,2018-09-10,8617.0,Food Jars & Canisters
61,2018-09-11,5528.0,Food Jars & Canisters
62,2018-09-12,5065.0,Food Jars & Canisters
63,2018-09-13,5065.0,Food Jars & Canisters
64,2018-09-14,5770.0,Food Jars & Canisters
65,2018-09-15,6365.0,Food Jars & Canisters
66,2018-09-16,6090.0,Food Jars & Canisters
67,2018-09-17,4757.0,Food Jars & Canisters
68,2018-09-18,4633.0,Food Jars & Canisters
69,2018-09-19,5838.0,Food Jars & Canisters
70,2018-09-20,5838.0,Food Jars & Canisters
71,2018-09-21,6190.0,Food Jars & Canisters
72,2018-09-22,5472.0,Food Jars & Canisters
73,2018-09-23,5642.0,Food Jars & Canisters
74,2018-09-24,6222.0,Food Jars & Canisters
75,2018-09-25,5166.0,Food Jars & Canisters
76,2018-09-26,6015.0,Food Jars & Canisters
77,2018-09-27,4809.0,Food Jars & Canisters
78,2018-09-28,6125.0,Food Jars & Canisters
79,2018-09-29,6125.0,Food Jars & Canisters
80,2018-09-30,10148.0,Food Jars & Canisters
81,2018-10-01,6002.0,Food Jars & Canisters
82,2018-10-02,5867.0,Food Jars & Canisters
83,2018-10-03,5943.0,Food Jars & Canisters
84,2018-10-04,5943.0,Food Jars & Canisters
85,2018-10-05,6964.0,Food Jars & Canisters
86,2018-10-06,7401.0,Food Jars & Canisters
87,2018-10-07,6594.0,Food Jars & Canisters
88,2018-10-08,6594.0,Food Jars & Canisters
89,2018-10-09,7250.0,Food Jars & Canisters
90,2018-10-10,7250.0,Food Jars & Canisters
91,2018-10-11,7161.0,Food Jars & Canisters
92,2018-10-12,8333.0,Food Jars & Canisters
93,2018-10-13,8333.0,Food Jars & Canisters
94,2018-10-14,5369.0,Food Jars & Canisters
95,2018-10-15,4869.0,Food Jars & Canisters
96,2018-10-16,6501.0,Food Jars & Canisters
97,2018-10-17,6650.0,Food Jars & Canisters
98,2018-10-18,5762.0,Food Jars & Canisters
99,2018-10-19,5762.0,Food Jars & Canisters
100,2018-10-20,5762.0,Food Jars & Canisters
101,2018-10-21,6241.0,Food Jars & Canisters
102,2018-10-22,6241.0,Food Jars & Canisters
103,2018-10-23,7409.0,Food Jars & Canisters
104,2018-10-24,7311.0,Food Jars & Canisters
105,2018-10-25,6451.0,Food Jars & Canisters
106,2018-10-26,6625.0,Food Jars & Canisters
107,2018-10-27,6962.0,Food Jars & Canisters
108,2018-10-28,6962.0,Food Jars & Canisters
109,2018-10-29,6170.0,Food Jars & Canisters
110,2018-10-30,6170.0,Food Jars & Canisters
111,2018-10-31,5894.0,Food Jars & Canisters
112,2018-11-01,6760.0,Food Jars & Canisters
113,2018-11-02,6760.0,Food Jars & Canisters
114,2018-11-03,4623.0,Food Jars & Canisters
115,2018-11-04,5522.0,Food Jars & Canisters
116,2018-11-05,5522.0,Food Jars & Canisters
117,2018-11-06,5424.0,Food Jars & Canisters
118,2018-11-07,5424.0,Food Jars & Canisters
119,2018-11-08,5424.0,Food Jars & Canisters
120,2018-11-09,5424.0,Food Jars & Canisters
121,2018-11-10,5424.0,Food Jars & Canisters
122,2018-11-11,5424.0,Food Jars & Canisters
123,2018-11-12,5424.0,Food Jars & Canisters
124,2018-11-13,5424.0,Food Jars & Canisters
125,2018-11-14,5424.0,Food Jars & Canisters
126,2018-11-15,6824.0,Food Jars & Canisters
127,2018-11-16,8044.0,Food Jars & Canisters
128,2018-11-17,7653.0,Food Jars & Canisters
129,2018-11-18,7653.0,Food Jars & Canisters
130,2018-11-19,7653.0,Food Jars & Canisters
131,2018-11-20,11526.0,Food Jars & Canisters
132,2018-11-21,6656.0,Food Jars & Canisters
133,2018-11-22,6656.0,Food Jars & Canisters
134,2018-11-23,6656.0,Food Jars & Canisters
135,2018-11-24,14733.0,Food Jars & Canisters
136,2018-11-25,14733.0,Food Jars & Canisters
137,2018-11-26,9558.0,Food Jars & Canisters
138,2018-11-27,9558.0,Food Jars & Canisters
139,2018-11-28,10958.0,Food Jars & Canisters
140,2018-11-29,10958.0,Food Jars & Canisters
141,2018-11-30,6455.0,Food Jars & Canisters
142,2018-12-01,5967.0,Food Jars & Canisters
143,2018-12-02,5967.0,Food Jars & Canisters
144,2018-12-03,6904.0,Food Jars & Canisters
145,2018-12-04,7004.0,Food Jars & Canisters
146,2018-12-05,7722.0,Food Jars & Canisters
147,2018-12-06,9946.0,Food Jars & Canisters
148,2018-12-07,7015.0,Food Jars & Canisters
149,2018-12-08,10399.0,Food Jars & Canisters
150,2018-12-09,7521.0,Food Jars & Canisters
151,2018-12-10,7297.0,Food Jars & Canisters
152,2018-12-11,6889.0,Food Jars & Canisters
153,2018-12-12,8307.0,Food Jars & Canisters
154,2018-12-13,7849.0,Food Jars & Canisters
155,2018-12-14,7849.0,Food Jars & Canisters
156,2018-12-15,9177.0,Food Jars & Canisters
157,2018-12-16,8426.0,Food Jars & Canisters
158,2018-12-17,8426.0,Food Jars & Canisters
159,2018-12-18,8426.0,Food Jars & Canisters
160,2018-12-19,7701.0,Food Jars & Canisters
161,2018-12-20,5832.0,Food Jars & Canisters
162,2018-12-21,6256.0,Food Jars & Canisters
163,2018-12-22,5838.0,Food Jars & Canisters
164,2018-12-23,5838.0,Food Jars & Canisters
165,2018-12-24,5838.0,Food Jars & Canisters
166,2018-12-25,6260.0,Food Jars & Canisters
167,2018-12-26,3934.0,Food Jars & Canisters
168,2018-12-27,4007.0,Food Jars & Canisters
169,2018-12-28,4342.0,Food Jars & Canisters
170,2018-12-29,2615.0,Food Jars & Canisters
171,2018-12-30,4205.0,Food Jars & Canisters
172,2018-12-31,4205.0,Food Jars & Canisters
173,2019-01-01,3273.0,Food Jars & Canisters
174,2019-01-02,3928.0,Food Jars & Canisters
175,2019-01-03,3928.0,Food Jars & Canisters
176,2019-01-04,4068.0,Food Jars & Canisters
177,2019-01-05,3426.0,Food Jars & Canisters
178,2019-01-06,3200.0,Food Jars & Canisters
179,2019-01-07,2542.0,Food Jars & Canisters
180,2019-01-08,3045.0,Food Jars & Canisters
181,2019-01-09,3076.0,Food Jars & Canisters
182,2019-01-10,2926.0,Food Jars & Canisters
183,2019-01-11,2843.0,Food Jars & Canisters
184,2019-01-12,3114.0,Food Jars & Canisters
185,2019-01-13,4215.0,Food Jars & Canisters
186,2019-01-14,4215.0,Food Jars & Canisters
187,2019-01-15,3183.0,Food Jars & Canisters
188,2019-01-16,2710.0,Food Jars & Canisters
189,2019-01-17,2710.0,Food Jars & Canisters
190,2019-01-18,3187.0,Food Jars & Canisters
191,2019-01-19,2693.0,Food Jars & Canisters
