,date,value,name_B07C2DW74M
0,2020-06-04,18416.0,Greeting Cards
1,2020-06-05,27791.0,Greeting Cards
2,2020-06-06,27791.0,Greeting Cards
3,2020-06-07,27791.0,Greeting Cards
4,2020-06-08,27791.0,Greeting Cards
5,2020-06-09,23899.0,Greeting Cards
6,2020-06-10,23899.0,Greeting Cards
7,2020-06-11,23899.0,Greeting Cards
8,2020-06-12,23899.0,Greeting Cards
9,2020-06-13,23899.0,Greeting Cards
10,2020-06-14,23899.0,Greeting Cards
11,2020-06-15,23899.0,Greeting Cards
12,2020-06-16,32644.0,Greeting Cards
13,2020-06-17,32644.0,Greeting Cards
14,2020-06-18,32644.0,Greeting Cards
15,2020-06-19,32644.0,Greeting Cards
16,2020-06-20,32644.0,Greeting Cards
17,2020-06-21,32644.0,Greeting Cards
18,2020-06-22,31328.0,Greeting Cards
19,2020-06-23,31328.0,Greeting Cards
20,2020-06-24,31328.0,Greeting Cards
21,2020-06-25,31328.0,Greeting Cards
22,2020-06-26,31328.0,Greeting Cards
23,2020-06-27,31328.0,Greeting Cards
24,2020-06-28,31328.0,Greeting Cards
25,2020-06-29,31328.0,Greeting Cards
26,2020-06-30,31328.0,Greeting Cards
27,2020-07-01,24642.0,Greeting Cards
28,2020-07-02,24642.0,Greeting Cards
29,2020-07-03,24642.0,Greeting Cards
30,2020-07-04,24642.0,Greeting Cards
31,2020-07-05,24642.0,Greeting Cards
32,2020-07-06,24642.0,Greeting Cards
33,2020-07-07,24642.0,Greeting Cards
34,2020-07-08,24642.0,Greeting Cards
35,2020-07-09,24642.0,Greeting Cards
36,2020-07-10,24642.0,Greeting Cards
37,2020-07-11,24642.0,Greeting Cards
38,2020-07-12,24642.0,Greeting Cards
39,2020-07-13,24642.0,Greeting Cards
40,2020-07-14,24642.0,Greeting Cards
41,2020-07-15,24642.0,Greeting Cards
42,2020-07-16,24642.0,Greeting Cards
43,2020-07-17,24642.0,Greeting Cards
44,2020-07-18,24642.0,Greeting Cards
45,2020-07-19,24642.0,Greeting Cards
46,2020-07-20,24642.0,Greeting Cards
47,2020-07-21,24577.0,Greeting Cards
48,2020-07-22,24577.0,Greeting Cards
49,2020-07-23,24577.0,Greeting Cards
50,2020-07-24,38900.0,Greeting Cards
51,2020-07-25,38900.0,Greeting Cards
52,2020-07-26,38900.0,Greeting Cards
53,2020-07-27,38900.0,Greeting Cards
54,2020-07-28,38900.0,Greeting Cards
55,2020-07-29,20878.0,Greeting Cards
56,2020-07-30,20878.0,Greeting Cards
57,2020-07-31,20878.0,Greeting Cards
58,2020-08-01,20878.0,Greeting Cards
59,2020-08-02,20878.0,Greeting Cards
60,2020-08-03,24024.0,Greeting Cards
61,2020-08-04,24024.0,Greeting Cards
62,2020-08-05,24024.0,Greeting Cards
63,2020-08-06,18098.0,Greeting Cards
64,2020-08-07,18098.0,Greeting Cards
65,2020-08-08,18098.0,Greeting Cards
66,2020-08-09,18098.0,Greeting Cards
67,2020-08-10,18754.0,Greeting Cards
68,2020-08-11,18754.0,Greeting Cards
69,2020-08-12,18754.0,Greeting Cards
70,2020-08-13,27920.0,Greeting Cards
71,2020-08-14,27920.0,Greeting Cards
72,2020-08-15,27920.0,Greeting Cards
73,2020-08-16,27920.0,Greeting Cards
74,2020-08-17,25677.0,Greeting Cards
75,2020-08-18,25677.0,Greeting Cards
76,2020-08-19,25677.0,Greeting Cards
77,2020-08-20,25677.0,Greeting Cards
78,2020-08-21,25677.0,Greeting Cards
79,2020-08-22,25677.0,Greeting Cards
80,2020-08-23,25677.0,Greeting Cards
81,2020-08-24,36950.0,Greeting Cards
82,2020-08-25,36950.0,Greeting Cards
83,2020-08-26,36950.0,Greeting Cards
84,2020-08-27,24949.0,Greeting Cards
85,2020-08-28,24949.0,Greeting Cards
86,2020-08-29,24949.0,Greeting Cards
87,2020-08-30,24949.0,Greeting Cards
88,2020-08-31,24949.0,Greeting Cards
89,2020-09-01,24949.0,Greeting Cards
90,2020-09-02,26313.0,Greeting Cards
91,2020-09-03,26313.0,Greeting Cards
92,2020-09-04,26313.0,Greeting Cards
93,2020-09-05,26313.0,Greeting Cards
94,2020-09-06,26313.0,Greeting Cards
95,2020-09-07,26313.0,Greeting Cards
96,2020-09-08,28819.0,Greeting Cards
97,2020-09-09,28819.0,Greeting Cards
98,2020-09-10,28819.0,Greeting Cards
99,2020-09-11,28819.0,Greeting Cards
100,2020-09-12,28819.0,Greeting Cards
101,2020-09-13,25740.0,Greeting Cards
102,2020-09-14,25740.0,Greeting Cards
103,2020-09-15,25740.0,Greeting Cards
104,2020-09-16,36554.0,Greeting Cards
105,2020-09-17,36554.0,Greeting Cards
106,2020-09-18,36554.0,Greeting Cards
107,2020-09-19,36554.0,Greeting Cards
108,2020-09-20,36554.0,Greeting Cards
109,2020-09-21,36554.0,Greeting Cards
110,2020-09-22,36554.0,Greeting Cards
111,2020-09-23,36554.0,Greeting Cards
112,2020-09-24,36554.0,Greeting Cards
113,2020-09-25,23388.0,Greeting Cards
114,2020-09-26,23388.0,Greeting Cards
115,2020-09-27,23388.0,Greeting Cards
116,2020-09-28,23388.0,Greeting Cards
117,2020-09-29,20529.0,Greeting Cards
118,2020-09-30,20529.0,Greeting Cards
119,2020-10-01,20529.0,Greeting Cards
120,2020-10-02,20529.0,Greeting Cards
121,2020-10-03,20529.0,Greeting Cards
122,2020-10-04,20529.0,Greeting Cards
123,2020-10-05,20529.0,Greeting Cards
124,2020-10-06,20529.0,Greeting Cards
