,date,value,name_B07CRLFNDG
0,2018-05-02,57470.0,Bath Towels
1,2018-05-03,40636.0,Bath Towels
2,2018-05-04,21688.0,Bath Towels
3,2018-05-05,21688.0,Bath Towels
4,2018-05-06,26895.0,Bath Towels
5,2018-05-07,24207.0,Bath Towels
6,2018-05-08,15869.0,Bath Towels
7,2018-05-09,18564.0,Bath Towels
8,2018-05-10,26720.0,Bath Towels
9,2018-05-11,20488.0,Bath Towels
10,2018-05-12,18270.0,Bath Towels
11,2018-05-13,24033.0,Bath Towels
12,2018-05-14,23611.0,Bath Towels
13,2018-05-15,32245.0,Bath Towels
14,2018-05-16,26817.0,Bath Towels
15,2018-05-17,40793.0,Bath Towels
16,2018-05-18,40793.0,Bath Towels
17,2018-05-19,42372.0,Bath Towels
18,2018-05-20,59023.0,Bath Towels
19,2018-05-21,21322.0,Bath Towels
20,2018-05-22,24347.0,Bath Towels
21,2018-05-23,24347.0,Bath Towels
22,2018-05-24,30067.0,Bath Towels
23,2018-05-25,21391.0,Bath Towels
24,2018-05-26,10433.0,Bath Towels
25,2018-05-27,17935.0,Bath Towels
26,2018-05-28,13435.0,Bath Towels
27,2018-05-29,16079.0,Bath Towels
28,2018-05-30,18531.0,Bath Towels
29,2018-05-31,15497.0,Bath Towels
30,2018-06-01,19596.0,Bath Towels
31,2018-06-02,16335.0,Bath Towels
32,2018-06-03,14021.0,Bath Towels
33,2018-06-04,13780.0,Bath Towels
34,2018-06-05,22560.0,Bath Towels
35,2018-06-06,21742.0,Bath Towels
36,2018-06-07,23726.0,Bath Towels
37,2018-06-08,18300.0,Bath Towels
38,2018-06-09,15982.0,Bath Towels
39,2018-06-10,21250.0,Bath Towels
40,2018-06-11,24819.0,Bath Towels
41,2018-06-12,26075.0,Bath Towels
42,2018-06-13,19342.0,Bath Towels
43,2018-06-14,15662.0,Bath Towels
44,2018-06-15,16050.0,Bath Towels
45,2018-06-16,23013.0,Bath Towels
46,2018-06-17,18155.0,Bath Towels
47,2018-06-18,20746.0,Bath Towels
48,2018-06-19,14389.0,Bath Towels
49,2018-06-20,16635.0,Bath Towels
50,2018-06-21,20058.0,Bath Towels
51,2018-06-22,12859.0,Bath Towels
