,date,value,name_B07DG1PQ4C
0,2018-06-16,67557.0,Sky Lanterns
1,2018-06-17,80418.0,Sky Lanterns
2,2018-06-18,112961.0,Sky Lanterns
3,2018-06-19,98160.0,Sky Lanterns
4,2018-06-20,54257.0,Sky Lanterns
5,2018-06-21,51189.0,Sky Lanterns
6,2018-06-22,51189.0,Sky Lanterns
7,2018-06-23,101097.0,Sky Lanterns
8,2018-06-24,123224.0,Sky Lanterns
9,2018-06-25,123224.0,Sky Lanterns
10,2018-06-26,167050.0,Sky Lanterns
11,2018-06-27,184667.0,Sky Lanterns
12,2018-06-28,196361.0,Sky Lanterns
13,2018-06-29,196361.0,Sky Lanterns
14,2018-06-30,203286.0,Sky Lanterns
15,2018-07-01,210739.0,Sky Lanterns
16,2018-07-02,218463.0,Sky Lanterns
17,2018-07-03,218463.0,Sky Lanterns
18,2018-07-04,230407.0,Sky Lanterns
19,2018-07-05,235317.0,Sky Lanterns
20,2018-07-06,243869.0,Sky Lanterns
21,2018-07-07,247179.0,Sky Lanterns
22,2018-07-08,252237.0,Sky Lanterns
23,2018-07-09,129721.0,Sky Lanterns
24,2018-07-10,133508.0,Sky Lanterns
25,2018-07-11,272834.0,Sky Lanterns
26,2018-07-12,272834.0,Sky Lanterns
27,2018-07-13,272834.0,Sky Lanterns
28,2018-07-14,113525.0,Sky Lanterns
29,2018-07-15,113525.0,Sky Lanterns
30,2018-07-16,113525.0,Sky Lanterns
31,2018-07-17,113525.0,Sky Lanterns
32,2018-07-18,182367.0,Sky Lanterns
33,2018-07-19,182367.0,Sky Lanterns
34,2018-07-20,101970.0,Sky Lanterns
35,2018-07-21,101970.0,Sky Lanterns
36,2018-07-22,101970.0,Sky Lanterns
37,2018-07-23,242117.0,Sky Lanterns
38,2018-07-24,242117.0,Sky Lanterns
39,2018-07-25,212712.0,Sky Lanterns
40,2018-07-26,212712.0,Sky Lanterns
41,2018-07-27,266211.0,Sky Lanterns
42,2018-07-28,266211.0,Sky Lanterns
43,2018-07-29,266211.0,Sky Lanterns
44,2018-07-30,250481.0,Sky Lanterns
45,2018-07-31,250481.0,Sky Lanterns
46,2018-08-01,250481.0,Sky Lanterns
47,2018-08-02,250481.0,Sky Lanterns
48,2018-08-03,107993.0,Sky Lanterns
49,2018-08-04,107993.0,Sky Lanterns
50,2018-08-05,189325.0,Sky Lanterns
51,2018-08-06,189325.0,Sky Lanterns
52,2018-08-07,189325.0,Sky Lanterns
53,2018-08-08,189325.0,Sky Lanterns
54,2018-08-09,223556.0,Sky Lanterns
55,2018-08-10,223556.0,Sky Lanterns
56,2018-08-11,223556.0,Sky Lanterns
57,2018-08-12,194679.0,Sky Lanterns
58,2018-08-13,231217.0,Sky Lanterns
59,2018-08-14,231217.0,Sky Lanterns
60,2018-08-15,231217.0,Sky Lanterns
61,2018-08-16,231217.0,Sky Lanterns
62,2018-08-17,251387.0,Sky Lanterns
63,2018-08-18,251387.0,Sky Lanterns
64,2018-08-19,251387.0,Sky Lanterns
65,2018-08-20,210103.0,Sky Lanterns
66,2018-08-21,250288.0,Sky Lanterns
67,2018-08-22,250288.0,Sky Lanterns
68,2018-08-23,250288.0,Sky Lanterns
69,2018-08-24,250288.0,Sky Lanterns
70,2018-08-25,341158.0,Sky Lanterns
71,2018-08-26,341158.0,Sky Lanterns
72,2018-08-27,361496.0,Sky Lanterns
73,2018-08-28,361496.0,Sky Lanterns
74,2018-08-29,361496.0,Sky Lanterns
75,2018-08-30,391634.0,Sky Lanterns
76,2018-08-31,391634.0,Sky Lanterns
77,2018-09-01,391634.0,Sky Lanterns
78,2018-09-02,264026.0,Sky Lanterns
79,2018-09-03,264026.0,Sky Lanterns
80,2018-09-04,264026.0,Sky Lanterns
81,2018-09-05,355693.0,Sky Lanterns
82,2018-09-06,355693.0,Sky Lanterns
83,2018-09-07,355693.0,Sky Lanterns
84,2018-09-08,355693.0,Sky Lanterns
85,2018-09-09,418275.0,Sky Lanterns
86,2018-09-10,171588.0,Sky Lanterns
87,2018-09-11,171588.0,Sky Lanterns
88,2018-09-12,70301.0,Sky Lanterns
89,2018-09-13,90218.0,Sky Lanterns
90,2018-09-14,90218.0,Sky Lanterns
91,2018-09-15,90218.0,Sky Lanterns
92,2018-09-16,254017.0,Sky Lanterns
93,2018-09-17,279890.0,Sky Lanterns
94,2018-09-18,279890.0,Sky Lanterns
95,2018-09-19,78339.0,Sky Lanterns
96,2018-09-20,129001.0,Sky Lanterns
97,2018-09-21,129001.0,Sky Lanterns
98,2018-09-22,129001.0,Sky Lanterns
99,2018-09-23,129001.0,Sky Lanterns
100,2018-09-24,39834.0,Sky Lanterns
101,2018-09-25,39834.0,Sky Lanterns
102,2018-09-26,39834.0,Sky Lanterns
103,2018-09-27,39834.0,Sky Lanterns
104,2018-09-28,39834.0,Sky Lanterns
105,2018-09-29,72716.0,Sky Lanterns
106,2018-09-30,72716.0,Sky Lanterns
107,2018-10-01,72716.0,Sky Lanterns
108,2018-10-02,72716.0,Sky Lanterns
109,2018-10-03,105151.0,Sky Lanterns
110,2018-10-04,105151.0,Sky Lanterns
111,2018-10-05,105151.0,Sky Lanterns
112,2018-10-06,203994.0,Sky Lanterns
113,2018-10-07,203994.0,Sky Lanterns
114,2018-10-08,203994.0,Sky Lanterns
115,2018-10-09,104896.0,Sky Lanterns
116,2018-10-10,81244.0,Sky Lanterns
117,2018-10-11,76112.0,Sky Lanterns
118,2018-10-12,76112.0,Sky Lanterns
119,2018-10-13,116141.0,Sky Lanterns
120,2018-10-14,116141.0,Sky Lanterns
121,2018-10-15,116141.0,Sky Lanterns
122,2018-10-16,112638.0,Sky Lanterns
123,2018-10-17,112638.0,Sky Lanterns
124,2018-10-18,65776.0,Sky Lanterns
125,2018-10-19,65776.0,Sky Lanterns
126,2018-10-20,160936.0,Sky Lanterns
127,2018-10-21,157353.0,Sky Lanterns
128,2018-10-22,157353.0,Sky Lanterns
129,2018-10-23,217964.0,Sky Lanterns
130,2018-10-24,124304.0,Sky Lanterns
131,2018-10-25,125082.0,Sky Lanterns
132,2018-10-26,161268.0,Sky Lanterns
133,2018-10-27,161268.0,Sky Lanterns
134,2018-10-28,161268.0,Sky Lanterns
135,2018-10-29,149930.0,Sky Lanterns
136,2018-10-30,149930.0,Sky Lanterns
137,2018-10-31,149930.0,Sky Lanterns
138,2018-11-01,149930.0,Sky Lanterns
139,2018-11-02,202384.0,Sky Lanterns
140,2018-11-03,72278.0,Sky Lanterns
141,2018-11-04,72278.0,Sky Lanterns
142,2018-11-05,203657.0,Sky Lanterns
143,2018-11-06,203657.0,Sky Lanterns
144,2018-11-07,174663.0,Sky Lanterns
145,2018-11-08,174663.0,Sky Lanterns
146,2018-11-09,174663.0,Sky Lanterns
147,2018-11-10,106168.0,Sky Lanterns
148,2018-11-11,106168.0,Sky Lanterns
149,2018-11-12,106168.0,Sky Lanterns
150,2018-11-13,239837.0,Sky Lanterns
151,2018-11-14,3952.0,Sky Lanterns
152,2018-11-15,2978.0,Sky Lanterns
153,2018-11-16,4158.0,Sky Lanterns
154,2018-11-17,4158.0,Sky Lanterns
155,2018-11-18,6732.0,Sky Lanterns
156,2018-11-19,7201.0,Sky Lanterns
157,2018-11-20,7201.0,Sky Lanterns
158,2018-11-21,427.0,Sky Lanterns
159,2018-11-22,2101.0,Sky Lanterns
160,2018-11-23,2372.0,Sky Lanterns
161,2018-11-24,2543.0,Sky Lanterns
162,2018-11-25,3155.0,Sky Lanterns
163,2018-11-26,3061.0,Sky Lanterns
164,2018-11-27,3296.0,Sky Lanterns
165,2018-11-28,2843.0,Sky Lanterns
166,2018-11-29,2352.0,Sky Lanterns
167,2018-11-30,2451.0,Sky Lanterns
168,2018-12-01,4982.0,Sky Lanterns
169,2018-12-02,3255.0,Sky Lanterns
170,2018-12-03,3453.0,Sky Lanterns
171,2018-12-04,2826.0,Sky Lanterns
172,2018-12-05,1750.0,Sky Lanterns
173,2018-12-06,1356.0,Sky Lanterns
174,2018-12-07,1798.0,Sky Lanterns
175,2018-12-08,2159.0,Sky Lanterns
