,date,value,name_B07FNVDRK6
0,2018-08-09,70117.0,Trash Bags
1,2018-08-10,108484.0,Trash Bags
2,2018-08-11,42429.0,Trash Bags
3,2018-08-12,96525.0,Trash Bags
4,2018-08-13,116236.0,Trash Bags
5,2018-08-14,116236.0,Trash Bags
6,2018-08-15,89956.0,Trash Bags
7,2018-08-16,89956.0,Trash Bags
8,2018-08-17,134084.0,Trash Bags
9,2018-08-18,149245.0,Trash Bags
10,2018-08-19,59478.0,Trash Bags
11,2018-08-20,117412.0,Trash Bags
12,2018-08-21,93997.0,Trash Bags
13,2018-08-22,127756.0,Trash Bags
14,2018-08-23,127756.0,Trash Bags
15,2018-08-24,118648.0,Trash Bags
16,2018-08-25,59707.0,Trash Bags
17,2018-08-26,98357.0,Trash Bags
18,2018-08-27,122011.0,Trash Bags
19,2018-08-28,154846.0,Trash Bags
20,2018-08-29,45811.0,Trash Bags
21,2018-08-30,36469.0,Trash Bags
22,2018-08-31,36469.0,Trash Bags
23,2018-09-01,46649.0,Trash Bags
24,2018-09-02,95371.0,Trash Bags
25,2018-09-03,112622.0,Trash Bags
26,2018-09-04,137493.0,Trash Bags
27,2018-09-05,82643.0,Trash Bags
28,2018-09-06,82643.0,Trash Bags
29,2018-09-07,112500.0,Trash Bags
30,2018-09-08,89189.0,Trash Bags
31,2018-09-09,51293.0,Trash Bags
32,2018-09-10,51293.0,Trash Bags
33,2018-09-11,73499.0,Trash Bags
34,2018-09-12,101210.0,Trash Bags
35,2018-09-13,47678.0,Trash Bags
36,2018-09-14,66289.0,Trash Bags
37,2018-09-15,100487.0,Trash Bags
38,2018-09-16,119522.0,Trash Bags
39,2018-09-17,143439.0,Trash Bags
40,2018-09-18,93687.0,Trash Bags
41,2018-09-19,53986.0,Trash Bags
42,2018-09-20,-1.0,Trash Bags
