,date,value,name_B07FSQCW7B
0,2019-10-03,-1.0,"Braces, Splints & Supports"
1,2019-10-04,-1.0,"Braces, Splints & Supports"
2,2019-10-05,-1.0,"Braces, Splints & Supports"
3,2019-10-06,165151.0,"Braces, Splints & Supports"
4,2019-10-07,-1.0,"Braces, Splints & Supports"
5,2019-10-08,-1.0,"Braces, Splints & Supports"
6,2019-10-09,-1.0,"Braces, Splints & Supports"
7,2019-10-10,-1.0,"Braces, Splints & Supports"
8,2019-10-11,-1.0,"Braces, Splints & Supports"
9,2019-10-12,-1.0,"Braces, Splints & Supports"
10,2019-10-13,-1.0,"Braces, Splints & Supports"
11,2019-10-14,-1.0,"Braces, Splints & Supports"
12,2019-10-15,-1.0,"Braces, Splints & Supports"
13,2019-10-16,-1.0,"Braces, Splints & Supports"
14,2019-10-17,-1.0,"Braces, Splints & Supports"
15,2019-10-18,-1.0,"Braces, Splints & Supports"
16,2019-10-19,-1.0,"Braces, Splints & Supports"
17,2019-10-20,-1.0,"Braces, Splints & Supports"
18,2019-10-21,-1.0,"Braces, Splints & Supports"
19,2019-10-22,-1.0,"Braces, Splints & Supports"
20,2019-10-23,17633.0,"Braces, Splints & Supports"
21,2019-10-24,8437.0,"Braces, Splints & Supports"
22,2019-10-25,7388.0,"Braces, Splints & Supports"
23,2019-10-26,7892.0,"Braces, Splints & Supports"
24,2019-10-27,7877.0,"Braces, Splints & Supports"
25,2019-10-28,8692.0,"Braces, Splints & Supports"
26,2019-10-29,6715.0,"Braces, Splints & Supports"
27,2019-10-30,6509.0,"Braces, Splints & Supports"
28,2019-10-31,7532.0,"Braces, Splints & Supports"
29,2019-11-01,8413.0,"Braces, Splints & Supports"
30,2019-11-02,7516.0,"Braces, Splints & Supports"
31,2019-11-03,7834.0,"Braces, Splints & Supports"
32,2019-11-04,8695.0,"Braces, Splints & Supports"
33,2019-11-05,8315.0,"Braces, Splints & Supports"
34,2019-11-06,9522.0,"Braces, Splints & Supports"
35,2019-11-07,7911.0,"Braces, Splints & Supports"
36,2019-11-08,6240.0,"Braces, Splints & Supports"
37,2019-11-09,6240.0,"Braces, Splints & Supports"
38,2019-11-10,6240.0,"Braces, Splints & Supports"
39,2019-11-11,8562.0,"Braces, Splints & Supports"
