,date,value,name_B07FTVWHTP
0,2020-05-29,12282.0,9V
1,2020-05-30,12282.0,9V
2,2020-05-31,14507.0,9V
3,2020-06-01,12900.0,9V
4,2020-06-02,12900.0,9V
5,2020-06-03,12900.0,9V
6,2020-06-04,14609.0,9V
7,2020-06-05,14609.0,9V
8,2020-06-06,13688.0,9V
9,2020-06-07,13688.0,9V
10,2020-06-08,13688.0,9V
11,2020-06-09,14796.0,9V
12,2020-06-10,14796.0,9V
13,2020-06-11,13828.0,9V
14,2020-06-12,13828.0,9V
15,2020-06-13,13828.0,9V
16,2020-06-14,13828.0,9V
17,2020-06-15,16683.0,9V
18,2020-06-16,16683.0,9V
19,2020-06-17,16683.0,9V
20,2020-06-18,16683.0,9V
21,2020-06-19,16683.0,9V
22,2020-06-20,13921.0,9V
23,2020-06-21,13921.0,9V
24,2020-06-22,16703.0,9V
25,2020-06-23,15239.0,9V
26,2020-06-24,15239.0,9V
27,2020-06-25,15239.0,9V
28,2020-06-26,15239.0,9V
29,2020-06-27,14553.0,9V
30,2020-06-28,14553.0,9V
31,2020-06-29,14553.0,9V
32,2020-06-30,13687.0,9V
33,2020-07-01,13687.0,9V
34,2020-07-02,13687.0,9V
35,2020-07-03,13687.0,9V
36,2020-07-04,13687.0,9V
37,2020-07-05,13687.0,9V
38,2020-07-06,13687.0,9V
39,2020-07-07,16252.0,9V
40,2020-07-08,16252.0,9V
41,2020-07-09,16252.0,9V
42,2020-07-10,16252.0,9V
43,2020-07-11,17209.0,9V
44,2020-07-12,17209.0,9V
45,2020-07-13,15847.0,9V
46,2020-07-14,13920.0,9V
47,2020-07-15,13920.0,9V
48,2020-07-16,13920.0,9V
49,2020-07-17,13920.0,9V
50,2020-07-18,13920.0,9V
51,2020-07-19,18263.0,9V
52,2020-07-20,18263.0,9V
53,2020-07-21,18263.0,9V
54,2020-07-22,18263.0,9V
55,2020-07-23,18263.0,9V
56,2020-07-24,18263.0,9V
57,2020-07-25,14435.0,9V
58,2020-07-26,14435.0,9V
59,2020-07-27,14435.0,9V
60,2020-07-28,13415.0,9V
61,2020-07-29,13415.0,9V
62,2020-07-30,13415.0,9V
63,2020-07-31,13415.0,9V
64,2020-08-01,13415.0,9V
65,2020-08-02,13415.0,9V
66,2020-08-03,19896.0,9V
67,2020-08-04,15733.0,9V
68,2020-08-05,15733.0,9V
69,2020-08-06,15733.0,9V
70,2020-08-07,14699.0,9V
71,2020-08-08,14699.0,9V
72,2020-08-09,14699.0,9V
73,2020-08-10,16201.0,9V
74,2020-08-11,13337.0,9V
75,2020-08-12,13337.0,9V
76,2020-08-13,18677.0,9V
77,2020-08-14,18677.0,9V
78,2020-08-15,18677.0,9V
79,2020-08-16,18677.0,9V
80,2020-08-17,18677.0,9V
81,2020-08-18,18677.0,9V
82,2020-08-19,17125.0,9V
83,2020-08-20,17125.0,9V
84,2020-08-21,17125.0,9V
85,2020-08-22,17125.0,9V
86,2020-08-23,17125.0,9V
87,2020-08-24,17254.0,9V
88,2020-08-25,17254.0,9V
89,2020-08-26,17254.0,9V
90,2020-08-27,14885.0,9V
91,2020-08-28,14885.0,9V
92,2020-08-29,17899.0,9V
93,2020-08-30,18375.0,9V
94,2020-08-31,18375.0,9V
95,2020-09-01,18375.0,9V
96,2020-09-02,18375.0,9V
97,2020-09-03,18375.0,9V
98,2020-09-04,18375.0,9V
99,2020-09-05,10951.0,9V
100,2020-09-06,10951.0,9V
101,2020-09-07,10951.0,9V
102,2020-09-08,10951.0,9V
103,2020-09-09,10951.0,9V
104,2020-09-10,10951.0,9V
105,2020-09-11,10951.0,9V
106,2020-09-12,10951.0,9V
107,2020-09-13,10951.0,9V
108,2020-09-14,13242.0,9V
109,2020-09-15,13242.0,9V
110,2020-09-16,13242.0,9V
111,2020-09-17,15125.0,9V
112,2020-09-18,15125.0,9V
113,2020-09-19,15125.0,9V
114,2020-09-20,15125.0,9V
115,2020-09-21,15125.0,9V
116,2020-09-22,7988.0,9V
117,2020-09-23,7988.0,9V
118,2020-09-24,7988.0,9V
119,2020-09-25,9607.0,9V
120,2020-09-26,9643.0,9V
121,2020-09-27,9643.0,9V
122,2020-09-28,9643.0,9V
123,2020-09-29,9643.0,9V
124,2020-09-30,9569.0,9V
125,2020-10-01,9569.0,9V
126,2020-10-02,9569.0,9V
127,2020-10-03,7436.0,9V
128,2020-10-04,8548.0,9V
129,2020-10-05,8548.0,9V
130,2020-10-06,9999.0,9V
131,2020-10-07,9999.0,9V
132,2020-10-08,9999.0,9V
133,2020-10-09,9999.0,9V
134,2020-10-10,8802.0,9V
135,2020-10-11,8802.0,9V
136,2020-10-12,8802.0,9V
137,2020-10-13,8802.0,9V
138,2020-10-14,7200.0,9V
139,2020-10-15,7200.0,9V
140,2020-10-16,7200.0,9V
141,2020-10-17,7415.0,9V
142,2020-10-18,7415.0,9V
143,2020-10-19,7415.0,9V
144,2020-10-20,6421.0,9V
145,2020-10-21,6421.0,9V
146,2020-10-22,8601.0,9V
147,2020-10-23,8601.0,9V
148,2020-10-24,10716.0,9V
149,2020-10-25,10716.0,9V
150,2020-10-26,10716.0,9V
151,2020-10-27,8240.0,9V
152,2020-10-28,8240.0,9V
153,2020-10-29,8240.0,9V
154,2020-10-30,6343.0,9V
155,2020-10-31,6806.0,9V
156,2020-11-01,6806.0,9V
157,2020-11-02,6806.0,9V
158,2020-11-03,6029.0,9V
159,2020-11-04,6029.0,9V
160,2020-11-05,6410.0,9V
161,2020-11-06,6410.0,9V
162,2020-11-07,7973.0,9V
163,2020-11-08,7973.0,9V
164,2020-11-09,7973.0,9V
165,2020-11-10,7973.0,9V
166,2020-11-11,7973.0,9V
167,2020-11-12,5856.0,9V
168,2020-11-13,5856.0,9V
169,2020-11-14,5856.0,9V
170,2020-11-15,6241.0,9V
171,2020-11-16,6241.0,9V
172,2020-11-17,6920.0,9V
173,2020-11-18,7365.0,9V
174,2020-11-19,7365.0,9V
175,2020-11-20,7365.0,9V
176,2020-11-21,7365.0,9V
177,2020-11-22,7365.0,9V
178,2020-11-23,8771.0,9V
179,2020-11-24,8771.0,9V
180,2020-11-25,8771.0,9V
181,2020-11-26,8771.0,9V
182,2020-11-27,10171.0,9V
183,2020-11-28,10171.0,9V
184,2020-11-29,10171.0,9V
185,2020-11-30,10313.0,9V
186,2020-12-01,10313.0,9V
187,2020-12-02,8046.0,9V
188,2020-12-03,8046.0,9V
189,2020-12-04,8046.0,9V
190,2020-12-05,8046.0,9V
191,2020-12-06,8046.0,9V
192,2020-12-07,8727.0,9V
193,2020-12-08,8727.0,9V
194,2020-12-09,8727.0,9V
195,2020-12-10,6801.0,9V
196,2020-12-11,6801.0,9V
197,2020-12-12,6801.0,9V
198,2020-12-13,6801.0,9V
199,2020-12-14,6801.0,9V
200,2020-12-15,6801.0,9V
201,2020-12-16,6801.0,9V
202,2020-12-17,8288.0,9V
203,2020-12-18,8288.0,9V
204,2020-12-19,8288.0,9V
205,2020-12-20,8032.0,9V
206,2020-12-21,8032.0,9V
207,2020-12-22,8032.0,9V
208,2020-12-23,8032.0,9V
209,2020-12-24,8404.0,9V
210,2020-12-25,8404.0,9V
211,2020-12-26,8404.0,9V
212,2020-12-27,8273.0,9V
213,2020-12-28,8273.0,9V
214,2020-12-29,8273.0,9V
215,2020-12-30,8273.0,9V
216,2020-12-31,8273.0,9V
217,2021-01-01,8273.0,9V
218,2021-01-02,8501.0,9V
219,2021-01-03,8501.0,9V
220,2021-01-04,8501.0,9V
221,2021-01-05,7779.0,9V
222,2021-01-06,7779.0,9V
223,2021-01-07,7779.0,9V
224,2021-01-08,11058.0,9V
225,2021-01-09,10625.0,9V
226,2021-01-10,10625.0,9V
227,2021-01-11,11251.0,9V
228,2021-01-12,11251.0,9V
229,2021-01-13,11251.0,9V
230,2021-01-14,11251.0,9V
231,2021-01-15,11251.0,9V
232,2021-01-16,12483.0,9V
233,2021-01-17,12483.0,9V
234,2021-01-18,12483.0,9V
235,2021-01-19,12483.0,9V
236,2021-01-20,11727.0,9V
237,2021-01-21,11727.0,9V
238,2021-01-22,11727.0,9V
239,2021-01-23,11727.0,9V
240,2021-01-24,11727.0,9V
241,2021-01-25,13076.0,9V
242,2021-01-26,13076.0,9V
243,2021-01-27,13076.0,9V
244,2021-01-28,13076.0,9V
245,2021-01-29,13076.0,9V
246,2021-01-30,13076.0,9V
247,2021-01-31,13076.0,9V
248,2021-02-01,13076.0,9V
249,2021-02-02,13076.0,9V
250,2021-02-03,13076.0,9V
251,2021-02-04,11620.0,9V
252,2021-02-05,10293.0,9V
253,2021-02-06,9321.0,9V
254,2021-02-07,9321.0,9V
255,2021-02-08,9321.0,9V
256,2021-02-09,9255.0,9V
257,2021-02-10,9255.0,9V
258,2021-02-11,9255.0,9V
259,2021-02-12,9255.0,9V
260,2021-02-13,9255.0,9V
261,2021-02-14,10249.0,9V
262,2021-02-15,10249.0,9V
263,2021-02-16,10249.0,9V
264,2021-02-17,10249.0,9V
265,2021-02-18,10495.0,9V
266,2021-02-19,10495.0,9V
267,2021-02-20,12664.0,9V
268,2021-02-21,12664.0,9V
269,2021-02-22,12664.0,9V
270,2021-02-23,12664.0,9V
271,2021-02-24,11451.0,9V
272,2021-02-25,11645.0,9V
273,2021-02-26,11645.0,9V
274,2021-02-27,11645.0,9V
275,2021-02-28,11645.0,9V
276,2021-03-01,11645.0,9V
277,2021-03-02,11645.0,9V
278,2021-03-03,11645.0,9V
279,2021-03-04,13695.0,9V
280,2021-03-05,13695.0,9V
281,2021-03-06,15211.0,9V
282,2021-03-07,16622.0,9V
283,2021-03-08,16622.0,9V
284,2021-03-09,16622.0,9V
285,2021-03-10,16622.0,9V
286,2021-03-11,16622.0,9V
287,2021-03-12,16622.0,9V
288,2021-03-13,16622.0,9V
289,2021-03-14,16622.0,9V
290,2021-03-15,22211.0,9V
291,2021-03-16,15856.0,9V
292,2021-03-17,20353.0,9V
293,2021-03-18,20353.0,9V
294,2021-03-19,20353.0,9V
295,2021-03-20,20353.0,9V
296,2021-03-21,19401.0,9V
297,2021-03-22,19401.0,9V
298,2021-03-23,19401.0,9V
299,2021-03-24,19401.0,9V
300,2021-03-25,16706.0,9V
301,2021-03-26,16706.0,9V
302,2021-03-27,16706.0,9V
303,2021-03-28,18387.0,9V
304,2021-03-29,18387.0,9V
305,2021-03-30,18387.0,9V
