,date,value,name_B07G82ZQ54
0,2019-04-10,446925.0,Personal Fans
1,2019-04-11,446925.0,Personal Fans
2,2019-04-12,687809.0,Personal Fans
3,2019-04-13,687809.0,Personal Fans
4,2019-04-14,687809.0,Personal Fans
5,2019-04-15,687809.0,Personal Fans
6,2019-04-16,687809.0,Personal Fans
7,2019-04-17,687809.0,Personal Fans
8,2019-04-18,687809.0,Personal Fans
9,2019-04-19,687809.0,Personal Fans
10,2019-04-20,687809.0,Personal Fans
11,2019-04-21,687809.0,Personal Fans
12,2019-04-22,621183.0,Personal Fans
13,2019-04-23,114529.0,Personal Fans
14,2019-04-24,114529.0,Personal Fans
15,2019-04-25,217863.0,Personal Fans
16,2019-04-26,217863.0,Personal Fans
17,2019-04-27,257397.0,Personal Fans
18,2019-04-28,257397.0,Personal Fans
19,2019-04-29,257397.0,Personal Fans
20,2019-04-30,257397.0,Personal Fans
21,2019-05-01,257397.0,Personal Fans
22,2019-05-02,257397.0,Personal Fans
23,2019-05-03,257397.0,Personal Fans
24,2019-05-04,257397.0,Personal Fans
25,2019-05-05,257397.0,Personal Fans
26,2019-05-06,312888.0,Personal Fans
27,2019-05-07,312888.0,Personal Fans
28,2019-05-08,312888.0,Personal Fans
29,2019-05-09,312888.0,Personal Fans
30,2019-05-10,69406.0,Personal Fans
31,2019-05-11,69406.0,Personal Fans
32,2019-05-12,69406.0,Personal Fans
33,2019-05-13,36933.0,Personal Fans
34,2019-05-14,38237.0,Personal Fans
35,2019-05-15,38237.0,Personal Fans
36,2019-05-16,38237.0,Personal Fans
37,2019-05-17,37512.0,Personal Fans
38,2019-05-18,29644.0,Personal Fans
39,2019-05-19,42636.0,Personal Fans
40,2019-05-20,31158.0,Personal Fans
41,2019-05-21,26117.0,Personal Fans
42,2019-05-22,20475.0,Personal Fans
43,2019-05-23,16852.0,Personal Fans
44,2019-05-24,6324.0,Personal Fans
45,2019-05-25,5098.0,Personal Fans
46,2019-05-26,5529.0,Personal Fans
47,2019-05-27,6871.0,Personal Fans
48,2019-05-28,7719.0,Personal Fans
49,2019-05-29,5950.0,Personal Fans
50,2019-05-30,6754.0,Personal Fans
51,2019-05-31,4694.0,Personal Fans
52,2019-06-01,3570.0,Personal Fans
53,2019-06-02,3982.0,Personal Fans
54,2019-06-03,5674.0,Personal Fans
55,2019-06-04,7163.0,Personal Fans
56,2019-06-05,10440.0,Personal Fans
57,2019-06-06,12769.0,Personal Fans
58,2019-06-07,11725.0,Personal Fans
59,2019-06-08,12100.0,Personal Fans
60,2019-06-09,17436.0,Personal Fans
61,2019-06-10,19722.0,Personal Fans
62,2019-06-11,18650.0,Personal Fans
63,2019-06-12,21548.0,Personal Fans
64,2019-06-13,17377.0,Personal Fans
65,2019-06-14,20647.0,Personal Fans
66,2019-06-15,23644.0,Personal Fans
67,2019-06-16,23644.0,Personal Fans
68,2019-06-17,28252.0,Personal Fans
69,2019-06-18,31981.0,Personal Fans
70,2019-06-19,31981.0,Personal Fans
71,2019-06-20,23566.0,Personal Fans
72,2019-06-21,27988.0,Personal Fans
73,2019-06-22,27988.0,Personal Fans
74,2019-06-23,27988.0,Personal Fans
75,2019-06-24,32799.0,Personal Fans
76,2019-06-25,32799.0,Personal Fans
77,2019-06-26,32799.0,Personal Fans
78,2019-06-27,42708.0,Personal Fans
79,2019-06-28,34027.0,Personal Fans
80,2019-06-29,34027.0,Personal Fans
81,2019-06-30,34027.0,Personal Fans
82,2019-07-01,53907.0,Personal Fans
83,2019-07-02,56429.0,Personal Fans
84,2019-07-03,56429.0,Personal Fans
85,2019-07-04,56429.0,Personal Fans
86,2019-07-05,56429.0,Personal Fans
