,date,value,name_B07G8JB93W
0,2018-10-24,442338.0,Sets
1,2018-10-25,177922.0,Sets
2,2018-10-26,175915.0,Sets
3,2018-10-27,219899.0,Sets
4,2018-10-28,237383.0,Sets
5,2018-10-29,51862.0,Sets
6,2018-10-30,99132.0,Sets
7,2018-10-31,99132.0,Sets
8,2018-11-01,105341.0,Sets
9,2018-11-02,40765.0,Sets
10,2018-11-03,14725.0,Sets
11,2018-11-04,11423.0,Sets
12,2018-11-05,8997.0,Sets
13,2018-11-06,12405.0,Sets
14,2018-11-07,6848.0,Sets
15,2018-11-08,4250.0,Sets
16,2018-11-09,3940.0,Sets
17,2018-11-10,3162.0,Sets
18,2018-11-11,2414.0,Sets
19,2018-11-12,2854.0,Sets
20,2018-11-13,2460.0,Sets
21,2018-11-14,3024.0,Sets
22,2018-11-15,4190.0,Sets
23,2018-11-16,2804.0,Sets
24,2018-11-17,3366.0,Sets
25,2018-11-18,2545.0,Sets
26,2018-11-19,2474.0,Sets
27,2018-11-20,2941.0,Sets
28,2018-11-21,2851.0,Sets
29,2018-11-22,2608.0,Sets
30,2018-11-23,2543.0,Sets
31,2018-11-24,2529.0,Sets
32,2018-11-25,1850.0,Sets
33,2018-11-26,2061.0,Sets
34,2018-11-27,2136.0,Sets
35,2018-11-28,1757.0,Sets
36,2018-11-29,1573.0,Sets
37,2018-11-30,1082.0,Sets
38,2018-12-01,1565.0,Sets
39,2018-12-02,1712.0,Sets
40,2018-12-03,747.0,Sets
41,2018-12-04,382.0,Sets
42,2018-12-05,320.0,Sets
43,2018-12-06,244.0,Sets
44,2018-12-07,209.0,Sets
45,2018-12-08,182.0,Sets
46,2018-12-09,182.0,Sets
47,2018-12-10,124.0,Sets
48,2018-12-11,120.0,Sets
49,2018-12-12,194.0,Sets
50,2018-12-13,253.0,Sets
51,2018-12-14,323.0,Sets
52,2018-12-15,392.0,Sets
53,2018-12-16,623.0,Sets
54,2018-12-17,986.0,Sets
55,2018-12-18,1753.0,Sets
56,2018-12-19,1850.0,Sets
57,2018-12-20,1869.0,Sets
58,2018-12-21,2470.0,Sets
59,2018-12-22,2534.0,Sets
60,2018-12-23,2945.0,Sets
61,2018-12-24,2945.0,Sets
62,2018-12-25,2806.0,Sets
63,2018-12-26,4774.0,Sets
64,2018-12-27,5760.0,Sets
65,2018-12-28,5380.0,Sets
66,2018-12-29,5380.0,Sets
67,2018-12-30,5380.0,Sets
68,2018-12-31,6481.0,Sets
69,2019-01-01,6481.0,Sets
70,2019-01-02,10379.0,Sets
71,2019-01-03,11748.0,Sets
72,2019-01-04,9595.0,Sets
73,2019-01-05,9241.0,Sets
74,2019-01-06,9241.0,Sets
75,2019-01-07,14569.0,Sets
76,2019-01-08,12650.0,Sets
77,2019-01-09,12650.0,Sets
78,2019-01-10,21478.0,Sets
79,2019-01-11,21478.0,Sets
80,2019-01-12,21478.0,Sets
81,2019-01-13,21478.0,Sets
82,2019-01-14,26023.0,Sets
83,2019-01-15,17156.0,Sets
84,2019-01-16,28592.0,Sets
85,2019-01-17,27045.0,Sets
86,2019-01-18,36148.0,Sets
87,2019-01-19,37096.0,Sets
88,2019-01-20,33701.0,Sets
89,2019-01-21,38389.0,Sets
90,2019-01-22,12816.0,Sets
91,2019-01-23,12816.0,Sets
92,2019-01-24,18544.0,Sets
93,2019-01-25,18544.0,Sets
94,2019-01-26,22658.0,Sets
95,2019-01-27,22658.0,Sets
96,2019-01-28,22658.0,Sets
97,2019-01-29,22658.0,Sets
98,2019-01-30,48041.0,Sets
99,2019-01-31,48041.0,Sets
100,2019-02-01,48041.0,Sets
101,2019-02-02,48041.0,Sets
102,2019-02-03,40109.0,Sets
103,2019-02-04,21559.0,Sets
104,2019-02-05,21559.0,Sets
105,2019-02-06,34674.0,Sets
106,2019-02-07,43059.0,Sets
107,2019-02-08,47943.0,Sets
108,2019-02-09,47943.0,Sets
109,2019-02-10,44131.0,Sets
110,2019-02-11,28407.0,Sets
111,2019-02-12,28407.0,Sets
112,2019-02-13,46053.0,Sets
113,2019-02-14,46053.0,Sets
114,2019-02-15,27936.0,Sets
115,2019-02-16,27936.0,Sets
116,2019-02-17,27936.0,Sets
117,2019-02-18,27936.0,Sets
118,2019-02-19,27936.0,Sets
119,2019-02-20,67025.0,Sets
120,2019-02-21,67025.0,Sets
121,2019-02-22,74839.0,Sets
122,2019-02-23,54926.0,Sets
123,2019-02-24,54926.0,Sets
124,2019-02-25,99331.0,Sets
125,2019-02-26,99331.0,Sets
126,2019-02-27,99331.0,Sets
127,2019-02-28,99331.0,Sets
128,2019-03-01,99331.0,Sets
129,2019-03-02,99331.0,Sets
130,2019-03-03,103162.0,Sets
131,2019-03-04,103162.0,Sets
132,2019-03-05,103162.0,Sets
133,2019-03-06,103162.0,Sets
134,2019-03-07,103162.0,Sets
135,2019-03-08,83286.0,Sets
136,2019-03-09,135649.0,Sets
137,2019-03-10,135649.0,Sets
138,2019-03-11,135649.0,Sets
139,2019-03-12,135649.0,Sets
140,2019-03-13,135649.0,Sets
141,2019-03-14,135649.0,Sets
142,2019-03-15,135649.0,Sets
143,2019-03-16,135649.0,Sets
144,2019-03-17,138238.0,Sets
