,date,value,name_B07H2QHVLF
0,2018-09-17,224353.0,Taper Candles
1,2018-09-18,118066.0,Taper Candles
2,2018-09-19,221434.0,Taper Candles
3,2018-09-20,221434.0,Taper Candles
4,2018-09-21,256674.0,Taper Candles
5,2018-09-22,330544.0,Taper Candles
6,2018-09-23,258694.0,Taper Candles
7,2018-09-24,119496.0,Taper Candles
8,2018-09-25,117886.0,Taper Candles
9,2018-09-26,117886.0,Taper Candles
10,2018-09-27,117886.0,Taper Candles
11,2018-09-28,117886.0,Taper Candles
12,2018-09-29,117886.0,Taper Candles
13,2018-09-30,117886.0,Taper Candles
14,2018-10-01,102072.0,Taper Candles
15,2018-10-02,60752.0,Taper Candles
16,2018-10-03,60752.0,Taper Candles
17,2018-10-04,124535.0,Taper Candles
18,2018-10-05,187455.0,Taper Candles
19,2018-10-06,187455.0,Taper Candles
20,2018-10-07,187455.0,Taper Candles
21,2018-10-08,183450.0,Taper Candles
22,2018-10-09,183450.0,Taper Candles
23,2018-10-10,119840.0,Taper Candles
24,2018-10-11,209573.0,Taper Candles
25,2018-10-12,209573.0,Taper Candles
26,2018-10-13,112214.0,Taper Candles
27,2018-10-14,112214.0,Taper Candles
28,2018-10-15,133093.0,Taper Candles
29,2018-10-16,137641.0,Taper Candles
30,2018-10-17,137641.0,Taper Candles
31,2018-10-18,69522.0,Taper Candles
32,2018-10-19,126425.0,Taper Candles
33,2018-10-20,126425.0,Taper Candles
34,2018-10-21,278544.0,Taper Candles
35,2018-10-22,163545.0,Taper Candles
36,2018-10-23,163545.0,Taper Candles
37,2018-10-24,163545.0,Taper Candles
38,2018-10-25,163545.0,Taper Candles
39,2018-10-26,299934.0,Taper Candles
40,2018-10-27,213945.0,Taper Candles
41,2018-10-28,349254.0,Taper Candles
42,2018-10-29,349254.0,Taper Candles
43,2018-10-30,345205.0,Taper Candles
44,2018-10-31,169526.0,Taper Candles
45,2018-11-01,169526.0,Taper Candles
46,2018-11-02,169526.0,Taper Candles
47,2018-11-03,169526.0,Taper Candles
48,2018-11-04,82132.0,Taper Candles
49,2018-11-05,188550.0,Taper Candles
50,2018-11-06,188550.0,Taper Candles
51,2018-11-07,188550.0,Taper Candles
52,2018-11-08,188550.0,Taper Candles
53,2018-11-09,263626.0,Taper Candles
54,2018-11-10,132075.0,Taper Candles
55,2018-11-11,132075.0,Taper Candles
