,date,value,name_B07H47T91C
0,2019-06-22,250353.0,Costumes
1,2019-06-23,250353.0,Costumes
2,2019-06-24,250353.0,Costumes
3,2019-06-25,258714.0,Costumes
4,2019-06-26,267660.0,Costumes
5,2019-06-27,270426.0,Costumes
6,2019-06-28,270426.0,Costumes
7,2019-06-29,275158.0,Costumes
8,2019-06-30,269858.0,Costumes
9,2019-07-01,271614.0,Costumes
10,2019-07-02,271614.0,Costumes
11,2019-07-03,286287.0,Costumes
12,2019-07-04,285393.0,Costumes
13,2019-07-05,273226.0,Costumes
14,2019-07-06,275613.0,Costumes
15,2019-07-07,275613.0,Costumes
16,2019-07-08,281689.0,Costumes
17,2019-07-09,293263.0,Costumes
18,2019-07-10,299012.0,Costumes
19,2019-07-11,294905.0,Costumes
20,2019-07-12,300204.0,Costumes
21,2019-07-13,294272.0,Costumes
22,2019-07-14,294272.0,Costumes
23,2019-07-15,294738.0,Costumes
24,2019-07-16,294738.0,Costumes
25,2019-07-17,340897.0,Costumes
26,2019-07-18,339546.0,Costumes
27,2019-07-19,339546.0,Costumes
28,2019-07-20,310678.0,Costumes
29,2019-07-21,310678.0,Costumes
30,2019-07-22,300541.0,Costumes
31,2019-07-23,303523.0,Costumes
32,2019-07-24,135270.0,Costumes
33,2019-07-25,135270.0,Costumes
34,2019-07-26,252199.0,Costumes
35,2019-07-27,252199.0,Costumes
36,2019-07-28,183774.0,Costumes
37,2019-07-29,207390.0,Costumes
38,2019-07-30,207390.0,Costumes
39,2019-07-31,279841.0,Costumes
40,2019-08-01,21475.0,Costumes
41,2019-08-02,20164.0,Costumes
42,2019-08-03,13962.0,Costumes
43,2019-08-04,20500.0,Costumes
44,2019-08-05,20267.0,Costumes
45,2019-08-06,31138.0,Costumes
46,2019-08-07,25073.0,Costumes
47,2019-08-08,25315.0,Costumes
48,2019-08-09,22243.0,Costumes
49,2019-08-10,23201.0,Costumes
50,2019-08-11,20699.0,Costumes
51,2019-08-12,11257.0,Costumes
52,2019-08-13,12018.0,Costumes
53,2019-08-14,18161.0,Costumes
54,2019-08-15,18656.0,Costumes
55,2019-08-16,12402.0,Costumes
56,2019-08-17,11840.0,Costumes
57,2019-08-18,14537.0,Costumes
58,2019-08-19,8867.0,Costumes
59,2019-08-20,9710.0,Costumes
60,2019-08-21,10716.0,Costumes
61,2019-08-22,12983.0,Costumes
62,2019-08-23,11117.0,Costumes
63,2019-08-24,10849.0,Costumes
64,2019-08-25,8764.0,Costumes
65,2019-08-26,7869.0,Costumes
66,2019-08-27,8196.0,Costumes
67,2019-08-28,6998.0,Costumes
68,2019-08-29,7266.0,Costumes
69,2019-08-30,8868.0,Costumes
70,2019-08-31,3766.0,Costumes
71,2019-09-01,3476.0,Costumes
72,2019-09-02,5650.0,Costumes
73,2019-09-03,6248.0,Costumes
74,2019-09-04,6971.0,Costumes
75,2019-09-05,7854.0,Costumes
76,2019-09-06,6446.0,Costumes
77,2019-09-07,5796.0,Costumes
78,2019-09-08,4090.0,Costumes
79,2019-09-09,5368.0,Costumes
80,2019-09-10,4912.0,Costumes
81,2019-09-11,5709.0,Costumes
82,2019-09-12,5083.0,Costumes
83,2019-09-13,5595.0,Costumes
84,2019-09-14,5535.0,Costumes
85,2019-09-15,4870.0,Costumes
86,2019-09-16,3424.0,Costumes
87,2019-09-17,3243.0,Costumes
88,2019-09-18,3479.0,Costumes
89,2019-09-19,4128.0,Costumes
90,2019-09-20,4273.0,Costumes
91,2019-09-21,4536.0,Costumes
92,2019-09-22,4276.0,Costumes
93,2019-09-23,3916.0,Costumes
94,2019-09-24,3902.0,Costumes
95,2019-09-25,3034.0,Costumes
96,2019-09-26,3619.0,Costumes
97,2019-09-27,3833.0,Costumes
98,2019-09-28,2589.0,Costumes
99,2019-09-29,2159.0,Costumes
100,2019-09-30,1977.0,Costumes
101,2019-10-01,1805.0,Costumes
102,2019-10-02,1603.0,Costumes
103,2019-10-03,1651.0,Costumes
104,2019-10-04,1594.0,Costumes
105,2019-10-05,1513.0,Costumes
106,2019-10-06,1043.0,Costumes
107,2019-10-07,1218.0,Costumes
108,2019-10-08,1971.0,Costumes
109,2019-10-09,2166.0,Costumes
