,date,value,name_B07HCXBRG6
0,2018-09-16,1938.0,Mixer Parts & Accessories
1,2018-09-17,1938.0,Mixer Parts & Accessories
2,2018-09-18,1347.0,Mixer Parts & Accessories
3,2018-09-19,1324.0,Mixer Parts & Accessories
4,2018-09-20,1784.0,Mixer Parts & Accessories
5,2018-09-21,1459.0,Mixer Parts & Accessories
6,2018-09-22,1742.0,Mixer Parts & Accessories
7,2018-09-23,1737.0,Mixer Parts & Accessories
8,2018-09-24,1490.0,Mixer Parts & Accessories
9,2018-09-25,1429.0,Mixer Parts & Accessories
10,2018-09-26,1523.0,Mixer Parts & Accessories
11,2018-09-27,1084.0,Mixer Parts & Accessories
12,2018-09-28,1084.0,Mixer Parts & Accessories
13,2018-09-29,1084.0,Mixer Parts & Accessories
14,2018-09-30,1516.0,Mixer Parts & Accessories
15,2018-10-01,1253.0,Mixer Parts & Accessories
16,2018-10-02,975.0,Mixer Parts & Accessories
17,2018-10-03,975.0,Mixer Parts & Accessories
18,2018-10-04,1020.0,Mixer Parts & Accessories
19,2018-10-05,1020.0,Mixer Parts & Accessories
20,2018-10-06,1449.0,Mixer Parts & Accessories
21,2018-10-07,1449.0,Mixer Parts & Accessories
22,2018-10-08,1283.0,Mixer Parts & Accessories
23,2018-10-09,1283.0,Mixer Parts & Accessories
24,2018-10-10,1283.0,Mixer Parts & Accessories
25,2018-10-11,1022.0,Mixer Parts & Accessories
26,2018-10-12,1022.0,Mixer Parts & Accessories
27,2018-10-13,1022.0,Mixer Parts & Accessories
28,2018-10-14,1473.0,Mixer Parts & Accessories
29,2018-10-15,1473.0,Mixer Parts & Accessories
30,2018-10-16,1254.0,Mixer Parts & Accessories
31,2018-10-17,1415.0,Mixer Parts & Accessories
32,2018-10-18,1415.0,Mixer Parts & Accessories
33,2018-10-19,1415.0,Mixer Parts & Accessories
34,2018-10-20,1847.0,Mixer Parts & Accessories
35,2018-10-21,1847.0,Mixer Parts & Accessories
36,2018-10-22,1847.0,Mixer Parts & Accessories
37,2018-10-23,1847.0,Mixer Parts & Accessories
38,2018-10-24,1847.0,Mixer Parts & Accessories
39,2018-10-25,1847.0,Mixer Parts & Accessories
40,2018-10-26,1847.0,Mixer Parts & Accessories
41,2018-10-27,1847.0,Mixer Parts & Accessories
42,2018-10-28,1847.0,Mixer Parts & Accessories
43,2018-10-29,1847.0,Mixer Parts & Accessories
44,2018-10-30,1215.0,Mixer Parts & Accessories
45,2018-10-31,1215.0,Mixer Parts & Accessories
46,2018-11-01,1215.0,Mixer Parts & Accessories
47,2018-11-02,1215.0,Mixer Parts & Accessories
48,2018-11-03,1215.0,Mixer Parts & Accessories
49,2018-11-04,1215.0,Mixer Parts & Accessories
50,2018-11-05,1215.0,Mixer Parts & Accessories
51,2018-11-06,1215.0,Mixer Parts & Accessories
52,2018-11-07,1215.0,Mixer Parts & Accessories
53,2018-11-08,866.0,Mixer Parts & Accessories
54,2018-11-09,866.0,Mixer Parts & Accessories
55,2018-11-10,939.0,Mixer Parts & Accessories
56,2018-11-11,996.0,Mixer Parts & Accessories
57,2018-11-12,996.0,Mixer Parts & Accessories
58,2018-11-13,996.0,Mixer Parts & Accessories
59,2018-11-14,996.0,Mixer Parts & Accessories
60,2018-11-15,1140.0,Mixer Parts & Accessories
61,2018-11-16,1140.0,Mixer Parts & Accessories
62,2018-11-17,1241.0,Mixer Parts & Accessories
63,2018-11-18,1241.0,Mixer Parts & Accessories
64,2018-11-19,1241.0,Mixer Parts & Accessories
65,2018-11-20,1241.0,Mixer Parts & Accessories
66,2018-11-21,1241.0,Mixer Parts & Accessories
67,2018-11-22,1241.0,Mixer Parts & Accessories
68,2018-11-23,1241.0,Mixer Parts & Accessories
69,2018-11-24,1241.0,Mixer Parts & Accessories
70,2018-11-25,1241.0,Mixer Parts & Accessories
71,2018-11-26,1241.0,Mixer Parts & Accessories
72,2018-11-27,1241.0,Mixer Parts & Accessories
73,2018-11-28,1241.0,Mixer Parts & Accessories
74,2018-11-29,1241.0,Mixer Parts & Accessories
75,2018-11-30,3484.0,Mixer Parts & Accessories
76,2018-12-01,3484.0,Mixer Parts & Accessories
77,2018-12-02,3744.0,Mixer Parts & Accessories
78,2018-12-03,3744.0,Mixer Parts & Accessories
79,2018-12-04,2599.0,Mixer Parts & Accessories
80,2018-12-05,2063.0,Mixer Parts & Accessories
81,2018-12-06,2331.0,Mixer Parts & Accessories
82,2018-12-07,2331.0,Mixer Parts & Accessories
83,2018-12-08,4126.0,Mixer Parts & Accessories
84,2018-12-09,4126.0,Mixer Parts & Accessories
85,2018-12-10,4082.0,Mixer Parts & Accessories
86,2018-12-11,2902.0,Mixer Parts & Accessories
87,2018-12-12,3628.0,Mixer Parts & Accessories
88,2018-12-13,3628.0,Mixer Parts & Accessories
89,2018-12-14,3628.0,Mixer Parts & Accessories
90,2018-12-15,3628.0,Mixer Parts & Accessories
91,2018-12-16,3628.0,Mixer Parts & Accessories
92,2018-12-17,3613.0,Mixer Parts & Accessories
93,2018-12-18,3613.0,Mixer Parts & Accessories
94,2018-12-19,2702.0,Mixer Parts & Accessories
95,2018-12-20,3062.0,Mixer Parts & Accessories
96,2018-12-21,3013.0,Mixer Parts & Accessories
97,2018-12-22,2841.0,Mixer Parts & Accessories
98,2018-12-23,2841.0,Mixer Parts & Accessories
99,2018-12-24,2841.0,Mixer Parts & Accessories
100,2018-12-25,3234.0,Mixer Parts & Accessories
101,2018-12-26,3154.0,Mixer Parts & Accessories
102,2018-12-27,1652.0,Mixer Parts & Accessories
103,2018-12-28,1610.0,Mixer Parts & Accessories
104,2018-12-29,1610.0,Mixer Parts & Accessories
105,2018-12-30,1610.0,Mixer Parts & Accessories
106,2018-12-31,2553.0,Mixer Parts & Accessories
107,2019-01-01,2982.0,Mixer Parts & Accessories
108,2019-01-02,3714.0,Mixer Parts & Accessories
109,2019-01-03,4051.0,Mixer Parts & Accessories
110,2019-01-04,3689.0,Mixer Parts & Accessories
111,2019-01-05,2644.0,Mixer Parts & Accessories
112,2019-01-06,3346.0,Mixer Parts & Accessories
113,2019-01-07,2446.0,Mixer Parts & Accessories
114,2019-01-08,2793.0,Mixer Parts & Accessories
115,2019-01-09,2137.0,Mixer Parts & Accessories
116,2019-01-10,2111.0,Mixer Parts & Accessories
117,2019-01-11,2332.0,Mixer Parts & Accessories
118,2019-01-12,2722.0,Mixer Parts & Accessories
119,2019-01-13,3999.0,Mixer Parts & Accessories
120,2019-01-14,2564.0,Mixer Parts & Accessories
121,2019-01-15,2553.0,Mixer Parts & Accessories
122,2019-01-16,2296.0,Mixer Parts & Accessories
123,2019-01-17,2296.0,Mixer Parts & Accessories
124,2019-01-18,2387.0,Mixer Parts & Accessories
125,2019-01-19,2699.0,Mixer Parts & Accessories
126,2019-01-20,2643.0,Mixer Parts & Accessories
127,2019-01-21,3107.0,Mixer Parts & Accessories
128,2019-01-22,2629.0,Mixer Parts & Accessories
129,2019-01-23,1852.0,Mixer Parts & Accessories
130,2019-01-24,2269.0,Mixer Parts & Accessories
