,date,value,name_B07HQF2D3W
0,2018-10-15,37053.0,Hanging Baskets
1,2018-10-16,95922.0,Hanging Baskets
2,2018-10-17,95922.0,Hanging Baskets
3,2018-10-18,147460.0,Hanging Baskets
4,2018-10-19,17750.0,Hanging Baskets
5,2018-10-20,17750.0,Hanging Baskets
6,2018-10-21,15028.0,Hanging Baskets
7,2018-10-22,17778.0,Hanging Baskets
8,2018-10-23,17778.0,Hanging Baskets
9,2018-10-24,17778.0,Hanging Baskets
10,2018-10-25,14894.0,Hanging Baskets
11,2018-10-26,10453.0,Hanging Baskets
12,2018-10-27,11039.0,Hanging Baskets
13,2018-10-28,15555.0,Hanging Baskets
14,2018-10-29,17273.0,Hanging Baskets
15,2018-10-30,16354.0,Hanging Baskets
16,2018-10-31,16354.0,Hanging Baskets
17,2018-11-01,16354.0,Hanging Baskets
18,2018-11-02,11975.0,Hanging Baskets
19,2018-11-03,11975.0,Hanging Baskets
20,2018-11-04,12316.0,Hanging Baskets
21,2018-11-05,13945.0,Hanging Baskets
22,2018-11-06,13945.0,Hanging Baskets
23,2018-11-07,13945.0,Hanging Baskets
24,2018-11-08,13945.0,Hanging Baskets
25,2018-11-09,13945.0,Hanging Baskets
26,2018-11-10,25768.0,Hanging Baskets
27,2018-11-11,20027.0,Hanging Baskets
28,2018-11-12,20027.0,Hanging Baskets
29,2018-11-13,11488.0,Hanging Baskets
30,2018-11-14,12999.0,Hanging Baskets
31,2018-11-15,16548.0,Hanging Baskets
32,2018-11-16,15829.0,Hanging Baskets
33,2018-11-17,11250.0,Hanging Baskets
34,2018-11-18,10363.0,Hanging Baskets
35,2018-11-19,8950.0,Hanging Baskets
36,2018-11-20,8950.0,Hanging Baskets
37,2018-11-21,12361.0,Hanging Baskets
38,2018-11-22,10825.0,Hanging Baskets
39,2018-11-23,10825.0,Hanging Baskets
40,2018-11-24,10825.0,Hanging Baskets
41,2018-11-25,10825.0,Hanging Baskets
42,2018-11-26,9562.0,Hanging Baskets
43,2018-11-27,9562.0,Hanging Baskets
44,2018-11-28,9562.0,Hanging Baskets
45,2018-11-29,14805.0,Hanging Baskets
46,2018-11-30,16187.0,Hanging Baskets
47,2018-12-01,16187.0,Hanging Baskets
48,2018-12-02,16187.0,Hanging Baskets
49,2018-12-03,16163.0,Hanging Baskets
50,2018-12-04,16163.0,Hanging Baskets
51,2018-12-05,16163.0,Hanging Baskets
52,2018-12-06,17990.0,Hanging Baskets
53,2018-12-07,19411.0,Hanging Baskets
54,2018-12-08,13620.0,Hanging Baskets
55,2018-12-09,13620.0,Hanging Baskets
56,2018-12-10,13620.0,Hanging Baskets
57,2018-12-11,14670.0,Hanging Baskets
58,2018-12-12,14670.0,Hanging Baskets
59,2018-12-13,14670.0,Hanging Baskets
60,2018-12-14,16179.0,Hanging Baskets
61,2018-12-15,16179.0,Hanging Baskets
62,2018-12-16,16179.0,Hanging Baskets
63,2018-12-17,10798.0,Hanging Baskets
64,2018-12-18,10798.0,Hanging Baskets
65,2018-12-19,23326.0,Hanging Baskets
66,2018-12-20,23326.0,Hanging Baskets
67,2018-12-21,40471.0,Hanging Baskets
68,2018-12-22,41963.0,Hanging Baskets
69,2018-12-23,38854.0,Hanging Baskets
70,2018-12-24,38854.0,Hanging Baskets
71,2018-12-25,33333.0,Hanging Baskets
72,2018-12-26,33333.0,Hanging Baskets
73,2018-12-27,18897.0,Hanging Baskets
74,2018-12-28,18897.0,Hanging Baskets
75,2018-12-29,22168.0,Hanging Baskets
76,2018-12-30,21647.0,Hanging Baskets
77,2018-12-31,23873.0,Hanging Baskets
78,2019-01-01,23873.0,Hanging Baskets
79,2019-01-02,23873.0,Hanging Baskets
80,2019-01-03,23873.0,Hanging Baskets
81,2019-01-04,76190.0,Hanging Baskets
82,2019-01-05,76190.0,Hanging Baskets
83,2019-01-06,51502.0,Hanging Baskets
84,2019-01-07,71855.0,Hanging Baskets
85,2019-01-08,71855.0,Hanging Baskets
86,2019-01-09,71855.0,Hanging Baskets
87,2019-01-10,106114.0,Hanging Baskets
88,2019-01-11,106114.0,Hanging Baskets
89,2019-01-12,112260.0,Hanging Baskets
90,2019-01-13,112260.0,Hanging Baskets
91,2019-01-14,102153.0,Hanging Baskets
92,2019-01-15,102153.0,Hanging Baskets
93,2019-01-16,102153.0,Hanging Baskets
94,2019-01-17,102153.0,Hanging Baskets
95,2019-01-18,129422.0,Hanging Baskets
96,2019-01-19,129422.0,Hanging Baskets
97,2019-01-20,129422.0,Hanging Baskets
98,2019-01-21,111402.0,Hanging Baskets
99,2019-01-22,111402.0,Hanging Baskets
100,2019-01-23,111402.0,Hanging Baskets
101,2019-01-24,111402.0,Hanging Baskets
102,2019-01-25,147233.0,Hanging Baskets
103,2019-01-26,147233.0,Hanging Baskets
104,2019-01-27,151772.0,Hanging Baskets
105,2019-01-28,151772.0,Hanging Baskets
106,2019-01-29,151772.0,Hanging Baskets
107,2019-01-30,151772.0,Hanging Baskets
108,2019-01-31,167864.0,Hanging Baskets
109,2019-02-01,167864.0,Hanging Baskets
110,2019-02-02,167864.0,Hanging Baskets
111,2019-02-03,167864.0,Hanging Baskets
112,2019-02-04,174183.0,Hanging Baskets
113,2019-02-05,174183.0,Hanging Baskets
114,2019-02-06,174183.0,Hanging Baskets
115,2019-02-07,178766.0,Hanging Baskets
116,2019-02-08,178766.0,Hanging Baskets
117,2019-02-09,178766.0,Hanging Baskets
118,2019-02-10,180393.0,Hanging Baskets
119,2019-02-11,188483.0,Hanging Baskets
120,2019-02-12,190392.0,Hanging Baskets
121,2019-02-13,190392.0,Hanging Baskets
122,2019-02-14,190392.0,Hanging Baskets
123,2019-02-15,190392.0,Hanging Baskets
124,2019-02-16,183902.0,Hanging Baskets
125,2019-02-17,183902.0,Hanging Baskets
126,2019-02-18,183902.0,Hanging Baskets
127,2019-02-19,183902.0,Hanging Baskets
128,2019-02-20,107412.0,Hanging Baskets
129,2019-02-21,107412.0,Hanging Baskets
130,2019-02-22,107412.0,Hanging Baskets
131,2019-02-23,167782.0,Hanging Baskets
132,2019-02-24,167782.0,Hanging Baskets
133,2019-02-25,167782.0,Hanging Baskets
134,2019-02-26,167782.0,Hanging Baskets
135,2019-02-27,195410.0,Hanging Baskets
136,2019-02-28,194923.0,Hanging Baskets
137,2019-03-01,62085.0,Hanging Baskets
138,2019-03-02,43357.0,Hanging Baskets
139,2019-03-03,35742.0,Hanging Baskets
140,2019-03-04,35742.0,Hanging Baskets
141,2019-03-05,35742.0,Hanging Baskets
142,2019-03-06,17514.0,Hanging Baskets
143,2019-03-07,11199.0,Hanging Baskets
144,2019-03-08,11199.0,Hanging Baskets
145,2019-03-09,11199.0,Hanging Baskets
146,2019-03-10,4828.0,Hanging Baskets
147,2019-03-11,5447.0,Hanging Baskets
148,2019-03-12,5447.0,Hanging Baskets
149,2019-03-13,5654.0,Hanging Baskets
150,2019-03-14,6002.0,Hanging Baskets
151,2019-03-15,6002.0,Hanging Baskets
152,2019-03-16,4355.0,Hanging Baskets
153,2019-03-17,3971.0,Hanging Baskets
154,2019-03-18,3207.0,Hanging Baskets
155,2019-03-19,3207.0,Hanging Baskets
156,2019-03-20,4530.0,Hanging Baskets
157,2019-03-21,4922.0,Hanging Baskets
158,2019-03-22,4922.0,Hanging Baskets
159,2019-03-23,4922.0,Hanging Baskets
160,2019-03-24,4922.0,Hanging Baskets
161,2019-03-25,4922.0,Hanging Baskets
162,2019-03-26,3544.0,Hanging Baskets
163,2019-03-27,3544.0,Hanging Baskets
164,2019-03-28,2374.0,Hanging Baskets
165,2019-03-29,2374.0,Hanging Baskets
166,2019-03-30,2957.0,Hanging Baskets
167,2019-03-31,2957.0,Hanging Baskets
168,2019-04-01,2957.0,Hanging Baskets
169,2019-04-02,2957.0,Hanging Baskets
170,2019-04-03,2548.0,Hanging Baskets
171,2019-04-04,2548.0,Hanging Baskets
172,2019-04-05,2548.0,Hanging Baskets
173,2019-04-06,2548.0,Hanging Baskets
174,2019-04-07,2548.0,Hanging Baskets
175,2019-04-08,3388.0,Hanging Baskets
176,2019-04-09,3388.0,Hanging Baskets
177,2019-04-10,3388.0,Hanging Baskets
178,2019-04-11,3388.0,Hanging Baskets
179,2019-04-12,3388.0,Hanging Baskets
180,2019-04-13,3388.0,Hanging Baskets
181,2019-04-14,2436.0,Hanging Baskets
182,2019-04-15,3337.0,Hanging Baskets
183,2019-04-16,5368.0,Hanging Baskets
184,2019-04-17,5368.0,Hanging Baskets
185,2019-04-18,5368.0,Hanging Baskets
186,2019-04-19,8582.0,Hanging Baskets
187,2019-04-20,7450.0,Hanging Baskets
188,2019-04-21,7450.0,Hanging Baskets
189,2019-04-22,6838.0,Hanging Baskets
190,2019-04-23,9937.0,Hanging Baskets
