,date,value,name_B07JB4NJNN
0,2018-10-13,18693.0,Wall & Tabletop Frames
1,2018-10-14,10290.0,Wall & Tabletop Frames
2,2018-10-15,10290.0,Wall & Tabletop Frames
3,2018-10-16,10290.0,Wall & Tabletop Frames
4,2018-10-17,12324.0,Wall & Tabletop Frames
5,2018-10-18,12324.0,Wall & Tabletop Frames
6,2018-10-19,12879.0,Wall & Tabletop Frames
7,2018-10-20,15859.0,Wall & Tabletop Frames
8,2018-10-21,15859.0,Wall & Tabletop Frames
9,2018-10-22,14952.0,Wall & Tabletop Frames
10,2018-10-23,12707.0,Wall & Tabletop Frames
11,2018-10-24,12707.0,Wall & Tabletop Frames
12,2018-10-25,12707.0,Wall & Tabletop Frames
13,2018-10-26,16169.0,Wall & Tabletop Frames
14,2018-10-27,19998.0,Wall & Tabletop Frames
15,2018-10-28,21564.0,Wall & Tabletop Frames
16,2018-10-29,21408.0,Wall & Tabletop Frames
17,2018-10-30,21408.0,Wall & Tabletop Frames
18,2018-10-31,21408.0,Wall & Tabletop Frames
19,2018-11-01,14770.0,Wall & Tabletop Frames
20,2018-11-02,17628.0,Wall & Tabletop Frames
21,2018-11-03,17313.0,Wall & Tabletop Frames
22,2018-11-04,17313.0,Wall & Tabletop Frames
23,2018-11-05,17313.0,Wall & Tabletop Frames
24,2018-11-06,12526.0,Wall & Tabletop Frames
25,2018-11-07,12526.0,Wall & Tabletop Frames
26,2018-11-08,12526.0,Wall & Tabletop Frames
27,2018-11-09,16916.0,Wall & Tabletop Frames
28,2018-11-10,20699.0,Wall & Tabletop Frames
29,2018-11-11,20699.0,Wall & Tabletop Frames
30,2018-11-12,20699.0,Wall & Tabletop Frames
31,2018-11-13,18279.0,Wall & Tabletop Frames
32,2018-11-14,18279.0,Wall & Tabletop Frames
33,2018-11-15,20662.0,Wall & Tabletop Frames
34,2018-11-16,26893.0,Wall & Tabletop Frames
35,2018-11-17,17218.0,Wall & Tabletop Frames
36,2018-11-18,17218.0,Wall & Tabletop Frames
37,2018-11-19,18986.0,Wall & Tabletop Frames
38,2018-11-20,16083.0,Wall & Tabletop Frames
39,2018-11-21,16083.0,Wall & Tabletop Frames
40,2018-11-22,17616.0,Wall & Tabletop Frames
41,2018-11-23,17616.0,Wall & Tabletop Frames
42,2018-11-24,17616.0,Wall & Tabletop Frames
43,2018-11-25,22759.0,Wall & Tabletop Frames
44,2018-11-26,14787.0,Wall & Tabletop Frames
45,2018-11-27,14787.0,Wall & Tabletop Frames
46,2018-11-28,14787.0,Wall & Tabletop Frames
47,2018-11-29,17444.0,Wall & Tabletop Frames
48,2018-11-30,17444.0,Wall & Tabletop Frames
49,2018-12-01,14725.0,Wall & Tabletop Frames
50,2018-12-02,9252.0,Wall & Tabletop Frames
