,date,value,name_B07JGXJYSG
0,2019-04-09,54180.0,All-Purpose Cleaners
1,2019-04-10,54180.0,All-Purpose Cleaners
2,2019-04-11,123737.0,All-Purpose Cleaners
3,2019-04-12,123737.0,All-Purpose Cleaners
4,2019-04-13,123737.0,All-Purpose Cleaners
5,2019-04-14,123737.0,All-Purpose Cleaners
6,2019-04-15,35211.0,All-Purpose Cleaners
7,2019-04-16,35211.0,All-Purpose Cleaners
8,2019-04-17,35211.0,All-Purpose Cleaners
9,2019-04-18,35211.0,All-Purpose Cleaners
10,2019-04-19,101139.0,All-Purpose Cleaners
11,2019-04-20,101139.0,All-Purpose Cleaners
12,2019-04-21,101139.0,All-Purpose Cleaners
13,2019-04-22,101139.0,All-Purpose Cleaners
14,2019-04-23,69927.0,All-Purpose Cleaners
15,2019-04-24,69927.0,All-Purpose Cleaners
16,2019-04-25,69927.0,All-Purpose Cleaners
17,2019-04-26,69927.0,All-Purpose Cleaners
18,2019-04-27,111083.0,All-Purpose Cleaners
19,2019-04-28,111083.0,All-Purpose Cleaners
20,2019-04-29,111083.0,All-Purpose Cleaners
21,2019-04-30,111083.0,All-Purpose Cleaners
22,2019-05-01,111083.0,All-Purpose Cleaners
23,2019-05-02,111083.0,All-Purpose Cleaners
24,2019-05-03,111083.0,All-Purpose Cleaners
25,2019-05-04,111083.0,All-Purpose Cleaners
26,2019-05-05,40723.0,All-Purpose Cleaners
27,2019-05-06,40723.0,All-Purpose Cleaners
28,2019-05-07,37123.0,All-Purpose Cleaners
29,2019-05-08,37123.0,All-Purpose Cleaners
30,2019-05-09,71185.0,All-Purpose Cleaners
31,2019-05-10,71185.0,All-Purpose Cleaners
32,2019-05-11,71185.0,All-Purpose Cleaners
33,2019-05-12,71201.0,All-Purpose Cleaners
34,2019-05-13,71201.0,All-Purpose Cleaners
35,2019-05-14,71201.0,All-Purpose Cleaners
36,2019-05-15,71201.0,All-Purpose Cleaners
37,2019-05-16,71201.0,All-Purpose Cleaners
38,2019-05-17,71201.0,All-Purpose Cleaners
39,2019-05-18,71201.0,All-Purpose Cleaners
40,2019-05-19,71201.0,All-Purpose Cleaners
41,2019-05-20,71201.0,All-Purpose Cleaners
42,2019-05-21,71201.0,All-Purpose Cleaners
43,2019-05-22,71201.0,All-Purpose Cleaners
44,2019-05-23,71201.0,All-Purpose Cleaners
45,2019-05-24,71201.0,All-Purpose Cleaners
