,date,value,name_B07JNPRLY5
0,2020-02-24,1372.0,Lumbar Supports
1,2020-02-25,1372.0,Lumbar Supports
2,2020-02-26,-1.0,Lumbar Supports
3,2020-02-27,-1.0,Lumbar Supports
4,2020-02-28,-1.0,Lumbar Supports
5,2020-02-29,-1.0,Lumbar Supports
6,2020-03-01,-1.0,Lumbar Supports
7,2020-03-02,-1.0,Lumbar Supports
8,2020-03-03,-1.0,Lumbar Supports
9,2020-03-04,-1.0,Lumbar Supports
10,2020-03-05,-1.0,Lumbar Supports
11,2020-03-06,-1.0,Lumbar Supports
12,2020-03-07,-1.0,Lumbar Supports
13,2020-03-08,-1.0,Lumbar Supports
14,2020-03-09,-1.0,Lumbar Supports
15,2020-03-10,-1.0,Lumbar Supports
16,2020-03-11,-1.0,Lumbar Supports
17,2020-03-12,-1.0,Lumbar Supports
18,2020-03-13,-1.0,Lumbar Supports
19,2020-03-14,-1.0,Lumbar Supports
20,2020-03-15,-1.0,Lumbar Supports
21,2020-03-16,-1.0,Lumbar Supports
22,2020-03-17,-1.0,Lumbar Supports
23,2020-03-18,-1.0,Lumbar Supports
24,2020-03-19,-1.0,Lumbar Supports
25,2020-03-20,-1.0,Lumbar Supports
26,2020-03-21,-1.0,Lumbar Supports
27,2020-03-22,-1.0,Lumbar Supports
28,2020-03-23,-1.0,Lumbar Supports
29,2020-03-24,-1.0,Lumbar Supports
30,2020-03-25,-1.0,Lumbar Supports
31,2020-03-26,-1.0,Lumbar Supports
32,2020-03-27,-1.0,Lumbar Supports
33,2020-03-28,-1.0,Lumbar Supports
34,2020-03-29,-1.0,Lumbar Supports
35,2020-03-30,-1.0,Lumbar Supports
36,2020-03-31,-1.0,Lumbar Supports
37,2020-04-01,-1.0,Lumbar Supports
38,2020-04-02,-1.0,Lumbar Supports
39,2020-04-03,-1.0,Lumbar Supports
40,2020-04-04,-1.0,Lumbar Supports
41,2020-04-05,-1.0,Lumbar Supports
42,2020-04-06,-1.0,Lumbar Supports
43,2020-04-07,-1.0,Lumbar Supports
44,2020-04-08,-1.0,Lumbar Supports
45,2020-04-09,-1.0,Lumbar Supports
46,2020-04-10,-1.0,Lumbar Supports
47,2020-04-11,-1.0,Lumbar Supports
48,2020-04-12,-1.0,Lumbar Supports
49,2020-04-13,-1.0,Lumbar Supports
50,2020-04-14,-1.0,Lumbar Supports
51,2020-04-15,-1.0,Lumbar Supports
52,2020-04-16,-1.0,Lumbar Supports
53,2020-04-17,-1.0,Lumbar Supports
54,2020-04-18,-1.0,Lumbar Supports
55,2020-04-19,-1.0,Lumbar Supports
56,2020-04-20,-1.0,Lumbar Supports
57,2020-04-21,-1.0,Lumbar Supports
58,2020-04-22,-1.0,Lumbar Supports
59,2020-04-23,-1.0,Lumbar Supports
60,2020-04-24,-1.0,Lumbar Supports
61,2020-04-25,-1.0,Lumbar Supports
62,2020-04-26,-1.0,Lumbar Supports
63,2020-04-27,-1.0,Lumbar Supports
64,2020-04-28,-1.0,Lumbar Supports
65,2020-04-29,-1.0,Lumbar Supports
66,2020-04-30,-1.0,Lumbar Supports
67,2020-05-01,-1.0,Lumbar Supports
68,2020-05-02,-1.0,Lumbar Supports
69,2020-05-03,-1.0,Lumbar Supports
70,2020-05-04,-1.0,Lumbar Supports
71,2020-05-05,-1.0,Lumbar Supports
72,2020-05-06,-1.0,Lumbar Supports
73,2020-05-07,-1.0,Lumbar Supports
74,2020-05-08,-1.0,Lumbar Supports
75,2020-05-09,-1.0,Lumbar Supports
76,2020-05-10,-1.0,Lumbar Supports
77,2020-05-11,-1.0,Lumbar Supports
78,2020-05-12,-1.0,Lumbar Supports
79,2020-05-13,-1.0,Lumbar Supports
80,2020-05-14,-1.0,Lumbar Supports
81,2020-05-15,-1.0,Lumbar Supports
82,2020-05-16,-1.0,Lumbar Supports
83,2020-05-17,-1.0,Lumbar Supports
84,2020-05-18,-1.0,Lumbar Supports
85,2020-05-19,-1.0,Lumbar Supports
86,2020-05-20,-1.0,Lumbar Supports
87,2020-05-21,-1.0,Lumbar Supports
88,2020-05-22,6262.0,Lumbar Supports
89,2020-05-23,6262.0,Lumbar Supports
90,2020-05-24,5818.0,Lumbar Supports
91,2020-05-25,6063.0,Lumbar Supports
92,2020-05-26,6483.0,Lumbar Supports
93,2020-05-27,6483.0,Lumbar Supports
94,2020-05-28,6005.0,Lumbar Supports
95,2020-05-29,5821.0,Lumbar Supports
96,2020-05-30,6233.0,Lumbar Supports
97,2020-05-31,6233.0,Lumbar Supports
98,2020-06-01,5935.0,Lumbar Supports
99,2020-06-02,6478.0,Lumbar Supports
100,2020-06-03,6274.0,Lumbar Supports
101,2020-06-04,6169.0,Lumbar Supports
102,2020-06-05,6147.0,Lumbar Supports
103,2020-06-06,6364.0,Lumbar Supports
104,2020-06-07,6673.0,Lumbar Supports
105,2020-06-08,6550.0,Lumbar Supports
106,2020-06-09,6550.0,Lumbar Supports
107,2020-06-10,7346.0,Lumbar Supports
108,2020-06-11,8138.0,Lumbar Supports
109,2020-06-12,8046.0,Lumbar Supports
110,2020-06-13,7463.0,Lumbar Supports
111,2020-06-14,7308.0,Lumbar Supports
112,2020-06-15,7836.0,Lumbar Supports
113,2020-06-16,7733.0,Lumbar Supports
114,2020-06-17,7086.0,Lumbar Supports
115,2020-06-18,7086.0,Lumbar Supports
116,2020-06-19,6383.0,Lumbar Supports
117,2020-06-20,6383.0,Lumbar Supports
118,2020-06-21,6383.0,Lumbar Supports
119,2020-06-22,7200.0,Lumbar Supports
120,2020-06-23,7200.0,Lumbar Supports
121,2020-06-24,7200.0,Lumbar Supports
122,2020-06-25,7200.0,Lumbar Supports
123,2020-06-26,7200.0,Lumbar Supports
124,2020-06-27,8515.0,Lumbar Supports
125,2020-06-28,10085.0,Lumbar Supports
126,2020-06-29,9515.0,Lumbar Supports
127,2020-06-30,9515.0,Lumbar Supports
128,2020-07-01,8215.0,Lumbar Supports
129,2020-07-02,8215.0,Lumbar Supports
130,2020-07-03,8215.0,Lumbar Supports
131,2020-07-04,8215.0,Lumbar Supports
132,2020-07-05,8862.0,Lumbar Supports
133,2020-07-06,9565.0,Lumbar Supports
134,2020-07-07,8875.0,Lumbar Supports
135,2020-07-08,9201.0,Lumbar Supports
136,2020-07-09,8356.0,Lumbar Supports
137,2020-07-10,8566.0,Lumbar Supports
138,2020-07-11,8308.0,Lumbar Supports
139,2020-07-12,8308.0,Lumbar Supports
140,2020-07-13,8343.0,Lumbar Supports
141,2020-07-14,7562.0,Lumbar Supports
142,2020-07-15,7562.0,Lumbar Supports
143,2020-07-16,7562.0,Lumbar Supports
144,2020-07-17,7773.0,Lumbar Supports
145,2020-07-18,7377.0,Lumbar Supports
146,2020-07-19,7377.0,Lumbar Supports
147,2020-07-20,7256.0,Lumbar Supports
148,2020-07-21,8073.0,Lumbar Supports
149,2020-07-22,6893.0,Lumbar Supports
150,2020-07-23,6893.0,Lumbar Supports
151,2020-07-24,6893.0,Lumbar Supports
152,2020-07-25,6893.0,Lumbar Supports
153,2020-07-26,8385.0,Lumbar Supports
154,2020-07-27,8377.0,Lumbar Supports
155,2020-07-28,8377.0,Lumbar Supports
156,2020-07-29,8198.0,Lumbar Supports
157,2020-07-30,8198.0,Lumbar Supports
158,2020-07-31,7028.0,Lumbar Supports
159,2020-08-01,9123.0,Lumbar Supports
160,2020-08-02,9123.0,Lumbar Supports
161,2020-08-03,9123.0,Lumbar Supports
162,2020-08-04,9123.0,Lumbar Supports
163,2020-08-05,9123.0,Lumbar Supports
164,2020-08-06,9123.0,Lumbar Supports
165,2020-08-07,8519.0,Lumbar Supports
166,2020-08-08,8519.0,Lumbar Supports
167,2020-08-09,8502.0,Lumbar Supports
168,2020-08-10,8536.0,Lumbar Supports
169,2020-08-11,7944.0,Lumbar Supports
170,2020-08-12,8199.0,Lumbar Supports
171,2020-08-13,8199.0,Lumbar Supports
172,2020-08-14,8199.0,Lumbar Supports
173,2020-08-15,7322.0,Lumbar Supports
174,2020-08-16,7322.0,Lumbar Supports
175,2020-08-17,8524.0,Lumbar Supports
176,2020-08-18,8895.0,Lumbar Supports
177,2020-08-19,8895.0,Lumbar Supports
178,2020-08-20,7364.0,Lumbar Supports
179,2020-08-21,7364.0,Lumbar Supports
180,2020-08-22,7364.0,Lumbar Supports
181,2020-08-23,7364.0,Lumbar Supports
182,2020-08-24,9539.0,Lumbar Supports
183,2020-08-25,8602.0,Lumbar Supports
184,2020-08-26,8602.0,Lumbar Supports
185,2020-08-27,8602.0,Lumbar Supports
186,2020-08-28,9628.0,Lumbar Supports
187,2020-08-29,9628.0,Lumbar Supports
188,2020-08-30,9628.0,Lumbar Supports
189,2020-08-31,10038.0,Lumbar Supports
190,2020-09-01,10038.0,Lumbar Supports
191,2020-09-02,10038.0,Lumbar Supports
192,2020-09-03,9553.0,Lumbar Supports
193,2020-09-04,10477.0,Lumbar Supports
194,2020-09-05,10477.0,Lumbar Supports
195,2020-09-06,10477.0,Lumbar Supports
196,2020-09-07,5838.0,Lumbar Supports
197,2020-09-08,5838.0,Lumbar Supports
198,2020-09-09,5838.0,Lumbar Supports
199,2020-09-10,4985.0,Lumbar Supports
200,2020-09-11,4985.0,Lumbar Supports
201,2020-09-12,4985.0,Lumbar Supports
202,2020-09-13,4862.0,Lumbar Supports
203,2020-09-14,4862.0,Lumbar Supports
204,2020-09-15,4862.0,Lumbar Supports
205,2020-09-16,4745.0,Lumbar Supports
206,2020-09-17,5126.0,Lumbar Supports
207,2020-09-18,5185.0,Lumbar Supports
208,2020-09-19,5185.0,Lumbar Supports
209,2020-09-20,5185.0,Lumbar Supports
210,2020-09-21,5041.0,Lumbar Supports
211,2020-09-22,5041.0,Lumbar Supports
212,2020-09-23,4689.0,Lumbar Supports
213,2020-09-24,4995.0,Lumbar Supports
214,2020-09-25,4995.0,Lumbar Supports
215,2020-09-26,4995.0,Lumbar Supports
216,2020-09-27,4464.0,Lumbar Supports
217,2020-09-28,4297.0,Lumbar Supports
218,2020-09-29,4297.0,Lumbar Supports
219,2020-09-30,4297.0,Lumbar Supports
220,2020-10-01,4297.0,Lumbar Supports
221,2020-10-02,4664.0,Lumbar Supports
222,2020-10-03,4664.0,Lumbar Supports
223,2020-10-04,4972.0,Lumbar Supports
224,2020-10-05,4972.0,Lumbar Supports
225,2020-10-06,4590.0,Lumbar Supports
226,2020-10-07,4590.0,Lumbar Supports
227,2020-10-08,4590.0,Lumbar Supports
228,2020-10-09,4397.0,Lumbar Supports
229,2020-10-10,5335.0,Lumbar Supports
230,2020-10-11,5335.0,Lumbar Supports
231,2020-10-12,5335.0,Lumbar Supports
232,2020-10-13,5335.0,Lumbar Supports
233,2020-10-14,5457.0,Lumbar Supports
234,2020-10-15,5457.0,Lumbar Supports
235,2020-10-16,5457.0,Lumbar Supports
236,2020-10-17,5457.0,Lumbar Supports
237,2020-10-18,5411.0,Lumbar Supports
238,2020-10-19,5411.0,Lumbar Supports
239,2020-10-20,5411.0,Lumbar Supports
240,2020-10-21,5297.0,Lumbar Supports
241,2020-10-22,5297.0,Lumbar Supports
242,2020-10-23,5297.0,Lumbar Supports
243,2020-10-24,5403.0,Lumbar Supports
244,2020-10-25,5403.0,Lumbar Supports
245,2020-10-26,5403.0,Lumbar Supports
246,2020-10-27,5403.0,Lumbar Supports
247,2020-10-28,5737.0,Lumbar Supports
248,2020-10-29,5737.0,Lumbar Supports
249,2020-10-30,5737.0,Lumbar Supports
250,2020-10-31,4851.0,Lumbar Supports
251,2020-11-01,4851.0,Lumbar Supports
252,2020-11-02,4794.0,Lumbar Supports
253,2020-11-03,4501.0,Lumbar Supports
254,2020-11-04,4501.0,Lumbar Supports
255,2020-11-05,4501.0,Lumbar Supports
256,2020-11-06,3590.0,Lumbar Supports
257,2020-11-07,3914.0,Lumbar Supports
258,2020-11-08,3914.0,Lumbar Supports
259,2020-11-09,3914.0,Lumbar Supports
260,2020-11-10,3590.0,Lumbar Supports
261,2020-11-11,3590.0,Lumbar Supports
262,2020-11-12,3590.0,Lumbar Supports
263,2020-11-13,3834.0,Lumbar Supports
264,2020-11-14,3834.0,Lumbar Supports
265,2020-11-15,3862.0,Lumbar Supports
266,2020-11-16,3862.0,Lumbar Supports
267,2020-11-17,3862.0,Lumbar Supports
268,2020-11-18,4011.0,Lumbar Supports
269,2020-11-19,3577.0,Lumbar Supports
270,2020-11-20,3577.0,Lumbar Supports
271,2020-11-21,3577.0,Lumbar Supports
272,2020-11-22,4065.0,Lumbar Supports
273,2020-11-23,4396.0,Lumbar Supports
