,date,value,name_B07K1LL522
0,2021-03-08,10314.0,Mushrooms
1,2021-03-09,10314.0,Mushrooms
2,2021-03-10,10314.0,Mushrooms
3,2021-03-11,10314.0,Mushrooms
4,2021-03-12,10559.0,Mushrooms
5,2021-03-13,10559.0,Mushrooms
6,2021-03-14,12976.0,Mushrooms
7,2021-03-15,18266.0,Mushrooms
8,2021-03-16,13531.0,Mushrooms
9,2021-03-17,13531.0,Mushrooms
10,2021-03-18,15983.0,Mushrooms
11,2021-03-19,15983.0,Mushrooms
12,2021-03-20,15983.0,Mushrooms
13,2021-03-21,15983.0,Mushrooms
14,2021-03-22,23644.0,Mushrooms
15,2021-03-23,23644.0,Mushrooms
16,2021-03-24,23644.0,Mushrooms
17,2021-03-25,17695.0,Mushrooms
18,2021-03-26,14545.0,Mushrooms
19,2021-03-27,14545.0,Mushrooms
20,2021-03-28,14545.0,Mushrooms
21,2021-03-29,16311.0,Mushrooms
22,2021-03-30,16311.0,Mushrooms
23,2021-03-31,16311.0,Mushrooms
24,2021-04-01,14983.0,Mushrooms
25,2021-04-02,18303.0,Mushrooms
26,2021-04-03,18303.0,Mushrooms
27,2021-04-04,18303.0,Mushrooms
28,2021-04-05,15665.0,Mushrooms
29,2021-04-06,15665.0,Mushrooms
30,2021-04-07,15665.0,Mushrooms
31,2021-04-08,14041.0,Mushrooms
32,2021-04-09,14041.0,Mushrooms
33,2021-04-10,14968.0,Mushrooms
34,2021-04-11,14968.0,Mushrooms
35,2021-04-12,14813.0,Mushrooms
36,2021-04-13,15891.0,Mushrooms
37,2021-04-14,14293.0,Mushrooms
38,2021-04-15,14293.0,Mushrooms
39,2021-04-16,10830.0,Mushrooms
40,2021-04-17,10830.0,Mushrooms
41,2021-04-18,10830.0,Mushrooms
42,2021-04-19,11649.0,Mushrooms
43,2021-04-20,11921.0,Mushrooms
44,2021-04-21,11921.0,Mushrooms
45,2021-04-22,11245.0,Mushrooms
46,2021-04-23,12224.0,Mushrooms
47,2021-04-24,12224.0,Mushrooms
48,2021-04-25,12259.0,Mushrooms
49,2021-04-26,12259.0,Mushrooms
50,2021-04-27,11247.0,Mushrooms
51,2021-04-28,11247.0,Mushrooms
52,2021-04-29,16683.0,Mushrooms
53,2021-04-30,16683.0,Mushrooms
54,2021-05-01,16683.0,Mushrooms
55,2021-05-02,16035.0,Mushrooms
56,2021-05-03,14070.0,Mushrooms
57,2021-05-04,14070.0,Mushrooms
58,2021-05-05,18956.0,Mushrooms
59,2021-05-06,18956.0,Mushrooms
60,2021-05-07,18956.0,Mushrooms
61,2021-05-08,14919.0,Mushrooms
62,2021-05-09,14919.0,Mushrooms
63,2021-05-10,17703.0,Mushrooms
64,2021-05-11,17703.0,Mushrooms
65,2021-05-12,17703.0,Mushrooms
66,2021-05-13,13411.0,Mushrooms
67,2021-05-14,13411.0,Mushrooms
68,2021-05-15,10047.0,Mushrooms
69,2021-05-16,10047.0,Mushrooms
70,2021-05-17,12619.0,Mushrooms
71,2021-05-18,12619.0,Mushrooms
72,2021-05-19,11164.0,Mushrooms
73,2021-05-20,11730.0,Mushrooms
74,2021-05-21,11332.0,Mushrooms
75,2021-05-22,10687.0,Mushrooms
76,2021-05-23,10687.0,Mushrooms
77,2021-05-24,10687.0,Mushrooms
78,2021-05-25,11969.0,Mushrooms
79,2021-05-26,11969.0,Mushrooms
80,2021-05-27,13585.0,Mushrooms
81,2021-05-28,13585.0,Mushrooms
82,2021-05-29,12964.0,Mushrooms
83,2021-05-30,12964.0,Mushrooms
84,2021-05-31,12964.0,Mushrooms
85,2021-06-01,11718.0,Mushrooms
86,2021-06-02,11718.0,Mushrooms
87,2021-06-03,12139.0,Mushrooms
88,2021-06-04,11281.0,Mushrooms
89,2021-06-05,11281.0,Mushrooms
90,2021-06-06,11281.0,Mushrooms
91,2021-06-07,12207.0,Mushrooms
92,2021-06-08,11628.0,Mushrooms
93,2021-06-09,11628.0,Mushrooms
94,2021-06-10,11413.0,Mushrooms
95,2021-06-11,11413.0,Mushrooms
96,2021-06-12,11413.0,Mushrooms
97,2021-06-13,13285.0,Mushrooms
98,2021-06-14,19265.0,Mushrooms
99,2021-06-15,19265.0,Mushrooms
100,2021-06-16,16771.0,Mushrooms
101,2021-06-17,16889.0,Mushrooms
102,2021-06-18,16889.0,Mushrooms
103,2021-06-19,16889.0,Mushrooms
104,2021-06-20,16853.0,Mushrooms
105,2021-06-21,14322.0,Mushrooms
106,2021-06-22,17742.0,Mushrooms
107,2021-06-23,17742.0,Mushrooms
108,2021-06-24,15622.0,Mushrooms
109,2021-06-25,14630.0,Mushrooms
110,2021-06-26,16499.0,Mushrooms
111,2021-06-27,16494.0,Mushrooms
112,2021-06-28,16494.0,Mushrooms
113,2021-06-29,15268.0,Mushrooms
114,2021-06-30,14602.0,Mushrooms
115,2021-07-01,14602.0,Mushrooms
116,2021-07-02,14602.0,Mushrooms
117,2021-07-03,13956.0,Mushrooms
118,2021-07-04,14731.0,Mushrooms
119,2021-07-05,14731.0,Mushrooms
120,2021-07-06,13943.0,Mushrooms
121,2021-07-07,13943.0,Mushrooms
122,2021-07-08,11217.0,Mushrooms
123,2021-07-09,11217.0,Mushrooms
124,2021-07-10,10480.0,Mushrooms
