,date,value,name_B07K1RBMQN
0,2020-05-25,31755.0,Deodorants
1,2020-05-26,31755.0,Deodorants
2,2020-05-27,31755.0,Deodorants
3,2020-05-28,30574.0,Deodorants
4,2020-05-29,27371.0,Deodorants
5,2020-05-30,27371.0,Deodorants
6,2020-05-31,27371.0,Deodorants
7,2020-06-01,15403.0,Deodorants
8,2020-06-02,15403.0,Deodorants
9,2020-06-03,11856.0,Deodorants
10,2020-06-04,11856.0,Deodorants
11,2020-06-05,15285.0,Deodorants
12,2020-06-06,15285.0,Deodorants
13,2020-06-07,18337.0,Deodorants
14,2020-06-08,18337.0,Deodorants
15,2020-06-09,29956.0,Deodorants
16,2020-06-10,21418.0,Deodorants
17,2020-06-11,21418.0,Deodorants
18,2020-06-12,21418.0,Deodorants
19,2020-06-13,15995.0,Deodorants
20,2020-06-14,15995.0,Deodorants
21,2020-06-15,13403.0,Deodorants
22,2020-06-16,13745.0,Deodorants
23,2020-06-17,13745.0,Deodorants
24,2020-06-18,18665.0,Deodorants
25,2020-06-19,18665.0,Deodorants
26,2020-06-20,18665.0,Deodorants
27,2020-06-21,16588.0,Deodorants
28,2020-06-22,16588.0,Deodorants
29,2020-06-23,13161.0,Deodorants
30,2020-06-24,13161.0,Deodorants
31,2020-06-25,14184.0,Deodorants
32,2020-06-26,14184.0,Deodorants
33,2020-06-27,18848.0,Deodorants
34,2020-06-28,18848.0,Deodorants
35,2020-06-29,14687.0,Deodorants
36,2020-06-30,14687.0,Deodorants
37,2020-07-01,14687.0,Deodorants
38,2020-07-02,16161.0,Deodorants
39,2020-07-03,15873.0,Deodorants
40,2020-07-04,15873.0,Deodorants
41,2020-07-05,15873.0,Deodorants
42,2020-07-06,12149.0,Deodorants
43,2020-07-07,16071.0,Deodorants
44,2020-07-08,14807.0,Deodorants
45,2020-07-09,15038.0,Deodorants
46,2020-07-10,14128.0,Deodorants
47,2020-07-11,12710.0,Deodorants
48,2020-07-12,12172.0,Deodorants
49,2020-07-13,13804.0,Deodorants
50,2020-07-14,13804.0,Deodorants
51,2020-07-15,14510.0,Deodorants
52,2020-07-16,15216.0,Deodorants
53,2020-07-17,15216.0,Deodorants
54,2020-07-18,15216.0,Deodorants
55,2020-07-19,15216.0,Deodorants
56,2020-07-20,14577.0,Deodorants
57,2020-07-21,14577.0,Deodorants
58,2020-07-22,14577.0,Deodorants
59,2020-07-23,13958.0,Deodorants
60,2020-07-24,13958.0,Deodorants
61,2020-07-25,13958.0,Deodorants
62,2020-07-26,13958.0,Deodorants
63,2020-07-27,13893.0,Deodorants
64,2020-07-28,13893.0,Deodorants
65,2020-07-29,13893.0,Deodorants
66,2020-07-30,14167.0,Deodorants
67,2020-07-31,14167.0,Deodorants
68,2020-08-01,14167.0,Deodorants
69,2020-08-02,13128.0,Deodorants
70,2020-08-03,11294.0,Deodorants
71,2020-08-04,11294.0,Deodorants
72,2020-08-05,11294.0,Deodorants
73,2020-08-06,13952.0,Deodorants
74,2020-08-07,13952.0,Deodorants
75,2020-08-08,13952.0,Deodorants
76,2020-08-09,13952.0,Deodorants
77,2020-08-10,12881.0,Deodorants
78,2020-08-11,12881.0,Deodorants
79,2020-08-12,14031.0,Deodorants
80,2020-08-13,14031.0,Deodorants
81,2020-08-14,16103.0,Deodorants
82,2020-08-15,16103.0,Deodorants
83,2020-08-16,16103.0,Deodorants
84,2020-08-17,14692.0,Deodorants
85,2020-08-18,15166.0,Deodorants
86,2020-08-19,15166.0,Deodorants
87,2020-08-20,12711.0,Deodorants
88,2020-08-21,12711.0,Deodorants
89,2020-08-22,14161.0,Deodorants
90,2020-08-23,14161.0,Deodorants
91,2020-08-24,14161.0,Deodorants
92,2020-08-25,14049.0,Deodorants
93,2020-08-26,14049.0,Deodorants
94,2020-08-27,14049.0,Deodorants
95,2020-08-28,14049.0,Deodorants
96,2020-08-29,16569.0,Deodorants
97,2020-08-30,16569.0,Deodorants
98,2020-08-31,16569.0,Deodorants
99,2020-09-01,16569.0,Deodorants
100,2020-09-02,18710.0,Deodorants
101,2020-09-03,17317.0,Deodorants
102,2020-09-04,18556.0,Deodorants
103,2020-09-05,18556.0,Deodorants
104,2020-09-06,18556.0,Deodorants
105,2020-09-07,18556.0,Deodorants
106,2020-09-08,17757.0,Deodorants
107,2020-09-09,17757.0,Deodorants
108,2020-09-10,17757.0,Deodorants
109,2020-09-11,20441.0,Deodorants
110,2020-09-12,16488.0,Deodorants
111,2020-09-13,16488.0,Deodorants
112,2020-09-14,16488.0,Deodorants
113,2020-09-15,12578.0,Deodorants
114,2020-09-16,12464.0,Deodorants
115,2020-09-17,13145.0,Deodorants
116,2020-09-18,16129.0,Deodorants
117,2020-09-19,16129.0,Deodorants
118,2020-09-20,16129.0,Deodorants
119,2020-09-21,11921.0,Deodorants
120,2020-09-22,11994.0,Deodorants
121,2020-09-23,11994.0,Deodorants
122,2020-09-24,16150.0,Deodorants
123,2020-09-25,16150.0,Deodorants
124,2020-09-26,16150.0,Deodorants
125,2020-09-27,15630.0,Deodorants
126,2020-09-28,11968.0,Deodorants
127,2020-09-29,11968.0,Deodorants
128,2020-09-30,15038.0,Deodorants
129,2020-10-01,13504.0,Deodorants
130,2020-10-02,13241.0,Deodorants
131,2020-10-03,13241.0,Deodorants
132,2020-10-04,13241.0,Deodorants
133,2020-10-05,15724.0,Deodorants
134,2020-10-06,13764.0,Deodorants
135,2020-10-07,13451.0,Deodorants
136,2020-10-08,13451.0,Deodorants
137,2020-10-09,14590.0,Deodorants
138,2020-10-10,14590.0,Deodorants
139,2020-10-11,14590.0,Deodorants
140,2020-10-12,13691.0,Deodorants
141,2020-10-13,13691.0,Deodorants
142,2020-10-14,13691.0,Deodorants
143,2020-10-15,13737.0,Deodorants
144,2020-10-16,13737.0,Deodorants
145,2020-10-17,13737.0,Deodorants
146,2020-10-18,15347.0,Deodorants
147,2020-10-19,15347.0,Deodorants
148,2020-10-20,15200.0,Deodorants
149,2020-10-21,15200.0,Deodorants
150,2020-10-22,15200.0,Deodorants
151,2020-10-23,14573.0,Deodorants
152,2020-10-24,14573.0,Deodorants
153,2020-10-25,14573.0,Deodorants
154,2020-10-26,13278.0,Deodorants
155,2020-10-27,13278.0,Deodorants
156,2020-10-28,15104.0,Deodorants
157,2020-10-29,15104.0,Deodorants
158,2020-10-30,14001.0,Deodorants
159,2020-10-31,14052.0,Deodorants
160,2020-11-01,14052.0,Deodorants
161,2020-11-02,14052.0,Deodorants
162,2020-11-03,14471.0,Deodorants
163,2020-11-04,17481.0,Deodorants
164,2020-11-05,17481.0,Deodorants
165,2020-11-06,16349.0,Deodorants
166,2020-11-07,16349.0,Deodorants
167,2020-11-08,14182.0,Deodorants
168,2020-11-09,17340.0,Deodorants
169,2020-11-10,17340.0,Deodorants
170,2020-11-11,18180.0,Deodorants
171,2020-11-12,18180.0,Deodorants
172,2020-11-13,17314.0,Deodorants
173,2020-11-14,17314.0,Deodorants
174,2020-11-15,17314.0,Deodorants
175,2020-11-16,14230.0,Deodorants
176,2020-11-17,14230.0,Deodorants
177,2020-11-18,14230.0,Deodorants
178,2020-11-19,17983.0,Deodorants
179,2020-11-20,17983.0,Deodorants
180,2020-11-21,17983.0,Deodorants
181,2020-11-22,17983.0,Deodorants
182,2020-11-23,16957.0,Deodorants
183,2020-11-24,16957.0,Deodorants
184,2020-11-25,16038.0,Deodorants
185,2020-11-26,16038.0,Deodorants
186,2020-11-27,16977.0,Deodorants
187,2020-11-28,16977.0,Deodorants
188,2020-11-29,16977.0,Deodorants
189,2020-11-30,20898.0,Deodorants
190,2020-12-01,15628.0,Deodorants
191,2020-12-02,15628.0,Deodorants
192,2020-12-03,16787.0,Deodorants
193,2020-12-04,16787.0,Deodorants
194,2020-12-05,16787.0,Deodorants
195,2020-12-06,16464.0,Deodorants
196,2020-12-07,16464.0,Deodorants
197,2020-12-08,16464.0,Deodorants
198,2020-12-09,17977.0,Deodorants
199,2020-12-10,19135.0,Deodorants
200,2020-12-11,19135.0,Deodorants
201,2020-12-12,19135.0,Deodorants
202,2020-12-13,19162.0,Deodorants
203,2020-12-14,19162.0,Deodorants
204,2020-12-15,20187.0,Deodorants
205,2020-12-16,19922.0,Deodorants
206,2020-12-17,19922.0,Deodorants
207,2020-12-18,19922.0,Deodorants
208,2020-12-19,26130.0,Deodorants
209,2020-12-20,26130.0,Deodorants
210,2020-12-21,25746.0,Deodorants
211,2020-12-22,25746.0,Deodorants
212,2020-12-23,25746.0,Deodorants
213,2020-12-24,28136.0,Deodorants
214,2020-12-25,28136.0,Deodorants
215,2020-12-26,28022.0,Deodorants
216,2020-12-27,28022.0,Deodorants
217,2020-12-28,28022.0,Deodorants
218,2020-12-29,28022.0,Deodorants
219,2020-12-30,27779.0,Deodorants
220,2020-12-31,26348.0,Deodorants
221,2021-01-01,26348.0,Deodorants
222,2021-01-02,26348.0,Deodorants
223,2021-01-03,26348.0,Deodorants
224,2021-01-04,17895.0,Deodorants
225,2021-01-05,17895.0,Deodorants
226,2021-01-06,22493.0,Deodorants
227,2021-01-07,22493.0,Deodorants
228,2021-01-08,22493.0,Deodorants
229,2021-01-09,22493.0,Deodorants
230,2021-01-10,22493.0,Deodorants
231,2021-01-11,18363.0,Deodorants
232,2021-01-12,18363.0,Deodorants
233,2021-01-13,23309.0,Deodorants
234,2021-01-14,23309.0,Deodorants
235,2021-01-15,18561.0,Deodorants
236,2021-01-16,18561.0,Deodorants
237,2021-01-17,18561.0,Deodorants
238,2021-01-18,18111.0,Deodorants
239,2021-01-19,18321.0,Deodorants
240,2021-01-20,18321.0,Deodorants
241,2021-01-21,18321.0,Deodorants
242,2021-01-22,15311.0,Deodorants
243,2021-01-23,15311.0,Deodorants
244,2021-01-24,15311.0,Deodorants
245,2021-01-25,12771.0,Deodorants
246,2021-01-26,12771.0,Deodorants
247,2021-01-27,14630.0,Deodorants
248,2021-01-28,14630.0,Deodorants
249,2021-01-29,14630.0,Deodorants
250,2021-01-30,14770.0,Deodorants
251,2021-01-31,14770.0,Deodorants
252,2021-02-01,14770.0,Deodorants
253,2021-02-02,14770.0,Deodorants
254,2021-02-03,13060.0,Deodorants
255,2021-02-04,13060.0,Deodorants
256,2021-02-05,13858.0,Deodorants
257,2021-02-06,14547.0,Deodorants
258,2021-02-07,14547.0,Deodorants
259,2021-02-08,14547.0,Deodorants
260,2021-02-09,12372.0,Deodorants
261,2021-02-10,12372.0,Deodorants
262,2021-02-11,16001.0,Deodorants
263,2021-02-12,16001.0,Deodorants
264,2021-02-13,16001.0,Deodorants
265,2021-02-14,16001.0,Deodorants
266,2021-02-15,11324.0,Deodorants
267,2021-02-16,11324.0,Deodorants
268,2021-02-17,11324.0,Deodorants
269,2021-02-18,13202.0,Deodorants
270,2021-02-19,13202.0,Deodorants
271,2021-02-20,12378.0,Deodorants
272,2021-02-21,12378.0,Deodorants
273,2021-02-22,12647.0,Deodorants
274,2021-02-23,12647.0,Deodorants
275,2021-02-24,12647.0,Deodorants
276,2021-02-25,14182.0,Deodorants
277,2021-02-26,14182.0,Deodorants
278,2021-02-27,13852.0,Deodorants
279,2021-02-28,13852.0,Deodorants
280,2021-03-01,13852.0,Deodorants
281,2021-03-02,10494.0,Deodorants
282,2021-03-03,10494.0,Deodorants
283,2021-03-04,10982.0,Deodorants
284,2021-03-05,10982.0,Deodorants
285,2021-03-06,11520.0,Deodorants
286,2021-03-07,11520.0,Deodorants
287,2021-03-08,11817.0,Deodorants
288,2021-03-09,11817.0,Deodorants
289,2021-03-10,14441.0,Deodorants
290,2021-03-11,14441.0,Deodorants
291,2021-03-12,14441.0,Deodorants
292,2021-03-13,14727.0,Deodorants
293,2021-03-14,14727.0,Deodorants
294,2021-03-15,14727.0,Deodorants
295,2021-03-16,12450.0,Deodorants
296,2021-03-17,13540.0,Deodorants
297,2021-03-18,14701.0,Deodorants
298,2021-03-19,14853.0,Deodorants
299,2021-03-20,14853.0,Deodorants
300,2021-03-21,14853.0,Deodorants
301,2021-03-22,12267.0,Deodorants
302,2021-03-23,12267.0,Deodorants
303,2021-03-24,12267.0,Deodorants
304,2021-03-25,13419.0,Deodorants
305,2021-03-26,13419.0,Deodorants
306,2021-03-27,13419.0,Deodorants
307,2021-03-28,10726.0,Deodorants
308,2021-03-29,10726.0,Deodorants
309,2021-03-30,10726.0,Deodorants
310,2021-03-31,20139.0,Deodorants
311,2021-04-01,20139.0,Deodorants
312,2021-04-02,20139.0,Deodorants
313,2021-04-03,25474.0,Deodorants
314,2021-04-04,25474.0,Deodorants
315,2021-04-05,25787.0,Deodorants
316,2021-04-06,34743.0,Deodorants
317,2021-04-07,34743.0,Deodorants
318,2021-04-08,12377.0,Deodorants
319,2021-04-09,14101.0,Deodorants
320,2021-04-10,14101.0,Deodorants
321,2021-04-11,14101.0,Deodorants
322,2021-04-12,11748.0,Deodorants
323,2021-04-13,11748.0,Deodorants
324,2021-04-14,18684.0,Deodorants
325,2021-04-15,18684.0,Deodorants
326,2021-04-16,19571.0,Deodorants
327,2021-04-17,19571.0,Deodorants
328,2021-04-18,30703.0,Deodorants
329,2021-04-19,30703.0,Deodorants
330,2021-04-20,30703.0,Deodorants
331,2021-04-21,31043.0,Deodorants
332,2021-04-22,31043.0,Deodorants
333,2021-04-23,22375.0,Deodorants
334,2021-04-24,22375.0,Deodorants
335,2021-04-25,19408.0,Deodorants
336,2021-04-26,19280.0,Deodorants
337,2021-04-27,19280.0,Deodorants
338,2021-04-28,26306.0,Deodorants
339,2021-04-29,26306.0,Deodorants
340,2021-04-30,26306.0,Deodorants
341,2021-05-01,13085.0,Deodorants
342,2021-05-02,13085.0,Deodorants
343,2021-05-03,13343.0,Deodorants
344,2021-05-04,13343.0,Deodorants
345,2021-05-05,11399.0,Deodorants
346,2021-05-06,10256.0,Deodorants
347,2021-05-07,10256.0,Deodorants
348,2021-05-08,10256.0,Deodorants
349,2021-05-09,10421.0,Deodorants
350,2021-05-10,10421.0,Deodorants
351,2021-05-11,11339.0,Deodorants
352,2021-05-12,11339.0,Deodorants
353,2021-05-13,10440.0,Deodorants
354,2021-05-14,10440.0,Deodorants
355,2021-05-15,10440.0,Deodorants
356,2021-05-16,10211.0,Deodorants
357,2021-05-17,10211.0,Deodorants
358,2021-05-18,9926.0,Deodorants
359,2021-05-19,9926.0,Deodorants
360,2021-05-20,9841.0,Deodorants
361,2021-05-21,9841.0,Deodorants
362,2021-05-22,13325.0,Deodorants
363,2021-05-23,9915.0,Deodorants
364,2021-05-24,9915.0,Deodorants
365,2021-05-25,12159.0,Deodorants
366,2021-05-26,12159.0,Deodorants
367,2021-05-27,14877.0,Deodorants
368,2021-05-28,14877.0,Deodorants
369,2021-05-29,20096.0,Deodorants
370,2021-05-30,20096.0,Deodorants
371,2021-05-31,21217.0,Deodorants
372,2021-06-01,21217.0,Deodorants
373,2021-06-02,21418.0,Deodorants
374,2021-06-03,21418.0,Deodorants
375,2021-06-04,21418.0,Deodorants
376,2021-06-05,18415.0,Deodorants
377,2021-06-06,18415.0,Deodorants
378,2021-06-07,21494.0,Deodorants
379,2021-06-08,21494.0,Deodorants
380,2021-06-09,16370.0,Deodorants
381,2021-06-10,16370.0,Deodorants
382,2021-06-11,16370.0,Deodorants
383,2021-06-12,12628.0,Deodorants
384,2021-06-13,12628.0,Deodorants
385,2021-06-14,12628.0,Deodorants
386,2021-06-15,14426.0,Deodorants
387,2021-06-16,14426.0,Deodorants
388,2021-06-17,29961.0,Deodorants
389,2021-06-18,30562.0,Deodorants
390,2021-06-19,30562.0,Deodorants
391,2021-06-20,30562.0,Deodorants
392,2021-06-21,38668.0,Deodorants
393,2021-06-22,38668.0,Deodorants
394,2021-06-23,35907.0,Deodorants
395,2021-06-24,35907.0,Deodorants
396,2021-06-25,35907.0,Deodorants
397,2021-06-26,23190.0,Deodorants
398,2021-06-27,23190.0,Deodorants
399,2021-06-28,14507.0,Deodorants
400,2021-06-29,14507.0,Deodorants
401,2021-06-30,14132.0,Deodorants
402,2021-07-01,14132.0,Deodorants
403,2021-07-02,17713.0,Deodorants
404,2021-07-03,17713.0,Deodorants
405,2021-07-04,17713.0,Deodorants
406,2021-07-05,18176.0,Deodorants
407,2021-07-06,20785.0,Deodorants
