,date,value,name_B07K2P1HTV
0,2018-11-16,375380.0,Panels
1,2018-11-17,486606.0,Panels
2,2018-11-18,486606.0,Panels
3,2018-11-19,235162.0,Panels
4,2018-11-20,273818.0,Panels
5,2018-11-21,417496.0,Panels
6,2018-11-22,334420.0,Panels
7,2018-11-23,377355.0,Panels
8,2018-11-24,377355.0,Panels
9,2018-11-25,377355.0,Panels
10,2018-11-26,180279.0,Panels
11,2018-11-27,162172.0,Panels
12,2018-11-28,162172.0,Panels
13,2018-11-29,386581.0,Panels
14,2018-11-30,225654.0,Panels
15,2018-12-01,225654.0,Panels
16,2018-12-02,225654.0,Panels
17,2018-12-03,225654.0,Panels
18,2018-12-04,334150.0,Panels
19,2018-12-05,406151.0,Panels
20,2018-12-06,406151.0,Panels
21,2018-12-07,406151.0,Panels
22,2018-12-08,434495.0,Panels
23,2018-12-09,434495.0,Panels
24,2018-12-10,434681.0,Panels
25,2018-12-11,434681.0,Panels
26,2018-12-12,189670.0,Panels
27,2018-12-13,267989.0,Panels
28,2018-12-14,267989.0,Panels
29,2018-12-15,267989.0,Panels
30,2018-12-16,267989.0,Panels
31,2018-12-17,267989.0,Panels
32,2018-12-18,267989.0,Panels
33,2018-12-19,821713.0,Panels
34,2018-12-20,821713.0,Panels
35,2018-12-21,821713.0,Panels
36,2018-12-22,345502.0,Panels
37,2018-12-23,345502.0,Panels
38,2018-12-24,345502.0,Panels
39,2018-12-25,345502.0,Panels
40,2018-12-26,345502.0,Panels
41,2018-12-27,345502.0,Panels
42,2018-12-28,345502.0,Panels
43,2018-12-29,690161.0,Panels
44,2018-12-30,690161.0,Panels
45,2018-12-31,249671.0,Panels
46,2019-01-01,249671.0,Panels
47,2019-01-02,249671.0,Panels
48,2019-01-03,249671.0,Panels
49,2019-01-04,249671.0,Panels
50,2019-01-05,249671.0,Panels
51,2019-01-06,249671.0,Panels
52,2019-01-07,875630.0,Panels
53,2019-01-08,875630.0,Panels
54,2019-01-09,875630.0,Panels
55,2019-01-10,875630.0,Panels
56,2019-01-11,875630.0,Panels
57,2019-01-12,875630.0,Panels
58,2019-01-13,1334731.0,Panels
59,2019-01-14,1334731.0,Panels
60,2019-01-15,1408087.0,Panels
61,2019-01-16,1408087.0,Panels
62,2019-01-17,1408087.0,Panels
63,2019-01-18,1408087.0,Panels
64,2019-01-19,1408087.0,Panels
65,2019-01-20,1408087.0,Panels
66,2019-01-21,1408087.0,Panels
67,2019-01-22,1576057.0,Panels
68,2019-01-23,1576057.0,Panels
69,2019-01-24,1576057.0,Panels
70,2019-01-25,1638011.0,Panels
71,2019-01-26,1638011.0,Panels
72,2019-01-27,1638011.0,Panels
73,2019-01-28,1638011.0,Panels
74,2019-01-29,1638011.0,Panels
75,2019-01-30,1638011.0,Panels
76,2019-01-31,1638011.0,Panels
77,2019-02-01,1638011.0,Panels
78,2019-02-02,1638011.0,Panels
79,2019-02-03,1638011.0,Panels
80,2019-02-04,280623.0,Panels
81,2019-02-05,559794.0,Panels
82,2019-02-06,559794.0,Panels
83,2019-02-07,559794.0,Panels
84,2019-02-08,559794.0,Panels
85,2019-02-09,959222.0,Panels
86,2019-02-10,959222.0,Panels
87,2019-02-11,1110002.0,Panels
88,2019-02-12,1163780.0,Panels
89,2019-02-13,1163780.0,Panels
90,2019-02-14,1163780.0,Panels
91,2019-02-15,1163780.0,Panels
92,2019-02-16,1294899.0,Panels
93,2019-02-17,1294899.0,Panels
94,2019-02-18,1355865.0,Panels
95,2019-02-19,1355865.0,Panels
96,2019-02-20,1355865.0,Panels
97,2019-02-21,1355865.0,Panels
98,2019-02-22,1475492.0,Panels
99,2019-02-23,1497812.0,Panels
100,2019-02-24,1497812.0,Panels
101,2019-02-25,1497812.0,Panels
102,2019-02-26,1497812.0,Panels
103,2019-02-27,1497812.0,Panels
104,2019-02-28,1497812.0,Panels
105,2019-03-01,1497812.0,Panels
106,2019-03-02,1497812.0,Panels
107,2019-03-03,1497812.0,Panels
108,2019-03-04,1497812.0,Panels
109,2019-03-05,1768404.0,Panels
110,2019-03-06,1789984.0,Panels
111,2019-03-07,1789984.0,Panels
112,2019-03-08,1789984.0,Panels
113,2019-03-09,1789984.0,Panels
114,2019-03-10,480869.0,Panels
115,2019-03-11,98321.0,Panels
116,2019-03-12,207494.0,Panels
117,2019-03-13,207494.0,Panels
118,2019-03-14,207494.0,Panels
119,2019-03-15,207494.0,Panels
120,2019-03-16,207494.0,Panels
121,2019-03-17,207494.0,Panels
122,2019-03-18,242556.0,Panels
123,2019-03-19,242556.0,Panels
124,2019-03-20,242556.0,Panels
125,2019-03-21,242556.0,Panels
126,2019-03-22,242556.0,Panels
127,2019-03-23,242556.0,Panels
128,2019-03-24,107969.0,Panels
129,2019-03-25,107969.0,Panels
130,2019-03-26,107969.0,Panels
131,2019-03-27,208355.0,Panels
132,2019-03-28,208355.0,Panels
133,2019-03-29,208355.0,Panels
134,2019-03-30,208355.0,Panels
135,2019-03-31,208355.0,Panels
136,2019-04-01,208355.0,Panels
137,2019-04-02,208355.0,Panels
138,2019-04-03,208355.0,Panels
139,2019-04-04,208355.0,Panels
140,2019-04-05,208355.0,Panels
