,date,value,name_B07K6VCPKT
0,2020-05-27,31353.0,LED Bulbs
1,2020-05-28,31353.0,LED Bulbs
2,2020-05-29,31353.0,LED Bulbs
3,2020-05-30,31353.0,LED Bulbs
4,2020-05-31,31353.0,LED Bulbs
5,2020-06-01,31353.0,LED Bulbs
6,2020-06-02,31353.0,LED Bulbs
7,2020-06-03,31353.0,LED Bulbs
8,2020-06-04,31353.0,LED Bulbs
9,2020-06-05,31353.0,LED Bulbs
10,2020-06-06,31353.0,LED Bulbs
11,2020-06-07,31353.0,LED Bulbs
12,2020-06-08,21973.0,LED Bulbs
13,2020-06-09,21973.0,LED Bulbs
14,2020-06-10,21973.0,LED Bulbs
15,2020-06-11,21973.0,LED Bulbs
16,2020-06-12,21973.0,LED Bulbs
17,2020-06-13,21973.0,LED Bulbs
18,2020-06-14,21973.0,LED Bulbs
19,2020-06-15,23872.0,LED Bulbs
20,2020-06-16,23872.0,LED Bulbs
21,2020-06-17,23872.0,LED Bulbs
22,2020-06-18,23872.0,LED Bulbs
23,2020-06-19,23872.0,LED Bulbs
24,2020-06-20,23872.0,LED Bulbs
25,2020-06-21,23872.0,LED Bulbs
26,2020-06-22,29200.0,LED Bulbs
27,2020-06-23,30776.0,LED Bulbs
28,2020-06-24,30776.0,LED Bulbs
29,2020-06-25,30776.0,LED Bulbs
30,2020-06-26,30776.0,LED Bulbs
31,2020-06-27,30776.0,LED Bulbs
32,2020-06-28,30776.0,LED Bulbs
33,2020-06-29,30776.0,LED Bulbs
34,2020-06-30,58541.0,LED Bulbs
35,2020-07-01,58541.0,LED Bulbs
36,2020-07-02,58541.0,LED Bulbs
37,2020-07-03,60012.0,LED Bulbs
38,2020-07-04,60012.0,LED Bulbs
39,2020-07-05,60012.0,LED Bulbs
40,2020-07-06,60012.0,LED Bulbs
41,2020-07-07,60012.0,LED Bulbs
42,2020-07-08,60012.0,LED Bulbs
43,2020-07-09,60012.0,LED Bulbs
44,2020-07-10,44968.0,LED Bulbs
45,2020-07-11,44968.0,LED Bulbs
46,2020-07-12,44968.0,LED Bulbs
47,2020-07-13,44968.0,LED Bulbs
48,2020-07-14,44968.0,LED Bulbs
49,2020-07-15,44968.0,LED Bulbs
50,2020-07-16,44968.0,LED Bulbs
51,2020-07-17,44968.0,LED Bulbs
52,2020-07-18,31547.0,LED Bulbs
53,2020-07-19,31547.0,LED Bulbs
54,2020-07-20,31547.0,LED Bulbs
55,2020-07-21,31547.0,LED Bulbs
56,2020-07-22,36504.0,LED Bulbs
57,2020-07-23,36504.0,LED Bulbs
58,2020-07-24,36504.0,LED Bulbs
59,2020-07-25,36504.0,LED Bulbs
60,2020-07-26,36504.0,LED Bulbs
61,2020-07-27,36504.0,LED Bulbs
62,2020-07-28,36504.0,LED Bulbs
63,2020-07-29,31993.0,LED Bulbs
64,2020-07-30,31993.0,LED Bulbs
65,2020-07-31,31993.0,LED Bulbs
66,2020-08-01,31993.0,LED Bulbs
67,2020-08-02,31993.0,LED Bulbs
68,2020-08-03,31993.0,LED Bulbs
69,2020-08-04,31993.0,LED Bulbs
70,2020-08-05,31993.0,LED Bulbs
71,2020-08-06,31993.0,LED Bulbs
72,2020-08-07,31993.0,LED Bulbs
73,2020-08-08,31993.0,LED Bulbs
74,2020-08-09,31993.0,LED Bulbs
75,2020-08-10,31993.0,LED Bulbs
76,2020-08-11,31993.0,LED Bulbs
77,2020-08-12,31993.0,LED Bulbs
78,2020-08-13,31993.0,LED Bulbs
79,2020-08-14,31993.0,LED Bulbs
80,2020-08-15,31993.0,LED Bulbs
81,2020-08-16,31993.0,LED Bulbs
82,2020-08-17,24454.0,LED Bulbs
83,2020-08-18,24454.0,LED Bulbs
84,2020-08-19,24454.0,LED Bulbs
85,2020-08-20,24454.0,LED Bulbs
86,2020-08-21,24454.0,LED Bulbs
87,2020-08-22,24454.0,LED Bulbs
88,2020-08-23,25189.0,LED Bulbs
89,2020-08-24,25189.0,LED Bulbs
90,2020-08-25,25189.0,LED Bulbs
91,2020-08-26,25189.0,LED Bulbs
92,2020-08-27,40480.0,LED Bulbs
93,2020-08-28,40480.0,LED Bulbs
94,2020-08-29,40480.0,LED Bulbs
95,2020-08-30,40480.0,LED Bulbs
96,2020-08-31,40480.0,LED Bulbs
97,2020-09-01,40480.0,LED Bulbs
98,2020-09-02,40480.0,LED Bulbs
99,2020-09-03,40480.0,LED Bulbs
100,2020-09-04,33112.0,LED Bulbs
101,2020-09-05,33112.0,LED Bulbs
102,2020-09-06,33112.0,LED Bulbs
103,2020-09-07,33112.0,LED Bulbs
104,2020-09-08,33112.0,LED Bulbs
105,2020-09-09,43628.0,LED Bulbs
106,2020-09-10,43628.0,LED Bulbs
107,2020-09-11,43628.0,LED Bulbs
108,2020-09-12,43628.0,LED Bulbs
109,2020-09-13,43628.0,LED Bulbs
110,2020-09-14,43628.0,LED Bulbs
111,2020-09-15,43628.0,LED Bulbs
112,2020-09-16,46961.0,LED Bulbs
113,2020-09-17,46961.0,LED Bulbs
114,2020-09-18,46961.0,LED Bulbs
115,2020-09-19,46961.0,LED Bulbs
116,2020-09-20,46961.0,LED Bulbs
117,2020-09-21,44627.0,LED Bulbs
118,2020-09-22,44627.0,LED Bulbs
119,2020-09-23,44627.0,LED Bulbs
120,2020-09-24,44627.0,LED Bulbs
121,2020-09-25,44627.0,LED Bulbs
122,2020-09-26,44627.0,LED Bulbs
123,2020-09-27,44627.0,LED Bulbs
124,2020-09-28,32258.0,LED Bulbs
125,2020-09-29,32258.0,LED Bulbs
126,2020-09-30,32258.0,LED Bulbs
127,2020-10-01,32258.0,LED Bulbs
128,2020-10-02,32258.0,LED Bulbs
129,2020-10-03,32258.0,LED Bulbs
130,2020-10-04,35900.0,LED Bulbs
131,2020-10-05,35900.0,LED Bulbs
132,2020-10-06,35900.0,LED Bulbs
133,2020-10-07,35900.0,LED Bulbs
134,2020-10-08,35900.0,LED Bulbs
135,2020-10-09,35900.0,LED Bulbs
136,2020-10-10,35900.0,LED Bulbs
137,2020-10-11,35900.0,LED Bulbs
138,2020-10-12,35900.0,LED Bulbs
139,2020-10-13,35900.0,LED Bulbs
140,2020-10-14,35900.0,LED Bulbs
