,date,value,name_B07KJR96XT
0,2018-11-19,38877.0,Suet
1,2018-11-20,57996.0,Suet
2,2018-11-21,72583.0,Suet
3,2018-11-22,23775.0,Suet
4,2018-11-23,49905.0,Suet
5,2018-11-24,49905.0,Suet
6,2018-11-25,49905.0,Suet
7,2018-11-26,49905.0,Suet
8,2018-11-27,65735.0,Suet
9,2018-11-28,65735.0,Suet
10,2018-11-29,50061.0,Suet
11,2018-11-30,51373.0,Suet
12,2018-12-01,72686.0,Suet
13,2018-12-02,72686.0,Suet
14,2018-12-03,31553.0,Suet
15,2018-12-04,69045.0,Suet
16,2018-12-05,84162.0,Suet
17,2018-12-06,104455.0,Suet
18,2018-12-07,104455.0,Suet
19,2018-12-08,38029.0,Suet
20,2018-12-09,38029.0,Suet
21,2018-12-10,38029.0,Suet
22,2018-12-11,38029.0,Suet
23,2018-12-12,76292.0,Suet
24,2018-12-13,76292.0,Suet
25,2018-12-14,100675.0,Suet
26,2018-12-15,100675.0,Suet
27,2018-12-16,100675.0,Suet
28,2018-12-17,100675.0,Suet
29,2018-12-18,100675.0,Suet
30,2018-12-19,100675.0,Suet
31,2018-12-20,80524.0,Suet
32,2018-12-21,80524.0,Suet
33,2018-12-22,69862.0,Suet
34,2018-12-23,69862.0,Suet
35,2018-12-24,69862.0,Suet
36,2018-12-25,69862.0,Suet
37,2018-12-26,69862.0,Suet
38,2018-12-27,69862.0,Suet
39,2018-12-28,69862.0,Suet
40,2018-12-29,69862.0,Suet
41,2018-12-30,69862.0,Suet
42,2018-12-31,20745.0,Suet
43,2019-01-01,20745.0,Suet
44,2019-01-02,20745.0,Suet
45,2019-01-03,21853.0,Suet
46,2019-01-04,21853.0,Suet
47,2019-01-05,21853.0,Suet
48,2019-01-06,11307.0,Suet
49,2019-01-07,32865.0,Suet
50,2019-01-08,32865.0,Suet
51,2019-01-09,42627.0,Suet
52,2019-01-10,42627.0,Suet
53,2019-01-11,44090.0,Suet
54,2019-01-12,44090.0,Suet
55,2019-01-13,15904.0,Suet
56,2019-01-14,15904.0,Suet
57,2019-01-15,31583.0,Suet
58,2019-01-16,46633.0,Suet
59,2019-01-17,46633.0,Suet
60,2019-01-18,46633.0,Suet
61,2019-01-19,46633.0,Suet
62,2019-01-20,31440.0,Suet
63,2019-01-21,31440.0,Suet
64,2019-01-22,43564.0,Suet
65,2019-01-23,43564.0,Suet
66,2019-01-24,43564.0,Suet
67,2019-01-25,43564.0,Suet
68,2019-01-26,78978.0,Suet
69,2019-01-27,30515.0,Suet
70,2019-01-28,30515.0,Suet
71,2019-01-29,22063.0,Suet
72,2019-01-30,22063.0,Suet
73,2019-01-31,22063.0,Suet
74,2019-02-01,-1.0,Suet
75,2019-02-02,-1.0,Suet
76,2019-02-03,-1.0,Suet
77,2019-02-04,-1.0,Suet
78,2019-02-05,-1.0,Suet
79,2019-02-06,-1.0,Suet
80,2019-02-07,-1.0,Suet
81,2019-02-08,-1.0,Suet
82,2019-02-09,-1.0,Suet
83,2019-02-10,-1.0,Suet
84,2019-02-11,-1.0,Suet
85,2019-02-12,-1.0,Suet
86,2019-02-13,-1.0,Suet
87,2019-02-14,-1.0,Suet
88,2019-02-15,-1.0,Suet
89,2019-02-16,-1.0,Suet
90,2019-02-17,-1.0,Suet
91,2019-02-18,-1.0,Suet
92,2019-02-19,-1.0,Suet
93,2019-02-20,-1.0,Suet
94,2019-02-21,43419.0,Suet
95,2019-02-22,43419.0,Suet
96,2019-02-23,35304.0,Suet
97,2019-02-24,35304.0,Suet
98,2019-02-25,35304.0,Suet
99,2019-02-26,35304.0,Suet
100,2019-02-27,35304.0,Suet
101,2019-02-28,60439.0,Suet
102,2019-03-01,60439.0,Suet
103,2019-03-02,60439.0,Suet
104,2019-03-03,60439.0,Suet
105,2019-03-04,60439.0,Suet
106,2019-03-05,60439.0,Suet
107,2019-03-06,88613.0,Suet
108,2019-03-07,88613.0,Suet
109,2019-03-08,88613.0,Suet
110,2019-03-09,88613.0,Suet
111,2019-03-10,18874.0,Suet
112,2019-03-11,18874.0,Suet
113,2019-03-12,33724.0,Suet
114,2019-03-13,33724.0,Suet
115,2019-03-14,26343.0,Suet
116,2019-03-15,17880.0,Suet
117,2019-03-16,17880.0,Suet
118,2019-03-17,17880.0,Suet
119,2019-03-18,17880.0,Suet
120,2019-03-19,17880.0,Suet
121,2019-03-20,17880.0,Suet
122,2019-03-21,65167.0,Suet
123,2019-03-22,32018.0,Suet
124,2019-03-23,27592.0,Suet
125,2019-03-24,50641.0,Suet
126,2019-03-25,50641.0,Suet
127,2019-03-26,39365.0,Suet
128,2019-03-27,56855.0,Suet
129,2019-03-28,56855.0,Suet
130,2019-03-29,56855.0,Suet
131,2019-03-30,45005.0,Suet
132,2019-03-31,45774.0,Suet
133,2019-04-01,72353.0,Suet
134,2019-04-02,72353.0,Suet
135,2019-04-03,72353.0,Suet
136,2019-04-04,72353.0,Suet
137,2019-04-05,72353.0,Suet
138,2019-04-06,38039.0,Suet
139,2019-04-07,82131.0,Suet
140,2019-04-08,24158.0,Suet
141,2019-04-09,74988.0,Suet
142,2019-04-10,74988.0,Suet
143,2019-04-11,74988.0,Suet
144,2019-04-12,59820.0,Suet
145,2019-04-13,59820.0,Suet
146,2019-04-14,67340.0,Suet
147,2019-04-15,67340.0,Suet
148,2019-04-16,26731.0,Suet
149,2019-04-17,26731.0,Suet
150,2019-04-18,78554.0,Suet
151,2019-04-19,78554.0,Suet
152,2019-04-20,78554.0,Suet
153,2019-04-21,78554.0,Suet
154,2019-04-22,81449.0,Suet
155,2019-04-23,81449.0,Suet
156,2019-04-24,47867.0,Suet
157,2019-04-25,47867.0,Suet
158,2019-04-26,36438.0,Suet
159,2019-04-27,36438.0,Suet
160,2019-04-28,36438.0,Suet
161,2019-04-29,36438.0,Suet
162,2019-04-30,53911.0,Suet
163,2019-05-01,37914.0,Suet
164,2019-05-02,39779.0,Suet
165,2019-05-03,76071.0,Suet
166,2019-05-04,39561.0,Suet
167,2019-05-05,39561.0,Suet
168,2019-05-06,33522.0,Suet
169,2019-05-07,36929.0,Suet
170,2019-05-08,54246.0,Suet
171,2019-05-09,52308.0,Suet
172,2019-05-10,69246.0,Suet
173,2019-05-11,73190.0,Suet
174,2019-05-12,76721.0,Suet
175,2019-05-13,76721.0,Suet
176,2019-05-14,37909.0,Suet
177,2019-05-15,37909.0,Suet
178,2019-05-16,37909.0,Suet
179,2019-05-17,43117.0,Suet
180,2019-05-18,27486.0,Suet
181,2019-05-19,27486.0,Suet
182,2019-05-20,42954.0,Suet
183,2019-05-21,51790.0,Suet
184,2019-05-22,51790.0,Suet
185,2019-05-23,17464.0,Suet
186,2019-05-24,20389.0,Suet
187,2019-05-25,33342.0,Suet
188,2019-05-26,39314.0,Suet
189,2019-05-27,37159.0,Suet
190,2019-05-28,35796.0,Suet
191,2019-05-29,20314.0,Suet
192,2019-05-30,31845.0,Suet
193,2019-05-31,36179.0,Suet
194,2019-06-01,36179.0,Suet
195,2019-06-02,36994.0,Suet
196,2019-06-03,44148.0,Suet
197,2019-06-04,38193.0,Suet
198,2019-06-05,38193.0,Suet
199,2019-06-06,31949.0,Suet
200,2019-06-07,56368.0,Suet
201,2019-06-08,49143.0,Suet
202,2019-06-09,49143.0,Suet
203,2019-06-10,49143.0,Suet
204,2019-06-11,46502.0,Suet
205,2019-06-12,49256.0,Suet
206,2019-06-13,49256.0,Suet
207,2019-06-14,49256.0,Suet
208,2019-06-15,30731.0,Suet
209,2019-06-16,21707.0,Suet
210,2019-06-17,22491.0,Suet
211,2019-06-18,22491.0,Suet
212,2019-06-19,33638.0,Suet
213,2019-06-20,34258.0,Suet
214,2019-06-21,34258.0,Suet
215,2019-06-22,54928.0,Suet
216,2019-06-23,54928.0,Suet
217,2019-06-24,23270.0,Suet
218,2019-06-25,36527.0,Suet
219,2019-06-26,36527.0,Suet
220,2019-06-27,24789.0,Suet
221,2019-06-28,22701.0,Suet
222,2019-06-29,22701.0,Suet
223,2019-06-30,22701.0,Suet
224,2019-07-01,30925.0,Suet
225,2019-07-02,30925.0,Suet
226,2019-07-03,29521.0,Suet
227,2019-07-04,44140.0,Suet
228,2019-07-05,44140.0,Suet
229,2019-07-06,37186.0,Suet
230,2019-07-07,32014.0,Suet
231,2019-07-08,32014.0,Suet
232,2019-07-09,55639.0,Suet
233,2019-07-10,55639.0,Suet
234,2019-07-11,35602.0,Suet
235,2019-07-12,38757.0,Suet
236,2019-07-13,38757.0,Suet
237,2019-07-14,15771.0,Suet
238,2019-07-15,29792.0,Suet
239,2019-07-16,29792.0,Suet
240,2019-07-17,51805.0,Suet
241,2019-07-18,51805.0,Suet
242,2019-07-19,51805.0,Suet
243,2019-07-20,31328.0,Suet
244,2019-07-21,31328.0,Suet
245,2019-07-22,21620.0,Suet
246,2019-07-23,23286.0,Suet
247,2019-07-24,23286.0,Suet
248,2019-07-25,47483.0,Suet
249,2019-07-26,53427.0,Suet
