,date,value,name_B07KP63S3D
0,2018-11-20,89.0,Protective Mitts & Potholders
1,2018-11-21,111.0,Protective Mitts & Potholders
2,2018-11-22,163.0,Protective Mitts & Potholders
3,2018-11-23,113.0,Protective Mitts & Potholders
4,2018-11-24,120.0,Protective Mitts & Potholders
5,2018-11-25,185.0,Protective Mitts & Potholders
6,2018-11-26,188.0,Protective Mitts & Potholders
7,2018-11-27,161.0,Protective Mitts & Potholders
8,2018-11-28,201.0,Protective Mitts & Potholders
9,2018-11-29,268.0,Protective Mitts & Potholders
10,2018-11-30,274.0,Protective Mitts & Potholders
11,2018-12-01,297.0,Protective Mitts & Potholders
12,2018-12-02,245.0,Protective Mitts & Potholders
13,2018-12-03,299.0,Protective Mitts & Potholders
14,2018-12-04,298.0,Protective Mitts & Potholders
15,2018-12-05,111.0,Protective Mitts & Potholders
16,2018-12-06,132.0,Protective Mitts & Potholders
17,2018-12-07,129.0,Protective Mitts & Potholders
18,2018-12-08,106.0,Protective Mitts & Potholders
19,2018-12-09,106.0,Protective Mitts & Potholders
20,2018-12-10,111.0,Protective Mitts & Potholders
21,2018-12-11,111.0,Protective Mitts & Potholders
22,2018-12-12,128.0,Protective Mitts & Potholders
23,2018-12-13,167.0,Protective Mitts & Potholders
24,2018-12-14,152.0,Protective Mitts & Potholders
25,2018-12-15,152.0,Protective Mitts & Potholders
26,2018-12-16,120.0,Protective Mitts & Potholders
27,2018-12-17,41.0,Protective Mitts & Potholders
28,2018-12-18,64.0,Protective Mitts & Potholders
29,2018-12-19,71.0,Protective Mitts & Potholders
30,2018-12-20,71.0,Protective Mitts & Potholders
31,2018-12-21,95.0,Protective Mitts & Potholders
32,2018-12-22,95.0,Protective Mitts & Potholders
33,2018-12-23,95.0,Protective Mitts & Potholders
34,2018-12-24,194.0,Protective Mitts & Potholders
35,2018-12-25,196.0,Protective Mitts & Potholders
36,2018-12-26,196.0,Protective Mitts & Potholders
37,2018-12-27,178.0,Protective Mitts & Potholders
38,2018-12-28,208.0,Protective Mitts & Potholders
39,2018-12-29,208.0,Protective Mitts & Potholders
40,2018-12-30,99.0,Protective Mitts & Potholders
41,2018-12-31,99.0,Protective Mitts & Potholders
