,date,value,name_B07KX86DZQ
0,2018-11-28,16479.0,Scissors
1,2018-11-29,16172.0,Scissors
2,2018-11-30,15604.0,Scissors
3,2018-12-01,15917.0,Scissors
4,2018-12-02,18459.0,Scissors
5,2018-12-03,21306.0,Scissors
6,2018-12-04,15337.0,Scissors
7,2018-12-05,17566.0,Scissors
8,2018-12-06,17484.0,Scissors
9,2018-12-07,14877.0,Scissors
10,2018-12-08,12180.0,Scissors
11,2018-12-09,13029.0,Scissors
12,2018-12-10,16007.0,Scissors
13,2018-12-11,13052.0,Scissors
14,2018-12-12,14183.0,Scissors
15,2018-12-13,14471.0,Scissors
16,2018-12-14,14484.0,Scissors
17,2018-12-15,11445.0,Scissors
18,2018-12-16,10025.0,Scissors
19,2018-12-17,12273.0,Scissors
20,2018-12-18,13586.0,Scissors
21,2018-12-19,13025.0,Scissors
22,2018-12-20,11139.0,Scissors
23,2018-12-21,11516.0,Scissors
24,2018-12-22,13330.0,Scissors
25,2018-12-23,15036.0,Scissors
26,2018-12-24,17998.0,Scissors
27,2018-12-25,14210.0,Scissors
28,2018-12-26,13343.0,Scissors
29,2018-12-27,13963.0,Scissors
30,2018-12-28,14288.0,Scissors
31,2018-12-29,15186.0,Scissors
32,2018-12-30,18937.0,Scissors
33,2018-12-31,12875.0,Scissors
34,2019-01-01,12875.0,Scissors
35,2019-01-02,13932.0,Scissors
36,2019-01-03,14016.0,Scissors
37,2019-01-04,14016.0,Scissors
38,2019-01-05,13019.0,Scissors
39,2019-01-06,12281.0,Scissors
40,2019-01-07,13201.0,Scissors
41,2019-01-08,13621.0,Scissors
42,2019-01-09,16273.0,Scissors
43,2019-01-10,15627.0,Scissors
44,2019-01-11,15158.0,Scissors
45,2019-01-12,11804.0,Scissors
46,2019-01-13,12568.0,Scissors
47,2019-01-14,14211.0,Scissors
48,2019-01-15,17148.0,Scissors
49,2019-01-16,14105.0,Scissors
50,2019-01-17,26256.0,Scissors
51,2019-01-18,17081.0,Scissors
52,2019-01-19,14538.0,Scissors
53,2019-01-20,14502.0,Scissors
54,2019-01-21,14502.0,Scissors
55,2019-01-22,13294.0,Scissors
56,2019-01-23,11350.0,Scissors
57,2019-01-24,11350.0,Scissors
58,2019-01-25,15646.0,Scissors
59,2019-01-26,15764.0,Scissors
60,2019-01-27,13801.0,Scissors
61,2019-01-28,18041.0,Scissors
62,2019-01-29,17561.0,Scissors
63,2019-01-30,18425.0,Scissors
64,2019-01-31,18064.0,Scissors
65,2019-02-01,18064.0,Scissors
66,2019-02-02,13556.0,Scissors
67,2019-02-03,14200.0,Scissors
68,2019-02-04,18000.0,Scissors
69,2019-02-05,18000.0,Scissors
70,2019-02-06,12650.0,Scissors
71,2019-02-07,12142.0,Scissors
72,2019-02-08,17390.0,Scissors
73,2019-02-09,17390.0,Scissors
74,2019-02-10,17390.0,Scissors
75,2019-02-11,18194.0,Scissors
76,2019-02-12,18194.0,Scissors
77,2019-02-13,17259.0,Scissors
78,2019-02-14,14944.0,Scissors
