,date,value,name_B07L8ST9RH
0,2018-12-21,5129.0,Indoor String Lights
1,2018-12-22,5556.0,Indoor String Lights
2,2018-12-23,5556.0,Indoor String Lights
3,2018-12-24,7404.0,Indoor String Lights
4,2018-12-25,11708.0,Indoor String Lights
5,2018-12-26,11708.0,Indoor String Lights
6,2018-12-27,7432.0,Indoor String Lights
7,2018-12-28,7432.0,Indoor String Lights
8,2018-12-29,7380.0,Indoor String Lights
9,2018-12-30,8494.0,Indoor String Lights
10,2018-12-31,10174.0,Indoor String Lights
11,2019-01-01,9011.0,Indoor String Lights
12,2019-01-02,11815.0,Indoor String Lights
13,2019-01-03,8917.0,Indoor String Lights
14,2019-01-04,6581.0,Indoor String Lights
15,2019-01-05,5790.0,Indoor String Lights
16,2019-01-06,11315.0,Indoor String Lights
17,2019-01-07,10878.0,Indoor String Lights
18,2019-01-08,9978.0,Indoor String Lights
19,2019-01-09,11919.0,Indoor String Lights
20,2019-01-10,16365.0,Indoor String Lights
21,2019-01-11,12472.0,Indoor String Lights
22,2019-01-12,13164.0,Indoor String Lights
23,2019-01-13,12743.0,Indoor String Lights
24,2019-01-14,12583.0,Indoor String Lights
25,2019-01-15,12583.0,Indoor String Lights
26,2019-01-16,12583.0,Indoor String Lights
27,2019-01-17,21650.0,Indoor String Lights
28,2019-01-18,21650.0,Indoor String Lights
29,2019-01-19,12325.0,Indoor String Lights
30,2019-01-20,11090.0,Indoor String Lights
31,2019-01-21,5048.0,Indoor String Lights
32,2019-01-22,6596.0,Indoor String Lights
33,2019-01-23,3743.0,Indoor String Lights
34,2019-01-24,7943.0,Indoor String Lights
35,2019-01-25,10823.0,Indoor String Lights
36,2019-01-26,9426.0,Indoor String Lights
37,2019-01-27,11535.0,Indoor String Lights
38,2019-01-28,9608.0,Indoor String Lights
39,2019-01-29,9597.0,Indoor String Lights
40,2019-01-30,8180.0,Indoor String Lights
41,2019-01-31,4306.0,Indoor String Lights
42,2019-02-01,7079.0,Indoor String Lights
43,2019-02-02,6176.0,Indoor String Lights
44,2019-02-03,10899.0,Indoor String Lights
45,2019-02-04,6707.0,Indoor String Lights
46,2019-02-05,5440.0,Indoor String Lights
47,2019-02-06,8778.0,Indoor String Lights
48,2019-02-07,12067.0,Indoor String Lights
49,2019-02-08,5736.0,Indoor String Lights
50,2019-02-09,7141.0,Indoor String Lights
51,2019-02-10,7141.0,Indoor String Lights
52,2019-02-11,10585.0,Indoor String Lights
53,2019-02-12,10585.0,Indoor String Lights
54,2019-02-13,4689.0,Indoor String Lights
55,2019-02-14,10638.0,Indoor String Lights
56,2019-02-15,11314.0,Indoor String Lights
57,2019-02-16,7042.0,Indoor String Lights
58,2019-02-17,8079.0,Indoor String Lights
59,2019-02-18,5368.0,Indoor String Lights
60,2019-02-19,6605.0,Indoor String Lights
61,2019-02-20,9932.0,Indoor String Lights
62,2019-02-21,9932.0,Indoor String Lights
63,2019-02-22,6827.0,Indoor String Lights
64,2019-02-23,10089.0,Indoor String Lights
65,2019-02-24,10089.0,Indoor String Lights
66,2019-02-25,10089.0,Indoor String Lights
67,2019-02-26,10797.0,Indoor String Lights
68,2019-02-27,10797.0,Indoor String Lights
69,2019-02-28,10797.0,Indoor String Lights
70,2019-03-01,10797.0,Indoor String Lights
