,date,value,name_B07M63DP2V
0,2019-04-08,189267.0,Kids' Bath Towels
1,2019-04-09,189267.0,Kids' Bath Towels
2,2019-04-10,189267.0,Kids' Bath Towels
3,2019-04-11,189267.0,Kids' Bath Towels
4,2019-04-12,52578.0,Kids' Bath Towels
5,2019-04-13,52578.0,Kids' Bath Towels
6,2019-04-14,52578.0,Kids' Bath Towels
7,2019-04-15,52578.0,Kids' Bath Towels
8,2019-04-16,52578.0,Kids' Bath Towels
9,2019-04-17,40081.0,Kids' Bath Towels
10,2019-04-18,31869.0,Kids' Bath Towels
11,2019-04-19,31869.0,Kids' Bath Towels
12,2019-04-20,31869.0,Kids' Bath Towels
13,2019-04-21,51682.0,Kids' Bath Towels
14,2019-04-22,46065.0,Kids' Bath Towels
15,2019-04-23,46065.0,Kids' Bath Towels
16,2019-04-24,73324.0,Kids' Bath Towels
17,2019-04-25,73324.0,Kids' Bath Towels
18,2019-04-26,73324.0,Kids' Bath Towels
19,2019-04-27,73324.0,Kids' Bath Towels
20,2019-04-28,73324.0,Kids' Bath Towels
21,2019-04-29,50335.0,Kids' Bath Towels
22,2019-04-30,50335.0,Kids' Bath Towels
23,2019-05-01,50335.0,Kids' Bath Towels
24,2019-05-02,50335.0,Kids' Bath Towels
25,2019-05-03,50335.0,Kids' Bath Towels
26,2019-05-04,64250.0,Kids' Bath Towels
27,2019-05-05,64250.0,Kids' Bath Towels
28,2019-05-06,64250.0,Kids' Bath Towels
29,2019-05-07,46747.0,Kids' Bath Towels
30,2019-05-08,46747.0,Kids' Bath Towels
31,2019-05-09,51120.0,Kids' Bath Towels
32,2019-05-10,51120.0,Kids' Bath Towels
33,2019-05-11,54171.0,Kids' Bath Towels
34,2019-05-12,54171.0,Kids' Bath Towels
35,2019-05-13,64872.0,Kids' Bath Towels
36,2019-05-14,64872.0,Kids' Bath Towels
37,2019-05-15,64872.0,Kids' Bath Towels
38,2019-05-16,64872.0,Kids' Bath Towels
39,2019-05-17,64872.0,Kids' Bath Towels
40,2019-05-18,64872.0,Kids' Bath Towels
41,2019-05-19,64872.0,Kids' Bath Towels
42,2019-05-20,52015.0,Kids' Bath Towels
43,2019-05-21,52015.0,Kids' Bath Towels
44,2019-05-22,52015.0,Kids' Bath Towels
45,2019-05-23,39777.0,Kids' Bath Towels
46,2019-05-24,39777.0,Kids' Bath Towels
47,2019-05-25,21011.0,Kids' Bath Towels
48,2019-05-26,40557.0,Kids' Bath Towels
49,2019-05-27,19039.0,Kids' Bath Towels
50,2019-05-28,28085.0,Kids' Bath Towels
51,2019-05-29,28010.0,Kids' Bath Towels
52,2019-05-30,27126.0,Kids' Bath Towels
53,2019-05-31,25561.0,Kids' Bath Towels
54,2019-06-01,21885.0,Kids' Bath Towels
55,2019-06-02,27034.0,Kids' Bath Towels
56,2019-06-03,23304.0,Kids' Bath Towels
57,2019-06-04,23304.0,Kids' Bath Towels
58,2019-06-05,29936.0,Kids' Bath Towels
59,2019-06-06,22004.0,Kids' Bath Towels
60,2019-06-07,30314.0,Kids' Bath Towels
61,2019-06-08,22658.0,Kids' Bath Towels
62,2019-06-09,22658.0,Kids' Bath Towels
63,2019-06-10,25066.0,Kids' Bath Towels
64,2019-06-11,17470.0,Kids' Bath Towels
65,2019-06-12,22482.0,Kids' Bath Towels
66,2019-06-13,20213.0,Kids' Bath Towels
67,2019-06-14,18979.0,Kids' Bath Towels
