,date,value,name_B07MG9KKW7
0,2019-02-19,453992.0,Sheet & Pillowcase Sets
1,2019-02-20,578232.0,Sheet & Pillowcase Sets
2,2019-02-21,698589.0,Sheet & Pillowcase Sets
3,2019-02-22,812175.0,Sheet & Pillowcase Sets
4,2019-02-23,912800.0,Sheet & Pillowcase Sets
5,2019-02-24,912800.0,Sheet & Pillowcase Sets
6,2019-02-25,1006663.0,Sheet & Pillowcase Sets
7,2019-02-26,282560.0,Sheet & Pillowcase Sets
8,2019-02-27,288398.0,Sheet & Pillowcase Sets
9,2019-02-28,464717.0,Sheet & Pillowcase Sets
10,2019-03-01,594423.0,Sheet & Pillowcase Sets
11,2019-03-02,594423.0,Sheet & Pillowcase Sets
12,2019-03-03,594423.0,Sheet & Pillowcase Sets
13,2019-03-04,594423.0,Sheet & Pillowcase Sets
14,2019-03-05,594423.0,Sheet & Pillowcase Sets
15,2019-03-06,863375.0,Sheet & Pillowcase Sets
16,2019-03-07,863375.0,Sheet & Pillowcase Sets
17,2019-03-08,999609.0,Sheet & Pillowcase Sets
18,2019-03-09,999609.0,Sheet & Pillowcase Sets
19,2019-03-10,999609.0,Sheet & Pillowcase Sets
20,2019-03-11,999609.0,Sheet & Pillowcase Sets
21,2019-03-12,999609.0,Sheet & Pillowcase Sets
22,2019-03-13,999609.0,Sheet & Pillowcase Sets
23,2019-03-14,999609.0,Sheet & Pillowcase Sets
24,2019-03-15,999609.0,Sheet & Pillowcase Sets
25,2019-03-16,999609.0,Sheet & Pillowcase Sets
26,2019-03-17,999609.0,Sheet & Pillowcase Sets
27,2019-03-18,1399246.0,Sheet & Pillowcase Sets
28,2019-03-19,461352.0,Sheet & Pillowcase Sets
29,2019-03-20,634269.0,Sheet & Pillowcase Sets
30,2019-03-21,634269.0,Sheet & Pillowcase Sets
31,2019-03-22,634269.0,Sheet & Pillowcase Sets
32,2019-03-23,634269.0,Sheet & Pillowcase Sets
33,2019-03-24,634269.0,Sheet & Pillowcase Sets
34,2019-03-25,634269.0,Sheet & Pillowcase Sets
35,2019-03-26,634269.0,Sheet & Pillowcase Sets
36,2019-03-27,634269.0,Sheet & Pillowcase Sets
37,2019-03-28,651092.0,Sheet & Pillowcase Sets
38,2019-03-29,651092.0,Sheet & Pillowcase Sets
39,2019-03-30,651092.0,Sheet & Pillowcase Sets
40,2019-03-31,651092.0,Sheet & Pillowcase Sets
41,2019-04-01,651092.0,Sheet & Pillowcase Sets
42,2019-04-02,651092.0,Sheet & Pillowcase Sets
43,2019-04-03,651092.0,Sheet & Pillowcase Sets
44,2019-04-04,651092.0,Sheet & Pillowcase Sets
45,2019-04-05,1094515.0,Sheet & Pillowcase Sets
46,2019-04-06,1094515.0,Sheet & Pillowcase Sets
47,2019-04-07,1094515.0,Sheet & Pillowcase Sets
48,2019-04-08,1094515.0,Sheet & Pillowcase Sets
49,2019-04-09,1094515.0,Sheet & Pillowcase Sets
50,2019-04-10,1094515.0,Sheet & Pillowcase Sets
51,2019-04-11,1094515.0,Sheet & Pillowcase Sets
52,2019-04-12,1094515.0,Sheet & Pillowcase Sets
53,2019-04-13,344238.0,Sheet & Pillowcase Sets
54,2019-04-14,344238.0,Sheet & Pillowcase Sets
55,2019-04-15,344238.0,Sheet & Pillowcase Sets
56,2019-04-16,344238.0,Sheet & Pillowcase Sets
57,2019-04-17,344238.0,Sheet & Pillowcase Sets
58,2019-04-18,344238.0,Sheet & Pillowcase Sets
59,2019-04-19,746482.0,Sheet & Pillowcase Sets
60,2019-04-20,746482.0,Sheet & Pillowcase Sets
61,2019-04-21,746482.0,Sheet & Pillowcase Sets
62,2019-04-22,746482.0,Sheet & Pillowcase Sets
63,2019-04-23,746482.0,Sheet & Pillowcase Sets
64,2019-04-24,746482.0,Sheet & Pillowcase Sets
65,2019-04-25,746482.0,Sheet & Pillowcase Sets
66,2019-04-26,714321.0,Sheet & Pillowcase Sets
67,2019-04-27,714321.0,Sheet & Pillowcase Sets
68,2019-04-28,714321.0,Sheet & Pillowcase Sets
69,2019-04-29,714321.0,Sheet & Pillowcase Sets
70,2019-04-30,714321.0,Sheet & Pillowcase Sets
71,2019-05-01,714321.0,Sheet & Pillowcase Sets
72,2019-05-02,714321.0,Sheet & Pillowcase Sets
73,2019-05-03,714321.0,Sheet & Pillowcase Sets
74,2019-05-04,414985.0,Sheet & Pillowcase Sets
75,2019-05-05,414985.0,Sheet & Pillowcase Sets
76,2019-05-06,448464.0,Sheet & Pillowcase Sets
77,2019-05-07,504791.0,Sheet & Pillowcase Sets
78,2019-05-08,507423.0,Sheet & Pillowcase Sets
79,2019-05-09,647304.0,Sheet & Pillowcase Sets
80,2019-05-10,681048.0,Sheet & Pillowcase Sets
81,2019-05-11,520679.0,Sheet & Pillowcase Sets
82,2019-05-12,617209.0,Sheet & Pillowcase Sets
