,date,value,name_B07MP1CZ8B
0,2020-09-21,41894.0,Health Care
1,2020-09-22,41894.0,Health Care
2,2020-09-23,41894.0,Health Care
3,2020-09-24,35803.0,Health Care
4,2020-09-25,35803.0,Health Care
5,2020-09-26,35803.0,Health Care
6,2020-09-27,35803.0,Health Care
7,2020-09-28,35803.0,Health Care
8,2020-09-29,35803.0,Health Care
9,2020-09-30,39130.0,Health Care
10,2020-10-01,39130.0,Health Care
11,2020-10-02,39130.0,Health Care
12,2020-10-03,39130.0,Health Care
13,2020-10-04,54308.0,Health Care
14,2020-10-05,54308.0,Health Care
15,2020-10-06,54308.0,Health Care
16,2020-10-07,54308.0,Health Care
17,2020-10-08,54308.0,Health Care
18,2020-10-09,54308.0,Health Care
19,2020-10-10,54308.0,Health Care
20,2020-10-11,52274.0,Health Care
21,2020-10-12,52274.0,Health Care
22,2020-10-13,52274.0,Health Care
23,2020-10-14,56774.0,Health Care
24,2020-10-15,56774.0,Health Care
25,2020-10-16,56774.0,Health Care
26,2020-10-17,56774.0,Health Care
27,2020-10-18,56774.0,Health Care
28,2020-10-19,56774.0,Health Care
29,2020-10-20,56774.0,Health Care
30,2020-10-21,56774.0,Health Care
31,2020-10-22,45619.0,Health Care
32,2020-10-23,45619.0,Health Care
33,2020-10-24,45619.0,Health Care
34,2020-10-25,45619.0,Health Care
35,2020-10-26,45619.0,Health Care
36,2020-10-27,45619.0,Health Care
37,2020-10-28,45619.0,Health Care
38,2020-10-29,45619.0,Health Care
39,2020-10-30,45619.0,Health Care
40,2020-10-31,45619.0,Health Care
41,2020-11-01,45619.0,Health Care
42,2020-11-02,45619.0,Health Care
43,2020-11-03,50814.0,Health Care
44,2020-11-04,50814.0,Health Care
45,2020-11-05,50814.0,Health Care
46,2020-11-06,50814.0,Health Care
47,2020-11-07,50814.0,Health Care
48,2020-11-08,50814.0,Health Care
49,2020-11-09,50814.0,Health Care
50,2020-11-10,40511.0,Health Care
51,2020-11-11,40511.0,Health Care
52,2020-11-12,40511.0,Health Care
53,2020-11-13,40511.0,Health Care
54,2020-11-14,40511.0,Health Care
55,2020-11-15,48225.0,Health Care
56,2020-11-16,48225.0,Health Care
57,2020-11-17,48225.0,Health Care
58,2020-11-18,48225.0,Health Care
59,2020-11-19,48225.0,Health Care
60,2020-11-20,48225.0,Health Care
61,2020-11-21,48225.0,Health Care
