,date,value,name_B07N13VVPZ
0,2019-01-26,2214.0,Lids
1,2019-01-27,2248.0,Lids
2,2019-01-28,3223.0,Lids
3,2019-01-29,2885.0,Lids
4,2019-01-30,2472.0,Lids
5,2019-01-31,3092.0,Lids
6,2019-02-01,3092.0,Lids
7,2019-02-02,3219.0,Lids
8,2019-02-03,3041.0,Lids
9,2019-02-04,2724.0,Lids
10,2019-02-05,2724.0,Lids
11,2019-02-06,2517.0,Lids
12,2019-02-07,3000.0,Lids
13,2019-02-08,2494.0,Lids
14,2019-02-09,2438.0,Lids
15,2019-02-10,2604.0,Lids
16,2019-02-11,2604.0,Lids
17,2019-02-12,3274.0,Lids
18,2019-02-13,2843.0,Lids
19,2019-02-14,2843.0,Lids
20,2019-02-15,2233.0,Lids
21,2019-02-16,2183.0,Lids
22,2019-02-17,2183.0,Lids
23,2019-02-18,2657.0,Lids
24,2019-02-19,2657.0,Lids
25,2019-02-20,2657.0,Lids
26,2019-02-21,2181.0,Lids
27,2019-02-22,2315.0,Lids
28,2019-02-23,2315.0,Lids
29,2019-02-24,3022.0,Lids
30,2019-02-25,3073.0,Lids
31,2019-02-26,2960.0,Lids
32,2019-02-27,2620.0,Lids
33,2019-02-28,3643.0,Lids
34,2019-03-01,2501.0,Lids
35,2019-03-02,2687.0,Lids
36,2019-03-03,4033.0,Lids
37,2019-03-04,2759.0,Lids
38,2019-03-05,3208.0,Lids
39,2019-03-06,2700.0,Lids
40,2019-03-07,2276.0,Lids
41,2019-03-08,2608.0,Lids
42,2019-03-09,3124.0,Lids
43,2019-03-10,2716.0,Lids
44,2019-03-11,2918.0,Lids
45,2019-03-12,3900.0,Lids
46,2019-03-13,3220.0,Lids
47,2019-03-14,2478.0,Lids
48,2019-03-15,2779.0,Lids
49,2019-03-16,2744.0,Lids
50,2019-03-17,2080.0,Lids
51,2019-03-18,2633.0,Lids
52,2019-03-19,2496.0,Lids
53,2019-03-20,2835.0,Lids
54,2019-03-21,2992.0,Lids
55,2019-03-22,2152.0,Lids
56,2019-03-23,2688.0,Lids
57,2019-03-24,2266.0,Lids
58,2019-03-25,2390.0,Lids
59,2019-03-26,2031.0,Lids
60,2019-03-27,2215.0,Lids
61,2019-03-28,2006.0,Lids
62,2019-03-29,2077.0,Lids
63,2019-03-30,1448.0,Lids
64,2019-03-31,2345.0,Lids
65,2019-04-01,2409.0,Lids
66,2019-04-02,2495.0,Lids
67,2019-04-03,2045.0,Lids
68,2019-04-04,1958.0,Lids
69,2019-04-05,2010.0,Lids
70,2019-04-06,1854.0,Lids
