,date,value,name_B07NTZW22K
0,2019-02-19,22582.0,Cartridge Pool Filters
1,2019-02-20,22582.0,Cartridge Pool Filters
2,2019-02-21,22582.0,Cartridge Pool Filters
3,2019-02-22,15769.0,Cartridge Pool Filters
4,2019-02-23,15769.0,Cartridge Pool Filters
5,2019-02-24,15769.0,Cartridge Pool Filters
6,2019-02-25,16559.0,Cartridge Pool Filters
7,2019-02-26,22427.0,Cartridge Pool Filters
8,2019-02-27,22427.0,Cartridge Pool Filters
9,2019-02-28,15403.0,Cartridge Pool Filters
10,2019-03-01,15403.0,Cartridge Pool Filters
11,2019-03-02,15403.0,Cartridge Pool Filters
12,2019-03-03,8399.0,Cartridge Pool Filters
13,2019-03-04,8399.0,Cartridge Pool Filters
14,2019-03-05,13102.0,Cartridge Pool Filters
15,2019-03-06,15120.0,Cartridge Pool Filters
16,2019-03-07,9832.0,Cartridge Pool Filters
17,2019-03-08,15581.0,Cartridge Pool Filters
18,2019-03-09,15581.0,Cartridge Pool Filters
19,2019-03-10,8293.0,Cartridge Pool Filters
20,2019-03-11,12815.0,Cartridge Pool Filters
21,2019-03-12,7843.0,Cartridge Pool Filters
22,2019-03-13,7843.0,Cartridge Pool Filters
23,2019-03-14,13156.0,Cartridge Pool Filters
24,2019-03-15,13156.0,Cartridge Pool Filters
25,2019-03-16,8922.0,Cartridge Pool Filters
26,2019-03-17,9338.0,Cartridge Pool Filters
27,2019-03-18,6636.0,Cartridge Pool Filters
28,2019-03-19,6636.0,Cartridge Pool Filters
29,2019-03-20,6636.0,Cartridge Pool Filters
30,2019-03-21,6750.0,Cartridge Pool Filters
31,2019-03-22,6750.0,Cartridge Pool Filters
32,2019-03-23,10222.0,Cartridge Pool Filters
33,2019-03-24,9552.0,Cartridge Pool Filters
34,2019-03-25,9956.0,Cartridge Pool Filters
35,2019-03-26,9956.0,Cartridge Pool Filters
36,2019-03-27,7450.0,Cartridge Pool Filters
37,2019-03-28,10179.0,Cartridge Pool Filters
38,2019-03-29,10179.0,Cartridge Pool Filters
39,2019-03-30,10179.0,Cartridge Pool Filters
40,2019-03-31,4603.0,Cartridge Pool Filters
41,2019-04-01,4603.0,Cartridge Pool Filters
42,2019-04-02,8661.0,Cartridge Pool Filters
43,2019-04-03,8661.0,Cartridge Pool Filters
44,2019-04-04,4044.0,Cartridge Pool Filters
45,2019-04-05,3416.0,Cartridge Pool Filters
46,2019-04-06,3416.0,Cartridge Pool Filters
47,2019-04-07,3416.0,Cartridge Pool Filters
48,2019-04-08,3416.0,Cartridge Pool Filters
49,2019-04-09,3416.0,Cartridge Pool Filters
50,2019-04-10,4516.0,Cartridge Pool Filters
51,2019-04-11,4811.0,Cartridge Pool Filters
52,2019-04-12,4811.0,Cartridge Pool Filters
53,2019-04-13,4471.0,Cartridge Pool Filters
54,2019-04-14,4471.0,Cartridge Pool Filters
55,2019-04-15,3882.0,Cartridge Pool Filters
56,2019-04-16,4379.0,Cartridge Pool Filters
57,2019-04-17,4379.0,Cartridge Pool Filters
58,2019-04-18,4906.0,Cartridge Pool Filters
59,2019-04-19,4906.0,Cartridge Pool Filters
60,2019-04-20,6738.0,Cartridge Pool Filters
61,2019-04-21,6738.0,Cartridge Pool Filters
62,2019-04-22,3916.0,Cartridge Pool Filters
63,2019-04-23,3552.0,Cartridge Pool Filters
64,2019-04-24,5096.0,Cartridge Pool Filters
65,2019-04-25,5761.0,Cartridge Pool Filters
66,2019-04-26,5761.0,Cartridge Pool Filters
67,2019-04-27,5761.0,Cartridge Pool Filters
68,2019-04-28,4075.0,Cartridge Pool Filters
69,2019-04-29,4075.0,Cartridge Pool Filters
70,2019-04-30,4075.0,Cartridge Pool Filters
71,2019-05-01,4075.0,Cartridge Pool Filters
72,2019-05-02,4654.0,Cartridge Pool Filters
73,2019-05-03,4654.0,Cartridge Pool Filters
74,2019-05-04,3666.0,Cartridge Pool Filters
75,2019-05-05,3666.0,Cartridge Pool Filters
76,2019-05-06,4282.0,Cartridge Pool Filters
77,2019-05-07,4111.0,Cartridge Pool Filters
78,2019-05-08,5708.0,Cartridge Pool Filters
79,2019-05-09,4974.0,Cartridge Pool Filters
80,2019-05-10,5436.0,Cartridge Pool Filters
81,2019-05-11,5149.0,Cartridge Pool Filters
82,2019-05-12,4259.0,Cartridge Pool Filters
83,2019-05-13,5072.0,Cartridge Pool Filters
84,2019-05-14,4946.0,Cartridge Pool Filters
85,2019-05-15,4946.0,Cartridge Pool Filters
86,2019-05-16,4239.0,Cartridge Pool Filters
87,2019-05-17,4252.0,Cartridge Pool Filters
88,2019-05-18,4353.0,Cartridge Pool Filters
89,2019-05-19,3315.0,Cartridge Pool Filters
90,2019-05-20,3315.0,Cartridge Pool Filters
91,2019-05-21,3504.0,Cartridge Pool Filters
92,2019-05-22,3504.0,Cartridge Pool Filters
93,2019-05-23,4003.0,Cartridge Pool Filters
94,2019-05-24,3256.0,Cartridge Pool Filters
95,2019-05-25,3643.0,Cartridge Pool Filters
96,2019-05-26,2769.0,Cartridge Pool Filters
97,2019-05-27,2276.0,Cartridge Pool Filters
98,2019-05-28,3924.0,Cartridge Pool Filters
99,2019-05-29,3924.0,Cartridge Pool Filters
100,2019-05-30,3987.0,Cartridge Pool Filters
101,2019-05-31,3859.0,Cartridge Pool Filters
102,2019-06-01,3749.0,Cartridge Pool Filters
103,2019-06-02,2596.0,Cartridge Pool Filters
104,2019-06-03,2680.0,Cartridge Pool Filters
105,2019-06-04,3183.0,Cartridge Pool Filters
106,2019-06-05,2709.0,Cartridge Pool Filters
107,2019-06-06,2590.0,Cartridge Pool Filters
108,2019-06-07,2916.0,Cartridge Pool Filters
109,2019-06-08,3174.0,Cartridge Pool Filters
110,2019-06-09,3174.0,Cartridge Pool Filters
111,2019-06-10,3174.0,Cartridge Pool Filters
112,2019-06-11,3660.0,Cartridge Pool Filters
113,2019-06-12,3457.0,Cartridge Pool Filters
114,2019-06-13,3274.0,Cartridge Pool Filters
115,2019-06-14,3274.0,Cartridge Pool Filters
116,2019-06-15,2141.0,Cartridge Pool Filters
117,2019-06-16,3274.0,Cartridge Pool Filters
118,2019-06-17,2405.0,Cartridge Pool Filters
119,2019-06-18,3215.0,Cartridge Pool Filters
120,2019-06-19,3215.0,Cartridge Pool Filters
121,2019-06-20,3215.0,Cartridge Pool Filters
122,2019-06-21,4296.0,Cartridge Pool Filters
123,2019-06-22,3318.0,Cartridge Pool Filters
124,2019-06-23,3618.0,Cartridge Pool Filters
125,2019-06-24,4875.0,Cartridge Pool Filters
126,2019-06-25,4875.0,Cartridge Pool Filters
127,2019-06-26,4285.0,Cartridge Pool Filters
128,2019-06-27,4285.0,Cartridge Pool Filters
129,2019-06-28,4285.0,Cartridge Pool Filters
130,2019-06-29,2925.0,Cartridge Pool Filters
131,2019-06-30,2925.0,Cartridge Pool Filters
132,2019-07-01,3850.0,Cartridge Pool Filters
133,2019-07-02,3850.0,Cartridge Pool Filters
134,2019-07-03,4119.0,Cartridge Pool Filters
135,2019-07-04,3946.0,Cartridge Pool Filters
136,2019-07-05,3997.0,Cartridge Pool Filters
137,2019-07-06,4016.0,Cartridge Pool Filters
138,2019-07-07,4016.0,Cartridge Pool Filters
139,2019-07-08,4876.0,Cartridge Pool Filters
140,2019-07-09,4579.0,Cartridge Pool Filters
141,2019-07-10,3878.0,Cartridge Pool Filters
142,2019-07-11,3878.0,Cartridge Pool Filters
143,2019-07-12,3235.0,Cartridge Pool Filters
144,2019-07-13,3241.0,Cartridge Pool Filters
145,2019-07-14,4574.0,Cartridge Pool Filters
146,2019-07-15,4574.0,Cartridge Pool Filters
147,2019-07-16,7386.0,Cartridge Pool Filters
148,2019-07-17,7386.0,Cartridge Pool Filters
149,2019-07-18,6453.0,Cartridge Pool Filters
150,2019-07-19,6453.0,Cartridge Pool Filters
151,2019-07-20,6453.0,Cartridge Pool Filters
152,2019-07-21,6523.0,Cartridge Pool Filters
153,2019-07-22,6693.0,Cartridge Pool Filters
154,2019-07-23,6693.0,Cartridge Pool Filters
155,2019-07-24,6407.0,Cartridge Pool Filters
156,2019-07-25,6407.0,Cartridge Pool Filters
157,2019-07-26,6407.0,Cartridge Pool Filters
158,2019-07-27,6901.0,Cartridge Pool Filters
159,2019-07-28,6901.0,Cartridge Pool Filters
160,2019-07-29,5215.0,Cartridge Pool Filters
161,2019-07-30,6065.0,Cartridge Pool Filters
162,2019-07-31,5480.0,Cartridge Pool Filters
163,2019-08-01,7473.0,Cartridge Pool Filters
164,2019-08-02,6677.0,Cartridge Pool Filters
165,2019-08-03,7549.0,Cartridge Pool Filters
166,2019-08-04,5662.0,Cartridge Pool Filters
167,2019-08-05,5662.0,Cartridge Pool Filters
168,2019-08-06,6674.0,Cartridge Pool Filters
169,2019-08-07,5776.0,Cartridge Pool Filters
170,2019-08-08,5929.0,Cartridge Pool Filters
171,2019-08-09,8483.0,Cartridge Pool Filters
172,2019-08-10,8483.0,Cartridge Pool Filters
173,2019-08-11,5108.0,Cartridge Pool Filters
174,2019-08-12,6198.0,Cartridge Pool Filters
175,2019-08-13,10348.0,Cartridge Pool Filters
176,2019-08-14,7118.0,Cartridge Pool Filters
177,2019-08-15,8077.0,Cartridge Pool Filters
178,2019-08-16,7282.0,Cartridge Pool Filters
179,2019-08-17,7873.0,Cartridge Pool Filters
180,2019-08-18,7873.0,Cartridge Pool Filters
181,2019-08-19,11667.0,Cartridge Pool Filters
182,2019-08-20,11667.0,Cartridge Pool Filters
183,2019-08-21,8106.0,Cartridge Pool Filters
184,2019-08-22,9333.0,Cartridge Pool Filters
185,2019-08-23,9609.0,Cartridge Pool Filters
186,2019-08-24,8880.0,Cartridge Pool Filters
187,2019-08-25,9310.0,Cartridge Pool Filters
188,2019-08-26,9977.0,Cartridge Pool Filters
189,2019-08-27,9770.0,Cartridge Pool Filters
190,2019-08-28,10946.0,Cartridge Pool Filters
191,2019-08-29,14022.0,Cartridge Pool Filters
192,2019-08-30,12614.0,Cartridge Pool Filters
193,2019-08-31,11916.0,Cartridge Pool Filters
194,2019-09-01,8107.0,Cartridge Pool Filters
195,2019-09-02,8107.0,Cartridge Pool Filters
196,2019-09-03,11138.0,Cartridge Pool Filters
197,2019-09-04,9365.0,Cartridge Pool Filters
198,2019-09-05,10630.0,Cartridge Pool Filters
199,2019-09-06,12739.0,Cartridge Pool Filters
200,2019-09-07,11499.0,Cartridge Pool Filters
201,2019-09-08,12698.0,Cartridge Pool Filters
202,2019-09-09,12260.0,Cartridge Pool Filters
203,2019-09-10,15640.0,Cartridge Pool Filters
204,2019-09-11,11741.0,Cartridge Pool Filters
205,2019-09-12,14045.0,Cartridge Pool Filters
206,2019-09-13,12003.0,Cartridge Pool Filters
207,2019-09-14,10635.0,Cartridge Pool Filters
208,2019-09-15,11189.0,Cartridge Pool Filters
209,2019-09-16,9149.0,Cartridge Pool Filters
210,2019-09-17,17801.0,Cartridge Pool Filters
211,2019-09-18,16039.0,Cartridge Pool Filters
