,date,value,name_B07P76LNGG
0,2020-05-25,1140.0,Racks & Displays
1,2020-05-26,1140.0,Racks & Displays
2,2020-05-27,1140.0,Racks & Displays
3,2020-05-28,1140.0,Racks & Displays
4,2020-05-29,982.0,Racks & Displays
5,2020-05-30,982.0,Racks & Displays
6,2020-05-31,982.0,Racks & Displays
7,2020-06-01,846.0,Racks & Displays
8,2020-06-02,999.0,Racks & Displays
9,2020-06-03,911.0,Racks & Displays
10,2020-06-04,911.0,Racks & Displays
11,2020-06-05,911.0,Racks & Displays
12,2020-06-06,1055.0,Racks & Displays
13,2020-06-07,1055.0,Racks & Displays
14,2020-06-08,1055.0,Racks & Displays
15,2020-06-09,972.0,Racks & Displays
16,2020-06-10,1206.0,Racks & Displays
17,2020-06-11,1206.0,Racks & Displays
18,2020-06-12,1206.0,Racks & Displays
19,2020-06-13,1084.0,Racks & Displays
20,2020-06-14,1241.0,Racks & Displays
21,2020-06-15,1241.0,Racks & Displays
22,2020-06-16,1241.0,Racks & Displays
23,2020-06-17,1097.0,Racks & Displays
24,2020-06-18,1097.0,Racks & Displays
25,2020-06-19,1009.0,Racks & Displays
26,2020-06-20,1067.0,Racks & Displays
27,2020-06-21,1239.0,Racks & Displays
28,2020-06-22,1067.0,Racks & Displays
29,2020-06-23,1067.0,Racks & Displays
30,2020-06-24,1329.0,Racks & Displays
31,2020-06-25,1329.0,Racks & Displays
32,2020-06-26,1160.0,Racks & Displays
33,2020-06-27,1160.0,Racks & Displays
34,2020-06-28,1160.0,Racks & Displays
35,2020-06-29,1317.0,Racks & Displays
36,2020-06-30,1317.0,Racks & Displays
37,2020-07-01,1437.0,Racks & Displays
38,2020-07-02,1295.0,Racks & Displays
39,2020-07-03,1295.0,Racks & Displays
40,2020-07-04,1271.0,Racks & Displays
41,2020-07-05,1271.0,Racks & Displays
42,2020-07-06,1157.0,Racks & Displays
43,2020-07-07,1157.0,Racks & Displays
44,2020-07-08,1157.0,Racks & Displays
45,2020-07-09,1135.0,Racks & Displays
46,2020-07-10,1135.0,Racks & Displays
47,2020-07-11,1135.0,Racks & Displays
48,2020-07-12,1507.0,Racks & Displays
49,2020-07-13,1507.0,Racks & Displays
50,2020-07-14,1277.0,Racks & Displays
51,2020-07-15,1277.0,Racks & Displays
52,2020-07-16,1277.0,Racks & Displays
53,2020-07-17,1246.0,Racks & Displays
54,2020-07-18,1246.0,Racks & Displays
55,2020-07-19,1246.0,Racks & Displays
56,2020-07-20,1246.0,Racks & Displays
57,2020-07-21,1207.0,Racks & Displays
58,2020-07-22,1207.0,Racks & Displays
59,2020-07-23,1250.0,Racks & Displays
60,2020-07-24,1250.0,Racks & Displays
61,2020-07-25,1250.0,Racks & Displays
62,2020-07-26,1065.0,Racks & Displays
63,2020-07-27,1065.0,Racks & Displays
64,2020-07-28,1025.0,Racks & Displays
65,2020-07-29,1025.0,Racks & Displays
66,2020-07-30,1000.0,Racks & Displays
67,2020-07-31,1000.0,Racks & Displays
68,2020-08-01,933.0,Racks & Displays
69,2020-08-02,933.0,Racks & Displays
70,2020-08-03,926.0,Racks & Displays
71,2020-08-04,846.0,Racks & Displays
72,2020-08-05,846.0,Racks & Displays
73,2020-08-06,846.0,Racks & Displays
74,2020-08-07,805.0,Racks & Displays
75,2020-08-08,805.0,Racks & Displays
76,2020-08-09,661.0,Racks & Displays
77,2020-08-10,661.0,Racks & Displays
78,2020-08-11,661.0,Racks & Displays
79,2020-08-12,636.0,Racks & Displays
80,2020-08-13,636.0,Racks & Displays
81,2020-08-14,481.0,Racks & Displays
82,2020-08-15,545.0,Racks & Displays
83,2020-08-16,480.0,Racks & Displays
84,2020-08-17,480.0,Racks & Displays
85,2020-08-18,480.0,Racks & Displays
86,2020-08-19,479.0,Racks & Displays
87,2020-08-20,565.0,Racks & Displays
88,2020-08-21,565.0,Racks & Displays
89,2020-08-22,565.0,Racks & Displays
90,2020-08-23,615.0,Racks & Displays
91,2020-08-24,615.0,Racks & Displays
92,2020-08-25,927.0,Racks & Displays
93,2020-08-26,927.0,Racks & Displays
94,2020-08-27,956.0,Racks & Displays
95,2020-08-28,1876.0,Racks & Displays
96,2020-08-29,2664.0,Racks & Displays
97,2020-08-30,2664.0,Racks & Displays
98,2020-08-31,4012.0,Racks & Displays
99,2020-09-01,4344.0,Racks & Displays
100,2020-09-02,4235.0,Racks & Displays
101,2020-09-03,3770.0,Racks & Displays
102,2020-09-04,3770.0,Racks & Displays
103,2020-09-05,3770.0,Racks & Displays
104,2020-09-06,8336.0,Racks & Displays
105,2020-09-07,8776.0,Racks & Displays
106,2020-09-08,11419.0,Racks & Displays
107,2020-09-09,11419.0,Racks & Displays
108,2020-09-10,14155.0,Racks & Displays
109,2020-09-11,14155.0,Racks & Displays
110,2020-09-12,18153.0,Racks & Displays
111,2020-09-13,18153.0,Racks & Displays
112,2020-09-14,18153.0,Racks & Displays
113,2020-09-15,18809.0,Racks & Displays
114,2020-09-16,24199.0,Racks & Displays
115,2020-09-17,24199.0,Racks & Displays
116,2020-09-18,23255.0,Racks & Displays
117,2020-09-19,23255.0,Racks & Displays
118,2020-09-20,23255.0,Racks & Displays
119,2020-09-21,31743.0,Racks & Displays
120,2020-09-22,32929.0,Racks & Displays
121,2020-09-23,32929.0,Racks & Displays
122,2020-09-24,35431.0,Racks & Displays
123,2020-09-25,35431.0,Racks & Displays
124,2020-09-26,35431.0,Racks & Displays
125,2020-09-27,23436.0,Racks & Displays
126,2020-09-28,23436.0,Racks & Displays
127,2020-09-29,23436.0,Racks & Displays
128,2020-09-30,34013.0,Racks & Displays
129,2020-10-01,34013.0,Racks & Displays
130,2020-10-02,34013.0,Racks & Displays
131,2020-10-03,37777.0,Racks & Displays
132,2020-10-04,37777.0,Racks & Displays
133,2020-10-05,36518.0,Racks & Displays
134,2020-10-06,45987.0,Racks & Displays
135,2020-10-07,43648.0,Racks & Displays
136,2020-10-08,43648.0,Racks & Displays
137,2020-10-09,43648.0,Racks & Displays
138,2020-10-10,38543.0,Racks & Displays
139,2020-10-11,38543.0,Racks & Displays
140,2020-10-12,38543.0,Racks & Displays
141,2020-10-13,61665.0,Racks & Displays
142,2020-10-14,64739.0,Racks & Displays
143,2020-10-15,48343.0,Racks & Displays
144,2020-10-16,48343.0,Racks & Displays
145,2020-10-17,48343.0,Racks & Displays
146,2020-10-18,49877.0,Racks & Displays
147,2020-10-19,49877.0,Racks & Displays
148,2020-10-20,43833.0,Racks & Displays
149,2020-10-21,54283.0,Racks & Displays
150,2020-10-22,54283.0,Racks & Displays
151,2020-10-23,54283.0,Racks & Displays
152,2020-10-24,28241.0,Racks & Displays
153,2020-10-25,26508.0,Racks & Displays
154,2020-10-26,26508.0,Racks & Displays
155,2020-10-27,18536.0,Racks & Displays
156,2020-10-28,10619.0,Racks & Displays
157,2020-10-29,10619.0,Racks & Displays
158,2020-10-30,10619.0,Racks & Displays
159,2020-10-31,9048.0,Racks & Displays
160,2020-11-01,9048.0,Racks & Displays
161,2020-11-02,9048.0,Racks & Displays
162,2020-11-03,9919.0,Racks & Displays
163,2020-11-04,9919.0,Racks & Displays
164,2020-11-05,9919.0,Racks & Displays
165,2020-11-06,4806.0,Racks & Displays
166,2020-11-07,5456.0,Racks & Displays
167,2020-11-08,5456.0,Racks & Displays
168,2020-11-09,5456.0,Racks & Displays
169,2020-11-10,8708.0,Racks & Displays
170,2020-11-11,8708.0,Racks & Displays
171,2020-11-12,8708.0,Racks & Displays
172,2020-11-13,7757.0,Racks & Displays
173,2020-11-14,7757.0,Racks & Displays
174,2020-11-15,5789.0,Racks & Displays
175,2020-11-16,5789.0,Racks & Displays
176,2020-11-17,5789.0,Racks & Displays
177,2020-11-18,5789.0,Racks & Displays
178,2020-11-19,7213.0,Racks & Displays
179,2020-11-20,7213.0,Racks & Displays
180,2020-11-21,7213.0,Racks & Displays
181,2020-11-22,6752.0,Racks & Displays
182,2020-11-23,6752.0,Racks & Displays
183,2020-11-24,6752.0,Racks & Displays
